name,Total Positive cycles,RACIPE JSD1 from WT,RACIPE JSD2 from WT,Boolean JSD from WT,Plasticity1,Plasticity2
SNAIL-OVOL_0-1,3,0.020227823807692797,0.020227823807692797,0.34846943986028867,0.3444,0.39259999999999995
WT,3,0.0,0.0,0.00010391992554719493,0.3395,0.38670000000000004
ZEB-OVOL_2-1,3,0.19683343552064037,0.19683343552064037,1.0,0.3043,0.3365
ZEB-ZEB_1-0,2,0.0030387108459389973,0.0030387108459389973,0.2761525342543839,0.1564,0.19369999999999998
OVOL-miR200_2-0,3,0.02514967478022259,0.02514967478022259,0.060713757695351055,0.4462,0.46840000000000004
OVOL-miR200_2-1,4,0.031200176099066557,0.031200176099066557,0.2762660431860104,0.4853,0.5022
ZEB-miR200_2-0,2,0.18328864858555496,0.18328864858555496,0.022222731671936908,0.1826,0.22940000000000005
ZEB-miR200_2-1,2,0.13811830769460612,0.13811830769460612,0.34850333457804944,0.1646,0.20930000000000004
miR200-miR200_0-1,4,0.0019339391355797401,0.0019339391355797401,0.003934756133452955,0.4705,0.5188999999999999
SNAIL-miR200_2-0,3,0.004604516479855765,0.004604516479855765,0.008344738171321274,0.4036,0.4346
ZEB-ZEB_1-2,2,0.028221826060404208,0.028221826060404208,0.2761654059501652,0.0636,0.09009999999999996
OVOL-ZEB_2-0,2,0.001584387914304689,0.001584387914304689,0.276146648283311,0.2651,0.3123
OVOL-ZEB_2-1,2,0.007159215773752946,0.007159215773752946,0.27623155590031984,0.1836,0.23529999999999995
OVOL-OVOL_2-0,3,0.02769968247659245,0.02769968247659245,8.134954807671301e-05,0.3946,0.4433
OVOL-OVOL_2-1,4,0.02341791534545567,0.02341791534545567,0.2582381010082373,0.4796,0.6033
SNAIL-ZEB_1-2,3,0.007100942380619701,0.007100942380619701,0.006633984955620897,0.3739,0.4184
SNAIL-miR200_2-1,3,0.006531260152279736,0.006531260152279736,0.0063227945913482495,0.3971,0.44489999999999996
miR200-ZEB_2-1,3,0.028641587985683163,0.028641587985683163,0.0013578882188735684,0.2082,0.26849999999999996
SNAIL-OVOL_0-2,3,0.007078833346008095,0.007078833346008095,0.276120219397908,0.3365,0.37350000000000005
OVOL-SNAIL_0-2,5,0.009669679556105863,0.009669679556105863,0.27624829030933207,0.4822,0.507
miR200-OVOL_0-2,4,0.047948766586133604,0.047948766586133604,0.34846617045974604,0.3699,0.4283
miR200-miR200_0-2,3,0.007137254827936359,0.007137254827936359,0.00014855349829256292,0.3079,0.35350000000000004
miR200-OVOL_0-1,4,0.009403689482337274,0.009403689482337274,0.27619145971232095,0.3445,0.38660000000000005
miR200-SNAIL_0-2,5,0.008895072059714283,0.008895072059714283,0.005296396355639065,0.533,0.5667
miR200-ZEB_2-0,2,0.00562292294006769,0.00562292294006769,0.004902563977373181,0.2994,0.34199999999999997
SNAIL-SNAIL_0-1,4,0.004675731611506255,0.004675731611506255,0.0003041458533819966,0.4418,0.5135000000000001
SNAIL-ZEB_0-1,3,0.0009393671458979579,0.0009393671458979579,3.6978411114506815e-05,0.2818,0.3244
SNAIL-ZEB_0-2,3,0.002807996161252792,0.002807996161252792,0.0060838995579829535,0.3507,0.402
SNAIL-ZEB_1-0,3,0.00138617556788768,0.00138617556788768,0.0013326285724310103,0.4245,0.46309999999999996
