ParameterIndex,X,SNAIL,miR34,miR200,ZEB,KEAP1,Ecadherin,NRF2,Weight
496,1,1,1,1,-1,1,1,-1,1
500,-1,1,-1,-1,1,1,-1,-1,1
501,-1,-1,1,1,-1,-1,1,-1,1
505,-1,1,1,-1,-1,1,1,-1,1
512,-1,1,-1,1,-1,1,1,-1,1
516,-1,-1,1,1,-1,-1,1,-1,1
519,-1,1,-1,-1,-1,1,1,-1,1
525,-1,1,1,-1,1,1,-1,-1,1
526,1,-1,1,1,-1,-1,1,1,1
529,1,1,-1,-1,1,1,-1,-1,1
533,1,-1,1,1,-1,-1,1,1,1
536,1,1,-1,-1,1,1,-1,1,1
542,-1,-1,1,1,-1,-1,1,-1,1
545,1,1,-1,-1,1,1,-1,1,1
546,-1,-1,1,1,-1,-1,1,1,1
547,1,-1,-1,1,1,-1,-1,1,1
548,1,1,-1,-1,1,1,-1,-1,1
552,1,-1,1,1,-1,-1,1,-1,1
553,-1,-1,1,1,-1,-1,1,1,1
556,1,1,-1,-1,1,1,-1,-1,1
563,-1,1,-1,-1,1,1,-1,1,1
564,-1,1,-1,-1,1,1,-1,-1,1
566,1,-1,1,1,-1,-1,1,1,1
571,-1,-1,1,1,-1,-1,1,-1,1
575,-1,1,1,1,-1,-1,1,-1,1
576,-1,-1,-1,-1,1,1,-1,1,1
579,-1,1,1,1,-1,-1,1,-1,1
581,1,-1,1,1,-1,-1,1,-1,1
583,-1,1,-1,-1,1,1,-1,-1,1
584,-1,-1,1,1,-1,-1,1,-1,1
589,-1,-1,1,1,-1,-1,1,-1,1
594,1,1,-1,-1,1,1,-1,-1,1
596,-1,1,-1,-1,1,1,-1,1,1
597,-1,1,-1,-1,1,1,-1,1,1
600,1,-1,1,1,-1,-1,1,-1,1
601,-1,-1,1,1,-1,-1,1,1,1
602,-1,-1,1,1,-1,-1,1,1,1
604,-1,1,-1,-1,1,1,-1,-1,1
605,-1,1,-1,-1,1,1,-1,-1,1
610,1,-1,1,1,-1,-1,1,1,1
614,1,1,-1,-1,1,1,-1,-1,1
617,-1,-1,1,1,-1,-1,1,-1,1
619,-1,1,-1,1,-1,-1,1,-1,1
627,-1,-1,-1,1,1,1,-1,1,1
629,1,-1,1,1,-1,-1,1,-1,1
631,-1,1,-1,-1,1,1,-1,-1,1
636,-1,-1,1,1,-1,1,1,1,1
637,-1,-1,1,1,-1,1,1,1,1
641,1,-1,1,1,-1,1,1,-1,1
642,-1,1,1,1,-1,-1,1,-1,1
644,1,-1,1,1,-1,-1,1,-1,1
645,1,-1,1,1,-1,-1,1,-1,1
646,-1,1,-1,-1,1,1,-1,1,1
650,-1,-1,1,1,-1,-1,1,-1,1
654,1,-1,1,1,-1,-1,1,-1,1
655,-1,1,-1,-1,1,1,-1,1,1
656,1,1,-1,-1,1,1,-1,-1,1
662,-1,-1,1,1,-1,-1,1,1,1
663,-1,-1,1,1,-1,-1,1,1,1
664,1,1,-1,1,-1,1,1,-1,1
665,-1,-1,1,1,-1,-1,1,-1,1
666,-1,1,-1,-1,1,1,-1,1,1
667,-1,-1,1,1,-1,-1,1,-1,1
672,-1,1,-1,-1,1,1,-1,-1,1
675,1,-1,1,1,-1,-1,1,1,1
681,1,-1,-1,-1,1,1,-1,-1,1
683,1,1,1,1,-1,-1,1,1,1
684,1,1,-1,-1,-1,1,1,-1,1
687,-1,1,-1,-1,1,1,-1,1,1
688,-1,1,-1,-1,1,1,-1,1,1
689,1,1,-1,-1,1,1,-1,1,1
692,-1,-1,1,1,-1,1,1,-1,1
694,-1,1,-1,-1,1,1,-1,1,1
695,-1,1,-1,-1,1,1,-1,-1,1
696,-1,-1,1,1,-1,1,1,-1,1
697,-1,-1,1,1,-1,-1,1,1,1
700,-1,1,-1,-1,1,1,-1,-1,1
701,1,1,-1,-1,1,1,1,1,1
707,1,1,-1,-1,1,1,-1,-1,1
708,-1,-1,1,1,-1,1,1,1,1
711,1,-1,1,1,-1,-1,1,1,1
716,-1,-1,1,1,-1,-1,1,-1,1
718,1,1,-1,-1,1,1,-1,-1,1
719,1,-1,1,1,-1,-1,1,1,1
721,-1,-1,1,1,-1,-1,1,1,1
723,-1,-1,1,1,-1,-1,1,-1,1
728,-1,-1,1,1,-1,-1,1,1,1
729,-1,-1,1,1,-1,-1,1,-1,1
730,1,1,1,1,-1,1,1,1,1
733,1,1,-1,-1,1,1,-1,-1,1
734,-1,-1,1,1,-1,-1,1,1,1
736,-1,1,-1,-1,1,1,-1,1,1
737,1,1,-1,-1,1,1,1,-1,1
739,1,1,-1,-1,1,1,-1,-1,1
740,-1,-1,1,1,-1,-1,1,-1,1
746,1,1,-1,-1,1,1,-1,-1,1
751,1,1,1,-1,1,1,-1,-1,1
754,-1,1,-1,-1,1,1,-1,1,1
755,1,1,-1,-1,-1,1,1,-1,1
757,-1,1,-1,-1,1,1,-1,1,1
762,-1,1,-1,-1,1,1,-1,-1,1
765,1,1,-1,-1,1,1,1,-1,1
766,1,1,-1,-1,1,1,-1,-1,1
767,-1,1,-1,-1,1,1,-1,-1,1
768,-1,-1,1,1,-1,-1,1,1,1
769,-1,-1,1,1,-1,-1,1,1,1
772,-1,-1,1,1,-1,-1,1,-1,1
773,1,-1,1,1,-1,-1,1,1,1
774,-1,-1,1,1,-1,-1,1,1,1
775,-1,-1,1,1,-1,1,1,-1,1
777,-1,-1,1,1,-1,-1,1,-1,1
778,1,-1,1,1,-1,-1,1,-1,1
780,1,-1,1,1,-1,-1,1,1,1
781,1,-1,1,1,-1,-1,1,1,1
788,1,1,-1,-1,1,1,-1,-1,1
789,-1,1,1,1,-1,-1,1,-1,1
790,-1,1,-1,-1,1,1,-1,-1,1
796,-1,1,-1,-1,1,1,-1,-1,1
799,1,-1,1,1,-1,-1,1,1,1
800,-1,-1,-1,-1,1,1,-1,1,1
802,-1,1,1,1,-1,-1,1,1,1
804,-1,-1,1,1,-1,-1,1,1,1
805,1,-1,1,1,-1,1,1,-1,1
806,1,1,-1,-1,1,1,-1,-1,1
808,-1,1,-1,-1,1,1,-1,1,1
809,1,-1,1,1,-1,-1,1,1,1
811,-1,1,-1,-1,1,1,-1,1,1
812,1,1,-1,-1,1,1,-1,-1,1
815,1,-1,1,1,-1,-1,1,1,1
816,-1,-1,1,1,-1,-1,1,1,1
821,-1,-1,1,1,-1,-1,1,1,1
828,-1,1,1,1,-1,-1,1,-1,1
830,-1,-1,1,1,-1,-1,1,-1,1
832,-1,1,-1,-1,1,1,-1,1,1
833,1,-1,1,1,-1,-1,1,1,1
834,1,-1,1,1,-1,-1,1,1,1
835,1,1,-1,-1,1,1,-1,-1,1
837,1,1,-1,-1,1,1,-1,-1,1
850,-1,1,-1,-1,1,1,-1,1,1
851,1,-1,1,1,-1,-1,1,1,1
852,-1,-1,1,1,-1,1,1,1,1
853,1,-1,1,1,1,1,-1,1,1
858,-1,1,1,1,-1,-1,1,-1,1
859,-1,-1,1,1,-1,-1,1,1,1
861,1,1,-1,-1,1,1,-1,1,1
862,-1,1,-1,-1,1,1,-1,1,1
866,-1,-1,1,1,-1,-1,1,1,1
867,-1,-1,1,1,-1,-1,1,1,1
871,1,-1,1,1,-1,-1,1,1,1
873,-1,-1,-1,-1,1,1,-1,1,1
876,-1,1,-1,1,-1,-1,1,-1,1
877,1,1,-1,-1,1,1,-1,-1,1
880,-1,-1,1,1,-1,-1,1,-1,1
881,-1,1,1,1,-1,-1,1,-1,1
889,1,-1,1,1,-1,1,1,-1,1
890,-1,-1,1,1,-1,-1,1,-1,1
893,-1,-1,-1,-1,1,1,-1,1,1
897,1,1,-1,-1,1,1,-1,-1,1
898,-1,-1,1,1,-1,-1,1,1,1
899,-1,1,-1,-1,1,1,-1,-1,1
900,-1,-1,1,1,-1,-1,1,-1,1
901,1,-1,1,1,-1,-1,1,1,1
905,-1,1,-1,-1,1,1,-1,1,1
906,1,1,1,1,-1,-1,1,1,1
909,1,-1,1,1,-1,-1,1,1,1
911,-1,1,-1,-1,1,1,-1,-1,1
912,-1,-1,1,1,-1,-1,1,1,1
914,-1,-1,1,1,-1,-1,1,1,1
916,-1,-1,1,1,-1,-1,1,-1,1
918,-1,-1,1,1,-1,-1,1,1,1
923,1,1,-1,-1,1,1,-1,1,1
924,-1,1,-1,1,1,1,-1,-1,1
926,1,-1,1,1,-1,-1,1,1,1
927,-1,-1,1,1,-1,-1,1,-1,1
928,1,-1,1,1,-1,-1,1,-1,1
929,1,-1,1,1,-1,-1,1,1,1
932,1,-1,1,1,-1,-1,1,1,1
935,1,1,1,1,-1,-1,1,-1,1
937,-1,-1,1,1,-1,-1,1,1,1
940,1,-1,1,1,-1,1,1,-1,1
942,1,1,-1,-1,1,1,-1,-1,1
943,1,-1,1,1,-1,-1,1,-1,1
944,-1,-1,1,1,-1,-1,1,-1,1
949,1,1,-1,-1,1,1,-1,1,1
951,-1,-1,1,1,-1,-1,1,1,1
952,1,1,-1,1,1,1,-1,1,1
954,1,-1,1,1,-1,-1,1,1,1
959,-1,1,-1,-1,1,1,-1,-1,1
961,-1,-1,1,1,-1,-1,1,-1,1
964,-1,1,-1,-1,1,1,-1,1,1
973,-1,-1,1,1,-1,-1,1,-1,1
976,1,1,-1,-1,1,1,-1,1,1
977,1,1,1,1,-1,-1,1,-1,1
978,-1,1,-1,-1,1,1,-1,-1,1
979,-1,-1,1,1,-1,-1,1,1,1
981,1,1,1,1,-1,1,1,-1,1
983,1,-1,-1,-1,1,1,-1,1,1
987,1,1,-1,-1,1,1,-1,1,1
989,1,1,-1,-1,1,1,-1,-1,1
992,1,-1,-1,-1,1,1,-1,1,1
997,-1,1,-1,-1,1,1,-1,-1,1
998,1,-1,1,1,-1,-1,1,1,1
999,-1,-1,-1,-1,1,1,-1,1,1
1003,-1,1,-1,-1,1,1,-1,1,1
1005,1,-1,1,1,-1,-1,1,1,1
1007,1,1,-1,-1,1,1,-1,-1,1
