ParameterIndex,X,SNAIL,miR34,miR200,ZEB,KEAP1,Ecadherin,NRF2,Weight
5238,-1,-1,1,1,-1,-1,1,-1,1
5241,-1,1,-1,-1,1,1,-1,-1,1
5245,1,-1,1,1,-1,-1,1,1,1
5247,-1,1,1,1,-1,-1,1,1,1
5250,-1,1,-1,-1,1,1,-1,1,1
5252,1,1,-1,-1,1,1,-1,1,1
5256,1,-1,1,1,-1,-1,1,1,1
5258,1,-1,1,1,-1,-1,1,1,1
5260,1,1,1,1,-1,1,1,-1,1
5261,-1,1,-1,-1,1,1,-1,-1,1
5262,-1,1,-1,-1,1,1,-1,1,1
5264,1,-1,1,1,-1,-1,1,1,1
5266,1,-1,1,1,-1,-1,1,-1,1
5268,1,1,-1,-1,1,1,-1,-1,1
5270,1,1,-1,-1,1,1,-1,1,1
5272,-1,1,1,1,-1,-1,1,1,1
5274,1,-1,1,1,-1,-1,1,1,1
5281,-1,1,1,1,-1,1,1,-1,1
5282,-1,1,-1,-1,1,1,-1,-1,1
5284,1,1,-1,-1,1,1,1,1,1
5293,-1,1,-1,-1,1,1,-1,1,1
5294,-1,-1,1,1,-1,-1,1,1,1
5297,-1,-1,1,1,-1,-1,1,1,1
5299,-1,1,-1,-1,1,1,-1,1,1
5300,1,-1,1,1,-1,-1,1,-1,1
5304,-1,-1,1,1,-1,1,1,1,1
5309,-1,1,-1,-1,1,1,-1,1,1
5313,-1,-1,1,1,-1,-1,1,1,1
5317,-1,-1,-1,-1,1,1,-1,1,1
5319,1,1,-1,-1,1,1,-1,-1,1
5321,-1,1,-1,-1,1,1,-1,1,1
5322,1,1,-1,-1,1,1,-1,-1,1
5324,-1,1,-1,-1,1,1,-1,-1,1
5329,-1,1,-1,-1,1,1,-1,1,1
5330,-1,-1,-1,-1,1,1,-1,1,1
5331,1,1,-1,1,-1,-1,1,1,1
5334,1,1,-1,-1,1,1,-1,-1,1
5337,-1,1,-1,-1,-1,1,1,1,1
5339,1,-1,1,1,-1,-1,1,1,1
5342,1,-1,1,1,-1,-1,1,1,1
5344,-1,-1,1,1,-1,-1,1,-1,1
5345,1,-1,1,-1,-1,1,1,-1,1
5346,1,1,-1,-1,1,1,1,-1,1
5351,-1,1,1,1,-1,-1,1,1,1
5352,-1,-1,1,1,-1,1,1,1,1
5353,1,1,-1,-1,1,1,-1,-1,1
5355,1,-1,1,-1,-1,-1,1,-1,1
5356,1,1,-1,-1,1,1,-1,1,1
5357,-1,-1,1,1,-1,-1,1,-1,1
5358,-1,1,-1,-1,1,1,-1,-1,1
5361,-1,-1,1,1,-1,-1,1,-1,1
5362,-1,-1,1,1,-1,-1,1,1,1
5364,1,1,1,1,-1,-1,1,-1,1
5366,-1,1,-1,-1,1,1,-1,-1,1
5370,1,-1,1,1,-1,1,1,1,1
5373,-1,-1,1,1,-1,-1,1,1,1
5374,-1,-1,-1,-1,1,1,-1,1,1
5376,1,1,-1,-1,1,1,-1,1,1
5379,-1,1,-1,-1,1,1,-1,1,1
5383,-1,-1,1,-1,1,1,1,1,1
5388,1,1,-1,-1,1,1,-1,1,1
5390,-1,1,-1,-1,1,1,-1,-1,1
5392,-1,1,-1,1,1,-1,1,1,1
5393,1,1,-1,-1,1,1,-1,1,1
5394,1,-1,1,1,-1,-1,1,1,1
5396,-1,1,1,1,-1,-1,1,-1,1
5397,1,1,-1,-1,1,1,-1,-1,1
5403,1,-1,1,1,-1,-1,1,1,1
5406,1,1,-1,-1,1,1,-1,-1,1
5411,1,1,1,1,-1,1,1,-1,1
5412,-1,-1,1,1,-1,-1,1,-1,1
5417,-1,1,-1,1,-1,-1,1,1,1
5421,1,1,1,-1,1,1,-1,1,1
5423,-1,1,-1,-1,1,1,-1,-1,1
5425,-1,-1,-1,1,-1,-1,1,-1,1
5426,1,1,-1,-1,1,1,-1,-1,1
5429,-1,1,-1,-1,1,1,-1,-1,1
5430,1,-1,1,1,-1,-1,1,-1,1
5431,1,1,-1,-1,1,1,-1,1,1
5432,-1,-1,1,1,-1,-1,1,1,1
5434,-1,-1,-1,-1,1,1,-1,1,1
5439,-1,-1,1,1,-1,-1,1,1,1
5441,-1,-1,1,1,-1,1,1,-1,1
5442,-1,1,-1,1,1,1,-1,-1,1
5444,-1,1,-1,-1,1,1,-1,1,1
5445,1,1,1,1,-1,-1,1,-1,1
5449,-1,-1,1,1,-1,1,1,-1,1
5458,-1,1,-1,-1,1,1,-1,-1,1
5461,-1,-1,1,1,-1,-1,1,-1,1
5462,1,-1,1,1,-1,-1,1,-1,1
5466,-1,-1,1,1,-1,-1,1,1,1
5468,-1,1,-1,-1,1,1,-1,-1,1
5469,1,1,-1,-1,1,1,-1,-1,1
5475,1,1,-1,1,-1,1,1,-1,1
5476,-1,-1,1,1,-1,-1,1,-1,1
5479,1,-1,1,-1,1,1,-1,1,1
5480,1,-1,1,1,-1,-1,1,-1,1
5483,-1,-1,1,1,-1,-1,1,1,1
5485,1,-1,1,1,-1,-1,1,-1,1
5488,1,1,-1,-1,1,1,-1,-1,1
5490,-1,1,-1,-1,1,1,-1,-1,1
5491,1,-1,1,1,-1,1,1,-1,1
5495,1,-1,1,1,-1,-1,1,1,1
5503,-1,-1,1,1,-1,-1,1,1,1
5505,1,-1,1,1,-1,1,1,1,1
5506,-1,1,-1,1,-1,-1,1,1,1
5508,1,1,-1,-1,1,1,1,-1,1
5510,-1,1,-1,-1,1,1,-1,1,1
5515,1,-1,1,1,-1,1,1,1,1
5519,-1,-1,1,1,-1,-1,1,-1,1
5523,-1,-1,1,1,-1,-1,1,1,1
5527,-1,1,-1,-1,1,1,-1,1,1
5528,-1,-1,1,1,-1,-1,1,-1,1
5529,-1,-1,1,1,-1,-1,1,1,1
5530,-1,1,-1,-1,1,1,-1,-1,1
5537,1,1,-1,-1,1,1,-1,1,1
5538,1,-1,1,1,-1,-1,1,-1,1
5539,1,1,-1,-1,1,1,-1,1,1
5540,-1,-1,1,1,-1,-1,1,1,1
5545,1,1,1,1,-1,-1,1,-1,1
5547,-1,-1,1,1,-1,-1,1,-1,1
5548,1,-1,1,1,-1,-1,1,-1,1
5549,1,1,-1,-1,1,1,-1,1,1
5550,-1,1,-1,-1,1,1,-1,1,1
5552,-1,-1,1,1,-1,-1,1,1,1
5556,-1,1,-1,-1,1,1,-1,-1,1
5557,1,-1,1,1,-1,-1,1,-1,1
5559,1,-1,1,1,-1,-1,1,1,1
5560,1,-1,1,1,-1,-1,1,1,1
5564,1,-1,-1,-1,1,1,-1,1,1
5565,1,1,1,-1,-1,1,1,-1,1
5567,-1,-1,1,1,-1,-1,1,1,1
5568,-1,1,-1,1,-1,1,1,-1,1
5569,-1,1,1,-1,1,1,-1,1,1
5570,1,-1,1,1,-1,-1,1,1,1
5572,-1,-1,1,1,-1,1,1,1,1
5573,-1,1,-1,-1,1,1,-1,-1,1
5576,1,1,-1,-1,1,1,-1,1,1
5578,1,1,-1,-1,1,1,-1,-1,1
5581,1,1,-1,-1,1,1,-1,1,1
5582,1,1,-1,-1,1,1,-1,1,1
5586,-1,1,-1,-1,1,1,-1,-1,1
5588,1,-1,1,1,-1,-1,1,1,1
5589,-1,1,-1,-1,1,1,-1,-1,1
5592,-1,1,1,1,-1,1,1,-1,1
5596,-1,-1,1,1,-1,-1,1,1,1
5597,-1,-1,1,1,-1,-1,1,1,1
5603,-1,-1,1,1,-1,-1,1,1,1
5604,-1,1,1,1,-1,-1,1,1,1
5605,-1,-1,-1,1,1,-1,-1,1,1
5607,1,1,1,1,-1,1,1,-1,1
5608,1,-1,1,1,-1,1,1,-1,1
5610,1,1,-1,-1,1,1,-1,1,1
5619,-1,-1,1,-1,1,1,-1,-1,1
5621,1,1,-1,-1,1,1,-1,-1,1
5624,-1,1,-1,-1,1,1,-1,-1,1
5628,1,-1,1,1,-1,-1,1,1,1
5629,-1,-1,1,1,-1,-1,1,-1,1
5630,1,1,-1,1,-1,1,1,-1,1
5632,-1,-1,1,1,-1,-1,1,-1,1
5635,1,1,-1,-1,1,1,-1,1,1
5636,1,1,-1,-1,1,1,-1,1,1
5640,1,1,-1,-1,1,1,-1,1,1
5647,1,1,1,1,-1,-1,1,-1,1
5648,1,1,1,1,-1,-1,1,1,1
5654,1,-1,1,1,-1,-1,1,1,1
5656,-1,-1,-1,1,1,-1,-1,1,1
5660,-1,1,1,1,-1,-1,1,1,1
5661,1,1,-1,-1,1,1,-1,-1,1
5662,1,-1,1,1,-1,-1,1,-1,1
5666,1,-1,1,1,-1,-1,1,-1,1
5670,-1,1,1,1,-1,-1,1,-1,1
5677,1,1,-1,-1,1,1,-1,1,1
5680,-1,-1,1,1,-1,-1,1,1,1
5682,-1,1,-1,-1,1,1,-1,-1,1
5688,-1,-1,1,1,-1,-1,1,-1,1
5696,-1,1,-1,-1,1,1,-1,-1,1
5699,1,1,1,1,-1,-1,1,1,1
5700,-1,1,-1,1,-1,1,1,-1,1
5701,1,-1,1,1,-1,-1,1,1,1
5703,-1,-1,1,1,-1,-1,1,1,1
5704,1,-1,1,1,-1,-1,1,1,1
5710,1,-1,1,1,-1,-1,1,1,1
5713,-1,-1,-1,-1,1,1,-1,-1,1
5719,1,1,-1,-1,1,1,-1,-1,1
5723,1,-1,1,1,-1,-1,1,1,1
5726,-1,-1,1,1,-1,-1,1,1,1
5729,1,-1,1,1,-1,-1,1,1,1
5738,1,-1,1,1,-1,-1,1,1,1
5739,1,-1,1,1,-1,-1,1,1,1
5740,1,1,-1,1,-1,-1,1,1,1
5741,1,-1,1,1,-1,-1,1,-1,1
5743,1,-1,1,1,-1,-1,1,-1,1
5744,1,-1,1,1,-1,-1,1,1,1
5746,1,1,-1,-1,1,1,-1,-1,1
5749,1,1,-1,-1,1,1,1,-1,1
5750,1,-1,1,1,-1,-1,1,1,1
5753,-1,1,1,1,-1,-1,1,1,1
5755,1,1,1,-1,-1,1,1,1,1
5756,-1,-1,1,1,-1,-1,1,-1,1
5757,-1,-1,1,1,-1,-1,1,-1,1
5759,1,-1,1,-1,1,-1,-1,1,1
5761,-1,1,-1,-1,1,1,-1,-1,1
5764,-1,1,-1,-1,1,1,-1,-1,1
5765,1,-1,1,1,-1,1,1,1,1
5766,-1,-1,1,1,-1,-1,1,-1,1
5768,-1,1,-1,-1,1,1,-1,-1,1
5769,1,-1,1,1,-1,-1,1,-1,1
5777,-1,1,-1,-1,1,1,-1,-1,1
5780,-1,1,-1,-1,1,1,-1,-1,1
5783,1,-1,-1,-1,1,1,-1,1,1
5784,1,1,-1,-1,1,1,-1,1,1
5785,-1,-1,1,1,-1,-1,1,1,1
5787,1,-1,1,-1,1,1,-1,-1,1
5789,-1,1,-1,-1,1,1,-1,-1,1
5791,1,1,-1,-1,1,1,-1,-1,1
5796,1,-1,1,1,-1,-1,1,-1,1
5797,1,-1,1,1,-1,-1,1,1,1
5800,1,-1,1,1,-1,-1,1,-1,1
5802,-1,-1,1,1,-1,-1,1,-1,1
5803,-1,1,1,1,-1,-1,1,1,1
5807,-1,-1,1,1,-1,-1,1,1,1
5814,-1,1,-1,-1,1,1,-1,-1,1
5815,1,1,-1,-1,1,1,-1,1,1
5819,-1,-1,1,1,-1,-1,1,-1,1
5821,-1,-1,1,1,-1,-1,1,1,1
5828,-1,-1,1,-1,1,1,-1,-1,1
5830,1,1,1,1,-1,-1,1,-1,1
5831,1,-1,1,1,-1,-1,1,1,1
5833,-1,-1,1,1,-1,-1,1,-1,1
5836,1,1,-1,-1,1,1,-1,1,1
5839,-1,-1,1,1,-1,-1,1,-1,1
5842,1,-1,1,1,-1,-1,1,-1,1
5843,-1,-1,1,1,-1,-1,1,-1,1
5845,1,1,1,1,-1,-1,1,-1,1
5848,-1,1,-1,1,-1,1,1,-1,1
5851,-1,-1,1,1,-1,-1,1,1,1
5855,1,1,-1,-1,1,1,1,1,1
5856,-1,1,-1,-1,1,1,-1,1,1
5858,-1,1,1,-1,1,1,-1,1,1
5860,1,1,-1,-1,1,1,-1,1,1
5869,-1,1,-1,-1,1,1,-1,-1,1
5870,-1,-1,1,1,-1,-1,1,1,1
5871,1,-1,1,1,-1,1,1,1,1
5874,1,1,-1,-1,1,1,-1,-1,1
5876,1,-1,1,1,-1,-1,1,1,1
5881,1,1,-1,-1,1,1,-1,-1,1
5883,-1,-1,1,1,-1,-1,1,1,1
5885,-1,1,1,1,-1,-1,1,-1,1
5892,1,1,-1,-1,1,1,-1,-1,1
5895,1,-1,1,1,-1,-1,1,1,1
5905,-1,1,-1,-1,1,1,-1,1,1
5909,-1,1,-1,1,1,1,-1,-1,1
5913,1,1,-1,1,-1,-1,1,-1,1
5914,1,-1,1,1,-1,-1,1,-1,1
5917,1,-1,1,1,-1,-1,1,-1,1
5918,1,-1,1,1,-1,-1,1,1,1
5919,1,1,1,1,-1,-1,1,-1,1
5921,-1,1,-1,-1,1,1,-1,1,1
5925,-1,-1,1,1,-1,-1,1,1,1
5926,1,-1,1,1,-1,-1,1,1,1
5931,-1,-1,1,1,-1,-1,1,1,1
5936,-1,-1,1,1,-1,-1,1,1,1
5937,1,-1,1,1,-1,-1,1,1,1
5942,-1,-1,1,1,-1,-1,1,-1,1
5944,-1,1,-1,-1,1,1,-1,-1,1
5948,1,1,-1,-1,1,1,-1,1,1
5949,1,-1,1,1,-1,-1,1,1,1
5950,-1,-1,1,1,-1,-1,1,-1,1
5953,1,1,-1,-1,-1,1,1,-1,1
5956,1,-1,1,1,-1,-1,1,-1,1
5957,-1,-1,1,1,-1,-1,1,1,1
5958,1,-1,1,1,-1,-1,1,-1,1
5960,1,-1,1,1,-1,-1,1,-1,1
5961,-1,1,-1,-1,-1,1,1,-1,1
5964,-1,1,-1,-1,1,1,-1,-1,1
5975,1,-1,1,1,-1,1,1,1,1
5978,1,-1,1,1,-1,-1,1,1,1
5981,1,-1,1,1,-1,-1,1,-1,1
5983,-1,1,-1,-1,1,1,-1,1,1
5985,1,-1,1,1,-1,-1,1,1,1
5986,1,1,1,1,-1,-1,1,-1,1
5991,1,1,-1,-1,1,1,-1,-1,1
5992,-1,1,-1,-1,1,1,-1,1,1
5996,1,1,-1,-1,1,1,-1,-1,1
6001,1,1,-1,-1,1,1,-1,-1,1
6003,1,1,-1,-1,1,1,1,1,1
6006,1,1,1,1,-1,1,1,-1,1
6008,-1,1,-1,-1,1,1,-1,1,1
6009,-1,1,1,1,-1,-1,1,-1,1
6010,1,-1,1,1,-1,-1,1,1,1
6013,1,-1,1,1,-1,-1,1,1,1
6015,1,-1,1,1,-1,-1,1,1,1
6025,1,-1,-1,1,-1,-1,1,1,1
6026,1,1,-1,-1,1,1,-1,-1,1
6029,1,-1,1,1,-1,-1,1,-1,1
6034,-1,-1,1,1,-1,-1,1,-1,1
6035,-1,1,-1,-1,1,1,-1,1,1
6036,-1,1,-1,-1,1,1,-1,-1,1
6041,1,-1,1,1,-1,-1,1,1,1
6043,1,1,-1,-1,1,1,-1,-1,1
6049,1,-1,1,1,-1,-1,1,1,1
6051,1,1,-1,-1,1,-1,1,-1,1
6055,1,1,-1,-1,1,1,-1,-1,1
6058,-1,-1,1,1,-1,-1,1,-1,1
6065,1,-1,1,1,-1,-1,1,-1,1
6066,-1,-1,1,1,-1,-1,1,-1,1
6067,1,1,-1,-1,1,1,-1,-1,1
6068,-1,1,1,1,-1,-1,1,1,1
6070,-1,1,-1,-1,1,1,-1,-1,1
6071,1,1,1,1,-1,-1,1,-1,1
6072,-1,1,-1,-1,1,1,-1,-1,1
6073,-1,1,-1,-1,1,1,-1,-1,1
6075,-1,1,-1,-1,1,1,-1,1,1
6076,-1,-1,1,1,-1,-1,1,-1,1
6080,-1,1,-1,-1,1,1,-1,-1,1
6081,1,-1,1,1,-1,-1,1,1,1
6082,1,-1,1,1,-1,-1,1,1,1
6084,1,1,-1,-1,1,1,-1,1,1
6085,-1,1,1,1,-1,-1,1,-1,1
6086,-1,-1,-1,-1,1,1,-1,1,1
6090,-1,-1,1,1,-1,-1,1,1,1
6095,1,1,-1,-1,1,1,-1,-1,1
6096,-1,-1,1,1,-1,-1,1,1,1
6097,1,-1,1,1,-1,-1,1,-1,1
6098,1,-1,1,1,-1,-1,1,1,1
6099,1,-1,1,1,-1,-1,1,1,1
6101,1,1,-1,-1,1,1,-1,1,1
6105,1,1,-1,-1,1,1,-1,1,1
6107,1,1,1,1,-1,-1,1,-1,1
6110,-1,1,1,1,-1,-1,1,1,1
6117,1,-1,1,1,-1,-1,1,-1,1
6118,1,-1,1,1,-1,-1,1,1,1
6120,-1,-1,1,1,-1,-1,1,1,1
6123,-1,1,-1,-1,1,1,-1,-1,1
6125,1,-1,1,1,-1,1,1,-1,1
6135,1,-1,1,1,-1,-1,1,-1,1
6141,1,-1,1,1,-1,-1,1,1,1
6143,1,-1,1,1,-1,-1,1,-1,1
6144,1,1,-1,-1,1,1,-1,1,1
6147,1,-1,1,1,-1,1,1,-1,1
6154,-1,-1,1,1,-1,-1,1,-1,1
6155,-1,-1,1,1,-1,-1,1,1,1
6156,1,-1,1,1,-1,-1,1,1,1
6157,-1,-1,1,1,-1,1,1,-1,1
6161,1,-1,1,1,-1,-1,1,-1,1
6162,-1,1,-1,-1,-1,1,1,1,1
6164,-1,1,-1,-1,1,1,-1,1,1
6166,-1,1,-1,-1,1,1,-1,1,1
6167,-1,-1,1,1,-1,-1,1,1,1
6173,-1,-1,-1,-1,1,1,-1,1,1
6174,-1,-1,1,1,-1,-1,1,1,1
6175,-1,-1,-1,-1,1,1,-1,1,1
6179,1,1,-1,-1,1,1,-1,-1,1
6180,1,1,-1,1,-1,1,1,1,1
6192,-1,1,1,1,-1,-1,1,-1,1
6194,-1,-1,1,1,-1,1,1,1,1
6197,1,1,-1,-1,1,1,1,-1,1
6198,-1,-1,1,1,-1,-1,1,1,1
6199,1,1,-1,-1,1,1,-1,-1,1
6200,-1,1,-1,-1,1,1,-1,1,1
6202,-1,-1,1,1,-1,-1,1,-1,1
6204,-1,-1,1,1,-1,-1,1,1,1
6205,-1,1,1,1,-1,-1,1,-1,1
6207,1,1,-1,-1,1,1,-1,1,1
6211,-1,-1,1,1,-1,-1,1,-1,1
6212,-1,-1,1,1,-1,1,1,-1,1
6216,-1,-1,1,1,-1,-1,1,1,1
6223,1,-1,1,1,-1,-1,1,1,1
6229,-1,-1,1,1,1,1,-1,1,1
6232,1,1,-1,-1,1,1,-1,1,1
6233,1,1,-1,-1,1,1,-1,-1,1
6240,1,-1,1,1,-1,-1,1,1,1
6243,-1,-1,1,1,-1,-1,1,1,1
6244,-1,-1,1,1,-1,-1,1,1,1
6249,1,1,-1,-1,1,1,-1,1,1
6251,1,-1,1,1,-1,-1,1,-1,1
6254,1,1,-1,-1,1,1,-1,-1,1
6255,-1,1,-1,-1,1,1,-1,1,1
6257,1,1,-1,-1,1,1,-1,-1,1
6263,-1,-1,1,1,-1,-1,1,1,1
6266,-1,1,-1,-1,1,1,-1,-1,1
6268,1,-1,1,1,-1,-1,1,-1,1
6271,1,1,-1,-1,1,1,-1,1,1
6272,-1,1,1,1,-1,-1,1,-1,1
6273,-1,-1,1,1,-1,-1,1,1,1
6274,1,-1,1,1,-1,-1,1,1,1
6275,-1,-1,1,-1,-1,-1,1,-1,1
6280,-1,1,-1,-1,1,1,-1,1,1
6281,1,-1,1,1,-1,-1,1,-1,1
6293,-1,-1,1,1,-1,-1,1,1,1
6299,1,-1,1,1,-1,-1,1,-1,1
6301,-1,-1,1,1,-1,-1,1,-1,1
6302,-1,-1,1,1,-1,-1,1,1,1
6303,1,-1,1,1,-1,-1,1,-1,1
6305,-1,-1,1,1,-1,-1,1,1,1
6306,1,1,-1,-1,1,1,-1,-1,1
6307,-1,1,-1,-1,1,1,-1,-1,1
6308,-1,1,-1,-1,1,1,-1,-1,1
6309,1,-1,1,1,-1,-1,1,-1,1
6317,1,-1,-1,-1,1,1,-1,1,1
6318,1,-1,1,1,-1,-1,1,1,1
6320,-1,1,-1,-1,1,1,-1,-1,1
6321,-1,-1,1,1,-1,-1,1,1,1
6322,1,1,-1,-1,-1,1,1,-1,1
6323,-1,1,-1,-1,1,1,-1,1,1
6325,1,1,-1,-1,1,-1,-1,1,1
6326,1,1,-1,-1,1,1,-1,-1,1
6331,-1,1,-1,-1,1,1,-1,1,1
6333,-1,1,-1,-1,1,1,-1,1,1
6334,-1,1,1,1,-1,-1,1,-1,1
6336,1,-1,1,1,-1,-1,1,1,1
6337,-1,-1,1,1,-1,-1,1,1,1
6341,1,-1,1,1,-1,-1,1,1,1
6343,-1,-1,1,1,-1,-1,1,1,1
6346,-1,-1,1,1,-1,-1,1,1,1
6347,-1,1,-1,1,-1,1,1,-1,1
6348,1,1,-1,-1,1,1,-1,1,1
6354,-1,-1,1,1,-1,-1,1,1,1
6358,-1,1,1,1,1,-1,1,-1,1
6359,-1,-1,1,1,-1,-1,1,-1,1
6361,-1,1,1,-1,-1,1,1,1,1
6362,1,-1,1,1,-1,-1,1,1,1
6363,1,1,-1,-1,1,1,-1,-1,1
6371,-1,1,-1,1,-1,-1,1,-1,1
6373,1,-1,1,1,-1,-1,1,-1,1
6374,1,-1,1,1,-1,-1,1,-1,1
6375,1,1,-1,-1,1,1,-1,-1,1
6376,-1,-1,-1,-1,1,1,-1,1,1
6378,-1,-1,1,1,-1,1,1,-1,1
6381,1,-1,1,1,-1,1,1,1,1
6382,-1,1,-1,-1,1,1,-1,1,1
6384,-1,-1,1,1,-1,-1,1,1,1
6386,1,1,-1,-1,1,1,-1,-1,1
6387,1,-1,1,1,-1,-1,1,1,1
6388,1,-1,1,1,-1,-1,1,1,1
6389,-1,1,-1,-1,-1,-1,1,-1,1
6395,-1,-1,1,1,-1,-1,1,-1,1
6396,1,1,-1,-1,1,1,-1,-1,1
6401,-1,1,-1,-1,1,1,-1,-1,1
6403,-1,1,-1,-1,1,1,-1,-1,1
6404,1,-1,1,-1,1,1,-1,1,1
6407,1,-1,-1,-1,1,1,-1,1,1
6416,-1,-1,1,1,-1,-1,1,1,1
6418,1,1,-1,-1,1,1,-1,-1,1
6424,1,-1,1,1,-1,-1,1,-1,1
6425,1,1,-1,-1,1,1,-1,-1,1
6426,-1,-1,1,1,-1,-1,1,1,1
6428,-1,-1,1,1,-1,1,1,1,1
6433,1,1,-1,-1,1,1,-1,-1,1
6438,-1,1,-1,-1,-1,1,1,-1,1
6440,1,1,-1,-1,1,1,-1,-1,1
6442,1,-1,1,1,-1,-1,1,1,1
6445,-1,-1,1,1,-1,-1,1,1,1
6449,1,-1,1,1,-1,1,1,-1,1
6454,1,-1,1,1,-1,-1,1,1,1
6460,1,1,-1,-1,1,1,-1,1,1
6461,-1,1,1,1,-1,1,1,-1,1
6462,-1,1,1,-1,1,1,1,1,1
6464,-1,1,1,1,-1,-1,1,1,1
6466,1,1,-1,-1,-1,1,1,-1,1
6467,1,1,-1,-1,1,1,-1,-1,1
6468,1,-1,1,1,-1,-1,1,-1,1
6469,-1,1,1,1,-1,1,1,1,1
6471,-1,-1,1,1,-1,1,1,1,1
6472,1,1,1,-1,1,1,-1,-1,1
6473,1,1,-1,1,-1,-1,1,-1,1
6479,1,1,1,1,-1,1,1,-1,1
6483,1,1,-1,-1,1,1,-1,-1,1
6488,1,1,-1,-1,1,1,-1,-1,1
6489,-1,1,-1,-1,1,1,-1,-1,1
6491,-1,-1,1,1,-1,-1,1,1,1
6494,-1,1,-1,-1,1,1,-1,-1,1
6498,1,-1,1,1,-1,-1,1,-1,1
6500,1,1,-1,1,1,1,-1,-1,1
6502,1,1,1,1,-1,-1,1,-1,1
6507,-1,-1,1,1,-1,-1,1,-1,1
6511,1,1,-1,-1,1,1,-1,-1,1
6516,-1,-1,1,1,-1,-1,1,-1,1
6521,-1,-1,1,1,-1,-1,1,-1,1
6523,-1,-1,1,1,-1,-1,1,1,1
6524,-1,-1,-1,-1,1,1,-1,1,1
6527,1,-1,1,1,-1,-1,1,1,1
6530,1,1,1,1,-1,-1,1,-1,1
6531,1,-1,1,1,-1,1,1,1,1
6534,1,1,-1,-1,1,1,-1,1,1
6535,1,-1,1,1,-1,-1,1,1,1
6536,1,-1,1,1,-1,-1,1,1,1
6538,1,-1,-1,-1,1,1,-1,1,1
6539,-1,1,-1,1,-1,-1,1,1,1
6541,1,-1,1,1,-1,-1,1,-1,1
6543,1,1,-1,-1,1,1,-1,1,1
6547,1,1,-1,1,-1,1,1,-1,1
6548,-1,1,-1,-1,1,1,-1,1,1
6550,1,1,-1,-1,1,1,-1,-1,1
6551,-1,-1,1,1,-1,-1,1,1,1
6555,-1,-1,1,1,-1,-1,1,-1,1
6557,1,-1,-1,-1,1,1,-1,1,1
6560,1,-1,1,1,-1,1,1,-1,1
6562,-1,-1,1,1,-1,-1,1,1,1
6565,-1,1,-1,-1,1,1,-1,1,1
6566,1,-1,1,1,-1,-1,1,-1,1
6578,-1,-1,1,1,-1,-1,1,1,1
6579,-1,1,-1,-1,1,1,-1,-1,1
6584,1,-1,1,1,-1,-1,1,1,1
6587,1,-1,1,1,-1,-1,1,1,1
6588,1,-1,1,1,-1,-1,1,-1,1
6591,-1,1,-1,-1,1,1,-1,-1,1
6592,1,-1,1,1,-1,1,1,-1,1
6594,1,1,-1,-1,1,1,-1,-1,1
6598,-1,-1,1,1,-1,-1,1,1,1
6605,-1,1,1,1,-1,-1,1,-1,1
6608,1,-1,1,1,-1,1,1,-1,1
6613,-1,-1,1,1,-1,-1,1,1,1
6615,-1,-1,1,1,-1,-1,1,1,1
6618,-1,1,-1,-1,1,1,-1,-1,1
6619,1,1,1,1,-1,1,1,-1,1
6621,-1,1,-1,-1,1,1,-1,-1,1
6625,-1,-1,1,1,-1,-1,1,1,1
6626,1,1,-1,-1,1,1,-1,1,1
6627,-1,-1,1,1,-1,-1,1,-1,1
6628,-1,1,-1,-1,1,1,-1,-1,1
6629,1,-1,1,1,-1,-1,1,1,1
6634,1,-1,-1,-1,1,1,-1,1,1
6635,-1,-1,1,1,-1,-1,1,1,1
6636,-1,1,1,1,-1,-1,1,-1,1
6637,-1,1,-1,-1,1,1,-1,1,1
6638,-1,1,1,1,-1,-1,1,1,1
6639,1,1,-1,-1,1,1,-1,1,1
6641,1,1,-1,-1,1,1,-1,1,1
6642,-1,1,-1,-1,1,1,-1,1,1
6646,-1,1,-1,-1,1,1,-1,-1,1
6648,-1,-1,1,1,-1,-1,1,-1,1
6655,1,-1,1,1,-1,-1,1,-1,1
6658,1,-1,1,1,-1,-1,1,1,1
6659,1,-1,1,1,-1,-1,1,-1,1
6660,1,-1,1,1,-1,-1,1,1,1
6663,1,1,1,1,-1,-1,1,-1,1
6667,1,1,-1,-1,1,1,-1,-1,1
6670,1,1,-1,-1,1,1,1,-1,1
6674,-1,1,-1,-1,1,1,-1,1,1
6676,-1,-1,1,1,-1,-1,1,1,1
6684,-1,-1,1,1,-1,-1,1,1,1
6685,-1,-1,1,1,-1,-1,1,-1,1
6688,-1,-1,1,1,-1,-1,1,1,1
6689,-1,-1,-1,1,-1,-1,1,-1,1
6697,1,-1,1,1,-1,-1,1,-1,1
6702,1,-1,1,1,-1,-1,1,1,1
6705,1,1,-1,-1,1,1,-1,1,1
6712,1,-1,1,1,-1,-1,1,1,1
6715,-1,1,-1,-1,1,1,-1,-1,1
6716,1,-1,1,1,-1,-1,1,-1,1
6719,1,1,-1,-1,1,1,-1,-1,1
6720,-1,-1,1,1,-1,-1,1,-1,1
6725,1,1,-1,-1,1,1,-1,1,1
6729,1,1,1,-1,1,1,1,-1,1
6730,-1,1,-1,-1,1,1,-1,1,1
6739,-1,1,-1,-1,1,1,-1,-1,1
6743,-1,1,-1,-1,1,1,-1,-1,1
6744,-1,1,-1,-1,1,1,-1,-1,1
6751,1,-1,1,1,-1,-1,1,1,1
