CDH1_CDH1_0_1,3112,1
CDH1_CDH1_0_2,3111,2
CDH1_FOXC2_0_1,3111,1987
CDH1_FOXC2_0_2,5097,1
CDH1_GSC_0_1,3111,6393
CDH1_GSC_0_2,9503,1
CDH1_KLF8_0_1,3111,2
CDH1_KLF8_0_2,3112,1
CDH1_miR-101_0_1,7543,1
CDH1_miR-101_0_2,3111,4433
CDH1_miR-141_0_1,8758,1
CDH1_miR-141_0_2,3111,5648
CDH1_miR-200a_0_1,7411,1
CDH1_miR-200a_0_2,3111,4301
CDH1_miR-200b_0_1,6996,1
CDH1_miR-200b_0_2,3111,3886
CDH1_miR-200c_0_1,7411,1
CDH1_miR-200c_0_2,3111,4301
CDH1_miR-205_0_1,7532,1
CDH1_miR-205_0_2,3111,4422
CDH1_miR-30c_0_1,11607,1
CDH1_miR-30c_0_2,3111,8497
CDH1_miR-34a_0_1,10493,1
CDH1_miR-34a_0_2,3111,7383
CDH1_miR-9_0_1,5546,2
CDH1_miR-9_0_2,3112,2436
CDH1_SNAI1_0_1,3111,2952
CDH1_SNAI1_0_2,6062,1
CDH1_SNAI2_0_1,3111,3111
CDH1_SNAI2_0_2,6221,1
CDH1_TCF3_0_1,3111,2
CDH1_TCF3_0_2,3112,1
CDH1_TGF-beta_0_1,3111,1999
CDH1_TGF-beta_0_2,5109,1
CDH1_TWIST1_0_1,3111,3676
CDH1_TWIST1_0_2,6786,1
CDH1_TWIST2_0_1,3111,5385
CDH1_TWIST2_0_2,8495,1
CDH1_VIM_0_1,3111,1
CDH1_VIM_0_2,3111,1
CDH1_ZEB1_0_1,3111,1987
CDH1_ZEB1_0_2,5097,1
CDH1_ZEB2_0_1,3111,2436
CDH1_ZEB2_0_2,5546,1
FOXC2_CDH1_0_1,3111,1
FOXC2_CDH1_0_2,3111,1
FOXC2_FOXC2_0_1,3112,1
FOXC2_FOXC2_0_2,3111,2
FOXC2_GSC_0_1,3930,1
FOXC2_GSC_0_2,3111,820
FOXC2_KLF8_0_1,3111,1
FOXC2_KLF8_0_2,3111,1
FOXC2_miR-101_0_1,3111,1406
FOXC2_miR-101_0_2,4516,1
FOXC2_miR-141_0_1,3111,1201
FOXC2_miR-141_0_2,4311,1
FOXC2_miR-200a_0_1,3111,839
FOXC2_miR-200a_0_2,3949,1
FOXC2_miR-200b_0_1,3111,737
FOXC2_miR-200b_0_2,3847,1
FOXC2_miR-200c_0_1,3111,839
FOXC2_miR-200c_0_2,3949,1
FOXC2_miR-205_0_1,3111,1127
FOXC2_miR-205_0_2,4237,1
FOXC2_miR-30c_0_1,3111,2776
FOXC2_miR-30c_0_2,5886,1
FOXC2_miR-34a_0_1,3111,2574
FOXC2_miR-34a_0_2,5684,1
FOXC2_miR-9_0_1,3111,513
FOXC2_miR-9_0_2,3623,1
FOXC2_SNAI1_0_1,4085,1
FOXC2_SNAI1_0_2,3111,975
FOXC2_SNAI2_0_1,4400,1
FOXC2_SNAI2_0_2,3111,1290
FOXC2_TCF3_0_1,3111,1
FOXC2_TCF3_0_2,3111,1
FOXC2_TGF-beta_0_1,3339,1
FOXC2_TGF-beta_0_2,3111,229
FOXC2_TWIST1_0_1,4091,1
FOXC2_TWIST1_0_2,3111,981
FOXC2_TWIST2_0_1,4823,1
FOXC2_TWIST2_0_2,3111,1713
FOXC2_VIM_0_1,3111,1
FOXC2_VIM_0_2,3111,1
FOXC2_ZEB1_1_0,2497,1
FOXC2_ZEB1_1_2,2497,615
FOXC2_ZEB2_0_1,3623,1
FOXC2_ZEB2_0_2,3111,513
GSC_CDH1_0_1,3111,1
GSC_CDH1_0_2,3111,1
GSC_FOXC2_1_0,2975,1
GSC_FOXC2_1_2,2975,137
GSC_GSC_0_1,3112,1
GSC_GSC_0_2,3111,2
GSC_KLF8_0_1,3111,1
GSC_KLF8_0_2,3111,1
GSC_miR-101_0_1,3111,566
GSC_miR-101_0_2,3676,1
GSC_miR-141_0_1,3111,159
GSC_miR-141_0_2,3269,1
GSC_miR-200a_0_1,3111,105
GSC_miR-200a_0_2,3215,1
GSC_miR-200b_0_1,3111,81
GSC_miR-200b_0_2,3191,1
GSC_miR-200c_0_1,3111,105
GSC_miR-200c_0_2,3215,1
GSC_miR-205_0_1,3111,165
GSC_miR-205_0_2,3275,1
GSC_miR-30c_0_1,3111,1224
GSC_miR-30c_0_2,4334,1
GSC_miR-34a_0_1,3111,1159
GSC_miR-34a_0_2,4269,1
GSC_miR-9_0_1,3111,29
GSC_miR-9_0_2,3139,1
GSC_SNAI1_1_0,2440,1
GSC_SNAI1_1_2,2440,672
GSC_SNAI2_0_1,3635,1
GSC_SNAI2_0_2,3111,525
GSC_TCF3_0_1,3111,1
GSC_TCF3_0_2,3111,1
GSC_TGF-beta_0_1,3112,1
GSC_TGF-beta_0_2,3111,2
GSC_TWIST1_1_0,2375,1
GSC_TWIST1_1_2,2375,737
GSC_TWIST2_0_1,3933,1
GSC_TWIST2_0_2,3111,823
GSC_VIM_0_1,3111,1
GSC_VIM_0_2,3111,1
GSC_ZEB1_1_0,2975,1
GSC_ZEB1_1_2,2975,137
GSC_ZEB2_1_0,3083,1
GSC_ZEB2_1_2,3083,29
KLF8_CDH1_2_0,3111,1
KLF8_CDH1_2_1,3111,1
KLF8_FOXC2_0_1,3502,1
KLF8_FOXC2_0_2,3111,392
KLF8_GSC_0_1,4355,1
KLF8_GSC_0_2,3111,1245
KLF8_KLF8_0_1,3112,1
KLF8_KLF8_0_2,3111,2
KLF8_miR-101_0_1,3111,2
KLF8_miR-101_0_2,3112,1
