"JSD_tag","GRHL2","GRHL2act","NRF2","OCT4","OVOL","OVOLinh","TGFb"
-10,NA,NA,NA,NA,NA,NA,NA
-9,NA,NA,NA,NA,NA,NA,NA
-8,NA,NA,NA,NA,NA,NA,NA
-7,NA,NA,NA,NA,NA,NA,NA
-5,NA,NA,NA,NA,NA,NA,NA
-4,NA,0.333333333333333,0.333333333333333,NA,NA,9.58459057192918e-05,NA
-3,NA,0.00626749909945152,2.79775139320182e-05,5.90339782231716e-12,1.52705773342431e-05,1.1479638609054e-06,NA
-2,8.77139713496775e-05,4.53315862274859e-15,8.90414368705342e-39,2.0836577616561e-24,5.35535179414237e-05,0.757509387652179,NA
-1,0.0576688856224373,NA,8.17490963270224e-70,0.00740094277494369,NA,NA,2.91461274896969e-164
