name,pos_cycle,Total Negative cycles,Frustration Boolean,plast_2,JSD,no signal FrusB,Frustration RACIPE,no signal FrusR
1384269835,9,4,0.2010375,0.6178,0.877502518,0.197541379,0.473693176,0.474558814
1384980993,6,7,0.220440625,0.3695,0.950526388,0.233282759,0.502474566,0.499970623
2286522375,8,5,0.21810625,0.4103,0.864149903,0.214165517,0.503776579,0.515579064
593495968,7,6,0.225464175,0.5119,0.983985225,0.24137931,0.502232468,0.520705732
59507380,6,7,0.226451572,0.3384,0.973562951,0.206896552,0.514718819,0.517228586
780272962,6,7,0.238297272,0.3001,0.945361454,0.24137931,0.517552414,0.523087293
620836908,10,3,0.163878125,0.7029,0.952873729,0.145658621,0.480742417,0.460292215
622872288,6,7,0.2651689,0.3121,0.977782891,0.275862069,0.543917062,0.544797869
1564476016,8,5,0.2177125,0.4789,0.983223454,0.2038,0.508132236,0.507572865
676077657,6,7,0.22954375,0.3597,0.927730134,0.232489655,0.457788092,0.465352277
1174692296,6,7,0.217746875,0.4838,0.971805562,0.215903448,0.491805652,0.494878919
1175334992,7,6,0.23887891,0.4996,0.961420705,0.24137931,0.509829563,0.512674763
412166169,10,3,0.131,0.7053,0.805164745,0.129410345,0.500022538,0.497517433
412668417,8,5,0.166746875,0.5958,0.944554214,0.17027931,0.546570929,0.536193623
408584304,6,7,0.2106375,0.4055,0.897804332,0.200444828,0.538633176,0.530037095
540057972,7,6,0.2486125,0.3044,0.906761135,0.257048276,0.531112866,0.528991877
684753121,5,8,0.192068429,0.3675,0.967963513,0.211937577,0.531784299,0.518495703
6873752,5,8,0.22916875,0.3811,0.966900609,0.247155172,0.493302334,0.495311364
423642817,7,6,0.2468875,0.3894,0.977847432,0.248317241,0.503506792,0.500049154
554461828,7,6,0.24001875,0.3111,0.97617397,0.225175862,0.514657748,0.51787783
8751662,7,6,0.251290625,0.4705,0.979735992,0.253703448,0.477421925,0.474177533
1082933720,6,7,0.20255625,0.4628,0.972092027,0.199017241,0.453948509,0.448298563
1074830611,7,6,0.246465011,0.3387,0.832722171,0.253254849,0.496214967,0.504195338
1074841931,9,4,0.208196875,0.587,0.846985804,0.190117241,0.490740232,0.502685542
75827501,6,7,0.265356265,0.3694,0.977435006,0.275862069,0.473619198,0.470431594
133316616,8,5,0.22241875,0.58,0.964013908,0.210737931,0.471600931,0.460483856
1076640352,6,7,0.266468819,0.3075,0.976557737,0.275862069,0.508333452,0.500791716
1422985536,7,6,0.24201875,0.3626,0.951200252,0.249475862,0.541027211,0.532621367
1427115153,6,7,0.257412997,0.3291,0.971747959,0.269620466,0.522916474,0.524176931
1159289856,6,7,0.23168125,0.417,0.914444524,0.23417931,0.497907904,0.499916043
3154903620,6,7,0.197175,0.4444,0.96550933,0.199668966,0.523808617,0.523830405
253116992,8,5,0.226725,0.5102,0.969957008,0.217293103,0.525112764,0.528367158
537168252,9,4,0.138696875,0.6295,0.977350648,0.137931034,0.472856338,0.46969881
537887299,9,4,0.181953125,0.6455,0.951212177,0.176941379,0.52348341,0.527346596
491798625,4,9,0.21875,0.3093,0.962535133,0.24137931,0.529850843,0.531321598
2963311626,9,4,0.187546875,0.6637,0.925024685,0.176175862,0.473242671,0.486161073
52889681,5,8,0.21875,0.2972,0.957737236,0.24137931,0.537011751,0.541351661
5319755,8,5,0.2059625,0.5851,0.925408259,0.19987931,0.463029542,0.461013333
353510497,7,6,0.243009943,0.3049,0.949790469,0.252452044,0.509158063,0.499053645
356893728,9,4,0.185103702,0.4378,0.968886168,0.183400863,0.502624375,0.51772546
695206030,9,4,0.197303125,0.7137,0.957646925,0.184713793,0.471912692,0.463376764
420226310,8,5,0.222203125,0.3439,0.953398985,0.221965517,0.52224521,0.52840308
152535426,9,4,0.167490625,0.6746,0.959911216,0.162672414,0.557170691,0.549215424
18102301,7,6,0.234615625,0.4444,0.961538567,0.2311,0.521406316,0.523301917
424683392,6,7,0.21765625,0.3711,0.970295971,0.214827586,0.530292259,0.522838322
42480496,6,7,0.269149871,0.3967,0.966490704,0.275862069,0.532332361,0.527763181
436521108,6,7,0.25329878,0.302,0.958825951,0.260410047,0.551724633,0.545726579
439358864,7,6,0.212602235,0.3429,0.927257732,0.221995034,0.543242197,0.548617786
270112328,9,4,0.197875,0.622,0.917970674,0.174193103,0.405812297,0.38756366
2458339336,8,5,0.226040625,0.665,0.956825223,0.22502069,0.490085247,0.48179105
174463504,6,7,0.201439645,0.4727,0.976282947,0.191949955,0.513028932,0.52577205
415270419,8,5,0.203307767,0.5624,0.97686724,0.202601244,0.548226576,0.537462781
416047234,7,6,0.2408375,0.2557,0.973750458,0.246996552,0.532671853,0.543037087
269111768,5,8,0.253346875,0.3856,0.942490703,0.27062069,0.472861252,0.461494265
1611042060,7,6,0.176346875,0.5813,0.963131255,0.16967931,0.480900441,0.481017386
1155531303,6,7,0.252582865,0.4149,0.983671816,0.256434666,0.502138609,0.514763856
605835560,8,5,0.22286875,0.3781,0.947409581,0.223210345,0.485892232,0.48969811
607294212,7,6,0.2482125,0.2393,0.956798504,0.257868966,0.538662943,0.535665609
1209565428,7,6,0.2387625,0.4208,0.919435126,0.225848276,0.528398891,0.543491933
1150354146,6,7,0.257477508,0.3631,0.970576995,0.275862069,0.517899687,0.532194633
591528835,6,7,0.313383557,0.3484,0.963344872,0.324545874,0.529518274,0.543012055
592511077,7,6,0.233773153,0.4538,0.894110094,0.236247904,0.491287096,0.508781609
1081098422,7,6,0.2535875,0.4923,0.976268177,0.2424,0.500361,0.511056552
806765844,6,7,0.246248118,0.3748,0.906459062,0.2399647,0.532921276,0.534500175
612460872,8,5,0.16713125,0.6188,0.950985307,0.140562069,0.51871198,0.513644056
613585680,5,8,0.262493845,0.2462,0.966821426,0.28317968,0.544688152,0.53805562
572623494,6,7,0.311223345,0.2933,0.948627266,0.314617439,0.514605831,0.518160888
404803686,8,5,0.213376751,0.406,0.856449271,0.220528193,0.54633136,0.536011797
405455944,9,4,0.18175,0.6199,0.860966965,0.176296552,0.519047902,0.509470694
744669249,6,7,0.1974,0.4507,0.965274899,0.199758621,0.505955605,0.490957366
973268000,7,6,0.232908923,0.3441,0.806982722,0.238728705,0.496846644,0.4882221
671894584,10,3,0.146584375,0.7073,0.941018386,0.140375862,0.513751615,0.517089201
738218093,6,7,0.23115,0.4617,0.949543635,0.233534483,0.487982216,0.471761929
123749569,7,6,0.23406875,0.4399,0.974265263,0.233682759,0.4849191,0.474097901
1237877265,6,7,0.251573351,0.3611,0.972271903,0.271895953,0.516980878,0.519960863
1084920866,4,9,0.332870692,0.1923,0.921976222,0.344827586,0.516854511,0.522829551
311951503,8,5,0.225621875,0.6538,0.911644312,0.218793103,0.456991158,0.456822386
71664715,8,5,0.2023625,0.5487,0.968208556,0.203282759,0.46453848,0.458181189
1141522889,5,8,0.241184375,0.5038,0.957735095,0.24137931,0.457189882,0.461188654
1141740065,4,9,0.294314924,0.2559,0.962377037,0.310344828,0.510571337,0.509321832
1448235024,5,8,0.25,0.1591,0.948109961,0.275862069,0.511178666,0.514913283
1344570181,4,9,0.1875,0.2603,0.95951805,0.206896552,0.512703684,0.51546264
1615344404,6,7,0.256568993,0.2966,0.980803812,0.267799629,0.542708992,0.544496154
1615361060,7,6,0.226552118,0.448,0.971229878,0.24137931,0.542051445,0.543874044
309203136,6,7,0.229353125,0.4138,0.957678814,0.2297,0.538753656,0.532222137
156467256,7,6,0.21798579,0.5442,0.926836919,0.206896552,0.501065076,0.502448638
156780292,8,5,0.21631875,0.3668,0.96569054,0.206896552,0.509911771,0.510300208
18434091,8,5,0.21704375,0.5856,0.766575166,0.218334483,0.489380507,0.491016686
186327058,7,6,0.252000232,0.3186,0.627606406,0.250399846,0.529036151,0.528875151
359696704,9,4,0.180690625,0.5626,0.975441526,0.174948276,0.504005061,0.502517126
363332681,9,4,0.18050625,0.6552,0.95966203,0.17477931,0.498321217,0.495016724
597698320,3,10,0.28719642,0.1621,0.971109476,0.310344828,0.530521432,0.535908649
2233538664,9,4,0.206196875,0.5133,0.93777078,0.190734483,0.45773593,0.455399784
141582396,7,6,0.20759375,0.6046,0.964157922,0.186431034,0.499835115,0.503213064
301760640,6,7,0.244892768,0.3159,0.967607111,0.24137931,0.508682426,0.51888006
2014315940,6,7,0.249545873,0.4205,0.918720764,0.258844517,0.479248901,0.490953398
545852179,7,6,0.195277096,0.4468,0.955942503,0.180995416,0.526843078,0.512843307
562536528,6,7,0.229066011,0.4745,0.974926807,0.24137931,0.508169526,0.511414703
86148249,8,5,0.2497,0.4015,0.966756949,0.24137931,0.471687927,0.467825051
864437504,9,4,0.222128125,0.4785,0.945215342,0.212517241,0.536757263,0.541552998
1132725443,7,6,0.234709375,0.363,0.971803545,0.235703448,0.516215069,0.519719071
113937536,6,7,0.206853125,0.2526,0.964173353,0.222641379,0.5022697,0.502983793
209802625,8,5,0.223584375,0.4858,0.957992555,0.212555172,0.519052808,0.531451119
548716944,5,8,0.259494964,0.2535,0.964789273,0.275862069,0.516744793,0.520089996
55116916,7,6,0.24886875,0.4956,0.953233994,0.248589655,0.500813234,0.490946403
941359189,7,6,0.234981921,0.4543,0.84699565,0.23015104,0.514757904,0.515980943
579094156,10,3,0.1848625,0.6464,0.977914232,0.178737931,0.528927214,0.516791344
1478062088,10,3,0.16453125,0.7025,0.759222583,0.1497,0.49236222,0.489275475
45482162,6,7,0.25,0.3784,0.961473672,0.24137931,0.516006912,0.525698046
9096608,6,7,0.262888055,0.3593,0.970896388,0.269821915,0.506723199,0.518246018
17069157,8,5,0.20455651,0.39,0.967491039,0.206896552,0.518534934,0.520204427
171038976,6,7,0.194940625,0.264,0.727702479,0.206896552,0.533688545,0.533420267
40059413,6,7,0.246703735,0.3634,0.959600422,0.24905509,0.510139843,0.5098098
40124526,7,6,0.231034375,0.4493,0.975567887,0.230924138,0.478122128,0.487461957
70262472,7,6,0.26119375,0.451,0.97024321,0.267062069,0.434620126,0.430580809
725975169,7,6,0.2403875,0.3371,0.95671655,0.25142069,0.52620542,0.526429802
92558373,7,6,0.232964027,0.3348,0.961232036,0.25041401,0.501267693,0.492393394
92934229,4,9,0.289485745,0.2448,0.952895437,0.310344828,0.502437876,0.503689473
940868122,7,6,0.248303125,0.489,0.903114578,0.248289655,0.492645983,0.490655495
100746070,9,4,0.188366902,0.4623,0.953527871,0.186481842,0.541750145,0.545174856
1012269090,6,7,0.253286439,0.3794,0.960380516,0.258395123,0.509984418,0.509500486
1041009664,6,7,0.245253125,0.3462,0.950119953,0.254103448,0.476275678,0.485370324
120066225,6,7,0.298571875,0.2615,0.972095611,0.297810345,0.501579484,0.497559338
149064744,8,5,0.214421875,0.4985,0.96656149,0.210451724,0.504792546,0.51803933
1644626957,10,3,0.173184375,0.7814,0.961328054,0.151231034,0.526684131,0.51322536
164727936,6,7,0.2368375,0.3031,0.947300387,0.220693103,0.534116761,0.537654973
170066161,4,9,0.21875,0.2676,0.901791889,0.206896552,0.514491632,0.516116918
190316571,7,6,0.244028125,0.4655,0.858785514,0.234486207,0.507103614,0.497599239
203821637,5,8,0.22969375,0.3359,0.965303368,0.247562069,0.547956224,0.54994643
2550287169,8,5,0.216446875,0.3601,0.954801947,0.206896552,0.556882328,0.553629183
270557613,5,8,0.255546875,0.3763,0.969818049,0.258551724,0.481150856,0.476528514
2706587665,5,8,0.21875,0.2402,0.925673427,0.24137931,0.506583775,0.50561961
271074022,7,6,0.259406616,0.277,0.969230275,0.275862069,0.517429443,0.506784041
2724201801,7,6,0.231934849,0.6092,0.95777201,0.206896552,0.467740443,0.467595393
2751631445,5,8,0.221702703,0.2992,0.93356393,0.241789376,0.519634208,0.512662089
2776631633,6,7,0.248874637,0.3286,0.958779904,0.256467604,0.523655056,0.525373098
2779514881,7,6,0.2309625,0.3737,0.963261995,0.241213793,0.515639864,0.524635896
278041249,4,9,0.25,0.2016,0.96871958,0.275862069,0.525519644,0.519530487
288981140,5,8,0.322922369,0.2344,0.922580789,0.344827586,0.517157662,0.517773507
303080290,5,8,0.231088745,0.2843,0.963169429,0.24137931,0.494077269,0.503868678
335762460,9,4,0.19785625,0.5328,0.914026986,0.193041379,0.495437688,0.48228134
335882704,5,8,0.230779308,0.3118,0.976144774,0.248915872,0.512368766,0.523075539
352341808,6,7,0.20394375,0.4437,0.977015773,0.199996552,0.51315213,0.511959106
352916746,8,5,0.172103125,0.5681,0.923147823,0.158686207,0.47900345,0.471292607
366494224,7,6,0.243553181,0.4304,0.982403144,0.240581509,0.510875929,0.510627663
372047941,7,6,0.235321875,0.3395,0.920912532,0.236913793,0.524277028,0.514858212
378557060,8,5,0.223275,0.3667,0.978381207,0.221741379,0.523496786,0.531288049
382111776,7,6,0.228255435,0.3355,0.974759989,0.24137931,0.503822438,0.493676129
415237406,7,6,0.236078125,0.3818,0.948198464,0.237537931,0.519743292,0.509334854
429990216,7,6,0.209825,0.475,0.853086955,0.196013793,0.516195269,0.507787382
480773316,6,7,0.31815367,0.3346,0.964491367,0.324757988,0.551647195,0.548047239
486614657,6,7,0.231290625,0.3817,0.965203295,0.221075862,0.52191252,0.514216936
503587110,6,7,0.275116355,0.2092,0.959579338,0.275862069,0.520488461,0.520935116
555245897,6,7,0.232215625,0.464,0.873317257,0.216462069,0.476487521,0.462849157
556321348,8,5,0.2259375,0.485,0.967692597,0.21507931,0.53093947,0.531742993
581453894,5,8,0.219196875,0.3545,0.916969255,0.223403448,0.519413767,0.523852131
625557608,7,6,0.176275,0.5509,0.956866242,0.162258621,0.49628967,0.492562406
637611274,8,5,0.179934375,0.6367,0.918365632,0.159117241,0.478758225,0.488601939
638992901,10,3,0.117346875,0.7587,0.967222387,0.118844828,0.55804423,0.548119473
