name,Total Positive cycles,Total Negative cycles,Frustration Boolean
1.44E+30,2900,2896,0.32747147
2.62E+29,2919,2877,0.325705585
9.12E+29,2865,2931,0.320586315
1.63E+30,2833,2963,0.31881531
2.27E+30,2908,2888,0.346415949
3.33E+29,2923,2873,0.335343328
1.94E+30,2954,2842,0.339610532
2.08E+30,2893,2903,0.346042366
2.55E+29,2886,2910,0.327553161
8.05E+29,2932,2864,0.357149813
1.43E+30,2907,2889,0.322654319
2.30E+30,2918,2878,0.311559387
7.27E+28,2919,2877,0.342188181
1.79E+30,2862,2934,0.320416092
2.39E+30,2898,2898,0.31305053
1.91E+30,2875,2921,0.346171425
1.46E+30,2906,2890,0.335417106
1.65E+30,2892,2904,0.334095379
5.11E+29,2893,2903,0.312309596
1.28E+30,3108,2688,0.28634665
5.03E+29,2843,2953,0.299104276
2.30E+30,2987,2809,0.35560017
9.42E+29,2890,2906,0.332071958
2.23E+30,2865,2931,0.317357859
2.25E+30,2907,2889,0.37123063
1.33E+30,2914,2882,0.329349783
5.70E+28,2915,2881,0.331422339
1.20E+30,2851,2945,0.36392609
1.36E+30,2925,2871,0.39304893
4.78E+29,2912,2884,0.333153212
1.27E+30,2878,2918,0.335514056
2.14E+29,2860,2936,0.32727215
1.82E+30,2902,2894,0.310761337
6.35E+29,2891,2905,0.349466799
6.42E+29,2945,2851,0.310495509
4.50E+29,2846,2950,0.287793589
2.46E+30,2892,2904,0.310242786
1.68E+30,2862,2934,0.32661979
2.26E+30,2898,2898,0.30423837
9.83E+29,2902,2894,0.318345306
1.42E+30,2897,2899,0.32129149
6.49E+29,2875,2921,0.386138614
1.12E+30,2783,3013,0.341673067
1.98E+30,2894,2902,0.32382463
1.52E+30,2879,2917,0.380855623
3.73E+29,2886,2910,0.303148481
1.47E+29,2923,2873,0.308227733
2.49E+29,2881,2915,0.333186348
1.53E+30,2924,2872,0.302884864
1.55E+30,2912,2884,0.330508985
3.25E+28,2891,2905,0.302730213
4.95E+29,2924,2872,0.331232186
1.09E+30,2892,2904,0.334290414
3.19E+29,2887,2909,0.337572313
1.42E+30,2894,2902,0.325940594
3.14E+29,2907,2889,0.334093703
2.70E+29,2900,2896,0.322709857
1.89E+30,2899,2897,0.339367942
2.18E+30,2895,2901,0.334606988
1.05E+30,2816,2980,0.316945921
1.76E+30,2848,2948,0.364699065
9.99E+29,2851,2945,0.331767243
9.13E+29,2907,2889,0.331744109
1.81E+30,2881,2915,0.346459265
1.28E+30,2894,2902,0.316460194
4.99E+27,2899,2897,0.31145597
1.60E+29,2862,2934,0.322307598
2.24E+30,2917,2879,0.33496666
7.52E+29,2883,2913,0.349974937
5.32E+29,2880,2916,0.322525329
3.93E+29,2914,2882,0.285885843
6.98E+29,2884,2912,0.310945992
1.51E+30,2780,3016,0.337621512
1.59E+30,2934,2862,0.349114489
6.39E+28,2896,2900,0.364606865
1.31E+30,2861,2935,0.324487779
6.91E+29,2911,2885,0.355051138
Wild,5378,418,0.108066642
1.39E+30,2912,2884,0.33447158
7.09E+27,2890,2906,0.302051735
1.31E+30,2920,2876,0.318623017
1.28E+30,2916,2880,0.349682919
1.05E+30,2887,2909,0.320354305
1.77E+30,2935,2861,0.317522288
1.92E+30,2880,2916,0.336777547
1.54E+30,2880,2916,0.32797234
6.37E+29,2882,2914,0.326282246
6.35E+29,2913,2883,0.340928701
4.99E+29,2900,2896,0.305043505
1.28E+30,2897,2899,0.32943784
3.10E+29,2903,2893,0.307854594
6.54E+29,2868,2928,0.32527918
3.07E+28,2904,2892,0.371746993
1.08E+30,2890,2906,0.338533853
3.23E+29,2903,2893,0.325515907
9.66E+29,2893,2903,0.302596211
2.24E+30,2884,2912,0.33027233
7.62E+29,2864,2932,0.302446843
7.48E+29,2884,2912,0.321569171
8.44E+29,2837,2959,0.344551987
1.54E+29,2910,2886,0.329443113
1.26E+28,2911,2885,0.346068597
1.90E+30,2929,2867,0.319383229
1.27E+30,2889,2907,0.330816664
5.16E+29,2876,2920,0.315393891
2.20E+30,2901,2895,0.339855657
5.57E+29,2887,2909,0.323280842
9.21E+29,2904,2892,0.327795115
4.15E+28,2945,2851,0.316702684
3.49E+29,2982,2814,0.288137661
1.94E+29,2896,2900,0.30701839
1.39E+30,2896,2900,0.293659522
1.92E+30,2902,2894,0.32632351
1.98E+30,2899,2897,0.328257048
1.61E+30,2832,2964,0.323446609
7.96E+29,2843,2953,0.347463109
1.78E+30,2911,2885,0.299092599
8.77E+29,2881,2915,0.331194396
1.60E+30,2843,2953,0.338032007
7.00E+29,2852,2944,0.362175609
2.01E+30,2892,2904,0.346732222
1.28E+30,2899,2897,0.322791581
1.31E+30,3033,2763,0.27545725
3.78E+29,2843,2953,0.345258526
2.35E+29,2865,2931,0.343353277
8.47E+29,2912,2884,0.326707199
1.42E+30,2815,2981,0.313814311
1.70E+30,2898,2898,0.322807862
8.93E+29,2898,2898,0.368174478
8.23E+29,2890,2906,0.356407714
2.30E+30,2900,2896,0.326761474
1.39E+30,2903,2893,0.345685018
7.71E+29,2969,2827,0.323652843
2.03E+30,2920,2876,0.322389314
5.87E+29,2909,2887,0.343923796
7.17E+29,2894,2902,0.32446548
1.43E+30,2882,2914,0.343586859
6.63E+29,2894,2902,0.338330541
1.98E+30,2918,2878,0.308385076
2.45E+29,2886,2910,0.313495372
6.84E+29,2952,2844,0.357939971
2.72E+29,2887,2909,0.333054251
1.70E+30,2900,2896,0.311979053
1.06E+30,2897,2899,0.346090326
3.68E+29,2935,2861,0.346919273
1.28E+30,2850,2946,0.307246054
9.07E+29,2946,2850,0.308636768
3.90E+29,2883,2913,0.329487474
1.18E+30,2843,2953,0.333805781
2.43E+29,2890,2906,0.30967039
5.04E+29,2915,2881,0.334249363
1.30E+30,2946,2850,0.327539098
9.14E+29,2988,2808,0.308737525
3.66E+29,2980,2816,0.285036663
1.82E+29,2974,2822,0.325395534
9.61E+29,2898,2898,0.346178929
1.21E+29,2928,2868,0.323342606
1.95E+30,2893,2903,0.319593924
1.49E+30,2782,3014,0.329146364
1.84E+29,2896,2900,0.325059994
2.08E+30,2869,2927,0.294004852
6.91E+29,2910,2886,0.3211037
1.94E+29,2892,2904,0.287079208
1.56E+29,2925,2871,0.326986629
2.18E+30,2866,2930,0.334506669
2.43E+30,2884,2912,0.339161494
6.47E+29,2914,2882,0.337497171
1.52E+30,2897,2899,0.347057068
1.60E+30,2902,2894,0.330909992
1.60E+30,2925,2871,0.362021432
4.03E+29,2920,2876,0.328985898
2.04E+30,2863,2933,0.374867407
1.62E+29,2908,2888,0.325003761
4.14E+29,2980,2816,0.284318676
1.99E+30,2880,2916,0.327701262
1.50E+29,2841,2955,0.310124441
1.43E+30,2810,2986,0.338995202
1.99E+30,2940,2856,0.34278825
2.02E+30,2894,2902,0.367257422
6.57E+29,2930,2866,0.29156599
7.26E+29,2850,2946,0.31737485
1.14E+30,2927,2869,0.328414519
1.73E+30,2894,2902,0.334767911
1.93E+30,2912,2884,0.342618376
8.51E+29,2903,2893,0.319941195
7.38E+29,2891,2905,0.322370281
4.95E+29,2949,2847,0.309689633
1.47E+30,2894,2902,0.32270704
1.70E+29,2869,2927,0.322389647
1.19E+29,2928,2868,0.313611065
1.39E+30,2759,3037,0.282940584
8.09E+28,2767,3029,0.303490673
8.06E+29,2900,2896,0.32247987
1.38E+30,2843,2953,0.341277013
6.66E+29,2879,2917,0.344898211
9.72E+29,2890,2906,0.33678928
1.23E+30,2892,2904,0.317497669
1.72E+29,2829,2967,0.349016105
1.71E+30,2931,2865,0.306310377
7.18E+29,2852,2944,0.338084051
7.47E+29,2909,2887,0.331457869
2.00E+29,2934,2862,0.309814161
1.43E+30,2896,2900,0.326176578
