"pos_cycle","GRHL2","GRHL2act","NRF2","OCT4","OVOL","OVOLinh","TGFb"
0,NA,NA,NA,1,NA,NA,NA
1,0.840128968253968,0.822181512537217,NA,0.0395710409677022,0.299206349206349,0.0458333333333333,NA
2,0.906349206349206,0.0157065786369803,0.761584492880023,0.980484020330953,0.0857253086419753,0.539113807034715,NA
3,1,0.707203785571239,0.104741530705589,0.0917088365452751,0.0760361552028219,0.699712220731721,NA
4,NA,0.333333333333333,0.0302902999658354,0.412031436481371,NA,1,0.237295249192342
5,NA,NA,0.176580627739745,NA,NA,NA,0.793266004174326
6,NA,NA,0.00049167122310162,NA,NA,NA,0.420990666842409
7,NA,NA,0.0866644256656534,NA,NA,NA,0.465394781670787
8,NA,NA,0.0676171069651284,NA,NA,NA,0.213619254488846
9,NA,NA,0.295604089197812,NA,NA,NA,0.297334747674583
10,NA,NA,NA,NA,NA,NA,0.00730483195051833
11,NA,NA,NA,NA,NA,NA,0.175
12,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA
