"plast_2","JSD","pos_cycle","network","logJSD","JSD_tag"
0.2959,0.0502966940359239,2,"GRHL2",-2.98981592896835,-3
0.297,0.489483177436677,2,"GRHL2",-0.714405184432203,-1
0.5348,0.000987588475584564,3,"GRHL2",-6.92024446967376,-7
0.5293,0.00023593960595818,3,"GRHL2",-8.3519346926453,-9
0.2454,0.483355600323682,2,"GRHL2",-0.727002663661596,-1
0.0541,0.1433564272449,1,"GRHL2",-1.94242125162787,-2
0.0487,0.140894041751891,1,"GRHL2",-1.95974714804124,-2
0.0555,0.378607261500886,1,"GRHL2",-0.971255860515289,-1
0.0506,0.373315739560597,1,"GRHL2",-0.985330730648552,-1
0.2029,0.0800788962291123,2,"GRHL2",-2.52474292742291,-3
0.206,0.419404213862525,2,"GRHL2",-0.86892011320541,-1
0.3131,0.310012236927327,2,"GRHL2",-1.1711435083229,-2
0,0.273307050184699,0,"GRHL2",-1.29715938987627,-2
0,0.261871892811033,0,"GRHL2",-1.33989985353686,-2
0.0616,0.232251226229585,1,"GRHL2",-1.4599356215192,-2
0.06,0.22165791997824,1,"GRHL2",-1.50661998651769,-2
0.2885,0.0591395490894604,2,"GRHL2",-2.82785538904645,-3
0,0.272589931045796,0,"GRHL2",-1.29978669713777,-2
0,0.316863063318304,0,"GRHL2",-1.14928557534763,-2
0.0684,0.168827487872504,1,"GRHL2",-1.77887786723115,-2
0.0637,0.17287834153579,1,"GRHL2",-1.75516715998205,-2
0.5396,1e-04,3,"GRHL2",-9.21034037197618,-10
0.0536,0.258812435960024,1,"GRHL2act",-1.35165166511411,-2
0,0.193092827244476,0,"GRHL2act",-1.6445842355277,-2
0,0.194986810820828,0,"GRHL2act",-1.63482335952213,-2
0.2082,0.250919453184045,1,"GRHL2act",-1.38262329500017,-2
0,0.203975654109482,0,"GRHL2act",-1.58975463486039,-2
0,0.22280248622828,0,"GRHL2act",-1.50146961197745,-2
0.2343,0.198717111103532,1,"GRHL2act",-1.61587301786518,-2
0.0212,0.226826580014264,1,"GRHL2act",-1.48356951816535,-2
0.3551,0.178377769898805,2,"GRHL2act",-1.72385167479103,-2
0.3657,0.177496467117637,2,"GRHL2act",-1.72880457382735,-2
0.1133,0.130805582436887,1,"GRHL2act",-2.03404316168868,-3
0.1096,0.265025265267206,1,"GRHL2act",-1.32793011690958,-2
0.2464,0.0689561551892294,2,"GRHL2act",-2.67428440839753,-3
0.244,0.0634409676959374,2,"GRHL2act",-2.75764544805282,-3
0.5183,0.0499474173347173,3,"GRHL2act",-2.99678448023499,-3
0.0509,0.288734090572413,1,"GRHL2act",-1.24224911624878,-2
0,0.206433581333416,0,"GRHL2act",-1.57777655835018,-2
0,0.20029879275922,0,"GRHL2act",-1.60794506349168,-2
0.2002,0.269892591038516,1,"GRHL2act",-1.3097312101,-2
0,0.233180013673046,0,"GRHL2act",-1.45594453283969,-2
0,0.230856057653064,0,"GRHL2act",-1.4659608897277,-2
0.2363,0.209958079794515,1,"GRHL2act",-1.56084738821752,-2
0.0219,0.189202451570329,1,"GRHL2act",-1.66493766488843,-2
0.3736,0.122055622800741,2,"GRHL2act",-2.10327841355468,-3
0.3719,0.123096002821816,2,"GRHL2act",-2.09479071730336,-3
0.5322,0.319645324110615,3,"GRHL2act",-1.14054326003027,-2
0.2932,0.032507640288225,2,"GRHL2act",-3.42628013148324,-4
0.2899,0.0294599364628623,2,"GRHL2act",-3.52472402467563,-4
0.4431,0.0799321624029102,3,"GRHL2act",-2.52657697400178,-3
0.2954,0.267324021330756,2,"GRHL2act",-1.31929379331776,-2
0.286,0.264617793710677,2,"GRHL2act",-1.32946878197849,-2
0.4415,0.225771171007269,3,"GRHL2act",-1.48823331031909,-2
0.5203,0.0182481864967502,3,"GRHL2act",-4.00368957393225,-5
0.6767,0.00212112308143326,4,"GRHL2act",-6.15580957517602,-7
0.6841,0.000167327865429344,4,"GRHL2act",-8.69555540419161,-9
0.1645,0.271487191094595,2,"GRHL2act",-1.30384031900986,-2
0.1656,0.259476914916552,2,"GRHL2act",-1.3490875401925,-2
0.4898,0.384994742965156,3,"GRHL2act",-0.954525599423537,-1
0.067,0.150320868724878,1,"GRHL2act",-1.89498314472334,-2
0.2454,0.153042553248315,2,"GRHL2act",-1.87703927045353,-2
0.2351,0.148984831577562,2,"GRHL2act",-1.90391077971167,-2
0.0648,0.221404885397431,1,"GRHL2act",-1.50776219301866,-2
0.2602,0.189358518781715,2,"GRHL2act",-1.66411313604129,-2
