Boolean,JSD,heatmap,data
 ,OVOL-ZEB_2-1,ZEB-ZEB_1-2,ZEB-miR200_2-0,SNAIL-ZEB_1-2,WT,OVOL-ZEB_2-0,ZEB-miR200_2-1,miR200-ZEB_2-1,OVOL-OVOL_2-0,OVOL-miR200_2-0,ZEB-OVOL_2-1,ZEB-ZEB_1-0,OVOL-miR200_2-1,OVOL-OVOL_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-0
OVOL-OVOL_2-0,0.05673402212362074,0.089590727872481,0.2570329869458136,0.028040816046182943,0.02769968247659245,0.036901516366774,0.15254471046139953,0.04876545018107877,0.0,0.06868064320883663,0.3219042017919643,0.0446285579898175,0.07427559896137019,0.0197532867538417,0.02804292417609551,0.03516070078997233,0.029427463825660072,0.022670135655926113
OVOL-miR200_2-0,0.02729260423737919,0.07084896725605644,0.27459010088267455,0.056906711680041425,0.025149674780222585,0.016851638394270334,0.2608530915198515,0.10160384635957467,0.06868064320883663,0.0,0.20597510631881777,0.02777073459457479,0.005034123495078648,0.06850417181217938,0.05134192826260068,0.024509332969911805,0.05350135714342197,0.03707236815785779
ZEB-OVOL_2-1,0.14377043572545095,0.11861835395562645,0.09623236685432435,0.19998203327669484,0.1968334355206404,0.18237934678208628,0.2534289100403383,0.20121733355198307,0.32190420179196433,0.2059751063188178,0.0,0.16469147828362324,0.21380348036411362,0.22766349172589623,0.19611680316146451,0.1957933336520935,0.19220920278959075,0.20610552430886972
ZEB-ZEB_1-0,0.0015408034263537434,0.014903759528844877,0.1623070981631417,0.009201972782864483,0.0030387108459389994,0.0030434863245707476,0.13061865356131824,0.027391566867164797,0.044628557989817505,0.027770734594574784,0.1646914782836232,0.0,0.03558507302693521,0.03316461447539677,0.0074374409015322985,0.005997754198796968,0.0076780894180728115,0.005742818822683526
OVOL-miR200_2-1,0.03439301973962782,0.08055671889116764,0.29095224802971803,0.06589382585647463,0.03120017609906656,0.021414734253556958,0.27693081053423196,0.11234545383665567,0.07427559896137019,0.005034123495078648,0.21380348036411354,0.03558507302693521,0.0,0.0778466948420316,0.05737498788827936,0.038786958049799466,0.06398392151963828,0.04351924319518033
OVOL-OVOL_2-1,0.03910340738915633,0.0587462948827239,0.16400001975639888,0.017744215234538226,0.023417915345455672,0.030232540064141732,0.11183398204335396,0.02930321656527466,0.019753286753841706,0.06850417181217938,0.22766349172589626,0.03316461447539677,0.0778466948420316,0.0,0.018947860094443034,0.026916050631433597,0.016669972355534548,0.018162819450419906
miR200-ZEB_2-0,0.011582372668376632,0.020589017155230593,0.14969502475986124,0.0020610954499407346,0.005622922940067687,0.010113848817196366,0.09507053032146186,0.010833576108418435,0.028042924176095517,0.051341928262600686,0.19611680316146454,0.0074374409015323,0.05737498788827936,0.018947860094443027,0.0,0.012782145554918162,0.0024849852258221096,0.0027234115282045246
SNAIL-miR200_2-0,0.010332869951713692,0.03142867177245485,0.18302198257457641,0.011761739561399767,0.004604516479855766,0.006270695119590532,0.1436955438114777,0.03436781636927989,0.035160700789972334,0.024509332969911802,0.19579333365209345,0.005997754198796968,0.03878695804979948,0.026916050631433597,0.01278214555491816,0.0,0.009406962541413072,0.006721137205284802
SNAIL-miR200_2-1,0.013405592160766,0.021497883099704823,0.1407743747541374,0.00035514732379498436,0.006531260152279729,0.012727235314141312,0.08905885823350213,0.009620711869872801,0.029427463825660076,0.053501357143421954,0.19220920278959072,0.007678089418072808,0.06398392151963828,0.016669972355534544,0.0024849852258221096,0.009406962541413072,0.0,0.0030392861900048205
SNAIL-ZEB_1-0,0.011518931064160064,0.02915941136328849,0.1714151168258925,0.0028761927779204334,0.0013861755678876797,0.005517009173509642,0.11817857881630041,0.0199468667337315,0.022670135655926113,0.03707236815785779,0.20610552430886972,0.005742818822683528,0.04351924319518034,0.018162819450419906,0.0027234115282045272,0.0067211372052848025,0.0030392861900048166,0.0
