Boolean,JSD,heatmap,data
 ,OVOL-ZEB_2-1,ZEB-ZEB_1-2,ZEB-miR200_2-0,SNAIL-ZEB_1-2,WT,OVOL-ZEB_2-0,ZEB-miR200_2-1,miR200-ZEB_2-1,OVOL-OVOL_2-0,OVOL-miR200_2-0,ZEB-OVOL_2-1,ZEB-ZEB_1-0,OVOL-miR200_2-1,OVOL-OVOL_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-0
OVOL-ZEB_2-1,0.0,8.837862260568973e-06,0.42656688907473644,0.3436567417627544,0.27791573021763427,4.057624700873992e-05,1.0,0.23963972180612786,0.27377860102723856,0.09915407184945937,1.0,9.211140097344604e-05,0.0001256936759673347,0.47921404571361664,0.22003237574202816,0.20741048643016768,0.3421137311786481,0.30588948770080115
ZEB-ZEB_1-2,8.837862260568973e-06,0.0,0.42658725332570724,0.343694992458596,0.27793628553895483,8.728682155841744e-05,1.0,0.23968822538734824,0.27378071754180555,0.09918335991200425,1.0,0.0001580098876203936,0.0002011861250427304,0.4792304125760609,0.22003103534338744,0.20738802256782113,0.3421119440439856,0.3059321639059077
ZEB-miR200_2-0,0.42656688907473644,0.42658725332570724,0.0,0.006570365173206208,0.02277752305679096,0.4265551974872501,0.21336792806179294,0.03819875342972989,0.024193979833187124,0.1567294937771987,1.0,0.42656589987280435,0.4265754454769632,0.2797333426135461,0.04809594361616875,0.0555254552277276,0.006776428384964717,0.01444818688378565
SNAIL-ZEB_1-2,0.3436567417627544,0.343694992458596,0.006570365173206208,0.0,0.004997282558616348,0.3436122935001278,0.2805696396110992,0.013310208198227858,0.005755671989623382,0.10173269536511391,1.0,0.34360929726977923,0.3436127242727045,0.26573018347508226,0.019587009196521576,0.024369084222468522,7.744317197273549e-05,0.0016487105224265459
WT,0.27791573021763427,0.27793628553895483,0.02277752305679096,0.00499728255861635,0.0,0.2779135833906925,0.3464837537646129,0.0020423884943339687,4.958995561465143e-05,0.06277196476404298,1.0,0.27793430324078117,0.27795016477809925,0.2611666113634619,0.004833618671048909,0.007397984118602315,0.004778854745780981,0.0009997374976819483
OVOL-ZEB_2-0,4.057624700873992e-05,8.728682155841744e-05,0.4265551974872501,0.3436122935001278,0.2779135833906925,0.0,1.0,0.23958022006989882,0.27381623642901276,0.09914477378020602,1.0,1.0417325008901714e-05,2.3440027282163947e-05,0.4792073926084008,0.22008095893842905,0.20750515359850985,0.3421551728518411,0.3058380823811305
ZEB-miR200_2-1,1.0,1.0,0.21336792806179294,0.2805696396110992,0.34648375376461293,1.0,0.0,0.3919023363519514,0.35106613455915997,0.6301263810116289,1.0,1.0,1.0,0.546280172075785,0.41741710656678277,0.4351163628401701,0.28185510909284045,0.31676930617102833
miR200-ZEB_2-1,0.23963972180612786,0.23968822538734824,0.03819875342972989,0.013310208198227858,0.0020423884943339696,0.23958022006989882,0.3919023363519514,0.0,0.001709237584132755,0.04269933546423693,1.0,0.23957319654470866,0.23957551789792256,0.2620249930271276,0.0007048329414547872,0.0018235172636021577,0.013032948607975294,0.005784158081526972
OVOL-OVOL_2-0,0.27377860102723856,0.27378071754180555,0.02419397983318713,0.005755671989623384,4.958995561465127e-05,0.27381623642901276,0.35106613455915997,0.001709237584132755,0.0,0.06051107913178647,1.0,0.27385725527010707,0.2738833027114192,0.2611473159310051,0.004165948300207131,0.006642262464794296,0.005436994826431094,0.0013205391415387641
OVOL-miR200_2-0,0.09915407184945937,0.09918335991200425,0.1567294937771987,0.10173269536511392,0.06277196476404298,0.09914477378020602,0.6301263810116289,0.042699335464236945,0.06051107913178647,0.0,1.0,0.09916788767990545,0.09918646404603504,0.30418391479485674,0.03340106315052509,0.027892124589053713,0.10078035194057777,0.07872401834874186
ZEB-OVOL_2-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3656486065551181,1.0,1.0,1.0,1.0
ZEB-ZEB_1-0,9.211140097344604e-05,0.0001580098876203936,0.42656589987280435,0.34360929726977923,0.27793430324078117,1.0417325008901714e-05,1.0,0.23957319654470866,0.27385725527010707,0.09916788767990545,1.0,0.0,2.6047081521097777e-06,0.4792188122253014,0.22012936749935624,0.20757733973380124,0.34219574796345825,0.3058328758361557
OVOL-miR200_2-1,0.0001256936759673347,0.0002011861250427304,0.42657544547696313,0.3436127242727045,0.27795016477809925,2.3440027282163947e-05,1.0,0.23957551789792253,0.2738833027114192,0.09918646404603504,1.0,2.6047081521097777e-06,0.0,0.4792282534452406,0.22015957472624068,0.20761954422517614,0.3422209752250661,0.30583552925061225
OVOL-OVOL_2-1,0.4792140457136166,0.4792304125760608,0.27973334261354604,0.26573018347508226,0.261166611363462,0.4792073926084008,0.546280172075785,0.2620249930271276,0.26114731593100515,0.30418391479485674,0.3656486065551181,0.47921881222530127,0.47922825344524056,0.0,0.2637344812206149,0.26536265963474054,0.26556507806395985,0.2623132249375455
miR200-ZEB_2-0,0.22003237574202816,0.22003103534338744,0.04809594361616874,0.01958700919652157,0.004833618671048909,0.22008095893842905,0.4174171065667827,0.0007048329414547872,0.004165948300207131,0.033401063150525094,1.0,0.22012936749935624,0.22015957472624068,0.2637344812206148,0.0,0.00039410162683901353,0.01905423443559766,0.010068765402308045
SNAIL-miR200_2-0,0.20741048643016768,0.2073880225678211,0.05552545522772761,0.02436908422246852,0.0073979841186023205,0.20750515359850982,0.4351163628401701,0.0018235172636021577,0.006642262464794296,0.027892124589053706,1.0,0.20757733973380124,0.20761954422517614,0.2653626596347406,0.0003941016268390131,0.0,0.02383525065453562,0.013772252534583869
SNAIL-miR200_2-1,0.3421137311786481,0.3421119440439856,0.006776428384964717,7.74431719727357e-05,0.004778854745780981,0.3421551728518411,0.28185510909284045,0.013032948607975294,0.005436994826431094,0.10078035194057777,1.0,0.34219574796345825,0.3422209752250661,0.26556507806395985,0.01905423443559766,0.023835250654535626,0.0,0.0015314952867772312
SNAIL-ZEB_1-0,0.30588948770080115,0.3059321639059077,0.01444818688378565,0.001648710522426545,0.00099973749768195,0.3058380823811305,0.31676930617102833,0.00578415808152697,0.0013205391415387633,0.07872401834874188,1.0,0.3058328758361557,0.3058355292506123,0.2623132249375455,0.010068765402308048,0.013772252534583865,0.0015314952867772312,0.0

RACIPE,JSD,heatmap,data
 ,OVOL-ZEB_2-1,ZEB-ZEB_1-2,ZEB-miR200_2-0,SNAIL-ZEB_1-2,WT,OVOL-ZEB_2-0,ZEB-miR200_2-1,miR200-ZEB_2-1,OVOL-OVOL_2-0,OVOL-miR200_2-0,ZEB-OVOL_2-1,ZEB-ZEB_1-0,OVOL-miR200_2-1,OVOL-OVOL_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-0
OVOL-ZEB_2-1,0.0,0.011548292537201018,0.15568662814613504,0.015620937084937924,0.007159215773752945,0.004649378367857642,0.13814007898821506,0.033130437849040795,0.056734022123620734,0.02729260423737919,0.14377043572545098,0.0015408034263537439,0.03439301973962783,0.03910340738915633,0.011582372668376636,0.010332869951713699,0.013405592160765999,0.011518931064160059
ZEB-ZEB_1-2,0.011548292537201015,0.0,0.10480190623229815,0.02332580626786359,0.028221826060404208,0.02820373337211291,0.09133708193782611,0.02319501391516909,0.08959072787248096,0.07084896725605644,0.11861835395562645,0.014903759528844868,0.08055671889116764,0.0587462948827239,0.02058901715523059,0.031428671772454855,0.021497883099704837,0.029159411363288475
ZEB-miR200_2-0,0.15568662814613504,0.10480190623229814,0.0,0.1432639789097784,0.18328864858555496,0.1897257688023187,0.07375586727781194,0.108483416285173,0.2570329869458136,0.27459010088267455,0.09623236685432433,0.1623070981631417,0.29095224802971803,0.16400001975639888,0.14969502475986124,0.18302198257457641,0.1407743747541374,0.17141511682589247
SNAIL-ZEB_1-2,0.015620937084937928,0.023325806267863593,0.14326397890977843,0.0,0.0071009423806197,0.013986977360809746,0.08626192302312469,0.008440619013089267,0.02804081604618295,0.05690671168004141,0.19998203327669484,0.009201972782864484,0.06589382585647463,0.017744215234538223,0.0020610954499407346,0.011761739561399769,0.00035514732379498377,0.002876192777920437
WT,0.007159215773752946,0.028221826060404208,0.18328864858555496,0.007100942380619701,0.0,0.001584387914304689,0.13811830769460612,0.028641587985683163,0.02769968247659245,0.02514967478022259,0.19683343552064037,0.0030387108459389973,0.031200176099066557,0.02341791534545567,0.00562292294006769,0.004604516479855765,0.006531260152279736,0.00138617556788768
OVOL-ZEB_2-0,0.004649378367857641,0.028203733372112915,0.18972576880231867,0.013986977360809751,0.0015843879143046895,0.0,0.15780411438624492,0.03887769241575349,0.03690151636677401,0.01685163839427034,0.18237934678208628,0.0030434863245707476,0.021414734253556954,0.030232540064141736,0.010113848817196366,0.006270695119590533,0.012727235314141307,0.005517009173509642
ZEB-miR200_2-1,0.13814007898821506,0.09133708193782611,0.07375586727781194,0.08626192302312469,0.13811830769460615,0.15780411438624492,0.0,0.04361506340489507,0.15254471046139959,0.2608530915198515,0.25342891004033835,0.13061865356131822,0.2769308105342321,0.11183398204335396,0.09507053032146187,0.14369554381147773,0.08905885823350213,0.11817857881630038
miR200-ZEB_2-1,0.03313043784904078,0.0231950139151691,0.108483416285173,0.00844061901308927,0.028641587985683163,0.03887769241575349,0.04361506340489507,0.0,0.048765450181078765,0.10160384635957467,0.20121733355198312,0.027391566867164794,0.11234545383665566,0.02930321656527466,0.010833576108418444,0.034367816369279894,0.009620711869872801,0.019946866733731507
