Boolean,JSD,heatmap,data
 ,Keap1-NRF2_2-0,E-cad-NRF2_2-1,ZEB-ZEB_1-2,ZEB-miR34_2-0,miR200-Keap1_2-0,ZEB-miR200_2-0,SNAIL-miR34_2-0,SNAIL-ZEB_1-2,miR34-SNAIL_2-0,SNAIL-SNAIL_2-0,WT,ZEB-miR200_2-1,miR200-ZEB_2-1,NRF2-SNAIL_2-1,E-cad-ZEB_2-1,ZEB-ZEB_1-0,miR200-Keap1_2-1,SNAIL-miR34_2-1,ZEB-E-cad_2-1,E-cad-NRF2_2-0,I-SNAIL_1-2,E-cad-ZEB_2-0,ZEB-E-cad_2-0,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-SNAIL_2-1,SNAIL-miR200_2-1,NRF2-SNAIL_2-0,SNAIL-ZEB_1-0,Keap1-NRF2_2-1,miR34-SNAIL_2-1,ZEB-miR34_2-1
Keap1-NRF2_2-0,0.0,0.8807337623630254,0.36237307916737543,0.3857299013768727,0.5693155992896973,0.4362899127827521,0.3423987841436609,0.2193317144442854,0.40053311601966585,0.22854027105079588,0.22787181646369897,0.5654837404491693,0.20469654299038492,0.3757095158070236,0.39793588608947195,0.36630856903803033,1.0,0.34596483344284273,1.0,0.8388698221513503,0.2260756413619489,0.3894139849399938,0.38593999007438473,0.21462984495172904,0.3087123039511943,0.24297130870586453,0.37490284972359833,0.3630400620871516,0.22930387190282686,0.018525988207908784,0.4335584799864376,0.42058834717612237
E-cad-NRF2_2-1,0.8807337623630253,0.0,0.35387876145132,0.3698526641425686,0.4484122962365069,0.3703765885025428,0.41682196190000453,0.3471494139313944,0.33706786933647415,0.3305894921469489,0.33168194868090317,0.4833739258210556,0.36373577566578597,0.5687371658375243,0.31863437703619535,0.35117388764108987,1.0,0.48073018555020014,1.0,0.026258257646014117,0.33384475698333554,0.32634911441256675,0.5469877561987031,0.34718528415019884,0.42970797689821105,0.37211986773894934,0.4992273355017951,0.39701345991558545,0.33307617309381804,0.8678900571290731,0.5322337820001846,0.4952764356396485
ZEB-ZEB_1-2,0.3623730791673755,0.35387876145132,0.0,0.1966130091732754,0.3696447084842547,0.40525019298295584,0.1537853219555066,0.1111087620047372,0.26482327464633826,0.08948855727245503,0.0875669859513778,0.5946783337874685,0.12084997518315482,0.2906205594505429,0.0018320907594499964,0.000520619857909223,1.0,0.20173734925593165,1.0,0.3635491028890619,0.09143187712308495,0.001404327041587457,0.32252979267465615,0.0986075734636115,0.015687325817282445,0.14262072404144333,0.11557179416586345,0.16821381284788567,0.08855864243131485,0.3533111014428264,0.4086018638344568,0.31949861823659437
ZEB-miR34_2-0,0.38572990137687274,0.36985266414256857,0.1966130091732754,0.0,0.3879728758088632,0.2694994050935394,0.4246715207703715,0.11433572650421212,0.37180296939815427,0.12918716426994417,0.12744159528864163,0.42521103641248076,0.13763122776282782,0.21746488660704283,0.1996819644079543,0.1957877054561632,1.0,0.4582433932177632,0.9999999999999999,0.33162442358756394,0.12570018924431553,0.20251031558741794,0.3433023194671081,0.1392161416134443,0.19196180656253597,0.13338428525953472,0.28000835046074124,0.08552151404552075,0.12259420315438475,0.4034577414894194,0.5758529469095035,0.07853432225519644
miR200-Keap1_2-0,0.5693155992896972,0.4484122962365069,0.3696447084842547,0.3879728758088632,0.0,0.4346316763270629,0.42608528503162413,0.3100068846410351,0.4056943765827869,0.30569103639100115,0.30582769324107706,0.5320692593321145,0.3141214750720288,0.5029369570483647,0.36435917272503404,0.36956202173750896,0.3352546958711846,0.45691108271557224,0.9999999999999999,0.4281708777221248,0.3064223796701544,0.3655337393666118,0.460280834807934,0.30967586096313915,0.38945062979925993,0.33287439602972113,0.44422169677069245,0.4037612557404841,0.3069618462448431,0.5851662163635767,0.5187765458922123,0.4637544895620176
ZEB-miR200_2-0,0.4362899127827521,0.37037658850254285,0.40525019298295584,0.2694994050935394,0.4346316763270629,0.0,0.24626980050295516,0.20121311004982156,0.35996063003582934,0.20470458727585805,0.20688011538639722,0.1472533562529263,0.16982628033534086,0.3435647588572885,0.4012332989980193,0.40323223323625484,1.0,0.2791517842586818,1.0,0.3046064202062263,0.2060677464419447,0.406816366369602,0.397848024842989,0.18623310941515225,0.4635113898650327,0.1720925431983232,0.5657838297271944,0.23438288092118445,0.22547482021670373,0.4884307832932946,0.4935951193706708,0.3863397909307107
SNAIL-miR34_2-0,0.3423987841436609,0.41682196190000453,0.1537853219555066,0.4246715207703715,0.42608528503162413,0.24626980050295516,0.0,0.18323437670562492,0.26706955385112974,0.15161992175615435,0.15213372213015286,0.43544930432736684,0.1528586062314184,0.3812651579586567,0.15706001463947733,0.15402586095427573,1.0,0.043128169468559845,1.0,0.4111203793856748,0.15677499309610143,0.1567677322885312,0.3645677077934584,0.13897693694992957,0.20030981480275173,0.17911085629220708,0.3097588780677486,0.29450096138760934,0.16936716344171693,0.3526764159184479,0.3378265079041868,0.567800632657267
SNAIL-ZEB_1-2,0.21933171444428537,0.34714941393139453,0.11110876200473721,0.1143357265042121,0.31000688464103504,0.20121311004982156,0.18323437670562495,0.0,0.17187553421338547,0.002957358985255314,0.0033290195621787037,0.35159552375472336,0.005529535941098887,0.24930788980079543,0.116335037365613,0.11251918012376888,1.0,0.21865734788835192,0.9999999999999999,0.3063702522968261,0.0021945877608947075,0.11473448165287724,0.23669152300180007,0.005497419628643946,0.10996936073527605,0.0354938839106827,0.1926153394699769,0.13563723064124256,0.0023387578841612315,0.24542894649136326,0.3149860553319362,0.2045377110564539
miR34-SNAIL_2-0,0.4005331160196658,0.33706786933647415,0.26482327464633826,0.37180296939815427,0.40569437658278695,0.35996063003582934,0.2670695538511298,0.17187553421338547,0.0,0.1649004411780423,0.16584232431937368,0.42309597258517373,0.16884094049966747,0.6381499403479296,0.2642077485957143,0.26540863788936997,1.0,0.3130423061838883,1.0,0.3032393686600362,0.16715229833697276,0.2595909922272245,0.37887352165537175,0.1665748121115721,0.263275802185872,0.2737400798021464,0.2931667466790977,0.47903818183026814,0.1616307490674044,0.4346315445341695,0.12820044351644824,0.45343804030734935
SNAIL-SNAIL_2-0,0.22854027105079588,0.3305894921469489,0.08948855727245503,0.12918716426994414,0.30569103639100104,0.20470458727585808,0.15161992175615435,0.002957358985255308,0.1649004411780423,0.0,0.00029125762887404215,0.36482092740187366,0.005195745386831821,0.24985384607525238,0.09364242299827072,0.09049335583219816,1.0,0.19014792176305964,1.0,0.29618585692217275,0.00026353640208113155,0.09243471500035412,0.23640601717362153,0.001663667555165179,0.09624659794251264,0.03602508056591623,0.18430284059965016,0.1332293930285961,0.0015099737888614457,0.25073147290510694,0.30677164276831415,0.23052334016834974
WT,0.22787181646369892,0.33168194868090317,0.08756698595137781,0.12744159528864166,0.30582769324107706,0.20688011538639728,0.15213372213015286,0.0033290195621787037,0.1658423243193737,0.0002912576288740422,0.0,0.36762904948621783,0.005408267935571201,0.24891425410084142,0.09196179456091909,0.08868299594170033,0.9999999999999999,0.19069487207341335,0.9999999999999998,0.29795248086390097,0.000293654201681908,0.09070241128014621,0.23638240995786455,0.0019414616255054673,0.09408011278481582,0.03578921502682213,0.18246155300561837,0.13200658699358853,0.0013776624540821124,0.24949431266460897,0.30840166235641975,0.22869199549340785
ZEB-miR200_2-1,0.5654837404491693,0.48337392582105565,0.5946783337874684,0.4252110364124807,0.5320692593321145,0.1472533562529263,0.43544930432736684,0.35159552375472336,0.4230959725851738,0.36482092740187366,0.3676290494862179,0.0,0.3278247170344283,0.5472933010103687,0.5895173126705964,0.5934094985119753,1.0,0.457977790776267,1.0,0.41208368113199556,0.3646751900893763,0.5929973404683748,0.5107414370229467,0.34978910964156534,0.6315775866844793,0.34673184632229914,0.518139984662767,0.45220110584530937,0.3787855358949391,0.6250585473262786,0.5239036734195103,0.49643760634894624
miR200-ZEB_2-1,0.20469654299038492,0.36373577566578597,0.12084997518315482,0.13763122776282782,0.3141214750720288,0.16982628033534086,0.1528586062314184,0.005529535941098887,0.16884094049966747,0.005195745386831822,0.0054082679355712,0.3278247170344283,0.0,0.2517487216951719,0.12725255429568516,0.12207215259142787,1.0,0.18851218099650233,0.9999999999999999,0.32146423961172127,0.0055025481878351245,0.12581691360050964,0.23532718564732735,0.0022513951395957965,0.1293716592449819,0.03509348569611662,0.21765886027295733,0.138829950400846,0.009178660600034312,0.23228469131043458,0.305724867064872,0.23752204302734808
NRF2-SNAIL_2-1,0.3757095158070236,0.5687371658375243,0.2906205594505429,0.21746488660704286,0.5029369570483646,0.3435647588572885,0.3812651579586567,0.24930788980079546,0.6381499403479296,0.24985384607525243,0.2489142541008414,0.5472933010103687,0.25174872169517193,0.0,0.300262571628757,0.29215770193696033,1.0,0.39777518451051297,1.0,0.5469757695639096,0.24789339934435012,0.30303090886816875,0.4217947890693704,0.24829222013412844,0.30579959092632747,0.13392278339701733,0.4246318333910296,0.08269871881555482,0.25737242218006506,0.37550034234012075,0.6033597586716768,0.30575426038034714
E-cad-ZEB_2-1,0.39793588608947195,0.31863437703619535,0.0018320907594499955,0.1996819644079543,0.3643591727250341,0.4012332989980193,0.15706001463947733,0.11633503736561299,0.2642077485957143,0.09364242299827072,0.0919617945609191,0.5895173126705964,0.12725255429568516,0.300262571628757,0.0,0.0019394954983045507,1.0,0.20765378007442883,1.0,0.32887385103152655,0.09592705081782246,0.000356404400059536,0.32919747174612285,0.10399091723636862,0.024233441847513828,0.14777347426267157,0.12428631758232561,0.17197188954417686,0.09305966526906552,0.3895327886054458,0.4141379148336075,0.32645748363902705
ZEB-ZEB_1-0,0.36630856903803033,0.35117388764108987,0.0005206198579092236,0.1957877054561632,0.36956202173750896,0.40323223323625484,0.15402586095427573,0.1125191801237689,0.2654086378893699,0.09049335583219817,0.08868299594170033,0.5934094985119753,0.12207215259142785,0.2921577019369603,0.0019394954983045498,0.0,1.0,0.20228966564644724,1.0,0.36067743061500646,0.09262996197447171,0.0016379760739733398,0.32360830457196416,0.09940836303757133,0.017562901735866113,0.14364327474759922,0.11806112292191534,0.1683515359046156,0.08996408560585624,0.3572175433146165,0.41097848960411987,0.3201075094276432
miR200-Keap1_2-1,1.0,1.0,1.0,1.0,0.3352546958711845,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0
SNAIL-miR34_2-1,0.34596483344284273,0.4807301855502002,0.20173734925593162,0.4582433932177632,0.4569110827155722,0.2791517842586818,0.04312816946855984,0.21865734788835192,0.3130423061838883,0.19014792176305964,0.19069487207341332,0.457977790776267,0.1885121809965023,0.39777518451051297,0.20765378007442883,0.20228966564644726,0.9999999999999999,0.0,0.9999999999999998,0.4731866735807805,0.19463090891476148,0.20672364035313462,0.3873599138928276,0.17675240438432402,0.24040469644571397,0.21079956095499436,0.3438388651815465,0.32660268410789783,0.20722165884895438,0.35633830668695565,0.3681967170626753,0.4939567784040019
ZEB-E-cad_2-1,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,1.0,1.0,1.0,0.3999547237758634,0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999999
E-cad-NRF2_2-0,0.8388698221513503,0.026258257646014117,0.36354910288906184,0.33162442358756394,0.42817087772212475,0.3046064202062263,0.4111203793856748,0.3063702522968261,0.3032393686600362,0.2961858569221727,0.2979524808639009,0.41208368113199556,0.3214642396117212,0.5469757695639095,0.32887385103152655,0.36067743061500646,1.0,0.4731866735807804,1.0,0.0,0.29887912690788976,0.33627581213531443,0.5196179953410572,0.3109777078263252,0.4363419109595472,0.33405757235727135,0.5039458854157426,0.37308453106301465,0.29907504368947946,0.8683864072616607,0.5033448508459165,0.45214767947777723
I-SNAIL_1-2,0.22607564136194896,0.3338447569833355,0.09143187712308495,0.12570018924431553,0.3064223796701544,0.2060677464419447,0.15677499309610143,0.0021945877608947036,0.16715229833697276,0.0002635364020811326,0.0002936542016819076,0.3646751900893763,0.005502548187835118,0.24789339934435012,0.09592705081782246,0.09262996197447171,1.0,0.1946309089147615,1.0,0.29887912690788976,0.0,0.09459597136036606,0.23629328069897612,0.0022798096144999542,0.09619073397842245,0.03468963698330156,0.18354275890017321,0.13233659849686027,0.0010637799110692651,0.24867549676194287,0.3090107519098501,0.2246662692163185
E-cad-ZEB_2-0,0.38941398493999385,0.32634911441256675,0.0014043270415874574,0.20251031558741794,0.3655337393666117,0.406816366369602,0.1567677322885312,0.11473448165287722,0.2595909922272245,0.09243471500035412,0.09070241128014622,0.5929973404683748,0.12581691360050962,0.30303090886816875,0.00035640440005953606,0.0016379760739733415,1.0,0.20672364035313462,1.0,0.3362758121353144,0.0945959713603661,0.0,0.3277506461171476,0.10291648794593969,0.020943621708803605,0.1486738207844274,0.11872356322896821,0.17628451851908009,0.09127484137190453,0.3810011889827815,0.40626903490671346,0.3268295062688429
ZEB-E-cad_2-0,0.38593999007438484,0.5469877561987031,0.3225297926746562,0.3433023194671081,0.4602808348079341,0.397848024842989,0.3645677077934584,0.23669152300180002,0.3788735216553717,0.23640601717362147,0.23638240995786447,0.5107414370229467,0.23532718564732735,0.42179478906937046,0.3291974717461228,0.32360830457196416,1.0,0.38735991389282753,0.39995472377586333,0.5196179953410572,0.2362932806989761,0.3277506461171476,0.0,0.23528437847021927,0.32238522390203245,0.2590960370544973,0.38401083779719375,0.3449141850069545,0.23788849888093727,0.4026382514709358,0.47246862715004334,0.4108045989689816
miR200-ZEB_2-0,0.21462984495172902,0.34718528415019884,0.09860757346361149,0.1392161416134443,0.30967586096313915,0.18623310941515223,0.13897693694992957,0.005497419628643944,0.1665748121115721,0.0016636675551651764,0.0019414616255054677,0.34978910964156534,0.002251395139595797,0.24829222013412838,0.1039909172363686,0.09940836303757133,0.9999999999999999,0.176752404384324,0.9999999999999998,0.31097770782632517,0.0022798096144999525,0.1029164879459397,0.2352843784702192,0.0,0.10864979471155865,0.03421720936390883,0.19978213083607593,0.13399303236470028,0.00555498729751182,0.23814094531974492,0.30413870719096026,0.24398648064909315
SNAIL-miR200_2-0,0.3087123039511943,0.42970797689821105,0.015687325817282445,0.19196180656253597,0.38945062979925993,0.46351138986503276,0.20030981480275173,0.10996936073527604,0.263275802185872,0.09624659794251265,0.09408011278481584,0.6315775866844793,0.1293716592449819,0.30579959092632747,0.024233441847513817,0.01756290173586611,1.0,0.24040469644571397,1.0,0.4363419109595472,0.09619073397842245,0.02094362170880361,0.3223852239020325,0.10864979471155865,0.0,0.15664025380556582,0.08350943586146331,0.19815126346465686,0.0881725632689318,0.29937432977011247,0.39058586577229426,0.2863988730598219
SNAIL-SNAIL_2-1,0.2429713087058645,0.37211986773894945,0.14262072404144333,0.13338428525953472,0.3328743960297212,0.17209254319832323,0.17911085629220708,0.03549388391068269,0.27374007980214626,0.03602508056591623,0.035789215026822134,0.34673184632229914,0.03509348569611662,0.13392278339701735,0.14777347426267154,0.1436432747475992,1.0,0.21079956095499436,1.0,0.3340575723572714,0.03468963698330156,0.14867382078442737,0.2590960370544973,0.03421720936390883,0.15664025380556582,0.0,0.25932517907290265,0.09317679776037988,0.04106206310195396,0.26662809585569414,0.34745729792019786,0.23408611758762526
SNAIL-miR200_2-1,0.37490284972359833,0.4992273355017951,0.11557179416586345,0.28000835046074124,0.44422169677069245,0.5657838297271944,0.3097588780677486,0.1926153394699769,0.2931667466790977,0.18430284059965016,0.18246155300561834,0.518139984662767,0.21765886027295733,0.4246318333910295,0.12428631758232558,0.11806112292191535,1.0,0.3438388651815464,1.0,0.5039458854157426,0.18354275890017321,0.11872356322896818,0.38401083779719375,0.19978213083607593,0.08350943586146331,0.2593251790729027,0.0,0.325470173277014,0.17117767316899662,0.36777491702247067,0.39964184978026723,0.34569485079216755
NRF2-SNAIL_2-0,0.3630400620871516,0.39701345991558545,0.16821381284788567,0.08552151404552075,0.40376125574048416,0.23438288092118442,0.29450096138760934,0.13563723064124253,0.4790381818302681,0.1332293930285961,0.13200658699358853,0.45220110584530937,0.138829950400846,0.08269871881555484,0.17197188954417686,0.16835153590461557,1.0,0.32660268410789783,0.9999999999999999,0.37308453106301465,0.13233659849686027,0.1762845185190801,0.3449141850069545,0.13399303236470028,0.19815126346465683,0.09317679776037985,0.325470173277014,0.0,0.14052090360952024,0.36808464469316815,0.6361029074630921,0.20125944937393242
