Boolean,JSD,heatmap,data
 ,OVOL-ZEB_2-1,ZEB-ZEB_1-2,ZEB-OVOL_2-0,ZEB-miR200_2-0,SNAIL-ZEB_1-2,WT,OVOL-ZEB_2-0,ZEB-miR200_2-1,miR200-ZEB_2-1,OVOL-miR200_2-0,ZEB-OVOL_2-1,ZEB-ZEB_1-0,OVOL-miR200_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-0
ZEB-OVOL_2-1,1.0,1.0,0.3582668101322288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZEB-ZEB_1-0,9.211628737181704e-05,1.3968310590494783e-05,0.47772612007749204,0.4182748050749969,0.33674993837819656,0.28148168384386213,0.0001755562833026074,1.0,0.24268735870858965,0.10405339943473707,1.0,0.0,4.969989173216451e-05,0.21627086134295553,0.20714123795593148,0.34041666217230543,0.3086110422802331
OVOL-miR200_2-1,6.492139759495079e-06,1.0972159089972901e-05,0.4776690095473968,0.41826070964457673,0.33673433657557367,0.28145784805885204,3.844187381870463e-05,1.0,0.2425900756166201,0.10392791638984616,1.0,4.969989173216451e-05,0.0,0.2162449065277111,0.20710861636729572,0.3403703172911397,0.308590438278344
miR200-ZEB_2-0,0.2162544113326183,0.21624754108161967,0.2696733052105751,0.046860695874891174,0.018847879827245666,0.0061182804731268105,0.21628552228450762,0.42258741701203595,0.0012680261739138991,0.028683757916269464,1.0,0.21627086134295553,0.2162449065277111,0.0,0.000168387864194648,0.01989030161938248,0.011616428966042064
SNAIL-miR200_2-0,0.20711595662942095,0.20711425936158018,0.27066627319377873,0.0521255760884108,0.02222646971544857,0.008067847571383593,0.20714419185982635,0.4353610523696724,0.002064384175160295,0.02484696826092647,1.0,0.20714123795593148,0.20710861636729572,0.00016838786419464714,0.0,0.023393705778194194,0.01431726605402395
SNAIL-miR200_2-1,0.3403690711614402,0.34038424409922363,0.27284796095243735,0.005825859253372024,3.521674480500261e-05,0.004071102202533556,0.3403816409527549,0.28346014840088296,0.01203576253687557,0.09443745472480505,1.0,0.34041666217230543,0.3403703172911397,0.01989030161938248,0.023393705778194194,0.0,0.0011296349348033728
SNAIL-ZEB_1-0,0.3085993686526888,0.3085918284829965,0.269500809786022,0.012039118503779686,0.0008801727773235617,0.0009180956470567717,0.3086273336861561,0.31398184981563626,0.005846605924881157,0.07561078789600709,1.0,0.30861104228023317,0.308590438278344,0.011616428966042067,0.014317266054023944,0.0011296349348033745,0.0

RACIPE,JSD,heatmap,data
 ,OVOL-ZEB_2-1,ZEB-ZEB_1-2,ZEB-OVOL_2-0,ZEB-miR200_2-0,SNAIL-ZEB_1-2,WT,OVOL-ZEB_2-0,ZEB-miR200_2-1,miR200-ZEB_2-1,OVOL-miR200_2-0,ZEB-OVOL_2-1,ZEB-ZEB_1-0,OVOL-miR200_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-0
OVOL-ZEB_2-1,0.0,0.009494174431012123,0.07466120166089513,0.25827929994686794,0.0338195931656824,0.0260675444591866,0.014047512829133822,0.17179081454656914,0.04177058665279425,0.06567384586882824,0.34330329338751575,0.032489862526448324,0.09406815923826348,0.0349498351625546,0.02898747265831053,0.036886233291802226,0.029874216044714887
ZEB-ZEB_1-2,0.00949417443101213,0.0,0.05464382726095605,0.19633201448983498,0.05259253566001385,0.05523460297322001,0.04016709366058807,0.1346339244493312,0.045768946844094605,0.12051101090581368,0.27815040464012597,0.0646043668694323,0.15490789093103252,0.05568921341758863,0.0540157613384905,0.055732124566505135,0.055782911235867115
ZEB-OVOL_2-0,0.07466120166089511,0.05464382726095604,0.0,0.19206587741469894,0.1683040928755908,0.1585175481263707,0.1269402850991813,0.24802436882311268,0.16584129689782415,0.19028234812245415,0.1347223272369013,0.15531387387495194,0.21358094633267338,0.1714167844669067,0.16399312607019575,0.17684301863625462,0.16574923291887905
ZEB-miR200_2-0,0.2582792999468679,0.19633201448983498,0.19206587741469894,0.0,0.2513556505332694,0.30529814470462585,0.30326278457649913,0.08072010486949086,0.2013685177679499,0.4917480224573144,0.16023000911259694,0.3353741793607522,0.5549204461870807,0.26472678654807885,0.28585004005973047,0.2579469819922873,0.2865138925934788
SNAIL-ZEB_1-2,0.03381959316568239,0.05259253566001386,0.1683040928755908,0.2513556505332694,0.0,0.007036778703747871,0.01607412485197956,0.11762545056403226,0.007756026122081342,0.08515113492550418,0.45415473985668464,0.022740538144126403,0.12156072193036048,0.0017270055191808058,0.003949761499873994,0.0005067800820680855,0.0029116885701472167
WT,0.026067544459186603,0.05523460297322002,0.1585175481263707,0.3052981447046258,0.007036778703747875,0.0,0.004099093002110196,0.17443042212331167,0.02604648670440729,0.045441734164358955,0.469383811585666,0.00825805650160892,0.07325450461534977,0.005743291854164178,0.0024459776280112426,0.007869755334573039,0.0011262910115348262
OVOL-ZEB_2-0,0.01404751282913382,0.04016709366058808,0.1269402850991813,0.30326278457649924,0.01607412485197956,0.0040990930021101955,0.0,0.18908539122105728,0.0338973483186033,0.03774958168165539,0.43110334067802436,0.011306156931044874,0.06346739734496329,0.013376613930114117,0.008468284027380278,0.01721118996372078,0.007320165656895894
ZEB-miR200_2-1,0.17179081454656908,0.13463392444933123,0.24802436882311274,0.08072010486949086,0.11762545056403227,0.17443042212331167,0.18908539122105728,0.0,0.07273616001172357,0.364896386952526,0.3570172714655101,0.2135192886704654,0.4267885658261678,0.12818334316878838,0.1534991360726779,0.11849689220937956,0.15279213862883875
miR200-ZEB_2-1,0.04177058665279424,0.04576894684409459,0.16584129689782418,0.2013685177679499,0.0077560261220813425,0.02604648670440729,0.033897348318603304,0.07273616001172356,0.0,0.13206966317127516,0.4185068095823026,0.04886638240402103,0.17378780650253212,0.009533471860320268,0.019461514218073152,0.007357470536325359,0.017711887951082122
OVOL-miR200_2-0,0.06567384586882825,0.12051101090581368,0.1902823481224541,0.4917480224573144,0.08515113492550416,0.04544173416435894,0.0377495816816554,0.364896386952526,0.1320696631712752,0.0,0.5496531201150565,0.038506343246948696,0.007844913350927563,0.07967108474107173,0.05921378473644125,0.08731679142970013,0.059233433681257774
ZEB-OVOL_2-1,0.34330329338751575,0.278150404640126,0.1347223272369013,0.16023000911259694,0.45415473985668464,0.469383811585666,0.43110334067802436,0.3570172714655102,0.4185068095823026,0.5496531201150565,0.0,0.48415540669873725,0.581254530867895,0.4609400977846646,0.4712094313493105,0.467850783959653,0.46913602974866214
ZEB-ZEB_1-0,0.032489862526448324,0.06460436686943231,0.15531387387495194,0.33537417936075226,0.022740538144126403,0.008258056501608917,0.011306156931044866,0.21351928867046538,0.048866382404021025,0.038506343246948696,0.4841554066987373,0.0,0.06040124279594607,0.0218543174611042,0.011174607685018031,0.0233462610981084,0.012837648256974962
OVOL-miR200_2-1,0.09406815923826348,0.15490789093103252,0.21358094633267338,0.5549204461870806,0.12156072193036047,0.07325450461534977,0.06346739734496332,0.42678856582616775,0.17378780650253212,0.007844913350927563,0.5812545308678951,0.06040124279594605,0.0,0.11202080130066935,0.09319200771186668,0.12406303633747706,0.0905669944256634
miR200-ZEB_2-0,0.0349498351625546,0.05568921341758863,0.1714167844669067,0.2647267865480788,0.0017270055191808053,0.005743291854164179,0.013376613930114117,0.12818334316878835,0.009533471860320273,0.07967108474107173,0.4609400977846646,0.021854317461104215,0.11202080130066937,0.0,0.0054387190973843435,0.00164530909575581,0.0022748891074827514
SNAIL-miR200_2-0,0.028987472658310524,0.054015761338490495,0.16399312607019573,0.28585004005973047,0.003949761499873993,0.002445977628011243,0.008468284027380276,0.1534991360726779,0.019461514218073152,0.05921378473644125,0.4712094313493105,0.011174607685018028,0.09319200771186667,0.005438719097384344,0.0,0.0038999409398354297,0.001342465248568049
SNAIL-miR200_2-1,0.036886233291802226,0.05573212456650514,0.17684301863625462,0.25794698199228727,0.0005067800820680855,0.007869755334573039,0.017211189963720775,0.11849689220937956,0.007357470536325355,0.08731679142970014,0.46785078395965296,0.0233462610981084,0.12406303633747706,0.0016453090957558104,0.003899940939835431,0.0,0.0032659116584056393
SNAIL-ZEB_1-0,0.029874216044714894,0.055782911235867115,0.16574923291887908,0.28651389259347887,0.0029116885701472124,0.0011262910115348262,0.0073201656568958945,0.15279213862883878,0.01771188795108212,0.059233433681257774,0.46913602974866214,0.012837648256974962,0.09056699442566342,0.002274889107482747,0.001342465248568049,0.0032659116584056384,0.0
