Boolean,JSD,heatmap,data
 ,OVOL-ZEB_2-1,ZEB-ZEB_1-2,ZEB-OVOL_2-0,ZEB-miR200_2-0,SNAIL-ZEB_1-2,WT,OVOL-ZEB_2-0,ZEB-miR200_2-1,miR200-ZEB_2-1,OVOL-miR200_2-0,ZEB-OVOL_2-1,ZEB-ZEB_1-0,OVOL-miR200_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-0
OVOL-ZEB_2-1,0.0,3.434400198917831e-05,0.4776600876171485,0.4182689699015558,0.3367443016596815,0.2814663526176848,1.3338589229857289e-05,1.0,0.24257309068465238,0.10390440692213615,1.0,9.211628737181704e-05,6.492139759495079e-06,0.2162544113326183,0.20711595662942095,0.3403690711614402,0.3085993686526888
ZEB-ZEB_1-2,3.434400198917831e-05,0.0,0.4776899106122813,0.41826057180114484,0.3367337678662694,0.2814603810142481,9.048781531398667e-05,1.0,0.24262658395647807,0.10397581832737912,1.0,1.3968310590494783e-05,1.0972159089972901e-05,0.21624754108161967,0.20711425936158018,0.34038424409922363,0.3085918284829965
ZEB-OVOL_2-0,0.47766008761714857,0.4776899106122813,0.0,0.28645125392663073,0.27236421714045944,0.2678447277175213,0.47765815021101454,0.558068074229508,0.26782538480077456,0.3039209811328538,0.3582668101322287,0.47772612007749204,0.47766900954739683,0.2696733052105751,0.2706662731937787,0.27284796095243735,0.2695008097860219
ZEB-miR200_2-0,0.4182689699015558,0.41826057180114484,0.2864512539266306,0.0,0.006451934712155705,0.01952412939808916,0.41829317582945974,0.21951224434576075,0.03433706516437401,0.14471214770460097,1.0,0.4182748050749969,0.4182607096445768,0.046860695874891174,0.052125576088410806,0.005825859253372022,0.012039118503779686
SNAIL-ZEB_1-2,0.33674430165968144,0.3367337678662694,0.27236421714045944,0.006451934712155702,0.0,0.003558917524312236,0.33677303389450775,0.286780370407295,0.01115379361134122,0.09222787398618243,1.0,0.3367499383781966,0.33673433657557367,0.018847879827245666,0.022226469715448574,3.521674480500258e-05,0.0008801727773235625
WT,0.2814663526176848,0.2814603810142481,0.2678447277175214,0.019524129398089157,0.003558917524312236,0.0,0.28149439454991826,0.34254421310571365,0.0021448739143946835,0.06046804645440477,1.0,0.28148168384386213,0.28145784805885204,0.006118280473126812,0.008067847571383586,0.004071102202533556,0.0009180956470567717
OVOL-ZEB_2-0,1.3338589229857289e-05,9.048781531398667e-05,0.47765815021101454,0.4182931758294597,0.33677303389450775,0.28149439454991826,0.0,1.0,0.24256557481701485,0.10389093563330293,1.0,0.0001755562833026074,3.844187381870463e-05,0.2162855222845076,0.20714419185982635,0.3403816409527549,0.3086273336861561
ZEB-miR200_2-1,1.0,1.0,0.558068074229508,0.21951224434576075,0.286780370407295,0.3425442131057137,1.0,0.0,0.3882663838785898,0.6192473747650697,1.0,1.0,1.0,0.42258741701203595,0.43536105236967226,0.283460148400883,0.31398184981563626
miR200-ZEB_2-1,0.24257309068465238,0.24262658395647807,0.26782538480077456,0.03433706516437403,0.01115379361134122,0.0021448739143946852,0.24256557481701485,0.3882663838785898,0.0,0.040618559406984764,1.0,0.24268735870858965,0.2425900756166201,0.0012680261739138974,0.002064384175160295,0.012035762536875574,0.005846605924881157
OVOL-miR200_2-0,0.10390440692213615,0.10397581832737912,0.3039209811328538,0.14471214770460097,0.09222787398618243,0.06046804645440475,0.10389093563330293,0.6192473747650696,0.040618559406984764,0.0,1.0,0.10405339943473707,0.10392791638984616,0.028683757916269474,0.02484696826092647,0.09443745472480505,0.07561078789600709
