"Pos","GRHL2Cor","GRHL2Pval","GRHL2actCor","GRHL2actPval","NRF2Cor","NRF2Pval","OCT4Cor","OCT4Pval","OVOLCor","OVOLPval","OVOLinhCor","OVOLinhPval"
-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4,NA,NA,0.999884538485329,0.00967426378116496,0.601425470694305,0.589199357485898,NA,NA,NA,NA,0.879550649068464,0.00177160914155495
-3,NA,NA,0.910665372437571,0.00436411249998414,0.690128566137545,1.74075252227609e-05,0.88633296514365,3.30232160550057e-11,0.906505010925633,0.000119340018204404,0.76432491392895,0.000565426364585755
-2,0.864098823293429,0.000602834224022174,0.892030711703489,5.01208296265883e-15,0.72146826558643,7.88340217158507e-32,0.853791471081197,1.13409089856166e-22,0.802236878338247,0.00296715764914088,0.00268812350695489,0.995436516287677
-1,0.95772451586086,0.0103679626259819,NA,NA,0.733866345132938,7.06135025293196e-58,0.78937013140546,0.00661985058543701,NA,NA,NA,NA
