"","Pos","GRHL2Cor","GRHL2Pval","GRHL2actCor","GRHL2actPval","NRF2Cor","NRF2Pval","OCT4Cor","OCT4Pval","OVOLCor","OVOLPval","OVOLinhCor","OVOLinhPval"
"1",2,-0.142774792117244,0.693969180796236,NA,NA,NA,NA,NA,NA,-0.00177667016827243,0.996668750444683,-0.110437292540713,0.794607587204187
"2",3,-0.544777896875059,0.035733719759976,-0.100053547889596,0.75703152641058,NA,NA,0.049063647438201,0.88608978384152,-0.450146388191216,0.0922384164073971,-0.335464332793605,0.221577156693057
"3",4,0.15462596498766,0.803911468467765,-0.724171089602071,0.0034026347686189,NA,NA,-0.505900040086775,0.0162997710146516,0.34237191389483,0.45222914534391,-0.0705890233334285,0.88046268795337
"4",5,0.747853101592849,0.46216947120256,-0.0287270420751701,0.97127295792483,NA,NA,-0.0681270664217518,0.816996579280653,0.8457371889785,0.358322157709435,0.998416237615965,0.035834179732008
"5",6,NA,NA,0.224140654414732,0.856084992135817,0.136589593109616,0.672084043392524,0.0776905941147966,0.922309405885203,NA,NA,NA,NA
"6",7,NA,NA,NA,NA,0.143932391490763,0.691589861729637,NA,NA,NA,NA,NA,NA
"7",8,NA,NA,NA,NA,-0.298736436274746,0.0391592584408725,NA,NA,NA,NA,NA,NA
"8",9,NA,NA,NA,NA,-0.466573731828959,0.0329954825475617,NA,NA,NA,NA,NA,NA
"9",10,NA,NA,NA,NA,0.123796423722206,0.507007867584384,NA,NA,NA,NA,NA,NA
"10",11,NA,NA,NA,NA,-0.530861432290317,0.357332444009459,NA,NA,NA,NA,NA,NA
