"plast_2","JSD","pos_cycle","network","logJSD","JSD_tag"
0.2671,0.0312777909518852,2,"Perturbations/GRHL2",-3.46484698754166,-4
0.5759,0.00352678466085327,3,"Perturbations/GRHL2",-5.64736868407092,-6
0.5984,0.00430877854045282,3,"Perturbations/GRHL2",-5.44710081631926,-6
0.2621,0.531362406156198,2,"Perturbations/GRHL2",-0.632310993066381,-1
0.1816,0.0544393553640392,2,"Perturbations/GRHL2",-2.91066794248795,-3
0.2868,0.250314253416568,2,"Perturbations/GRHL2",-1.38503813683386,-2
0.3244,0.0484200394917949,2,"Perturbations/GRHL2",-3.02784151186341,-4
0.3738,0.0036083882686337,2,"Perturbations/GRHL2",-5.62449406931397,-6
0.6317,0.00151878275006832,3,"Perturbations/GRHL2",-6.48984608727692,-7
0.5914,0.0106704193187068,3,"Perturbations/GRHL2",-4.54027991559278,-5
0.3344,0.187678480377314,2,"Perturbations/GRHL2",-1.67302499099107,-2
0.3272,0.00592446855640062,2,"Perturbations/GRHL2",-5.12866429110605,-6
0.3509,0.540716624091629,2,"Perturbations/GRHL2",-0.61485993756722,-1
0.4389,0.00444853343639421,2,"Perturbations/GRHL2",-5.41518080197765,-6
0.6877,0.0117596983740477,4,"Perturbations/GRHL2",-4.44307698530592,-5
0.4631,0.0353419460215745,3,"Perturbations/GRHL2",-3.3426847479141,-4
0.4262,0.0297288585252571,3,"Perturbations/GRHL2",-3.51563703741972,-4
0.6802,0.0103889954652531,5,"Perturbations/GRHL2",-4.56700816138887,-5
0.6045,0.00931249419756642,4,"Perturbations/GRHL2",-4.67639831835677,-5
0.4465,0.0445910902937958,3,"Perturbations/GRHL2",-3.11022120911005,-4
0.5472,0.0292395872567627,3,"Perturbations/GRHL2",-3.53223175990598,-4
0.4704,0.00494791994813167,3,"Perturbations/GRHL2",-5.3087880032142,-6
0.6009,0.00412211335479135,4,"Perturbations/GRHL2",-5.49138929694261,-6
0.5723,0.000339071549683931,3,"Perturbations/GRHL2",-7.98929941183952,-8
0.8033,0.0174583447728854,5,"Perturbations/GRHL2",-4.04793753415935,-5
0.3766,0.0583871801170834,3,"Perturbations/GRHL2",-2.84065893178877,-3
0.5555,0.00926459247314107,4,"Perturbations/GRHL2",-4.68155540584188,-5
0.4794,0.121175132870792,3,"Perturbations/GRHL2",-2.11051840073146,-3
0.4617,0.0176404845712632,3,"Perturbations/GRHL2",-4.03755875875453,-5
0.7198,0.00573109295660427,5,"Perturbations/GRHL2",-5.16184902358172,-6
0.6364,0.00217905133635217,4,"Perturbations/GRHL2",-6.12886566370463,-7
0.4923,0.0276984390342389,3,"Perturbations/GRHL2",-3.58637921993126,-4
0.5434,1e-04,3,"Perturbations/GRHL2",-9.21034037197618,-10
0.5184,0.231333709876925,3,"Perturbations/GRHL2act",-1.46389397943472,-2
0.56,0.0329893554040583,3,"Perturbations/GRHL2act",-3.41157033306384,-4
0.4548,0.0303003275195263,3,"Perturbations/GRHL2act",-3.49659675729994,-4
0.4218,0.0624767923663089,3,"Perturbations/GRHL2act",-2.77296011333598,-3
0.4357,0.236497850941347,3,"Perturbations/GRHL2act",-1.4418161580202,-2
0.7377,0.00432105379679984,4,"Perturbations/GRHL2act",-5.44425597202888,-6
