"Pos","GRHL2Cor","GRHL2Pval","GRHL2actCor","GRHL2actPval","NRF2Cor","NRF2Pval","OCT4Cor","OCT4Pval","OVOLCor","OVOLPval","OVOLinhCor","OVOLinhPval"
0,NA,NA,NA,NA,NA,NA,-0.0953100020915219,0.904689997908478,NA,NA,NA,NA
1,-0.270961045685837,0.516267722680814,-0.0648526766570437,0.811401685710574,NA,NA,-0.524261276614483,0.0122578169599313,-0.467943591878829,0.242274552602835,-0.630241064565597,0.0939280580828868
2,-0.0718431856464078,0.878349733329868,-0.514298606682467,0.0203424422516148,-0.425521402299279,0.12929096355824,0.0855263354253224,0.604678465588213,-0.212605619613673,0.582867810991629,0.448397904139463,0.166590876309005
3,-0.103259070588852,0.934145850888292,-0.0841630467010435,0.81719190671971,0.306006617397477,0.0487394470274828,-0.269646457770875,0.10653728466554,-0.369301617142757,0.328008805556321,-0.196804975611539,0.539831273766805
4,NA,NA,-0.899375756089695,0.288042954525409,-0.341808749831247,0.00127735170974283,-0.0872687231153358,0.730600353518448,NA,NA,0.575805967177794,0.609376731922873
5,NA,NA,NA,NA,-0.223120768002205,0.00782704831223872,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,-0.339576500888654,1.27160663294197e-05,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,-0.223970055040542,0.0486971698903345,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,-0.283692806522433,0.151567988644419,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,-0.448159264392264,0.193958058680793,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
