"Pos","GRHL2Cor","GRHL2Pval","GRHL2actCor","GRHL2actPval","NRF2Cor","NRF2Pval","OCT4Cor","OCT4Pval","OVOLCor","OVOLPval","OVOLinhCor","OVOLinhPval"
-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7,NA,NA,NA,NA,NA,NA,0.58801335243282,0.599820488396889,NA,NA,0.965829972178924,0.166902277262706
-6,0.908092307491127,0.00180953997896891,0.860467231968907,0.00610064756278518,0.458519149359803,0.25317523004539,0.874548599652201,0.00999569770490169,0.571716857613374,0.179931599247705,0.886903529492529,0.113096470507471
-5,0.803101290946502,0.0296239634814461,0.872599728612328,0.00468816630733841,0.550230168979526,0.000132108378412267,0.789636806487953,0.00384215968139516,0.799184777134459,0.0564410175824831,0.83486171286957,0.00138596305072
-4,0.902270300907378,0.00543745015821647,0.868839362288394,0.0246764836990677,0.384241600818355,0.0188761445931516,0.780897057745509,0.000130745407783368,0.911184320913503,0.000629711100483484,0.873959435700236,0.00454450226456129
-3,0.940493364583679,0.22072693026371,0.815902178077117,0.184097821922883,0.719655842946479,7.38931148388953e-06,0.882625084141517,0.0474131597225774,0.985801296445343,0.0141987035546568,NA,NA
-2,NA,NA,NA,NA,0.824589599925617,0.0434546281809963,0.741616466701279,0.151404270343265,NA,NA,0.989140267012863,0.0939071166583269
-1,NA,NA,NA,NA,-0.618318415128447,0.381681584871553,NA,NA,NA,NA,NA,NA
