d_m_1,d_m_2,d_m_3,d_m_4,d_m_5,d_m_6,d_m_7,d_m_8,d_m_9,d_m_10,d_m_11,d_m_12,d_m_13,d_m_14,d_m_15,d_m_16,d_m_17,d_m_18,d_m_19,d_m_20,d_m_21,d_m_22,d_m_23,d_m_24,d_m_25,d_m_26,d_m_27,d_m_28,d_m_29,d_m_30,d_m_31,d_m_32,d_m_33,d_m_34,d_m_35,d_m_36,d_m_37,d_m_38,d_m_39,d_m_40,d_m_41,d_m_42,d_m_43,d_m_44,d_m_45,d_m_46,d_m_47,d_m_48,d_m_49,d_m_50,d_m_51,d_m_52,d_m_53,d_m_54,d_m_55,d_m_56,d_m_57,d_m_58,d_m_59,d_m_60,d_m_61,d_m_62,d_m_63,d_m_64,d_m_65,d_m_66,d_m_67,d_m_68,d_m_69,d_m_70,d_m_71,d_m_72,d_m_73,d_m_74,d_m_75,d_m_76,d_m_77,d_m_78,d_m_79,d_m_80,d_m_81,d_m_82,d_m_83,d_m_84,d_m_85,d_m_86,d_m_87,d_m_88,d_m_89,d_m_90,d_m_91,d_m_92,d_m_93,d_m_94,d_m_95,d_m_96,d_m_97,d_m_98,d_m_99,d_m_100,d_m_101,d_m_102,d_m_103,d_m_104,d_m_105,d_m_106,d_m_107,d_m_108,d_m_109,d_m_110,d_m_111,d_m_112
683,5,0.447744871668166,0.0793397081410117,0.384687219288309,-0.229715634622099,0.458673313055251,-0.888138020907009,0.502697493790373,0.920246421148563,-0.669248488120857,0.872889299019749,0.371897249095999,0.845147149757183,-0.381387730445466,1.45001481961293,0.7327915642,0.301560949097271,0.636683079984894,2.10722030660384,0.550634613888605,0.760462411568654,0.976800293599526,-0.898934632624722,1.25353916694344,1.12542318849214,0.641558629292509,-0.835630225928905,-0.300112172750965,0.077877686454097,0.873917863532691,-0.940581543279129,1.01085674747555,-0.226919299397099,-0.309055666424655,0.0973565676425951,-0.381387730445466,1.45001481961293,0.852776288980134,-1.24494896014528,0.709324554200664,2.10722030660384,0.776047920205917,1.05015905717605,1.01974339896233,0.889278602147068,1.24089908842861,0.602894840679328,-0.0245002838538941,0.030856008174777,0.893663032598504,-0.38381639044283,0.536195962476608,-0.940581543279129,0.912925587704257,-0.226913881086039,0.336075158873067,0.0973565676425951,-0.381387730445466,1.45001481961293,0.0403467102336004,-0.72701767241255,-0.457253107540555,2.10722030660384,0.350997694827905,0.738554999313368,0.966518173593144,0.887553190565309,-1.24948749748712,-0.911703245672093,-0.0697857162286358,0.83187733784386,1.15159201434801,-1.78237799968245,-0.34892626034242,0.920366704847139,-1.1798414995262,0.872889479630118,1.01702781769011,0.845147149757183,-0.381387730445466,1.45001481961293,-0.856138296075994,0.463252402497775,-0.742934291464968,2.10722030660384,-0.36640937033178,-0.847688371781169,-0.814276111544186,-1.06241890025323,1.25353958421792,1.13866119310601,0.641558629292509,-1.19641495188774,-0.300112172750965,0.441887781805483,0.873917863532691,-0.940581543279129,1.01113046942854,-1.31544751601743,-1.15682716578139,-0.934677023331764,-0.381387730445466,1.45001481961293,0.852776763786781,-1.24494896014528,0.709324554200664,2.10722030660384,1.22324448325298,1.05015905717605,1.01974339896233,0.889282122742022
708,5,-1.02031312091782,-0.899348908180606,-1.12064450456615,1.00661594460074,0.934677969967913,-0.983235030339889,-0.816819302082764,1.33592288983001,-1.07396043407487,1.28866375945545,1.01082842552418,1.1988322484331,-0.140052915526663,0.039350818247185,-1.22376968690916,0.416175385268523,-0.358191889739837,0.785561153539347,-1.15034436993281,-0.657448821905504,-1.1456320829686,-0.976594796616357,1.34586698724269,0.988003571715012,0.674134168576782,-1.45800288968731,-0.469422357615073,1.06020406121625,1.20028169261014,0.0615231018124918,1.01840373265102,-0.43253210324219,-0.568704179586716,-0.991918737865384,-0.140052915526663,0.039350818247185,1.16693074988214,-1.30766262557926,1.04937986104442,0.785561153539347,1.06579252489594,1.44815363074733,0.968903721453413,1.03568318343528,0.975640762204973,0.665701160041547,-1.1206156068555,-0.144728627619712,0.913679056609282,0.499478056020087,0.326141357002958,0.0776003914450488,1.01632682398687,-0.432529935917766,0.000479599365123685,-0.991912051044778,-0.140052915526663,0.039350818247185,-0.101306494143438,-0.706346369618415,-0.0913196932587146,0.785561153539347,0.419761944057834,0.500020986569497,0.476553113138202,1.03568318343528,1.34586684815119,0.204205033825005,0.674059374502156,-1.02533674300297,-0.468974749843769,0.665799824418203,0.745625059441885,1.30239309851503,0.0600988126822493,0.67613814291384,0.216702718098751,-0.619837472803503,-0.140052915526663,0.039350818247185,0.745580684705352,-0.259364565658611,1.01273049292686,0.785561153539347,0.834748476242731,1.44749892745014,0.968903397065615,0.981860967880105,1.34572302754747,0.0647990343985476,0.673871709369457,-0.900641243124377,-0.467860255515136,0.446491712963912,0.641412392493021,1.33329748500754,-0.11081308527694,0.676281908767308,0.216903460321267,0.110368036192112,-0.140052915526663,0.039350818247185,0.704904541957137,-0.167902610456568,0.999029019106762,0.785561153539347,0.67652396846556,1.15600337083551,0.967536751276207,0.412122446296252
1065,5,0.863602425528933,0.747286825720036,1.31938367029682,-0.272136616355747,-0.532580115819312,0.344260930599329,0.554388316442617,-0.632212971874395,0.598528574871237,0.0593457870225826,0.0976268983450463,-0.342415563136248,0.0417443470542436,0.452512724467685,0.0739337862647146,-0.0801166273888961,-0.0940157736110292,0.412279332756228,0.242348902156791,-0.241189287294585,-0.964263946089761,0.595951912112336,0.852819357536702,0.688986580907594,1.31938333032376,0.0827874770291898,-0.514314362634571,0.00529439115512842,0.547771793862887,-0.632212971874395,0.205791712675073,0.488421478669937,0.17908203403687,-0.0545660085465182,0.0417443470542436,0.452512724467685,-0.0294567175470071,-0.0591242904442302,-0.302380126196637,0.412279332756228,-0.281564015656401,-0.245520870048332,-0.964264270477558,0.593739058156433,-1.36254231479376,-0.961656034837825,-0.413867017247068,0.919344298044217,0.450124645679133,-1.45794721613734,-0.697952160050964,1.1126883420715,-1.46633453358467,1.48409212522116,0.991139258686606,1.05315317471607,0.0417443470542436,0.452512724467685,-1.06640675851616,1.21427546124311,-1.40426856953365,0.412279332756228,-1.02047686799397,-1.67206296598914,-0.964269460682312,-0.955760555784203,0.852530881780289,0.501017565134053,1.31938333032376,0.0831312709826455,-0.513526429662256,-0.174096965740612,0.547519796639468,-0.632212656169149,0.203160536631654,0.488421478669937,0.476263566978218,-0.0545426950368387,0.0417443470542436,0.452512724467685,-0.0345196486455096,-0.0583378129657718,-0.310891688554179,0.412279332756228,-0.281593893258284,-0.245631805491245,-0.964264594865355,0.593551506461587,0.969880844389736,1.13868394992593,1.31938401026989,-1.51141252109051,-0.930267365144365,0.907891328345212,0.935172420644588,-0.632212971874395,0.833741529277271,-0.696492892792363,-1.18682490781166,-1.13846764043581,0.0417443470542436,0.452512724467685,1.09844925163422,-0.443047794876145,0.843146520178477,0.412279332756228,1.16288848675626,0.663707153507873,0.929324841934886,0.595951912112336
1225,5,-0.748440298746154,-0.962388699810272,-1.153371331865,1.10363702148322,0.850478309958599,-0.802644069799116,-0.960696866694229,-0.938398757211,-0.980054564241615,0.773997536533113,0.812136109680656,0.921847692978438,-0.0590159054872439,-0.136244633060554,-0.919918055424169,0.905098221952505,-0.658262348563042,0.142405142170109,-0.882238657927468,-1.02648683631639,-1.79259759336798,-0.980874879918685,0.720325530447538,1.06450736672191,0.881384129716315,-0.953025375959187,-0.670462541054215,1.03890058480144,0.69351156793544,-2.78913867622055,0.897611364584443,-1.52973359098717,-1.04832868989938,-0.429293266594585,-0.0590159054872439,-0.136244633060554,1.19633138788373,-0.763890898245886,1.08082740938698,0.142405142170109,1.09710061577109,0.797931530392587,0.176420115965433,0.505327637282137,-0.475580066065919,0.46360333533537,-1.15337099189194,0.643391341729934,0.850476801592056,0.506141126568318,-0.296806645700155,-2.63205447998466,0.897611364584443,-1.01238891629734,-0.372960489752059,-0.429283326726117,-0.0590159054872439,-0.136244633060554,-0.023328116845753,-0.00287476188488492,-0.136385933442893,0.142405142170109,-0.164678094612075,-0.0964896576547923,-1.64339964310848,0.505327637282137,0.134440449212079,0.734829877017536,0.874406862472884,-0.575749899065545,-0.170882869275205,0.897825665550902,0.325607264325122,-2.78913046788417,0.897611364584443,-1.51877559869875,-1.02446924457602,-0.429293266594585,-0.0590159054872439,-0.136244633060554,0.909334307068342,-0.212817610649896,1.08005663426025,0.142405142170109,0.427298134405909,0.140521011689076,-1.0749813939119,0.505327637282137,-0.475598426142991,0.441506089515424,-1.15337099189194,0.885546533099406,0.850476801592056,0.124037888328198,-0.303338479274615,-2.49051529433723,0.675804074261882,0.250819508155723,0.181265041530829,-0.156694542557775,-0.0590159054872439,-0.136244633060554,-0.0233631847080548,-0.00265318463863197,-0.136404756259345,0.142405142170109,-0.372533646387678,-0.0964990085350378,-1.64341099668138,0.505327637282137
1327,5,1.53115396412775,0.813569781812581,0.700720402348823,-0.013354892332471,-0.474323794692919,1.12419871766662,0.814317674229437,-1.21673807706405,1.02209690960236,-1.20888342506936,-0.236909117015282,-1.18725667154911,-1.72269082886337,-0.431315525562566,0.113785868163599,-0.393879185838856,-0.530252791477567,-0.557311042960318,0.482399704076171,0.531440652594573,1.11274927305988,0.871224351112569,1.54815372639812,1.05883766758693,0.700720402348823,-0.805988628144219,-1.71667066524081,1.30452921013358,1.14877982475478,-1.21673807706405,1.02209702146258,-1.20888342506936,-1.00607001337547,-1.18725667154911,-1.72269082886337,-0.431315525562566,1.0309235391652,-0.394166880386823,0.52933002739827,-0.557311042960318,0.904919423040699,1.34601779118526,1.21052462093898,0.871224351112569,1.06774088973023,0.520909417267619,-0.355515060035117,0.534645388173891,0.767389373361562,0.729724046813089,0.289522331324181,-1.21673807706405,1.02209690960236,-1.20888342506936,-0.236703754127797,-1.18725667154911,-1.72269082886337,-0.431315525562566,-0.404165847567286,0.0185624152625289,-0.618130567332437,-0.557311042960318,-0.0574775752195565,0.23806089361046,0.471513748709419,0.871224351112569,-0.960738843565321,-0.697808494776209,-0.355515400008183,1.10441815955774,0.767395029736095,-0.557453378442448,-0.654840799335826,-0.034540006026175,-0.968273222381018,1.10789120266648,1.00580460753728,1.11190611070659,-1.72269082886337,-0.431315525562566,-1.2215079793645,0.736702698919598,-1.84066385271402,-0.557311042960318,-1.29323645121966,-1.06665368409117,-0.707864587341463,-0.529228314999508,0.580984368251124,0.160544524051603,-0.355515400008183,0.950058052980259,0.767395029736095,0.46147245369495,0.180814765236156,-0.0346435573467342,0.906880102232504,-0.0408680433627755,0.353161351111771,-0.030066040021667,-1.72269082886337,-0.431315525562566,-0.839270654308862,0.736534315196537,-1.84063427400245,-0.557311042960318,-0.531195647620998,0.10331839295214,0.00231145359909996,0.871224351112569
1608,5,0.8742582248051,1.06665005770906,0.842198834073479,-1.12232881117843,-1.01611303014251,1.25460975183854,0.914295977156168,-1.31773155372337,0.93354813746043,-1.56298088948451,-1.88222548752226,-0.0605667975031011,-0.433704874918,-1.88519641298109,0.898743337846573,-1.22275171497987,0.974079375900571,1.10639764931213,1.18680187116527,1.15473646824224,-0.00498694744906225,0.769323930697411,-1.42371030247267,-0.860352724405866,-0.781090624874068,1.04938578807401,1.11734775729347,-0.555773061256341,-0.924135536478308,0.637225823913647,-0.5983452178982,0.433213765445057,0.393646719102256,1.31555395515446,-0.433704874918,-1.88519641298109,-1.50297084957023,0.913422821030877,-0.400798103055565,1.10639764931213,-0.727566106958329,-0.206617807906743,-0.558522608900022,-1.31109804518403,-0.235879940766373,-0.374692816388798,-0.78108858503567,0.870264361789519,1.11725895221332,0.388738768561769,-0.0710302422013932,0.637225823913647,0.630522386929502,-0.384787932892555,-0.207998514770638,0.606558137495899,-0.433704874918,-1.88519641298109,-0.834236957733864,0.913422821030877,-0.400798103055565,1.10639764931213,-0.108962374236432,0.362856041207564,-0.00638862712056362,0.769323610643324,0.0739914254603141,-0.34681645933415,-0.780331125043546,0.575351652420607,1.08984721850187,0.505946465170484,0.289067580687941,0.637225823913647,0.639070744774842,-0.384803826604999,-0.371133530164276,0.605582403862102,-0.433704874918,-1.88519641298109,-0.664588136051013,0.913405027422767,-0.400794645803564,1.10639764931213,-0.0406620972897182,0.727489649342793,-0.00498727183685945,0.769323610643324,0.484595076357256,0.628931221029569,-0.766476542638228,0.135850926211882,0.929665856495056,1.12686253097564,0.428967608016267,-1.31773155372337,0.933547913739995,-1.56297908338082,-1.2171676594929,-0.0605666167782199,-0.433704874918,-1.88519641298109,-0.241367536176553,-0.0926817242315674,-0.198836581176288,1.10639764931213,0.332445442966364,1.00492941614832,-0.00498694744906225,0.769323930697411
1989,5,0.374766068955496,0.777088805835843,0.733946310109278,0.396575301598721,-0.503503145445631,0.418470215869146,0.430213795517435,-1.05808230011552,0.792693415608494,-1.15867103342137,-0.49659677747777,0.279542428819198,-0.75511252379036,0.615360393577036,-0.437504803210973,-1.23073786090188,0.0155798831070782,0.331060332200585,0.308088795088137,0.122746405142317,-0.79029282414942,0.691342112348576,0.374763704400116,0.573345502368933,0.733946310109278,0.755622883660577,-0.503503145445631,0.119622923331279,0.430179902667057,-1.05681158650195,0.507433304870772,-0.224540660841612,0.066562424466105,0.8222675605175,-0.75511252379036,0.615360393577036,-0.437543126890277,-1.23063203575891,0.0155798831070782,0.331060332200585,-0.117634308662449,0.122693841860937,-0.790293797312812,0.691334110996407,0.862376751292912,0.994009092755806,0.752114810755199,-0.214095377899495,-1.3328564286389,0.983933011408633,0.723415065965191,-1.05808293152601,0.812557553087889,-1.15867103342137,-1.54739002740161,0.224854537582333,-0.75511252379036,0.615360393577036,0.62156254529483,-1.59139257035788,0.907868006268031,0.331060332200585,0.871863808620465,0.521739964419834,0.60336473712833,0.691342112348576,-0.413226879775443,-0.874430676143239,0.119137316815996,1.18350189468194,0.677883279857907,-0.940760892201147,-1.40545420031168,0.49974566060899,-0.46687769366499,0.972679598090558,0.907298704704846,1.33223450024284,-0.75511252379036,0.615360393577036,-1.52207381319839,0.833516784139966,-0.672135148426757,0.331060332200585,-0.986071465723569,-1.3570598631572,-0.790982796993966,0.162040824357239,0.862362703052122,0.992305619603414,0.734068020467079,0.171479909475024,-0.505281321052692,0.983227291538678,0.723408080415876,-1.05808293152601,0.811416243285534,-1.15867103342137,-0.763762855839808,0.224854537582333,-0.75511252379036,0.615360393577036,0.220477702586708,-1.59139182115333,0.896046893397506,0.331060332200585,0.583306720043394,0.5217348639397,0.603323215490294,0.691342112348576
1993,5,1.03126358933378,1.077548855546,-0.731449457571546,-0.827120422699434,-1.30023819071651,0.826361484189838,1.39884800166731,-1.41216814813666,1.05414967199541,-1.0857909568421,-0.842380261482011,-0.540441417978603,0.0824265437529774,0.129558292664656,1.16805231101011,-1.04281656883484,0.996840578589966,1.13155747021115,1.12225360449317,1.05280153092544,0.705073935823512,0.587884948855386,-1.16580769076307,-1.0008248565568,-2.46614367075572,1.06234807832826,0.849193181664915,-0.977307535158287,-0.699560647461641,0.509649334163695,-1.32315099385806,1.13950072634064,1.28764784311603,1.0346713447364,0.0824265437529774,0.129558292664656,-0.726517641728266,0.520714518624527,-0.798860336393765,1.13155747021115,-1.29538985171096,-1.10236852110904,-1.37038546577776,-1.37192016367088,1.03117540532724,0.995506185093039,-0.731449457571546,-0.488393614655015,-1.30023819071651,0.0725069006232845,1.39604101822178,-1.41216814813666,0.284585378941889,-0.0508052258474337,-0.12661487103402,0.656805618400778,0.0824265437529774,0.129558292664656,1.16717846329244,-1.04281656883484,0.996840578589966,1.13155747021115,0.713666886248208,1.02426760321614,0.705073935823512,0.572441379006641,0.251926304210154,0.141855906074859,-0.731449457571546,0.0140929365465736,-1.03934771980784,-0.599881687726385,0.739261741464469,0.509378774768209,-1.08511032500591,1.13782050808083,0.570191289289603,1.0346713447364,0.0824265437529774,0.129558292664656,0.533634662554462,-0.332005004105397,0.995119635371562,1.13155747021115,0.158106632408317,0.421667977471957,0.626452389815154,-1.37192016367088,0.250946961008176,0.0156422481523373,-0.7378290521641,0.35034631543958,-0.0620877844339586,-0.600520355087417,0.725188705560278,0.50964680852173,-1.32314383480412,1.13948501323856,1.28692445234486,1.0346713447364,0.0824265437529774,0.129558292664656,0.280891082812959,-0.332002569190603,0.795059025884309,1.13155747021115,-0.331073573215429,0.42156908482936,0.626242510910395,-1.37192016367088
2262,5,-0.452293229221968,-0.666910824227287,-1.94555685294595,1.14747197380754,0.997300823687237,-1.15748243198908,-1.18009960325363,0.41266752406031,-1.00731456374221,1.09836472816019,0.9841312501512,1.05357209499078,0.79897499301186,1.93585266865262,-0.989103963246566,0.528949025855521,-0.0498637845116276,0.415261471185839,-0.387468969513282,0.182511989511753,-1.18207672759102,-1.08795249524138,1.15107867047308,1.12891660323913,-0.0882941899410397,-1.07497285422676,-1.02061852100311,0.962237186603863,0.741401820553845,-0.338983098407027,0.671242078998777,-0.447413675179774,-1.05331913641705,-0.977107791673394,0.79897499301186,1.93585266865262,0.724552719274241,-1.68812443037867,1.39471055030298,0.415261471185839,1.02563694892338,1.23735673737183,0.68587244894659,0.794571717386075,0.311564980923896,0.860730507221682,-1.3167518484517,0.735759084154298,0.670175526828888,0.0591480119179528,0.236078911966143,-0.338862499003205,0.51342375511536,0.23108674171545,0.178638578551708,0.160598348233273,0.79897499301186,1.93585266865262,-0.0400990337160923,-0.70725852616047,0.277532986199077,0.415261471185839,0.350755117155471,0.382035404991211,-0.27509688083186,0.794564356142079,1.14695780681096,1.09089963533642,-0.26135135991904,-0.535305120934902,0.196895356982501,0.86154460748146,0.576958022588333,-0.33898215129129,0.671241967138559,-0.447413675179774,-0.580525509149343,-0.971332005193951,0.79897499301186,1.93585266865262,0.0697071931588239,-1.63677657260076,0.278979077883381,0.415261471185839,0.834085398988234,1.09066537023974,0.685869205068618,0.794571717386075,0.311608933835673,0.888773523417305,-1.26173162729128,0.478578023304015,0.649897989768912,0.36756646055858,0.250166608899759,-0.338911749021519,0.669905573116337,-0.435883509243377,-0.124138322962763,-0.0451516880331368,0.79897499301186,1.93585266865262,-0.0227442403299052,-0.707713106022394,0.277540476911747,0.415261471185839,0.523748408092192,0.382109078593146,-0.274573967702848,0.794571717386075
2883,5,1.00100910324117,0.872555048008963,-1.73894400133301,-0.17198964741561,0.621871408145834,0.680410730740373,0.477537787434617,-0.852994174169284,1.10709546215132,-1.36795004714026,-0.449764669449579,-1.02512223594571,0.171034454429318,1.52255361961645,0.0839591251117562,-0.695443757676624,-0.117003426306506,0.176951841041151,0.3420061174865,0.712212719581623,0.699454890401214,0.57852592725016,-1.0958645598844,-0.827917230922476,-1.73894434130608,0.981981436048707,0.903707811038351,-1.2595574852354,-1.98584744396973,1.04248843936349,-0.867725540254841,0.49222025655434,1.1963228386999,1.02335344904895,0.171034454429318,1.52255361961645,-1.31621182775353,1.2475324640051,-1.30455066592225,0.176951841041151,-1.37796411343682,-1.09434815777842,-1.13563542422371,-1.29060082130525,1.10723105095583,0.964845275153359,0.517969580326191,-0.959740192628893,-1.45065363354792,0.848374996395874,1.01511573693057,-0.853949813947738,1.10714132484062,-1.36810356595363,-1.1413958133604,-1.02512223594571,0.171034454429318,1.52255361961645,0.810633265013086,-0.863895658352069,1.06179638953738,0.176951841041151,0.956340593831341,0.852119881415566,0.699455214789011,0.57852592725016,-0.14134432119927,0.496141514764814,-1.73894434130608,0.292998431681393,0.898587660811932,0.395571316884708,-0.0922611376365127,-0.264839721476128,1.08357539717311,-0.944508857164545,-0.443540120329926,-0.549766098950891,0.171034454429318,1.52255361961645,-0.647257082997138,0.0149480652025598,-0.117065656842529,0.176951841041151,-0.345357042947562,-0.125994518429586,0.64241551331309,0.57852592725016,1.09919350994326,0.961523713632685,-1.73812092653905,-0.174757707169628,0.0862504491234542,0.801304713554617,0.795536378087271,-0.853936238622177,1.10711526140987,-1.36810139862921,-0.449764669449579,-1.02512223594571,0.171034454429318,1.52255361961645,0.176281682510788,-0.862482658567003,-0.115319552512338,0.176951841041151,0.588476493664519,0.811383905065845,0.699455214789011,0.57852592725016
