ParameterIndex,miR200,ZEB,SNAIL,GRHL2
367,2.388808,-5.393015,7.599428,6.540902
369,7.269737,-9.728867,5.203184,6.276408
370,-2.142491,6.46604,5.966675,2.367158
371,5.417919,-11.574761,6.364158,6.255733
372,-1.345884,4.918765,7.949104,5.02325
373,4.311484,-13.355492,5.775025,6.875927
375,-2.650835,7.019735,7.443891,4.260879
377,9.671173,-12.865598,5.130415,7.824341
382,-7.49139,5.654026,9.324328,0.806709
384,-4.791251,7.619278,4.998386,-2.757162
387,-3.826317,5.552504,6.060453,-0.463612
388,-4.869342,4.664911,9.293679,1.710923
389,6.811692,-13.4915,5.62748,6.21721
392,6.867782,-15.697516,3.49587,7.358431
393,6.869122,-11.395996,2.143743,5.242909
394,2.750065,-7.266177,4.185656,5.072886
395,7.653761,-12.669858,6.1831,6.945523
397,4.681619,-16.709796,6.757821,8.019664
398,7.378887,-12.997365,6.432761,5.732473
399,7.616503,-9.965156,3.568548,4.842872
400,3.441003,4.583914,5.278926,-0.088354
407,-1.227391,7.180211,7.464593,0.630017
408,6.788937,-15.076389,5.238789,7.222193
412,-2.550651,6.136437,5.668101,-0.73527
413,6.460482,-10.933396,5.435437,9.009096
418,0.559005,6.54596,6.606844,2.948413
419,9.102723,-12.721327,2.884859,8.007014
420,7.235146,-12.526686,3.886528,9.643188
423,-9.644701,6.239736,9.152884,-0.931508
425,1.368434,5.636481,6.771607,-2.410279
426,-1.711453,5.366849,8.831926,0.422872
427,6.490702,-12.274959,1.879283,4.996811
432,6.710365,-4.814802,6.624572,6.456094
434,7.840397,-14.038193,2.790158,6.374204
437,-2.180757,7.0832,5.789574,-0.681024
440,-5.073045,6.246533,8.095889,-1.160266
441,0.562972,5.746327,7.16968,1.957086
444,-7.899352,3.472743,6.799771,2.680649
447,-9.432341,6.727732,7.839277,-0.686411
450,-4.001151,5.179395,7.701037,-1.14591
456,-1.542175,6.912147,7.412389,-0.918267
460,5.158334,-15.659334,5.782695,7.550653
461,-7.085194,7.377927,8.6452,1.778483
464,-4.641398,4.521613,7.022518,-1.009289
467,7.311842,-12.28673,5.883212,6.553438
469,0.162581,5.384962,3.768643,-0.737611
470,7.050816,-10.020609,6.452496,6.336885
472,5.638952,-8.068748,3.806087,6.322555
474,6.147953,-12.503947,5.918366,5.964025
475,7.908609,-11.823542,5.653136,8.615943
478,5.080914,-12.778944,5.850403,5.948124
481,-2.623508,3.918326,7.944023,0.814595
484,-3.275995,6.998587,7.279204,1.478776
485,-9.185404,5.920259,5.975394,0.240836
486,6.454205,-9.482292,5.450186,7.058176
490,-4.047628,8.500596,8.457593,1.130048
491,-3.551134,6.428115,7.255916,1.941087
492,3.440617,-14.015375,5.113952,8.121461
495,4.14619,-14.940991,2.759476,8.194929
496,-3.849055,6.174106,9.863653,-0.06211
499,7.160004,-10.935699,2.649842,6.252905
501,-5.168681,7.763366,6.877847,1.599284
502,-2.222083,7.547478,6.991823,2.824399
503,8.780811,-12.839922,4.560848,7.086024
505,7.858189,-8.799212,6.474306,6.521043
507,-2.294024,6.128268,6.197753,0.555873
510,6.207702,-10.143083,4.814264,5.782327
512,6.05101,-11.780408,6.519061,6.462725
513,4.593805,-2.052667,3.199078,3.641757
518,-9.090578,4.676359,8.133628,2.639279
521,-4.236252,6.789104,6.617351,3.360194
522,8.274045,-10.677713,6.027473,9.099745
523,-2.682842,5.964915,7.957047,-1.607806
524,-2.890861,8.547711,7.78655,3.655547
528,-1.836085,6.693017,8.546663,-2.941272
532,4.302108,-10.661499,5.30955,4.177199
534,-2.983124,5.909401,8.192597,0.517772
538,-7.118329,6.74983,8.390675,4.419592
539,2.5509,7.452699,6.812634,1.110602
542,4.942753,-14.498674,5.157555,6.167993
543,7.173616,-10.093256,5.325821,6.479866
545,6.466392,-7.177111,6.798113,4.735394
547,-3.228774,7.760109,8.242579,2.545138
549,2.264095,4.492089,6.11527,0.241738
550,7.490263,-15.567101,3.855081,6.667586
556,7.085604,-11.19233,3.785909,2.606173
557,5.749887,-13.321531,3.766977,7.788555
559,-5.915652,7.471816,6.862228,0.63898
560,0.963314,5.216822,5.048308,-0.053964
562,7.507726,-7.480161,6.28553,7.406567
563,6.850075,-16.09697,2.773726,6.161392
564,4.200802,-12.159372,7.831678,5.767802
566,7.004119,-18.40867,0.869471,8.512806
568,6.153317,-10.178272,4.803797,6.133542
569,7.731308,-12.478946,5.320204,6.107729
571,5.825453,-12.015404,7.357103,6.258143
575,-1.354837,6.894646,7.349797,2.753826
578,-4.052314,7.046568,9.120385,-0.316662
579,2.530544,-3.410172,5.421886,6.296693
580,-1.924865,8.563057,7.25128,0.693429
583,7.68596,-8.90369,6.636262,7.22853
585,0.80498,7.360108,5.717714,1.373908
586,7.586663,-8.399591,6.674398,7.685891
591,-4.402349,8.167598,7.881854,1.331071
592,4.429276,-10.828777,5.890768,4.841985
594,6.834128,-5.30493,6.468838,5.664416
595,-6.206886,5.945531,6.847955,3.38352
597,0.589361,7.305756,5.329529,2.225981
598,5.873663,-10.677467,2.492192,4.649837
604,5.067045,-15.085541,6.288594,7.371149
605,7.805134,-12.924624,5.936517,9.219386
609,8.436737,-13.896052,5.871161,6.365867
610,6.905889,-14.573434,6.440736,5.5246
611,-3.938911,8.965581,7.096683,-1.804795
612,6.746742,-13.687036,4.763684,6.6412
615,-0.345574,7.987101,9.234078,0.094117
617,4.865821,-10.737397,4.946103,6.01835
623,-6.67664,3.458108,6.020521,5.933755
625,4.585613,-7.619905,7.684487,8.665168
631,-2.978644,3.681219,7.976811,1.507723
634,5.827835,-18.236421,5.297206,7.079979
636,-10.695524,5.100224,9.646199,0.861595
637,-4.155411,6.544331,9.07205,3.111028
640,0.509353,5.817295,4.123651,-1.187099
641,6.330411,-13.113477,5.059634,6.889014
642,6.820826,-16.420879,2.863578,5.734419
644,-1.288452,8.148001,7.145601,-1.489004
645,-5.085935,6.479932,6.90437,1.414166
648,5.429555,-11.221101,4.261832,6.265605
652,-5.03169,7.28766,7.630233,2.619272
655,6.710956,-10.544954,5.479134,4.824593
658,-2.591205,7.687368,5.465691,3.235754
659,-1.788995,-9.301671,5.758077,6.875277
660,-2.143501,4.203327,6.844346,-1.426819
664,4.31374,-12.313155,5.12863,8.007889
665,1.370895,-6.174418,5.119716,8.223354
666,-6.726293,5.671306,7.256853,-4.170655
672,-3.725626,5.217817,9.547799,-2.04027
673,8.655534,-14.732635,2.912032,6.383146
677,5.873316,-12.639687,4.574914,6.890462
678,1.111458,6.733788,6.177471,2.379236
683,-6.537609,4.569035,6.848012,-2.335412
687,1.043758,-11.765569,7.2906,8.196012
688,9.021787,-11.522575,4.976208,6.615893
690,7.881352,-13.621768,4.488428,5.977631
691,2.959781,-8.116635,6.415463,7.114152
694,6.918013,-14.075971,6.90709,6.665569
696,-3.226156,8.035583,7.157591,3.854604
698,7.753899,-13.780852,4.066498,7.656834
699,6.467811,-9.778816,6.864909,8.098232
700,7.837684,-10.984363,6.753431,5.453916
701,-6.427084,8.038522,8.522309,1.548824
702,-7.038122,7.606459,8.040016,-0.260509
704,-3.834261,6.050252,5.917198,0.931305
705,4.602411,-13.245098,2.95981,6.013998
706,6.891919,-11.381258,6.279561,7.191455
707,-3.853162,6.006461,7.85947,-3.841717
710,-5.615399,7.732363,8.022797,2.232529
711,-2.571786,6.829592,7.212456,1.308839
712,5.087743,-12.396255,7.624313,6.608834
713,-1.721671,5.534036,8.466732,0.338746
721,6.304313,-12.31167,5.692462,5.030344
723,-3.8345,6.721275,8.365738,1.190731
726,-2.762171,-7.43718,3.427939,6.496176
727,4.479106,-11.645803,6.193496,6.881419
728,-3.799798,9.181711,7.977589,1.633102
730,8.089819,-9.079103,6.197281,5.218906
731,1.605876,2.995469,8.113404,2.469846
733,8.515012,-11.392708,5.348928,8.597563
734,5.989997,-13.64352,2.435942,6.948455
736,-0.641135,8.444873,8.691433,-0.727824
745,6.669146,-14.28584,3.97327,8.688567
747,-1.788804,9.422745,7.354631,-0.048486
751,5.545131,-12.419419,5.174214,4.091687
