ParameterIndex,miR200,ZEB,SNAIL,GRHL2
3662,-5.018158,7.36265,8.580801,2.39868
3664,-0.81904,7.596027,6.647247,0.747913
3667,6.875462,-8.993274,3.499799,6.659208
3668,4.310885,-9.219934,3.673446,5.479505
3669,1.627209,-4.17374,5.374107,5.851651
3670,3.928352,-10.53888,6.232513,6.66879
3673,-1.385527,7.250024,6.656561,0.121862
3675,6.495569,-10.062572,7.280394,5.590043
3686,-0.863899,4.819614,6.536529,4.866023
3695,4.778833,-10.717598,5.672793,5.850633
3696,-2.286597,4.31713,7.368266,6.477007
3700,-5.235596,5.716225,8.995647,0.937481
3702,-6.632215,4.608775,6.991727,0.498022
3704,7.725099,-9.408793,6.127781,6.309162
3705,-0.956823,6.609338,8.544659,-0.087792
3709,7.881369,-7.883588,6.210653,5.638562
3711,1.222264,6.292068,6.402884,-0.031699
3717,-2.819853,6.159549,8.753949,2.172142
3719,0.27434,5.782596,6.187996,-0.773086
3720,8.731917,-9.301572,5.999729,6.280656
3721,7.085986,-11.169622,3.547892,7.201985
3723,-2.637053,6.134526,7.685618,0.329609
3725,5.512858,-17.596173,5.715969,6.715026
3727,5.493941,-12.87358,3.306658,4.609502
3728,-3.085738,5.972787,7.993144,1.687438
3730,5.625682,-15.154138,2.457589,8.792036
3733,-0.384509,-10.829032,5.619416,6.477093
3734,3.751318,-12.433587,6.76222,6.584866
3735,0.890822,-9.361766,5.932186,8.929735
3736,-4.621819,7.655958,5.638216,1.277534
3737,-2.535961,6.52588,7.064322,2.511955
3740,3.465702,-7.371827,7.525653,7.638889
3744,7.087623,-10.639178,6.477804,5.94698
3747,5.104345,-11.078184,5.797105,8.015782
3750,-3.834192,6.755669,8.236731,-0.423318
3756,-6.547649,6.970914,8.923326,4.317667
3759,6.224144,-9.907456,6.301832,6.448288
3761,2.773243,-5.801612,6.287493,7.178964
3764,6.379513,-8.602452,5.216709,6.772425
3765,-2.117831,5.479532,8.208411,-0.339068
3768,-1.465686,4.969275,5.640214,0.50579
3771,5.252695,-18.17798,4.085757,7.116421
3774,-2.760226,6.302743,7.549623,3.189069
3776,4.541064,2.628451,8.379963,-0.443739
3779,-10.736279,7.647794,8.585357,0.784461
3788,6.594806,-8.362116,4.872117,6.279195
3789,8.886078,-9.058537,3.874411,6.608389
3792,-0.169811,6.810122,7.507078,0.96683
3796,-2.27267,6.409371,7.988987,-0.597971
3799,6.67082,-17.821035,6.059912,4.637144
3802,4.881402,-10.782166,6.331919,5.247021
3803,7.684114,-14.304448,1.955857,7.490242
3807,-6.160594,7.847989,6.625666,0.093939
3808,5.894256,-14.884515,2.75115,6.961559
3810,6.772718,-17.118385,1.877507,8.123622
3811,3.08114,-14.401405,7.294404,9.469987
3812,7.490455,-7.606295,5.50471,4.169667
3815,7.351959,-7.936862,6.73854,5.083908
3816,2.88783,5.680338,6.600787,-0.432822
3817,6.187745,-12.809853,5.77596,7.252174
3818,8.254768,-10.999296,7.372593,9.630525
3819,5.426499,-7.324351,5.045859,4.178896
3820,-1.653717,6.130889,8.483695,6.442723
3823,-2.332932,5.805002,6.525547,-0.390557
3825,4.123122,-5.608672,7.395083,5.55592
3827,-4.047225,6.882229,6.353766,1.399303
3828,-3.056426,6.514253,6.214477,0.16904
3829,0.473861,5.80921,5.20734,0.234427
3831,5.7387,-11.58244,6.493594,8.021082
3834,1.381321,8.02487,8.803534,2.488474
3836,-2.493679,6.497072,8.950228,-4.114139
3837,-3.663672,5.957566,9.170389,1.464803
3838,9.031489,-8.809714,3.886066,5.776937
3839,0.316538,3.568982,6.099178,3.182157
3840,-6.214555,8.459308,7.590956,-2.349964
3845,-2.679357,7.427019,7.201683,-4.838239
3846,6.94523,-10.473465,3.753236,6.466913
3847,-0.183771,6.794677,7.182821,4.538496
3850,2.129556,5.72314,5.532278,0.924532
3851,-1.04681,7.062404,6.64652,2.673442
3853,6.336914,-13.314665,6.358921,7.867828
3854,3.13072,-8.389252,7.044044,6.332032
3855,-5.659882,5.704697,9.056873,-1.378787
3860,7.51117,-8.489317,6.642961,8.263846
3862,-5.131736,1.786144,6.924075,5.158958
3863,6.60378,-6.901353,4.743344,5.049902
3864,6.244008,-9.862763,5.258291,8.007295
3867,-1.043188,5.979152,7.119969,-2.736541
3868,-6.496962,6.858135,6.566716,3.252067
3871,-1.507089,7.968229,5.912585,-1.697014
3872,-1.31177,7.705023,7.172137,2.728656
3877,-4.75239,7.303774,8.744319,1.973629
3878,6.153575,-7.268954,6.828357,8.845146
3880,6.692918,-17.137962,5.640646,7.465945
3881,0.270353,7.508699,5.871879,0.543544
3882,-1.872098,6.669322,7.299092,0.051911
3883,4.02093,-10.252686,4.548278,6.596725
3884,-4.884047,6.597203,8.23346,3.322247
3886,-0.398042,7.147383,6.556492,0.424172
3893,-3.318499,6.105264,7.216551,4.325659
3898,8.818257,-13.585315,6.173833,6.414679
3899,-6.669162,7.454642,7.131762,-2.065749
3900,7.39497,-19.188921,5.104618,6.730073
3903,7.490825,-15.997803,1.443934,6.096336
3911,-4.366433,3.395481,6.472757,2.659253
3912,8.100296,-10.430964,6.012765,5.707292
3913,-1.259261,6.574544,8.764394,-3.088033
3917,-6.843657,6.466322,7.041347,-0.905811
3921,2.615354,-8.889236,5.992234,7.415468
3922,2.350047,8.323845,7.655105,-0.303297
3925,7.421341,-12.660868,1.837163,7.424087
3926,7.694971,-12.32951,5.480331,6.704191
3927,3.033747,-12.438624,6.779297,7.007568
3932,-3.204099,7.537724,8.377597,2.445983
3934,0.11445,6.396713,7.226843,-2.871967
3937,-2.204727,5.481299,5.974912,1.391792
3938,-3.297585,8.425361,8.600536,0.734903
3942,5.979911,-17.25278,1.284712,6.671265
3943,-1.493686,5.938557,6.705838,0.086303
3947,6.574639,-15.254543,5.078552,7.546818
3949,-6.795133,4.296925,7.438533,-1.269981
3950,-0.753158,7.715182,7.349267,-1.048088
3951,-0.628437,8.21096,6.213639,1.706932
3954,7.249532,-9.241647,2.086438,7.158099
3956,-3.85714,5.42873,7.830036,2.350341
3959,-1.919525,-0.040281,7.678676,4.349846
3962,6.192242,-17.628907,3.743947,7.224745
3965,-5.936538,6.036305,7.11252,-1.907982
3969,-5.254748,5.301642,7.224051,-1.890646
3975,-0.331161,7.670431,6.201148,-0.83281
3980,-0.360311,-10.14889,6.010844,6.682732
3984,-3.653625,7.243132,7.830001,0.699682
3991,6.892046,-16.265837,5.137979,6.064588
3992,3.288874,-8.899936,6.178192,6.836423
3994,-6.404422,6.537906,7.431555,0.292359
3995,4.600214,-15.901163,4.618675,8.509342
3996,-0.092946,7.561941,7.16019,-1.395462
3998,-3.833013,6.919989,7.282362,2.190925
4000,-0.17524,-6.602607,7.005523,7.728703
4001,7.464018,-7.085243,2.70944,3.35851
4002,-2.072342,6.549379,6.73029,-1.717651
4003,-3.939571,7.43212,9.512705,-4.01262
4006,-5.405727,3.565545,7.092376,-1.313168
4007,2.32691,-7.631624,6.705373,6.274404
4009,-0.969175,7.439907,8.137318,-0.574739
4013,-3.231975,7.28313,7.296974,-0.616199
4014,6.534571,-11.959085,4.392659,8.726213
4015,6.546682,-14.020645,5.94536,7.12925
4018,8.435556,-6.529637,6.61036,6.320615
4022,6.773815,-14.365422,4.444646,9.115624
4024,-2.976424,6.234376,7.742266,-1.04671
4025,1.834462,-6.109964,7.00129,8.084106
4026,3.571199,-12.867415,6.38741,8.921327
4029,-1.75938,4.133416,4.729495,2.415691
4031,-1.614291,2.631045,3.886335,1.501351
4032,-1.240047,5.71199,9.468313,-0.360199
4034,2.042126,-9.091538,3.483652,9.631871
4037,3.469899,-11.163774,6.867574,7.391221
4040,4.086107,-11.115107,6.06805,7.3045
4041,6.661369,-20.10057,3.923306,4.566147
4044,-4.642744,6.358648,9.69908,0.925633
4045,5.076753,-12.047519,2.851419,5.514136
4046,7.109938,-13.677828,6.263807,6.744329
4047,-5.899691,8.367311,6.606038,-0.32508
4050,-0.115295,5.744568,7.892713,3.149149
4051,9.022921,-4.806981,6.463597,5.143759
4052,6.576345,-8.34572,6.582771,6.352261
4053,-0.734376,7.359211,7.826985,-0.445202
4056,6.648147,-12.747124,4.055866,7.199354
4059,0.157032,5.604963,4.599482,3.742056
4062,6.281139,-12.955176,6.907291,6.993568
4064,8.405728,-12.561236,5.777878,8.215672
4065,-0.775259,6.277079,8.395521,0.170939
4068,8.615414,-9.127056,5.629749,6.694106
4073,-3.209699,8.818095,9.371624,2.0158
4074,-7.909204,5.03849,7.019931,-3.278529
4075,7.076323,-13.556711,5.143187,7.823089
4080,4.825291,-12.239348,5.73982,6.926515
4082,-3.760712,7.670626,6.35551,1.296344
4085,6.011404,-8.390494,5.197946,3.097948
4087,6.198866,-15.569679,3.455076,6.433921
4088,-2.957069,7.451235,8.394318,1.262604
4092,6.263589,-13.586288,5.636131,5.612706
4094,0.69547,5.399543,6.89951,-1.197292
4096,-5.440496,5.94316,6.499959,0.230396
4097,5.453749,-8.300347,7.320388,6.422468
4102,-4.634286,7.02666,7.066487,-0.355043
4105,5.503443,-12.211877,5.799562,6.286824
4106,6.479946,-13.31302,5.407034,3.891917
4107,0.249004,7.452376,5.608763,-1.516751
4108,8.111805,-15.732552,5.854555,8.489539
4109,7.502298,-10.975296,4.967893,5.854251
4110,9.054114,-11.434086,6.368377,7.443429
4111,0.652222,3.166776,6.734712,-1.507011
4114,6.494618,-12.796718,6.409263,6.731453
4117,8.087342,-10.802763,4.297609,4.05893
4119,5.780397,-9.937773,5.13176,5.155911
4120,-5.500307,5.44439,8.673729,-2.951571
4124,-0.569749,5.354282,7.562119,1.088303
4125,6.644924,-13.255134,5.158902,8.489573
4127,-4.656965,5.976754,7.726786,4.725467
4129,-4.538592,6.153261,6.778918,-0.475432
4130,6.061292,-11.427615,5.704681,7.122443
4132,6.763134,-13.043021,5.648247,6.661793
4133,1.639331,5.069929,6.969647,-0.105547
4134,-1.069092,6.858823,6.567927,-2.071248
4143,7.397441,-10.772408,8.091061,8.099643
4144,-6.168881,7.300979,8.441258,3.008702
4151,-3.466751,6.059304,6.543629,-1.562859
4153,2.888057,-10.57653,8.436897,6.17045
4154,1.940764,6.61294,5.776726,1.218883
4155,-4.970036,6.882842,8.463238,1.984166
4156,-5.56435,6.457067,8.358701,0.332792
4160,3.117663,6.267072,6.883926,-4.334942
4168,-4.653291,3.985871,7.247429,0.498489
4169,6.197387,-14.535659,3.600867,6.629411
4171,6.392115,-13.955075,5.54739,7.286285
4172,6.436362,-9.441222,6.253488,8.128488
4173,-0.613239,6.227457,8.371581,-0.529758
4174,6.963765,-4.483963,3.253047,7.462373
4178,-0.551099,4.042702,6.131799,3.405868
4181,6.688808,-14.838495,3.519392,7.090831
4183,1.226761,6.765856,7.379907,0.037866
4184,5.213626,-9.031984,5.915945,5.579508
4188,5.877195,-12.628162,6.767874,7.482514
4189,-1.343412,6.25065,7.747947,2.997638
4191,4.667929,-10.754566,4.550361,7.418063
4194,7.570251,-10.192737,6.235642,5.10326
4195,5.846206,-8.738484,7.050905,7.550058
4197,0.134415,6.663105,6.625823,-1.445869
4199,0.276537,4.549269,6.913906,1.371375
4201,6.228935,-16.505745,5.422,7.93795
4207,7.532449,-16.368253,5.585277,6.412141
4208,4.693628,-11.411716,5.497499,2.247939
4211,6.440631,-10.056966,4.753457,2.23995
4213,5.80297,-15.578505,5.375694,9.292811
4214,7.151076,-11.469432,2.905338,8.036501
4216,-4.000063,6.492581,6.108305,5.350177
4218,4.620033,-13.590364,5.719908,6.534995
4221,4.120722,-10.719623,6.499331,7.299929
4222,8.492779,-11.667579,5.188886,5.039958
4223,7.753757,-2.778779,4.979057,6.573139
4227,8.170298,-4.299553,5.526415,7.221279
4233,5.142549,-10.453623,6.163773,6.137746
4234,5.281225,-10.370861,7.220362,8.472337
4244,-2.217971,2.542846,4.819399,-1.448304
4245,6.063567,-10.513431,2.491648,7.344227
4246,7.177997,-11.76131,4.081628,5.054843
4248,-7.741623,2.681358,6.211729,3.396702
4249,-1.324489,7.486242,6.947696,0.770191
4250,-1.019136,4.305926,7.193529,2.279702
4252,6.602839,-9.89377,4.135233,7.854197
4253,6.462496,-11.823844,5.484207,4.549371
4254,-3.061975,5.098597,6.71798,6.202247
4261,5.222375,-17.487363,4.582952,7.914248
4265,-2.247925,4.98514,6.140122,0.832758
4266,-3.0882,6.327326,6.849335,-2.525501
4268,-0.542397,6.586287,5.535314,1.874607
4271,4.429012,-10.15697,6.121975,9.445651
4272,-1.452824,6.842394,7.680183,0.608213
4273,-6.361184,6.61509,8.040069,-0.615698
4275,5.925454,-12.57873,6.138208,6.284216
4276,6.630544,-4.629871,6.719289,8.051672
4278,6.944515,-8.848354,4.907559,6.122193
4279,7.944459,-17.342226,2.076046,8.962636
4282,-3.64955,7.32413,8.303745,-2.103513
4283,5.242098,-11.309281,6.071842,5.457715
4284,0.070188,-10.016887,5.864131,5.853994
4285,-1.525065,5.718173,5.977916,-3.067772
4286,-3.513821,7.61508,7.030046,-0.012965
4291,-2.621139,7.193402,8.57638,0.618147
4299,7.064278,-12.244769,3.230707,5.495155
4300,-1.705738,5.110551,6.620754,1.460441
4305,6.115541,-7.80295,5.097148,4.962198
4307,6.03111,-14.917954,6.759752,7.194021
4309,-2.180286,5.231384,7.112568,0.277649
4310,-4.512521,6.933432,8.431838,-1.244878
4312,7.650049,-18.166002,4.671926,6.696853
4313,-3.439058,6.440469,6.955255,2.697615
4315,-3.390539,8.01695,7.302861,-0.197866
4317,-4.615964,7.231477,8.243303,1.199316
4321,-1.331783,7.508581,5.271273,0.731275
4322,6.891506,-10.425167,3.046268,6.654168
4324,5.726447,-13.488864,6.472756,7.253626
4328,6.267327,-11.027487,5.662587,4.425438
4330,6.284714,-8.62064,7.156644,4.749834
4334,5.191261,-5.160317,7.579305,6.656501
4335,-5.318208,6.829376,8.624144,1.2595
4338,5.919764,-5.349882,5.844141,3.89574
4340,8.943514,-13.786636,4.543578,6.968784
4345,6.140643,-13.600907,7.215664,6.471305
4346,-4.221357,7.504371,6.499214,1.329418
4350,1.222191,4.256677,6.498496,0.070275
4351,6.009849,-17.442905,2.771316,7.033165
4353,7.498981,-9.385935,7.108748,6.610144
4354,2.361726,6.390097,6.71454,-0.098057
4357,-7.594521,3.864519,8.151547,0.860874
4359,-1.966043,4.661076,7.472413,3.177598
4360,8.248527,-12.744787,2.341175,6.795118
4362,5.5334,-11.036114,7.001035,8.128867
4364,7.829646,-9.913886,4.99748,7.681902
4365,-0.125388,6.704878,7.824127,5.356992
4366,-4.743382,5.398313,6.836599,3.598406
4367,-0.961299,3.977092,7.687,-1.249346
4369,-6.065899,6.605557,7.638335,-0.034123
4374,4.094502,-11.296647,5.3105,8.450658
4375,-1.527536,0.32872,8.435008,0.887748
4376,7.418258,-13.491078,0.775745,8.661332
4381,-3.404917,5.171029,7.260265,1.286544
4388,-1.536452,6.351554,6.325357,1.017066
4390,0.373627,7.133965,7.381325,-0.221723
4396,-4.763282,5.20926,8.125832,0.215602
4399,-0.825776,5.46716,5.053278,1.176268
4400,6.03641,-10.308636,6.457785,5.994992
4401,-5.646639,8.596451,7.104023,3.6298
4403,-1.24832,6.512619,6.072241,-5.228404
4404,5.775957,-11.366614,7.145962,7.940974
4407,8.486305,-13.461413,2.764361,7.725131
4410,0.882465,5.158948,7.022888,7.489253
4411,-0.303478,5.003231,8.00283,4.620878
4413,7.130818,-14.477346,5.181899,6.795416
4414,-5.855942,1.600425,8.747853,5.163371
4416,7.881871,-10.886106,5.388438,7.227692
4419,5.868881,-12.162209,5.657647,5.749878
4420,-5.270932,5.256882,5.618977,-3.327429
4423,-5.637586,4.317925,6.916401,-0.72465
4424,5.417256,-15.706991,1.78454,7.036374
4427,7.219189,-6.706454,4.272444,2.460164
4430,2.726773,-8.814362,7.026597,7.370682
4431,-4.461973,5.001117,6.827028,-2.584889
4432,5.852769,-10.620622,3.459878,6.660539
4433,-2.685071,6.490186,8.140528,3.157748
4438,-2.234485,6.639866,7.712712,-3.191275
4439,6.808435,-14.400247,5.086137,8.370199
4441,6.789718,-14.190729,5.9476,7.002325
4445,-6.774222,5.811427,6.297238,3.550671
4448,-6.993038,3.781689,6.370896,3.144648
4451,9.572693,-10.513535,3.538403,7.572448
4455,-1.090273,6.731893,6.443928,-0.293253
4459,7.002371,-11.921668,4.879843,6.062587
4461,6.146759,-8.276613,7.428835,5.132195
4466,7.847927,-16.570914,4.885763,7.308288
4467,6.388597,-11.70094,7.042626,7.182331
4470,7.241263,-10.379625,3.358061,5.841409
4471,-1.655663,6.30895,8.25546,-0.652411
4473,-3.296336,8.158654,7.686876,3.006075
4475,1.839415,-10.025635,5.30053,7.072086
4476,0.78272,5.605287,8.320092,-1.076125
4479,-5.466221,8.762742,7.944295,1.096743
4482,-4.524235,3.029828,6.36929,3.75975
4486,-2.839042,7.689823,7.224435,1.632977
4487,-1.915544,7.073446,6.038572,-1.412124
4488,6.286111,-14.097695,4.075647,6.687924
4490,-3.160179,6.762278,7.199327,-0.261407
4497,7.267739,-9.108148,5.577255,8.402394
4499,6.510682,-9.320314,5.377265,4.807048
4501,-1.894441,6.575928,6.257881,-0.49519
4503,6.231116,-15.160873,4.01617,6.460479
4504,-5.159859,6.176948,6.783014,2.186811
4505,-1.347005,6.557101,7.435569,1.665068
4506,6.881986,-8.063704,4.795592,1.46498
4511,6.781559,-13.409749,4.973443,9.471758
4515,5.80479,-14.465677,5.786932,7.434239
4516,-1.385456,5.911934,7.804128,1.101213
4517,8.48621,-4.064573,6.950787,4.406764
4518,5.763855,-3.12837,6.435645,6.024711
4519,2.040851,4.693598,7.054077,-1.124775
4521,-1.012598,2.095463,6.263639,1.34128
4522,2.940025,3.373049,6.07106,1.416096
4524,6.247823,-12.653872,6.082812,6.244982
4527,5.217691,-7.463335,5.926218,4.567247
4529,5.453987,-12.467564,6.09258,7.182361
4531,0.294533,8.977889,5.192636,3.450585
4532,6.16234,-9.428464,4.533589,7.109542
4533,-6.175263,6.368002,7.854328,1.357223
4537,0.960781,7.766233,8.360763,0.27011
4541,0.027218,-11.630462,6.288217,6.540234
4546,-5.336981,4.727963,6.963953,-0.884044
4548,6.533427,-13.19802,4.758607,3.240648
4549,-3.83824,4.872794,7.396706,0.679054
4555,-3.564909,8.041434,6.789959,2.139989
4557,-0.074486,8.192903,6.529699,2.535218
4558,7.762753,-5.630263,3.17235,2.511218
4559,1.919145,-6.429041,6.124926,6.469256
4561,-7.643855,4.436834,7.596332,0.704311
4563,-6.710291,7.3727,6.676728,-2.62749
4565,4.938274,-9.500806,6.157483,8.781243
4570,8.230806,-10.737741,7.419715,9.479524
4572,1.633961,7.347526,7.108082,-1.508926
4573,3.515731,-9.544942,7.20922,7.109931
4574,-2.155422,-11.641593,4.758901,5.613396
4575,-4.968543,5.049097,6.233027,0.543817
4577,3.977206,-9.109651,6.106077,5.407966
4580,6.589426,-10.814781,5.161668,8.91368
4583,3.157019,-10.990968,4.453354,4.5553
4585,3.028292,-5.481021,5.20164,6.639332
4586,-6.448198,6.063747,7.584891,1.523844
4588,2.876013,5.229739,5.935903,1.030812
4589,7.911856,-13.75696,6.629305,7.799593
4590,7.243925,-19.385648,3.525004,8.310727
4591,0.421955,5.514658,6.132279,-1.020269
4595,3.377795,-12.085836,5.028001,7.009111
4597,-4.030312,6.302931,8.699385,0.677746
4598,-5.007461,5.430243,6.683465,3.321918
4599,-4.260726,5.443953,7.785121,1.802769
4600,5.225506,-9.937822,5.379709,5.671345
4601,1.705769,6.528252,7.756553,-2.84706
4603,8.129957,-8.872873,4.900169,6.757712
4604,-1.756897,4.872581,6.505316,-0.454835
4608,4.142799,-11.666904,5.638559,6.787848
4610,-5.745996,5.591642,6.507735,1.314317
4611,6.067391,-16.825185,3.141375,7.533398
4612,6.492701,-11.588418,5.514144,7.264464
4614,-1.943108,4.913264,6.388461,-2.487657
4616,-1.804959,3.254899,7.660562,1.929458
4619,6.267192,-14.188193,3.404742,8.709866
4621,3.496172,-12.117986,4.744564,7.062513
4622,-4.147726,6.454637,6.406383,0.258832
4623,4.14409,-7.256152,4.322269,7.743163
4626,4.492207,-12.761608,5.811146,7.646596
4628,4.467629,-9.240311,3.633185,6.533767
4630,6.488613,-8.062602,3.399281,2.782549
4635,-3.182762,6.3852,7.039549,-0.573032
4636,5.714369,-11.029942,6.279648,7.7629
4637,0.224596,7.201839,7.725519,0.864823
4638,-3.139082,6.054363,7.219224,-1.082875
4639,-2.960776,5.741645,8.803883,-0.001677
4642,-1.224191,5.94236,6.865341,-0.610864
4643,-0.724504,7.282156,9.177872,2.496235
4644,6.904582,-10.606059,6.854222,7.860109
4649,0.29493,5.453555,7.554537,1.959504
4650,-4.80174,7.789215,7.824068,1.870587
4651,6.302612,-14.794374,5.416544,6.718943
4653,-6.228844,7.387168,8.288082,1.889064
4658,3.622199,-3.976062,5.296628,8.892408
4659,-1.830943,6.38105,7.19839,3.970202
4660,1.107278,6.152967,6.756462,4.351481
4662,-6.928563,3.325866,6.768308,1.238161
4663,-2.605932,9.10584,8.012638,1.194427
4673,7.019094,-16.854766,3.866205,6.570156
4679,-0.363614,6.59473,7.955285,0.693217
4680,-1.654144,-1.516711,7.340401,6.462782
4683,7.32994,-17.266986,5.700103,7.896941
4687,-7.845281,5.988924,9.002929,-0.801662
4689,-0.042323,6.19259,8.558033,5.239912
4691,2.208457,-14.867558,5.596529,3.983572
4693,1.419939,6.458866,7.112644,-3.049084
4695,-0.993929,6.93222,6.688292,1.351872
4696,-4.531127,2.007402,6.430856,5.040195
4698,0.374294,7.101487,6.476048,0.114679
4700,-4.635121,5.719041,6.368378,0.382013
4705,8.287181,-13.009003,2.958604,6.69303
4706,-1.857517,7.647069,9.242709,2.611005
4707,-2.366907,4.009857,6.625003,3.018419
4708,-4.780392,6.923439,7.223149,3.932707
4710,7.375221,-9.001942,5.030737,7.594742
4712,7.280422,-12.008527,5.451947,6.947817
4713,5.846545,-6.915847,6.95493,4.22736
4715,0.403441,9.629899,5.653795,-1.355292
4721,-4.065117,7.44945,6.440197,-0.256707
4725,-3.124793,7.203115,6.092027,0.770514
4726,0.732549,5.680022,6.989141,0.442451
4727,-3.143878,6.948685,5.132687,-2.515722
4729,-3.994131,5.175403,7.666695,1.569034
4730,3.518088,7.743712,7.177769,3.071317
4734,7.614522,-9.239658,5.705852,8.516611
4737,6.660303,-13.546784,3.887055,6.267315
4740,7.122022,-11.7028,7.42047,8.22356
4741,5.344803,-11.605243,1.545174,5.255221
4742,7.54033,-9.943984,5.114594,4.118534
4744,2.361599,6.563744,5.428906,-1.21644
4745,7.220879,-12.684806,3.062186,4.925777
4748,7.016627,-16.07196,4.779342,6.075586
4750,8.375858,-11.730633,2.602162,5.564899
4753,4.134779,-8.491281,7.420742,9.311812
4759,-3.213237,7.236568,6.888564,1.23384
4760,6.512996,-16.09348,2.172312,6.630499
4761,8.378781,-14.961347,6.408,7.888956
4764,-4.618595,6.496495,8.493906,0.639622
4765,7.270455,-16.220849,3.998938,7.292094
4767,-4.48041,4.648395,5.356646,-1.418186
4773,8.565657,-11.214571,2.225415,6.982842
4777,-0.722853,4.909414,8.620774,-0.634848
4778,-4.458868,7.237907,5.607041,-0.63168
4782,4.17339,-17.070291,5.816233,7.564633
4785,1.731583,-8.151236,8.633772,8.386113
4786,8.56322,-10.026658,2.975121,6.100682
4790,4.510832,-7.822238,5.837465,4.125555
4797,-3.33945,6.276417,8.131174,0.330546
4800,-6.191832,7.654709,7.861457,2.603104
4801,6.959076,-17.558433,3.503512,6.209823
4802,-2.862452,3.822404,6.649545,-0.351895
4803,1.456264,-8.920985,7.599977,5.527003
4810,7.970281,-7.706112,5.914746,6.509622
4811,-4.3655,6.779902,7.242589,0.57811
4812,9.063915,-9.735114,5.308566,6.460799
4815,-0.0653,-7.31456,6.585664,7.629987
4816,-3.191436,6.850241,7.785639,0.525347
4818,6.349031,-8.808399,5.655912,6.936095
4819,-1.24219,3.929906,5.356708,-4.360419
4820,-1.302505,6.408862,7.967248,2.221283
4826,5.857324,-14.827403,6.775974,8.93866
4827,-2.841959,5.030998,6.138012,-2.98418
4835,9.52198,-13.2668,3.537739,5.930788
4838,0.77543,6.63626,6.70673,-0.756704
4844,-6.69208,6.226736,7.738735,2.481906
4845,5.755782,-14.16442,5.674975,8.611205
4846,7.604342,-15.094281,3.534064,5.957746
4847,-3.907648,7.777928,8.038428,-0.288855
4849,-4.700716,5.458451,7.515751,2.330173
4850,-2.317149,5.053732,6.803499,3.390889
4851,7.025097,-12.187779,5.704167,9.609294
4852,7.128495,-11.223426,5.491891,6.631646
4853,-4.796092,6.604809,8.802409,1.961607
4854,-0.302294,-11.516444,6.83436,9.092259
4857,6.318545,-12.572694,2.848509,3.825802
4859,5.510024,-13.133071,5.145781,6.211893
4860,5.302512,-7.893637,6.035602,5.899673
4862,-8.370117,9.025796,8.457969,2.195968
4863,8.378037,-11.363535,6.457036,6.117777
4865,7.605048,-8.545618,4.188792,7.659138
4868,-5.646267,6.725308,9.163909,3.139677
4870,7.268265,-9.863394,4.859676,7.461832
4872,5.578839,-7.224731,6.96298,5.706371
4878,7.223432,-11.222866,6.973733,4.518665
4879,-3.278871,5.456164,7.995613,-0.14528
4880,-2.943691,4.567616,7.706553,-2.680671
4882,-0.493613,5.992376,5.201989,0.198785
4884,5.72934,-12.946545,1.289244,7.132379
4885,9.052364,-11.247344,1.521655,7.217118
4887,6.642169,-13.1534,3.781497,7.758571
4888,4.9234,-12.584165,5.986951,5.545875
4890,6.467772,-13.385952,3.981378,6.453382
4894,6.570374,-18.693104,1.742672,8.366107
4895,-5.011581,2.741999,7.393373,-3.487008
4896,7.092878,-15.472273,4.923044,5.59847
4897,2.296367,-5.317675,7.023182,6.766657
4898,-6.32277,6.999015,9.805378,2.165547
4900,-6.023171,7.487263,8.796311,0.453426
4901,-0.520293,4.426452,8.386555,-0.726804
4904,1.812203,6.309914,6.55599,-0.507698
4905,-2.056964,6.771372,5.711457,-0.447396
4906,-5.185378,6.615296,8.233266,1.363825
4908,5.833598,-16.617559,5.221276,5.244274
4910,2.602407,5.484259,5.346835,0.979142
4912,-7.784729,8.437543,6.775606,2.018612
4913,-3.576875,8.89737,9.375033,2.258608
4914,0.706986,8.21835,6.973855,-2.613974
4920,6.722412,-10.889387,4.788008,4.676783
4921,-0.512572,7.119425,7.306386,3.029068
4922,2.884323,-3.589886,7.062851,9.401696
4924,-3.706091,7.667356,7.455771,2.670269
4926,-3.89122,3.227922,6.761817,1.312786
4931,6.579419,-14.989342,5.801726,6.013
4933,3.617777,-11.803824,6.134249,4.669021
4934,-5.962764,5.93098,7.257233,-2.991597
4935,6.835709,-16.011317,5.235536,5.742786
4936,8.668337,-9.555398,3.958967,6.48483
4937,5.648166,-10.544457,5.808786,6.933735
4938,-3.04303,5.913133,6.209931,0.497367
4940,-4.367911,6.297379,7.764452,1.1247
4944,-5.574515,6.290061,7.554804,1.610456
4945,-5.628836,4.827744,7.687836,-2.918862
4946,-3.920438,6.332788,7.340359,-0.486573
4947,5.247978,-11.637067,6.03737,6.141575
4948,-0.862587,6.795162,7.710057,-0.062094
4949,8.272,-10.354842,6.852378,5.572508
4954,6.835865,-13.053117,2.998904,5.581718
4960,6.60983,-17.575511,3.972361,6.612239
4964,-1.291149,6.063913,7.607744,0.852879
4965,-2.451404,5.730944,7.419259,-0.810573
4967,8.888367,-17.677208,4.061963,6.275341
4970,-0.608539,0.766341,6.705132,7.152849
4973,-5.884216,7.280243,6.677665,0.437265
4978,-0.039761,4.573394,5.021706,-0.014119
4980,-0.309371,6.718096,7.767935,-0.029005
4981,-2.958949,8.997091,6.934074,-0.921255
4982,7.063691,-13.22275,5.430892,7.564713
4985,7.242478,-13.851013,4.555571,6.304968
