Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24
5,1,-1.63217287260123,-0.919400705017202,-1.57820187476675,0.912477208616676,0.888672537373671,-0.625740667038295,-1.38860566373717,0.781788109496007,-1.57966087289182,1.41720254045608,0.975657206311925,0.643688358244792,-2.43890451829009,-1.23644799467238,-1.15885776426224,1.1195615257626,-1.70407432826865,0.578637451779465,-0.734765402515536,-0.754274269173473,-0.713722988573949,-0.47266816038765
6,1,-1.58363501554848,-1.16085354589797,-0.552961743388849,0.902382141450103,1.18885560141469,-0.425172855039663,-1.22825241047219,-0.0631700813108568,-0.394629217501955,0.993597892116645,1.3505846349323,1.13533417492275,0.596466016003407,-2.39034126148493,-0.992359689152369,1.2307000250722,-0.294647554022898,0.463858083776897,-0.78853192093686,-1.04923500945653,-1.3060948369216,-1.13722060597956
22,1,-0.536272585041345,-1.34931879123487,-0.998623453759665,1.00808909299434,1.14607864990606,-1.19291743202806,-1.43434886186433,0.738912767419365,-1.14003016547022,1.13011869656225,0.472882299876063,1.08995283616859,-0.76999067590904,0.868517548444381,-1.34872500279744,0.964327559864778,-1.31600209823382,-2.74147490109723,-1.27164913640037,-1.62410334205356,0.488061386138746,-1.23483015156041
38,1,-0.975313155472286,-1.33283850360979,-2.18734808076209,0.860488320384559,0.990681496325169,-1.16783567376588,-1.64263832406464,1.27276828542471,-1.46167071825028,1.15257954202036,1.07862325411338,0.982257325296574,-1.73011990696984,-0.516238655108398,-0.981226106682981,1.10169953911824,-0.99473997728663,1.04644465431868,-0.84960286108108,-1.33919098093265,-0.884911516886943,-1.97107907876211
59,1,-0.488310957001407,-0.828918721575699,-2.4392136859325,0.918080719050076,1.13123552398461,-1.24698839261218,-1.01597991251069,1.20147704499013,-1.10261516497196,1.16053099468096,1.34773188060726,1.02781062881579,-1.5120476197201,1.23323417314738,-1.2242965625686,1.06678302395812,-1.62210923240568,0.243554945588689,-1.1395708261849,-1.70223954293815,-0.501187368504446,-2.15077147055296
68,1,-1.17208231770055,-1.08529761945427,-1.34593970094182,0.80607894815892,0.961744746616858,-1.58184543338795,-1.01271419501456,0.933015027917751,-0.365887549315127,1.04968342401578,1.06917445217898,1.41495466930136,0.247983729482328,1.57860106725525,-1.32549541183105,0.922120101063452,-0.969539100947094,0.554529802469862,-1.09596545506725,-1.64778990689128,-0.239541829339304,-0.629800211651857
71,1,-0.90370726335363,-0.835382218356023,-1.63540700275104,0.737868093507479,1.50033671615103,-1.24074919792703,-2.01190040864864,1.04680052001461,-1.16768677120527,1.0468191424314,1.04988851324432,0.95937317295566,0.203449579843184,1.32468951492418,-1.01332926426757,0.987251305514219,-1.00994659814816,2.12649079020476,-1.13688473399567,-1.37752321058745,-1.45183767476504,-2.6100799819207
130,1,-1.06341984833934,-0.683818971262952,-1.05647745000124,1.21717448081239,1.00383942268779,-1.06628143162644,-1.35645450198444,1.04434558143434,-0.518782356646167,0.824698999683451,0.413338787948238,1.42319957511339,0.641554464844002,-1.33570086171344,-1.03966274868796,1.07078824135148,-1.5559133777065,-0.78765762927094,-0.761508588949029,-1.31364623642501,-0.317010369756673,-1.17491343187366
153,1,-1.41441603968616,-1.17060847740173,-1.04526115438618,0.862191518231819,0.861552041515293,-1.20855454431156,-1.6423034206126,1.32192015206707,-1.63900401235523,1.08482628282585,1.05541994508473,1.07678839996963,-0.212560468356438,1.49575392030253,-1.36362975443683,1.33361314255319,-2.0771489598724,-0.127238109071378,-0.610414934695688,-1.76746170584917,-0.838881744017391,-0.490538243000982
165,1,-1.46882957297096,-0.943064117961773,-0.928768593641746,1.24271202268124,1.14158409200605,-1.20171988511833,-0.6308498940763,0.576259734174798,-1.41782642315435,0.632785258241436,0.985295490083418,1.15435065706422,0.490814496511924,1.36931703829656,-1.10002600605426,0.433627439790961,-0.248322599305597,-1.16705658226914,-0.756798063616217,-1.1676325231467,-1.80590549340842,-1.5137768690977
