"","Edges","loopCount","loopLengthAvg","loopLengthStd"
"102","SMAD,Jagged",1562,2.68041753653445,7.05502223430945
"103","PI3K,AKT",3958,7.20100208768267,10.6571029047741
"104","RAS,PI3K",3958,7.20100208768267,10.6571029047741
"105","TCFLEF,Jagged",492,0.91615866388309,4.58922113958264
"106","GLI,SHH",2,0.00150313152400835,0.147348069046933
"107","STAT,KLF4",2,0.00242171189979123,0.200410837917541
"108","ERK,RKIP",1,0.000918580375782881,0.10052056572469
"109","cateninnuc,cateninmemb",2,0.000501043841336117,0.0408660562440767
"110","cateninnuc,SNAI2",2,0.000417536534446764,0.0329470985206486
"111","cateninmemb,Ecadherin",2,0.000417536534446764,0.0329470985206486
