,Cycles,Nature,Edge_count
0,SNAIL,N,1
1,ZEB,P,1
2,"Ecadherin,NRF2,SNAIL,ZEB",N,4
3,"Ecadherin,NRF2,SNAIL,miR200,ZEB",N,5
4,"Ecadherin,ZEB",P,2
5,"SNAIL,ZEB,miR200,KEAP1,NRF2",P,5
6,"SNAIL,ZEB,miR34",P,3
7,"SNAIL,miR200,KEAP1,NRF2",P,4
8,"SNAIL,miR200,ZEB,miR34",P,4
9,"SNAIL,miR34",P,2
10,"miR200,ZEB",P,2
