Boolean,JSD,heatmap,data
 ,OVOL-ZEB_2-1,TGFB-SNAIL_1-2,ZEB-ZEB_1-2,ZEB-miR34_2-0,ZEB-OVOL_2-0,ZEB-miR200_2-0,SNAIL-miR34_2-0,SNAIL-ZEB_1-2,OVOL-STAT3_1-0,miR34-SNAIL_2-0,SNAIL-SNAIL_2-0,WT,OVOL-ZEB_2-0,ZEB-miR200_2-1,STAT3-miR200_1-2,miR200-ZEB_2-1,OVOL-OVOL_2-0,ZEB-OVOL_2-1,ZEB-ZEB_1-0,SNAIL-miR34_2-1,Wg-OVOL_2-1,OVOL-STAT3_1-2,STAT3-miR200_1-0,OVOL-OVOL_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-SNAIL_2-1,SNAIL-miR200_2-1,SNAIL-ZEB_1-0,miR34-SNAIL_2-1,ZEB-miR34_2-1,SMAD-OVOL_1-2
OVOL-ZEB_2-1,0.0,0.04331771751124018,0.04142434147393109,0.10541784183929721,0.03242744817556638,0.12779592343918086,0.10345436401115168,0.025324571583004572,0.3130785920263412,0.16194723738375214,0.08708917016894241,0.04286785825734376,0.03799462822806699,0.3582347007531081,0.2126100070553698,0.015969862170573695,0.041880533307556866,0.16742332491425121,0.04133491888632983,0.10809842491453595,0.042085616454341224,1.0,0.09217156866474437,0.037453277885606186,0.04520677674161128,0.08360125877660726,0.08831087925172208,0.2535892493307146,0.05213398903798114,1.0,0.19962030749224707,0.043323144336000846
TGFB-SNAIL_1-2,0.043317717511240195,0.0,0.003862223000011788,0.04189279995839028,0.017966082785689674,0.09140483515430371,0.0915760690399281,0.038461326709885765,0.2832411303462144,0.12974600008709858,0.04538423962400105,0.00013932390043801778,0.005656808381655375,0.31246948709575717,0.2078402243089193,0.015817848108695555,0.00018415130498724555,0.22132554046185543,0.002285153810803384,0.09204556523126296,0.00010806477443521381,1.0,0.06348085312144747,0.0015329093510692855,0.00024598749609946666,0.04070656598288383,0.047147100459399245,0.17901643488323138,0.001531936833720271,1.0,0.1261711823074581,8.200492621758255e-05
ZEB-ZEB_1-2,0.0414243414739311,0.0038622230000117854,0.0,0.06978409163236135,0.013740748735621151,0.08158500571473927,0.06296778182800285,0.05119542436397766,0.28826348982163286,0.1327355632009194,0.056111123726471854,0.0040757902361261995,0.0006074296142407072,0.2892349257721195,0.1847101492994203,0.02093261601444042,0.00347982022353296,0.21600405625819075,0.0002459044101840329,0.06319690922418711,0.0029115383633256968,1.0,0.06400700647619231,0.005160381593868722,0.003403340545896194,0.047975830767595186,0.058691860565650386,0.18730758408110723,0.008898260787102267,1.0,0.16986178160623283,0.0035988840707134543
ZEB-miR34_2-0,0.10541784183929723,0.04189279995839029,0.06978409163236136,0.0,0.08986997930490573,0.16787876679705022,0.22621391592299467,0.04900498535295965,0.30488054171004325,0.16772323785990034,0.06360109958592411,0.04205294107969035,0.07622233570315906,0.408136863746061,0.3194841909787386,0.052927461598785294,0.044146677773078735,0.2982048533496591,0.06255877795027784,0.22636888390785376,0.045516734605632755,1.0,0.11441489683479034,0.04607134280366958,0.04369777311071267,0.06950641522790607,0.06309188418356383,0.18854042151013833,0.030719192352867592,1.0,0.024065561000486513,0.042917314204107326
ZEB-OVOL_2-0,0.032427448175566385,0.017966082785689674,0.013740748735621153,0.08986997930490573,0.0,0.10291676517751247,0.06799232852931791,0.0675330297386605,0.29844209360901386,0.14056687118352149,0.06477629625489481,0.017365997236324864,0.00907552261580941,0.3390046000777436,0.18269873740425818,0.03417427187527934,0.01619771223783153,0.1272032399896213,0.014281901992597951,0.07337168675879929,0.01632383202668789,1.0,0.0663223689103836,0.01040479913552833,0.020214787527580623,0.060733515963531784,0.06603847841218194,0.2414583739750299,0.029005339444852916,1.0,0.19191687491351742,0.01800570577683968
ZEB-miR200_2-0,0.12779592343918086,0.09140483515430371,0.08158500571473928,0.16787876679705016,0.10291676517751247,0.0,0.12083803231704503,0.1397144058762485,0.34560876424325604,0.2067264375457818,0.14564111501913501,0.09170109953762834,0.08295186615832228,0.11089547384267383,0.09536706368920825,0.1078979314121518,0.0912730004971264,0.31003865777655276,0.08338473939246138,0.11884375993261298,0.08994109753077767,1.0,0.058267932113781284,0.09540684220630899,0.08958673175252133,0.0970731181132068,0.14868416554769212,0.17299361328915225,0.09688685888036797,1.0,0.26960239425796806,0.09092862442896936
SNAIL-miR34_2-0,0.10345436401115166,0.0915760690399281,0.06296778182800285,0.22621391592299467,0.06799232852931791,0.12083803231704504,0.0,0.16462813050401126,0.3674383707251475,0.2111820312418466,0.16171865755243592,0.09176143763150874,0.05821284804291989,0.24753586841110725,0.13275324213762457,0.1117308387483034,0.0891757764016165,0.23637509210858537,0.06933469383517449,0.0006535804613413182,0.087217140069523,1.0,0.135858417223775,0.08996831520358883,0.08962255758680496,0.14435327453784444,0.1663315595626128,0.2937970627340359,0.10861645898549613,1.0,0.3669065138119659,0.09034224154001158
SNAIL-ZEB_1-2,0.025324571583004576,0.038461326709885765,0.05119542436397765,0.04900498535295965,0.06753302973866052,0.1397144058762485,0.16462813050401123,0.0,0.30485203021931206,0.16239363910874743,0.07381112152208047,0.03846717542255236,0.05477473074601836,0.36392821891622334,0.26838914694777594,0.008768517654525174,0.03947479699301676,0.2693324228998828,0.04761517890609884,0.16477916658209338,0.03987379552501534,1.0,0.10334887430152123,0.04093840624558019,0.039372276546496804,0.07298833906129076,0.07446044663074874,0.1999557693195292,0.03525612719764888,1.0,0.10974145315714384,0.03902628710645448
OVOL-STAT3_1-0,0.31307859202634125,0.2832411303462144,0.28826348982163286,0.3048805417100433,0.2984420936090139,0.34560876424325604,0.36743837072514757,0.3048520302193121,0.0,0.36494274900125867,0.31003153210263584,0.28324524515266736,0.2900056338407451,0.5150835404355792,0.4378100330568349,0.29274778135099755,0.2836987846621082,0.43960252087859825,0.28665452800112945,0.36760698296968075,0.2836713679693964,0.34317008704750396,0.32423027925515757,0.2845283738246986,0.28360843152747606,0.30775050643241997,0.310822350182517,0.4058467305717395,0.2833125643361897,1.0,0.35790942287516503,0.2834408294801679
miR34-SNAIL_2-0,0.16194723738375216,0.12974600008709858,0.1327355632009194,0.16772323785990034,0.1405668711835215,0.20672643754578177,0.21118203124184662,0.16239363910874743,0.36494274900125867,0.0,0.03765744075232498,0.1297568425273479,0.13339134164947053,0.40827154086950346,0.3054596857351374,0.14263085072560178,0.1295423333362943,0.30382765493648906,0.13144483047923877,0.2124991083905169,0.12964517185525892,1.0,0.1800710664309434,0.12961338956425944,0.130364543113545,0.16313714413649547,0.03744335379572481,0.29196941159891177,0.13212061619966597,0.5655655421109043,0.2412170126014441,0.12984227248865407
