Boolean,JSD,heatmap,data
 ,SNAIL-OVOL_0-1,WT,ZEB-OVOL_2-1,ZEB-ZEB_1-0,OVOL-miR200_2-0,OVOL-miR200_2-1,ZEB-miR200_2-0,ZEB-miR200_2-1,miR200-miR200_0-1,SNAIL-miR200_2-0,ZEB-ZEB_1-2,OVOL-ZEB_2-0,OVOL-ZEB_2-1,OVOL-OVOL_2-0,OVOL-OVOL_2-1,SNAIL-ZEB_1-2,SNAIL-miR200_2-1,miR200-ZEB_2-1,SNAIL-OVOL_0-2,OVOL-SNAIL_0-2,miR200-OVOL_0-2,miR200-miR200_0-2,miR200-OVOL_0-1,miR200-SNAIL_0-2,miR200-ZEB_2-0,SNAIL-SNAIL_0-1,SNAIL-ZEB_0-1,SNAIL-ZEB_0-2,SNAIL-ZEB_1-0
ZEB-ZEB_1-2,1.0,0.27802066281378685,1.0,9.348690041444943e-06,0.10145439385002836,6.929032623215333e-05,0.4169498522153742,1.0,0.22097488372835294,0.20575777680575796,0.0,8.728331982090095e-07,1.526381681860858e-05,0.27505956330997006,0.47550308451620027,0.3437980233473861,0.34740784184405576,0.2412127821539675,3.4913260720925016e-06,2.4266485046296315e-05,1.0,0.2836131444256811,4.508427104783037e-06,0.21969429934103496,0.2191539207044062,0.276352579070819,0.28208666316323494,0.3466181821536689,0.31805517031426456
OVOL-ZEB_2-0,1.0,0.27803092343130725,1.0,4.508442974626454e-06,0.101453273071415,8.571633316064708e-05,0.4169495745817188,1.0,0.22098676265743306,0.2057559475274418,8.728331982090095e-07,0.0,8.836599483295817e-06,0.27505573704924047,0.4755002661926079,0.343791521128905,0.3473990390016841,0.24121606048189193,8.728308940066619e-07,1.5934893263266957e-05,1.0,0.28362264073046206,1.4138425068270207e-06,0.21968994026540206,0.2191620645542407,0.27634536258115705,0.2821028512784145,0.3466158111600842,0.318052046868472
OVOL-ZEB_2-1,1.0,0.27807174528895584,1.0,7.213686757976496e-07,0.10146011084025858,0.00014959336733562367,0.4169550505552664,1.0,0.2210334674715091,0.20575922941610625,1.526381681860858e-05,8.836599483295817e-06,0.0,0.27505177549801385,0.4754968922703491,0.3437781502676995,0.34737830074726483,0.24123514077848096,4.155032187326741e-06,1.0388006799360618e-06,1.0,0.28366095823973747,3.1812037240169268e-06,0.2196849952760332,0.2191969083655117,0.2763305971934994,0.28216248054280824,0.3466155482135439,0.31804976286562725
OVOL-OVOL_2-0,0.34968842542434364,0.00023972005895365718,1.0,0.27505163206219035,0.05912632876062176,0.2751481554335926,0.021190102605892797,0.34964964653349395,0.004316005165555022,0.0071262800427464735,0.27505956330997006,0.2750557370492405,0.27505177549801385,0.0,0.25490488938676364,0.005476777458097675,0.0060604046366785,0.0016532004027957937,0.2750531452753868,0.27505329441053394,0.3497265852421779,0.0001525335614869143,0.27505265267638046,0.004486738091576166,0.004548091867691102,2.0323153371347674e-05,0.0002746566365363773,0.005933635030109661,0.0022451481364689826
OVOL-OVOL_2-1,0.5406356026031789,0.25508567275044836,0.37303468041271365,0.4754969876923635,0.29738617226859787,0.47556531508564814,0.27134553816473567,0.5406150706137529,0.257624452495917,0.2595592350444033,0.47550308451620027,0.4755002661926079,0.47549689227034914,0.25490488938676364,0.0,0.25938560442825975,0.2598312434720186,0.2558397162570804,0.4754982886283401,0.4754976950037978,0.5406574111606243,0.25507965456032144,0.4754978952080611,0.25773478911532965,0.25778571899129454,0.25493394862276486,0.25514766508041753,0.25973410983108425,0.25684855744708224
SNAIL-ZEB_1-2,0.28034559240595613,0.005195273859627647,1.0,0.34378083418309574,0.099190062644711,0.3439045203331235,0.00519515041317367,0.28032359761941195,0.01931240856843955,0.024959237495430487,0.3437980233473861,0.343791521128905,0.3437781502676995,0.005476777458097675,0.2593856044282598,0.0,2.39872503757922e-05,0.012956418719919788,0.3437861188954152,0.3437761295714652,0.28037430382832584,0.004219166167405213,0.3437848364622571,0.019678886372202064,0.019894705838827253,0.005297258086876377,0.004581311109447605,2.376653220117159e-05,0.0007255628652776073
SNAIL-miR200_2-1,0.277081724451053,0.005699823183276203,1.0,0.3473830969775623,0.10145109275212111,0.34753452397846113,0.004653308263355076,0.2770840435382059,0.020350061532074526,0.026135278393470844,0.34740784184405576,0.3473990390016841,0.34737830074726483,0.0060604046366784965,0.2598312434720186,2.3987250375792364e-05,0.0,0.013793307321917254,0.34739132905350334,0.34737373749946243,0.277094531650553,0.004741188809186314,0.3473894160115708,0.020690855641976154,0.020972294201879783,0.005887929719766531,0.005082504686414071,1.4422159792800728e-05,0.0009399937334193514
miR200-ZEB_2-1,0.38979306523214907,0.001893131511831004,1.0,0.2412283461709166,0.04176054708338282,0.24124096880635887,0.034055662714005355,0.3898159691750761,0.0006549220266484261,0.002026260307073968,0.24121278215396746,0.24121606048189193,0.24123514077848096,0.0016532004027957937,0.2558397162570804,0.012956418719919788,0.013793307321917251,0.0,0.24122063886234946,0.2412447127258138,0.3897897691939293,0.0024836002379030175,0.24122211314281652,0.0007326709817794142,0.0007986785837598397,0.0018608391145677645,0.0023205060220972545,0.013573559166983933,0.007569889315612675
SNAIL-OVOL_0-2,1.0,0.2780424127107164,1.0,1.4138543265154778e-06,0.10145371609533876,0.00010388777391499154,0.41695025281638287,1.0,0.22099998054188538,0.20575548641593477,3.4913260720925016e-06,8.728308940066619e-07,4.155032187326741e-06,0.2750531452753868,0.4754982886283401,0.34378611889541516,0.34739132905350334,0.24122063886234948,0.0,9.348936856242275e-06,1.0,0.2836333548100406,6.492151218031564e-08,0.2196869226799758,0.21917155087778417,0.2763393780715464,0.28212026009929314,0.34661453459268193,0.31805007393293117
OVOL-SNAIL_0-2,1.0,0.2780886052682644,1.0,3.49147690463774e-06,0.10146609996353942,0.0001755623731111702,0.416959155904721,1.0,0.22105260153142892,0.20576354340633618,2.4266485046296315e-05,1.5934893263266957e-05,1.0388006799360618e-06,0.27505329441053394,0.4754976950037978,0.3437761295714652,0.34737373749946243,0.2412447127258138,9.348936856242275e-06,0.0,1.0,0.2836769341954259,7.85572639318841e-06,0.21968642639398223,0.21921198391575586,0.276328406011194,0.2821857703749497,0.34661800881211047,0.31805166122770745
miR200-OVOL_0-2,8.062152809769482e-06,0.3463933546968635,1.0,1.0,0.6248310863715927,1.0,0.22038010169766473,5.126653737628313e-05,0.41620573010122913,0.43730471772071083,1.0,1.0,1.0,0.3497265852421779,0.5406574111606243,0.28037430382832584,0.27709453165055303,0.38978976919392927,1.0,1.0,0.0,0.34025841977855775,1.0,0.4178857694329966,0.4186949221110464,0.3484057318861756,0.3419466423282913,0.2777703917673121,0.30460038422145386
miR200-miR200_0-2,0.3402298189608114,0.00016201525918856726,1.0,0.2836487522348653,0.06382092042457099,0.28358229808916563,0.01848833872513921,0.34020591541342965,0.005563630293768303,0.008872992884639722,0.28361314442568103,0.28362264073046206,0.28366095823973747,0.0001525335614869141,0.25507965456032144,0.004219166167405213,0.004741188809186312,0.002483600237903019,0.2836333548100406,0.2836769341954259,0.34025841977855775,0.0,0.2836364881868683,0.005889542420311377,0.005889051850139732,0.0001881190512345401,7.233964247679403e-05,0.004573448617162275,0.0014658578299889865
miR200-OVOL_0-1,1.0,0.27804575939553466,1.0,8.728401811582218e-07,0.10145410832399335,0.0001091465537587195,0.4169506036844087,1.0,0.22100381780654865,0.2057555981084822,4.508427104783037e-06,1.4138425068270207e-06,3.1812037240169268e-06,0.27505265267638046,0.47549789520806107,0.3437848364622571,0.3473894160115708,0.24122211314281652,6.492151218031564e-08,7.85572639318841e-06,1.0,0.2836364881868683,0.0,0.2196863325212982,0.21917437105281867,0.2763379597440896,0.28212521982691474,0.3466143763788916,0.31804973553379756
miR200-SNAIL_0-2,0.4178945264867145,0.0049435662430525,1.0,0.21968502228132863,0.031724077322470484,0.21979236218013967,0.04447170408369961,0.4179247587687344,8.797318472061552e-05,0.000356519947217485,0.21969429934103496,0.21968994026540206,0.2196849952760332,0.004486738091576166,0.25773478911532965,0.01967888637220206,0.02069085564197615,0.0007326709817794142,0.2196869226799758,0.21968642639398223,0.4178857694329966,0.005889542420311377,0.2196863325212982,0.0,0.00010173241519884817,0.00476141054576959,0.005649232082957468,0.020461080717369167,0.012899330324552257
miR200-ZEB_2-0,0.4186665291586726,0.005089838636296976,1.0,0.21918556603988265,0.03146023235877256,0.21914062989856647,0.04485630442755846,0.41864020420524994,3.438317615833252e-05,0.0003319637061141808,0.21915392070440623,0.21916206455424073,0.21919690836551167,0.004548091867691102,0.25778571899129454,0.01989470583882725,0.02097229420187978,0.0007986785837598397,0.21917155087778417,0.21921198391575586,0.4186949221110464,0.005889051850139734,0.21917437105281867,0.00010173241519884774,0.0,0.004794741845870806,0.005703322593248027,0.020693541790505875,0.013081061346657478
SNAIL-SNAIL_0-1,0.3483473488167793,0.0003794722009290846,1.0,0.2763335431836983,0.05983844194729716,0.27647126659775606,0.020888146342483167,0.3482778431870537,0.004602041784275233,0.007414053490961844,0.276352579070819,0.27634536258115705,0.27633059719349945,2.0323153371347674e-05,0.2549339486227649,0.005297258086876377,0.0058879297197665294,0.0018608391145677663,0.2763393780715464,0.276328406011194,0.3484057318861756,0.0001881190512345403,0.27633795974408965,0.004761410545769588,0.004794741845870807,0.0,0.00038643483223037506,0.005778739696610805,0.002164390893550982
SNAIL-ZEB_0-1,0.3419573068773505,4.502304397254561e-05,1.0,0.28214418238594113,0.06305843716602462,0.28199632388433404,0.018944432505365275,0.3419930925094454,0.005296892835037731,0.008641727234717752,0.2820866631632349,0.28210285127841445,0.28216248054280824,0.00027465663653637707,0.2551476650804176,0.004581311109447605,0.005082504686414066,0.0023205060220972537,0.28212026009929314,0.2821857703749497,0.3419466423282913,7.233964247679381e-05,0.28212521982691474,0.005649232082957466,0.005703322593248031,0.00038643483223037463,0.0,0.0048817276389013335,0.0016898663797512807
SNAIL-ZEB_0-2,0.27775853630115177,0.005515409169380854,1.0,0.34661449271799477,0.10095559107302587,0.34668762527583846,0.004735447293022417,0.27776228028277716,0.020057988816655645,0.025870070673089555,0.3466181821536689,0.3466158111600842,0.3466155482135439,0.005933635030109668,0.25973410983108425,2.3766532201171522e-05,1.4422159792800674e-05,0.013573559166983929,0.34661453459268193,0.34661800881211047,0.2777703917673121,0.0045734486171622735,0.3466143763788916,0.02046108071736916,0.020693541790505872,0.005778739696610809,0.004881727638901339,0.0,0.0008825743569821866
SNAIL-ZEB_1-0,0.3045830408200758,0.002058686437300926,1.0,0.31804922688083453,0.08355489672712395,0.31813379345487414,0.009688941574243229,0.30457750626385816,0.012591641716531377,0.017257786732398864,0.3180551703142645,0.318052046868472,0.31804976286562725,0.0022451481364689826,0.25684855744708224,0.0007255628652776064,0.0009399937334193522,0.007569889315612678,0.3180500739329311,0.31805166122770745,0.30460038422145386,0.0014658578299889856,0.3180497355337975,0.012899330324552257,0.013081061346657478,0.002164390893550982,0.001689866379751279,0.0008825743569821866,0.0

RACIPE,JSD,heatmap,data
 ,SNAIL-OVOL_0-1,WT,ZEB-OVOL_2-1,ZEB-ZEB_1-0,OVOL-miR200_2-0,OVOL-miR200_2-1,ZEB-miR200_2-0,ZEB-miR200_2-1,miR200-miR200_0-1,SNAIL-miR200_2-0,ZEB-ZEB_1-2,OVOL-ZEB_2-0,OVOL-ZEB_2-1,OVOL-OVOL_2-0,OVOL-OVOL_2-1,SNAIL-ZEB_1-2,SNAIL-miR200_2-1,miR200-ZEB_2-1,SNAIL-OVOL_0-2,OVOL-SNAIL_0-2,miR200-OVOL_0-2,miR200-miR200_0-2,miR200-OVOL_0-1,miR200-SNAIL_0-2,miR200-ZEB_2-0,SNAIL-SNAIL_0-1,SNAIL-ZEB_0-1,SNAIL-ZEB_0-2,SNAIL-ZEB_1-0
SNAIL-OVOL_0-1,0.0,0.020227823807692807,0.1039710976215977,0.012204772034499862,0.04805226988907518,0.05776346110720858,0.10976705118560678,0.12171812689639516,0.022909098762631686,0.022139083209459155,0.014014849078075696,0.018309835587055408,0.008794116529487223,0.07222610852736633,0.03428894329432268,0.022029269497658203,0.018417288508427283,0.034390582042216844,0.009832380473334238,0.0325704462002023,0.006558421648490074,0.026203018716844245,0.024045170136160837,0.032501122339875295,0.020577564031579395,0.028132122192820318,0.022798899821524485,0.020690874176952617,0.022657972145449425
WT,0.020227823807692797,0.0,0.19683343552064037,0.0030387108459389973,0.02514967478022259,0.031200176099066557,0.18328864858555496,0.13811830769460612,0.0019339391355797401,0.004604516479855765,0.028221826060404208,0.001584387914304689,0.007159215773752946,0.02769968247659245,0.02341791534545567,0.007100942380619701,0.006531260152279736,0.028641587985683163,0.007078833346008095,0.009669679556105863,0.047948766586133604,0.007137254827936359,0.009403689482337274,0.008895072059714283,0.00562292294006769,0.004675731611506255,0.0009393671458979579,0.002807996161252792,0.00138617556788768
ZEB-OVOL_2-1,0.10397109762159767,0.1968334355206404,0.0,0.16469147828362324,0.2059751063188178,0.21380348036411362,0.09623236685432435,0.2534289100403383,0.19423802937832313,0.1957933336520935,0.11861835395562645,0.18237934678208628,0.14377043572545095,0.32190420179196433,0.22766349172589623,0.19998203327669484,0.19220920278959075,0.20121733355198307,0.1644655498049368,0.20024032687728185,0.06362183445374199,0.21185842407936928,0.21059967512046948,0.20317910388867566,0.19611680316146451,0.19955121723686842,0.20047674290485812,0.19775515091441714,0.20610552430886972
ZEB-ZEB_1-0,0.012204772034499866,0.0030387108459389994,0.1646914782836232,0.0,0.027770734594574784,0.03558507302693521,0.1623070981631417,0.13061865356131824,0.005418297099099669,0.005997754198796968,0.014903759528844877,0.0030434863245707476,0.0015408034263537434,0.044628557989817505,0.03316461447539677,0.009201972782864483,0.0076780894180728115,0.027391566867164797,0.004456697231683631,0.013752187583315239,0.03271319376816463,0.01095948040856924,0.011814457035495548,0.012776861165307418,0.0074374409015322985,0.008766714301770551,0.004954823207157314,0.004871817830204775,0.005742818822683526
OVOL-miR200_2-0,0.04805226988907517,0.025149674780222585,0.20597510631881777,0.02777073459457479,0.0,0.005034123495078648,0.27459010088267455,0.2608530915198515,0.013951870546761204,0.024509332969911805,0.07084896725605644,0.016851638394270334,0.02729260423737919,0.06868064320883663,0.06850417181217938,0.056906711680041425,0.05350135714342197,0.10160384635957467,0.02843881961558785,0.00476337903736587,0.07330803300733718,0.057399029339535994,0.03499750144910013,0.004549802459680017,0.05134192826260068,0.014109551776996031,0.019552900472759812,0.042597742420296264,0.03707236815785779
OVOL-miR200_2-1,0.057763461107208584,0.03120017609906656,0.21380348036411354,0.03558507302693521,0.005034123495078648,0.0,0.29095224802971803,0.27693081053423196,0.01873628383939688,0.038786958049799466,0.08055671889116764,0.021414734253556958,0.03439301973962782,0.07427559896137019,0.0778466948420316,0.06589382585647463,0.06398392151963828,0.11234545383665567,0.037641689220634766,0.00818824758565061,0.08558844747125015,0.06474325990601308,0.042693750563505016,0.010458688143922904,0.05737498788827936,0.019046767646128983,0.023621379929892668,0.051353207100286,0.04351924319518033
ZEB-miR200_2-0,0.10976705118560681,0.18328864858555496,0.09623236685432433,0.1623070981631417,0.27459010088267455,0.29095224802971803,0.0,0.07375586727781194,0.2023227242002289,0.18302198257457641,0.10480190623229814,0.1897257688023187,0.15568662814613504,0.2570329869458136,0.16400001975639888,0.1432639789097784,0.1407743747541374,0.108483416285173,0.16872078314091338,0.2355189662115169,0.08924457374868777,0.15187856566023922,0.19880618318682497,0.23569902912889565,0.14969502475986124,0.21289076356731967,0.1974583872466673,0.1578466240377828,0.17141511682589247
ZEB-miR200_2-1,0.12171812689639516,0.13811830769460615,0.25342891004033835,0.13061865356131822,0.2608530915198515,0.2769308105342321,0.07375586727781194,0.0,0.16831453851368755,0.14369554381147773,0.09133708193782611,0.15780411438624492,0.13814007898821506,0.15254471046139959,0.11183398204335396,0.08626192302312469,0.08905885823350213,0.04361506340489507,0.13965042659580867,0.21166926603589897,0.1335288415062731,0.08952729951002489,0.1443426009153414,0.2079300290437896,0.09507053032146187,0.17681533848561637,0.1556613226175323,0.10528400139511754,0.11817857881630038
miR200-miR200_0-1,0.02290909876263167,0.0019339391355797388,0.19423802937832316,0.005418297099099665,0.0139518705467612,0.01873628383939687,0.2023227242002289,0.16831453851368755,0.0,0.005841636175394658,0.036070294986728146,0.0006364414800661623,0.008214197965894308,0.03388741147132539,0.03012117166928476,0.01595468972806214,0.014742437587852247,0.04421424279427321,0.008720142908125577,0.003014376360409867,0.05038141770077638,0.015734850934621528,0.011972775681234817,0.002909059328241591,0.012959134522670914,0.0027163884070942734,0.0006917564105901708,0.008958983813817649,0.005991714884480748
SNAIL-miR200_2-0,0.022139083209459155,0.004604516479855766,0.19579333365209345,0.005997754198796968,0.024509332969911802,0.03878695804979948,0.18302198257457641,0.1436955438114777,0.005841636175394658,0.0,0.03142867177245485,0.006270695119590532,0.010332869951713692,0.035160700789972334,0.026916050631433597,0.011761739561399767,0.009406962541413072,0.03436781636927989,0.009357715507317572,0.01254890283655349,0.0472403445602393,0.01333030342352173,0.013747247550704448,0.009822228635153916,0.01278214555491816,0.008829208325349426,0.006488383571495106,0.00631575429951161,0.006721137205284802
ZEB-ZEB_1-2,0.014014849078075696,0.028221826060404208,0.11861835395562645,0.014903759528844868,0.07084896725605644,0.08055671889116764,0.10480190623229815,0.09133708193782611,0.03607029498672814,0.031428671772454855,0.0,0.02820373337211291,0.011548292537201015,0.08959072787248096,0.0587462948827239,0.02332580626786359,0.021497883099704837,0.02319501391516909,0.02102267395869018,0.051521103941065974,0.02044200690731355,0.027224012684079407,0.03663947263204158,0.05090029457478515,0.02058901715523059,0.04134392268305888,0.03389492538988238,0.02234899612156241,0.029159411363288475
OVOL-ZEB_2-0,0.018309835587055408,0.0015843879143046895,0.18237934678208628,0.0030434863245707476,0.01685163839427034,0.021414734253556954,0.18972576880231867,0.15780411438624492,0.0006364414800661628,0.006270695119590533,0.028203733372112915,0.0,0.004649378367857641,0.03690151636677401,0.030232540064141736,0.013986977360809751,0.012727235314141307,0.03887769241575349,0.005993908151981882,0.0048428184719577815,0.043325651191789175,0.013920527977718113,0.010263810907548321,0.005026849261685854,0.010113848817196366,0.0041284916061153434,0.0007501659903121128,0.007557234200997168,0.005517009173509642
OVOL-ZEB_2-1,0.008794116529487223,0.007159215773752945,0.14377043572545098,0.0015408034263537439,0.02729260423737919,0.03439301973962783,0.15568662814613504,0.13814007898821506,0.008214197965894312,0.010332869951713699,0.011548292537201018,0.004649378367857642,0.0,0.056734022123620734,0.03910340738915633,0.015620937084937924,0.013405592160765999,0.033130437849040795,0.00430084329546738,0.014963962554985789,0.02456304997283616,0.01757488115328435,0.014328073803696943,0.014844683089606826,0.011582372668376636,0.012405956334482422,0.008221050644992699,0.01026137236323146,0.011518931064160059
OVOL-OVOL_2-0,0.0722261085273663,0.02769968247659245,0.3219042017919643,0.0446285579898175,0.06868064320883663,0.07427559896137019,0.2570329869458136,0.15254471046139953,0.03388741147132539,0.03516070078997233,0.089590727872481,0.036901516366774,0.05673402212362074,0.0,0.0197532867538417,0.028040816046182943,0.029427463825660072,0.04876545018107877,0.040094894791934815,0.04541863145016364,0.11669616262849881,0.02366984663887965,0.02248397938731988,0.04359611421093905,0.02804292417609551,0.0387613431127901,0.028058818507937892,0.028674085421688266,0.022670135655926113
OVOL-OVOL_2-1,0.03428894329432268,0.023417915345455672,0.22766349172589626,0.03316461447539677,0.06850417181217938,0.0778466948420316,0.16400001975639888,0.11183398204335396,0.03012117166928476,0.026916050631433597,0.0587462948827239,0.030232540064141732,0.03910340738915633,0.019753286753841706,0.0,0.017744215234538226,0.016669972355534548,0.02930321656527466,0.025447266496793776,0.043638226802153776,0.06286410429953747,0.01697822351522349,0.020155148728113113,0.04273913625220885,0.018947860094443034,0.036031779589160026,0.025633010619231945,0.02062243243186339,0.018162819450419906
SNAIL-ZEB_1-2,0.022029269497658203,0.0071009423806197,0.19998203327669484,0.009201972782864484,0.05690671168004141,0.06589382585647463,0.14326397890977843,0.08626192302312469,0.01595468972806214,0.011761739561399769,0.023325806267863593,0.013986977360809746,0.015620937084937928,0.02804081604618295,0.017744215234538223,0.0,0.00035514732379498377,0.008440619013089267,0.014682050112502693,0.03251756717643363,0.04869719543407983,0.0007131771840328633,0.01630066450717154,0.03074194887935063,0.0020610954499407346,0.019814683659023398,0.012106187966592935,0.0014572274301090106,0.002876192777920437
SNAIL-miR200_2-1,0.018417288508427283,0.006531260152279729,0.19220920278959072,0.007678089418072808,0.053501357143421954,0.06398392151963828,0.1407743747541374,0.08905885823350213,0.014742437587852247,0.009406962541413072,0.021497883099704823,0.012727235314141312,0.013405592160766,0.029427463825660076,0.016669972355534544,0.00035514732379498436,0.0,0.009620711869872801,0.01177838312192142,0.030469580645064328,0.04333185685518629,0.0015764127600492877,0.01427446448153029,0.028471435750989316,0.0024849852258221096,0.01890704030505076,0.01139008718802004,0.0014171556143587137,0.0030392861900048205
miR200-ZEB_2-1,0.034390582042216844,0.028641587985683163,0.20121733355198312,0.027391566867164794,0.10160384635957467,0.11234545383665566,0.108483416285173,0.04361506340489507,0.04421424279427321,0.034367816369279894,0.0231950139151691,0.03887769241575349,0.03313043784904078,0.048765450181078765,0.02930321656527466,0.00844061901308927,0.009620711869872801,0.0,0.03350995886030618,0.06905755222881697,0.05649468314460984,0.009349698650688347,0.035818625257639056,0.06712419153997132,0.010833576108418444,0.050033259298475505,0.037184395746835484,0.014631364740204472,0.019946866733731507
SNAIL-OVOL_0-2,0.009832380473334236,0.007078833346008094,0.16446554980493677,0.004456697231683632,0.028438819615587845,0.03764168922063476,0.16872078314091338,0.1396504265958087,0.008720142908125582,0.009357715507317566,0.021022673958690185,0.005993908151981879,0.004300843295467383,0.0400948947919348,0.025447266496793783,0.014682050112502693,0.011778383121921416,0.03350995886030618,0.0,0.015547164899641929,0.028006221469883262,0.01616807541130391,0.004361559485484877,0.014719792442427715,0.011133030847808124,0.014235401684509581,0.007600300236434455,0.010958139064211916,0.01056190924135085
