Boolean,JSD,heatmap,data
 ,SNAIL-OVOL_0-1,WT,ZEB-OVOL_2-1,ZEB-ZEB_1-0,OVOL-miR200_2-0,OVOL-miR200_2-1,ZEB-miR200_2-0,ZEB-miR200_2-1,miR200-miR200_0-1,SNAIL-miR200_2-0,ZEB-ZEB_1-2,OVOL-ZEB_2-0,OVOL-ZEB_2-1,OVOL-OVOL_2-0,OVOL-OVOL_2-1,SNAIL-ZEB_1-2,SNAIL-miR200_2-1,miR200-ZEB_2-1,SNAIL-OVOL_0-2,OVOL-SNAIL_0-2,miR200-OVOL_0-2,miR200-miR200_0-2,miR200-OVOL_0-1,miR200-SNAIL_0-2,miR200-ZEB_2-0,SNAIL-SNAIL_0-1,SNAIL-ZEB_0-1,SNAIL-ZEB_0-2,SNAIL-ZEB_1-0
SNAIL-OVOL_0-1,0.0,0.3464230656654967,1.0,1.0,0.6248125991927547,1.0,0.22039731496537995,1.8668473268989216e-05,0.4162025245857193,0.43728570282865453,1.0,1.0,1.0,0.34968842542434364,0.540635602603179,0.28034559240595613,0.277081724451053,0.38979306523214907,1.0,1.0,8.062152809769482e-06,0.3402298189608114,1.0,0.4178945264867145,0.41866652915867253,0.3483473488167793,0.3419573068773505,0.27775853630115177,0.3045830408200758
WT,0.3464230656654967,0.0,1.0,0.278058812503672,0.06085073564611879,0.2779834873274244,0.020164657658097197,0.34648767815142856,0.004682132870591986,0.007822616843567881,0.27802066281378685,0.27803092343130725,0.27807174528895584,0.00023972005895365718,0.25508567275044836,0.005195273859627647,0.005699823183276203,0.0018931315118310048,0.27804241271071645,0.2780886052682644,0.3463933546968635,0.00016201525918856726,0.27804575939553466,0.0049435662430525,0.005089838636296976,0.0003794722009290846,4.5023043972545785e-05,0.0055154091693808555,0.0020586864373009234
ZEB-OVOL_2-1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37303468041271365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZEB-ZEB_1-0,1.0,0.2780588125036719,1.0,0.0,0.10145654165536477,0.00012953953157828282,0.4169524984917517,1.0,0.22101873989663728,0.20575687830824435,9.348690041444943e-06,4.508442974626454e-06,7.213686757976496e-07,0.27505163206219035,0.4754969876923634,0.34378083418309574,0.3473830969775623,0.2412283461709166,1.4138543265154778e-06,3.49147690463774e-06,1.0,0.2836487522348653,8.728401811582218e-07,0.21968502228132863,0.21918556603988265,0.2763335431836983,0.28214418238594113,0.34661449271799477,0.3180492268808346
OVOL-miR200_2-0,0.6248125991927547,0.06085073564611881,1.0,0.10145654165536479,0.0,0.10153341835678945,0.14700860879614994,0.6247942893139486,0.03231067012020213,0.025679717668742795,0.10145439385002836,0.101453273071415,0.10146011084025858,0.05912632876062175,0.29738617226859787,0.099190062644711,0.10145109275212112,0.04176054708338282,0.10145371609533878,0.10146609996353942,0.6248310863715927,0.06382092042457098,0.10145410832399336,0.031724077322470484,0.03146023235877256,0.059838441947297163,0.06305843716602462,0.10095559107302587,0.08355489672712393
OVOL-miR200_2-1,1.0,0.2779834873274244,1.0,0.00012953953157828282,0.10153341835678945,0.0,0.4169945270092982,1.0,0.22092815922150927,0.20583447758323503,6.929032623215333e-05,8.571633316064708e-05,0.00014959336733562367,0.2751481554335926,0.4755653150856482,0.3439045203331235,0.34753452397846113,0.24124096880635887,0.00010388777391499154,0.0001755623731111702,1.0,0.2835822980891657,0.0001091465537587195,0.21979236218013967,0.21914062989856647,0.27647126659775606,0.28199632388433404,0.34668762527583846,0.31813379345487414
ZEB-miR200_2-0,0.22039731496537995,0.0201646576580972,1.0,0.41695249849175164,0.14700860879614996,0.4169945270092982,0.0,0.22044725769293613,0.04386107367107336,0.052285517045465885,0.4169498522153741,0.4169495745817188,0.4169550505552663,0.021190102605892793,0.2713455381647356,0.005195150413173666,0.004653308263355072,0.03405566271400536,0.4169502528163828,0.416959155904721,0.22038010169766473,0.018488338725139213,0.4169506036844087,0.04447170408369961,0.04485630442755847,0.020888146342483167,0.018944432505365275,0.004735447293022417,0.009688941574243229
ZEB-miR200_2-1,1.8668473268989216e-05,0.34648767815142856,1.0,1.0,0.6247942893139486,1.0,0.22044725769293613,0.0,0.41621461278133765,0.4372729984292841,1.0,1.0,1.0,0.34964964653349395,0.540615070613753,0.2803235976194119,0.277084043538206,0.3898159691750761,1.0,1.0,5.126653737628313e-05,0.34020591541342965,1.0,0.4179247587687345,0.41864020420524994,0.3482778431870537,0.3419930925094454,0.27776228028277716,0.30457750626385816
miR200-miR200_0-1,0.4162025245857193,0.004682132870591986,1.0,0.22101873989663726,0.03231067012020214,0.22092815922150927,0.043861073671073364,0.41621461278133765,0.0,0.0004508359867480983,0.22097488372835294,0.22098676265743303,0.2210334674715091,0.004316005165555022,0.257624452495917,0.01931240856843955,0.020350061532074522,0.0006549220266484266,0.2209999805418854,0.22105260153142894,0.41620573010122913,0.005563630293768301,0.22100381780654865,8.797318472061584e-05,3.438317615833274e-05,0.004602041784275229,0.005296892835037727,0.02005798881665565,0.012591641716531377
SNAIL-miR200_2-0,0.43728570282865453,0.007822616843567881,1.0,0.20575687830824435,0.02567971766874279,0.20583447758323503,0.052285517045465885,0.4372729984292841,0.0004508359867480983,0.0,0.205757776805758,0.2057559475274418,0.20575922941610625,0.0071262800427464735,0.2595592350444033,0.024959237495430487,0.026135278393470834,0.002026260307073968,0.20575548641593477,0.20576354340633615,0.43730471772071083,0.008872992884639719,0.2057555981084822,0.00035651994721748546,0.0003319637061141808,0.007414053490961844,0.008641727234717752,0.025870070673089555,0.017257786732398864
