"States","Method","Frequency"
"""100""","RACIPE",0.316350674603175
"""010""","RACIPE",0.094987777777778
"""110""","RACIPE",0.0985605158730162
"""001""","RACIPE",0.0873933333333335
"""011""","RACIPE",0.269255873015874
"""000""","RACIPE",0.0419433333333333
"""101""","RACIPE",0.0539111111111113
"""111""","RACIPE",0.0375973809523811
"""100""","Boolean",0.2661
"""010""","Boolean",0
"""110""","Boolean",0.2222
"""001""","Boolean",0.2347
"""011""","Boolean",0.277
"""000""","Boolean",0
"""101""","Boolean",0
"""111""","Boolean",0
