States,RACIPE frequency,Boolean frequency
"""0110100""",0.12878749999999753,0.1318
"""0110101""",0.12290249999999758,0.1897
"""1001011""",0.1453933333333308,0.1355
"""0010101""",0.05941666666666721,0
"""0010100""",0.04504999999999986,0
"""1101111""",0.0044766666666666705,0
"""1101010""",0.045694999999999764,0
"""1101011""",0.03588999999999989,0
"""1001000""",0.00869999999999999,0
"""1001010""",0.10167166666666749,0.1935
"""1000010""",0.005100000000000004,0
"""0110000""",0.011309999999999983,0
"""0001010""",0.0059016666666666705,0
"""0100001""",0.0004833333333333333,0
"""1001110""",0.015233333333333375,0
"""1001111""",0.009138333333333323,0
"""1000011""",0.0059666666666666705,0
"""0101010""",0.009753333333333305,0.041
"""0111101""",0.004246666666666671,0
"""0011101""",0.004033333333333336,0
"""0101011""",0.0073049999999999895,0.053
"""0010001""",0.009943333333333311,0
"""1101110""",0.0125883333333333,0
"""1101001""",0.003926666666666669,0
"""1011101""",0.002446666666666666,0
"""0100110""",0.008274999999999979,0.0578
"""1000110""",0.004703333333333341,0
"""1100110""",0.007536666666666653,0.0264
"""0111000""",0.0009533333333333332,0
"""1001001""",0.011066666666666653,0
"""0100010""",0.0035158333333333352,0
"""1000111""",0.0009566666666666666,0
"""0110111""",0.001345,0
"""0111111""",0.0010216666666666666,0
"""1010101""",0.006774999999999995,0.0406
"""0110110""",0.00443333333333334,0
"""1111011""",0.0026150000000000006,0
"""0110001""",0.0163191666666667,0
"""0001000""",0.00105,0
"""1100011""",0.0034533333333333347,0
"""0011100""",0.003048333333333333,0
"""1101000""",0.003550000000000002,0
"""0100100""",0.001091666666666667,0
"""1110101""",0.004496666666666669,0
"""0000101""",0.0007916666666666664,0
"""0011001""",0.0019899999999999996,0.0229
"""0001011""",0.007508333333333322,0
"""0000010""",0.00135,0
"""1011011""",0.006688333333333331,0
"""0101111""",0.001633333333333335,0
"""0000011""",0.0013350000000000002,0
"""1010001""",0.001983333333333332,0
"""0010000""",0.005258333333333335,0
"""1001100""",0.0006916666666666666,0
"""1111100""",0.0007333333333333333,0
"""0010011""",0.0004199999999999999,0
"""1100010""",0.0047533333333333394,0
"""1011010""",0.0038166666666666687,0
"""1000000""",0.0003333333333333333,0
"""1100100""",0.0005833333333333332,0
"""0011011""",0.0006699999999999997,0
"""1100001""",0.0002,0
"""1101100""",0.0008166666666666666,0
"""1111001""",0.0007841666666666664,0
"""1110100""",0.0029099999999999994,0
"""1111110""",0.0017916666666666665,0
"""1011110""",0.001526666666666667,0
"""0101001""",0.0008533333333333331,0
"""0011000""",0.0004999999999999999,0
"""0010110""",0.0013866666666666673,0
"""0011111""",0.0003133333333333334,0
"""0001110""",0.0022833333333333317,0
"""1001101""",0.0017766666666666673,0
"""0100011""",0.0018433333333333327,0
"""1010100""",0.0036516666666666694,0.0526
"""1011111""",0.0012200000000000002,0
"""0001111""",0.0009500000000000002,0
"""1111101""",0.0007366666666666665,0
"""1010000""",0.0004833333333333333,0
"""0010111""",0.0009516666666666662,0
"""0101110""",0.006251666666666676,0
"""1110000""",0.00038333333333333334,0
"""0000100""",0.0007366666666666665,0
"""1011100""",0.001216666666666667,0
"""0111100""",0.002841666666666667,0
"""0101100""",0.0005333333333333333,0
"""0000001""",0.00036,0
"""0001001""",0.0005,0
"""0000110""",0.002521666666666665,0
"""1000001""",0.0007433333333333332,0
"""0111110""",0.0018699999999999995,0
"""0100000""",0.0005666666666666666,0
"""1010010""",0.0005666666666666665,0
"""1100111""",0.001526666666666667,0
"""0111001""",0.001736666666666668,0
"""1110010""",0.0006833333333333332,0
"""1110110""",0.0021449999999999998,0
"""1110001""",0.001365,0
"""0100111""",0.001025,0
"""1110111""",0.0010016666666666661,0
"""0110010""",0.000878333333333333,0
"""0101101""",0.0001333333333333333,0
"""1111010""",0.0017083333333333336,0
"""1111000""",0.0003166666666666667,0
"""0111011""",0.0010099999999999992,0
"""0110011""",0.0005616666666666665,0
"""1011001""",0.001306666666666667,0.0552
"""0111010""",0.0008533333333333331,0
"""0001101""",0.00018333333333333334,0
"""1010110""",0.0016250000000000004,0
"""0001100""",0.00019999999999999998,0
"""1000101""",0.00031666666666666676,0
"""1010111""",0.0005991666666666664,0
"""1111111""",0.0003866666666666668,0
"""1000100""",0.0004333333333333333,0
"""1110011""",0.0004333333333333333,0
"""1100101""",0.0001333333333333333,0
"""0100101""",0.000425,0
"""1101101""",0.0002083333333333333,0
"""0101000""",0.0006999999999999998,0
"""0010010""",0.00015,0
"""0011110""",0.00032666666666666673,0
"""0011010""",0.00035000000000000005,0
"""1011000""",0.0003166666666666667,0
"""1010011""",0.00021666666666666666,0
"""1100000""",0.00028333333333333335,0
"""0000111""",0.00028333333333333335,0
