Boolean,JSD,heatmap,data
 ,E-cad-E-cad_0-1,miR200-E-cad_0-1,E-cad-ZEB_2-1,I-E-cad_0-1,ZEB-E-cad_2-1,SNAIL-NRF2_0-1,Keap1-NRF2_2-0,ZEB-ZEB_1-2,SNAIL-ZEB_1-2,miR200-Keap1_2-1,miR200-ZEB_2-1,ZEB-miR200_2-0,ZEB-miR34_2-1,SNAIL-SNAIL_2-1,E-cad-SNAIL_0-1,miR200-miR200_0-1,WT,SNAIL-ZEB_0-1,SNAIL-miR34_2-0,I-SNAIL_1-2,I-ZEB_0-1,Keap1-NRF2_2-1,E-cad-NRF2_2-0,E-cad-NRF2_2-1,E-cad-E-cad_0-2,E-cad-I_0-1,E-cad-I_0-2,NRF2-ZEB_0-1,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-miR34_2-1,ZEB-E-cad_2-0,ZEB-miR200_2-1,ZEB-miR34_2-0,ZEB-ZEB_1-0,E-cad-Keap1_0-1,E-cad-Keap1_0-2,E-cad-miR34_0-1,E-cad-miR34_0-2,E-cad-miR200_0-1,E-cad-miR200_0-2,E-cad-SNAIL_0-2,E-cad-ZEB_2-0,I-E-cad_0-2,I-I_0-1,I-Keap1_0-1,I-Keap1_0-2,I-miR200_0-1,I-miR34_0-2,I-NRF2_0-1,I-miR200_0-2,I-miR34_0-1,I-NRF2_0-2,I-SNAIL_0-1,I-SNAIL_0-2,I-ZEB_0-2,Keap1-E-cad_0-1,Keap1-E-cad_0-2,Keap1-I_0-1,Keap1-I_0-2,Keap1-Keap1_0-1,Keap1-Keap1_0-2,Keap1-miR200_0-1,Keap1-miR34_0-2,Keap1-miR200_0-2,Keap1-miR34_0-1,NRF2-SNAIL_2-1,Keap1-SNAIL_0-1,Keap1-SNAIL_0-2,Keap1-ZEB_0-1,Keap1-ZEB_0-2,miR34-E-cad_0-1,miR34-E-cad_0-2,miR34-I_0-1,miR34-Keap1_0-1,miR34-Keap1_0-2,miR34-miR200_0-1,miR34-miR34_0-2,miR34-miR200_0-2,miR34-miR34_0-1,miR34-NRF2_0-1,miR34-NRF2_0-2,miR34-I_0-2,miR34-SNAIL_2-0,miR34-SNAIL_2-1,miR34-ZEB_0-1,miR34-ZEB_0-2,NRF2-E-cad_0-1,NRF2-E-cad_0-2,NRF2-I_0-1,miR200-E-cad_0-2,miR200-I_0-1,miR200-I_0-2,miR200-Keap1_2-0,miR200-ZEB_2-0,miR200-miR34_0-2,miR200-miR34_0-1,miR200-miR200_0-2,miR200-NRF2_0-1,miR200-NRF2_0-2,miR200-SNAIL_0-1,miR200-SNAIL_0-2,NRF2-I_0-2,NRF2-Keap1_0-1,NRF2-Keap1_0-2,NRF2-miR200_0-1,NRF2-miR34_0-2,NRF2-NRF2_0-1,NRF2-miR200_0-2,NRF2-miR34_0-1,NRF2-NRF2_0-2,NRF2-SNAIL_2-0,SNAIL-E-cad_0-1,NRF2-ZEB_0-2,SNAIL-E-cad_0-2,SNAIL-I_0-1,SNAIL-I_0-2,SNAIL-Keap1_0-1,SNAIL-Keap1_0-2,SNAIL-NRF2_0-2,SNAIL-SNAIL_2-0,SNAIL-ZEB_0-2,SNAIL-ZEB_1-0
E-cad-E-cad_0-1,0.0,0.23934558824480837,0.32670498360690864,0.05157061766928245,0.40734502752902857,0.5286652916809234,0.38013146461154124,0.31997499758316306,0.2313574183465053,1.0,0.2299161758023586,0.3932572556666457,0.404810887944389,0.2575718409275495,0.3407482816901534,0.23108143863006014,0.23184278979639084,0.23106180585103447,0.3625856219252892,0.23123390112465958,0.27537695211460794,0.39746604793050666,0.5145399655231292,0.5445660341080205,0.231286562382308,0.3525370903027708,0.3506750810598179,0.2306543962869283,0.3201190491292408,0.38209318171984163,0.3856918036448418,0.00042021298577216506,0.4964734325885366,0.3385470810337695,0.3199871391598115,0.42814719785819133,0.2591211084856015,0.3625276528599134,0.3354196490569376,0.316522408846967,0.3958281610322204,0.3669779312207655,0.32461906992360695,0.052585642255531834,0.2313096932906135,0.3261873329096304,0.3895845145195773,0.261691679721927,0.3275884900832996,0.31189732606043663,0.32749868305210983,0.26733935589222024,0.3681802370281626,0.23122230379512743,0.23118448268943012,0.24012700122386454,0.01961157665689287,0.24367868160265188,0.3142082951595938,0.397338009395239,0.4661995440633593,0.2313484346459119,0.4812864358269958,0.33180767174667636,0.23368230831010423,0.3625583999529961,0.4252807309697499,0.3226579778694766,0.38921453911439063,0.32557981389857793,0.23065080030135943,0.20703204257601007,0.039626482824955095,0.37033171214917354,0.42754166533814497,0.28691713994670565,0.33911046847310927,0.48099951437772054,0.37145216798333247,0.23102353028437494,0.453190910985973,0.43671384473851205,0.3349677605320701,0.3706500275637624,0.464820556887878,0.2632598589946125,0.2887211925421072,0.2574124656587744,0.018689792046839744,0.3339587642135926,0.007896064881573642,0.4001574738497233,0.3141716945150426,0.4636242537159576,0.229270797807771,0.3652464076706676,0.33221874605053137,0.4818898950084,0.5103260264215929,0.3830146770012947,0.3908925832511896,0.3242106787757615,0.37108471347215866,0.2534959958467403,0.42191451959052073,0.37065449587779337,0.34789732770734616,0.2311594627182665,0.3394685196845276,0.35360086049784806,0.7356322520427694,0.3445103298112036,0.041729709682187574,0.329935570534724,0.2097910166789116,0.23736764200858113,0.48152353057711533,0.28951374048195805,0.36604998303500025,0.3750148073566228,0.2317992525016191,0.23061007815544965,0.2322873525090139
miR200-E-cad_0-1,0.23934558824480842,0.0,0.062030281988480096,0.13005823351639623,1.0,0.41830005913422075,0.25936448571247156,0.060261673223362566,0.014129452308705454,1.0,0.016835807240949324,0.23591181618101814,0.24101258554605098,0.04488822126499491,0.1410778066408664,0.004996863126478413,0.0047262299197640655,0.0049340830985657395,0.14181900912117357,0.004672369064221814,0.02803227670724768,0.274349800621951,0.2798680310182368,0.30406109096352996,0.004639739074891848,0.14662543201208997,0.13819014207849684,0.009336560900491432,0.07164703916645919,0.16578153862474976,0.18607779261026897,0.24093848950592178,0.39230306872703324,0.13374212961125503,0.060062908341652385,0.27333726072172265,0.032937265723964174,0.14216710737188415,0.12718817949905953,0.07186514136802513,0.2401140057292886,0.1405711588069586,0.06112429863683265,0.10485235695235207,0.004760774646212825,0.13415909588861236,0.21258585123155066,0.030375574210606736,0.1140435112177372,0.10244814591016602,0.14431623928150716,0.047668297528092145,0.15478727822523156,0.005457021660240242,0.005902817659642401,0.00527872563150526,0.15724666981173518,0.0017925351424067368,0.1089421429877945,0.1886802842141158,0.3137636560329522,0.004908476741186614,0.2470697638213159,0.12336848601346789,0.008949714844629177,0.14197439676763818,0.25602528737904856,0.11045612260830531,0.1705067359839081,0.06154983218722894,0.005108735760265056,0.03770811565712196,0.15948663314888073,0.16806679267601432,0.2671196872440943,0.07648995288399409,0.1491656695914098,0.24830198107557733,0.15592763641785296,0.005104688717126733,0.23690993484104522,0.304738576221731,0.12070507231708963,0.17188768835049467,0.31763462439636936,0.025447970338592554,0.042132484303572984,0.010665325038391137,0.1810362845003458,0.12043134752331074,0.2049823403147472,0.1902677616613671,0.11158804773331707,0.30937387294647567,0.008570982952427296,0.14347822769915522,0.12528784602761542,0.24591753751215004,0.27836200565878216,0.2607470716228505,0.17176034635202578,0.11480508721192689,0.17082491295757984,0.05212913420983642,0.2436701703255433,0.1770729710967736,0.12206482389948811,0.0053150511300146565,0.12020894746681471,0.15209092018233356,0.7357452161623578,0.13089878010332107,0.15244462455159005,0.06406042506165152,0.02750373401527151,0.012607863058692582,0.2666434846583753,0.0816096353986491,0.18608070837730672,0.1556114081268703,0.004039631099724949,0.011736979821263385,0.0064914268921453175
E-cad-ZEB_2-1,0.32670498360690864,0.0620302819884801,0.0,0.22411291794064833,1.0,0.5705368623177778,0.39962785909092025,0.0023738247892296834,0.12017877796341485,1.0,0.12694309250228852,0.403449722691043,0.32673327094412485,0.14174377209399613,0.25949876766084995,0.09422872316522794,0.09283053219243478,0.09257005013350741,0.15769753308027626,0.09321088964923209,0.029290122704118397,0.3915852111232565,0.32915664263415856,0.3153286337506162,0.09259673397399595,0.2446408288951979,0.1757674284930434,0.09334956501076806,0.023083045604925898,0.12428406409485629,0.2114919166154898,0.3291132719130599,0.5766609343287332,0.20258893479019435,0.0021087759262651837,0.3674056473345216,0.0901902867403987,0.15843112964456682,0.1925172033658401,0.025575903955691176,0.4098919657729311,0.1522402661333648,0.00034294951633789296,0.18540286346614748,0.09315657252286962,0.2200032353239499,0.28118566605825246,0.06825455242025254,0.16770913208481686,0.1981245460601972,0.2842661739236557,0.12506909218070744,0.23230070243969386,0.09516947306649784,0.09682080778598945,0.07549709864193474,0.26204195654775786,0.06424702084415262,0.20891600333644572,0.22468969393141755,0.37258430126477293,0.09292828447737198,0.18565276993588886,0.1804952245858675,0.10617520619167219,0.1667952676389888,0.3011213366860085,0.20002305214251198,0.1950824627911849,0.0005017805422571193,0.08707577955462117,0.11005570908434954,0.25632973125729297,0.256130517131697,0.34180694882367035,0.15466018482095928,0.23049962758062598,0.1882002942926006,0.19268131908724273,0.09448755843627973,0.29936945961237055,0.4372263077801337,0.17019262923166867,0.2696822182253156,0.4130908448803575,0.061676808482433426,0.04132110293535842,0.06942520370400809,0.2862838401220099,0.17208007028657174,0.3157122410629354,0.22073838639741233,0.21762661287632046,0.3685560909994408,0.10364811673381939,0.16642402685022067,0.1851178077332073,0.1828959052525022,0.3358817106300124,0.39380450289267066,0.19319949520645235,0.2109796905454915,0.2588979316331678,0.1372214451738509,0.31735886206097186,0.3155304009632569,0.1446495699082964,0.09512729687138763,0.08287419898594545,0.2115057085710882,1.0,0.1723554171812946,0.25401236735642985,0.0006392340838613495,0.09327241791844842,0.10440624967380628,0.2973170432153856,0.17024807121609828,0.25302983230879006,0.2279929070128879,0.0897458777848551,0.11404258687684235,0.09511635835954868
I-E-cad_0-1,0.05157061766928245,0.13005823351639625,0.22411291794064836,0.0,0.615241763437375,0.4834673826920079,0.3079805152566905,0.22068051995336907,0.11882222073160242,0.9999999999999999,0.12627231415120693,0.3315485393747028,0.3212246917253479,0.1653379095506645,0.1998770150096758,0.12045737535563747,0.12103852677102417,0.12061234537481053,0.27946796476245395,0.12040838737596254,0.18204993975000314,0.3272741578783609,0.40759937832195525,0.4436973403656581,0.12167676311004036,0.2053511008733768,0.3040459754453465,0.12523348485161695,0.21006129649500113,0.27174964139115765,0.3073786201457069,0.05245627565791691,0.43742353762366787,0.2539113807652203,0.22055893505038746,0.34414608011652154,0.1555155574754441,0.27943760094954573,0.2533524335167069,0.21167690173229492,0.3332234162500373,0.32018791794787016,0.22271016939846275,0.05619655072409685,0.12034042564255741,0.2460105003504252,0.2871379039220129,0.15037231500289927,0.25316439767730814,0.23279292987866762,0.2567632177640713,0.16541279990054678,0.24539808325069434,0.1209701329055885,0.11986687216758113,0.12123098808848354,0.03042031362370274,0.13406073963763876,0.25162871419760513,0.2544593302336854,0.39446787594468524,0.12086969464629295,0.4464313423921288,0.25050770521205556,0.1238531560025365,0.27857052620367917,0.37737364506747856,0.2623156980093976,0.24652873103552803,0.22238400850525739,0.12421651851237205,0.1639313987435147,0.00875520024574148,0.24378504770208365,0.33976957108668826,0.1921703737863652,0.25679218038535284,0.44713541279187996,0.2823907534251488,0.12158564743427322,0.3646748815920992,0.3518185208338349,0.264707465828,0.2443916640088898,0.3504236107813552,0.15525294416332097,0.186917758711951,0.14504996621810337,0.034897745163123634,0.263346692361256,0.04334197614682957,0.2564324069718974,0.25130811774937833,0.3913780002857889,0.12480005068180389,0.2784847516491017,0.25084346300236227,0.44579612274374736,0.4028765375235923,0.31138396351423114,0.24855453803185412,0.2630727721314826,0.2437969896403367,0.15398578282904304,0.3348663097261403,0.2830712311121371,0.24504399171085667,0.12018885219281711,0.2544688472470509,0.2898756834532779,0.6824089641069191,0.28211554399939864,0.005091532936318272,0.22736200238019796,0.1586523496136219,0.13465363250883544,0.4005436816332054,0.19696719739818924,0.2570086708987161,0.2645377058427959,0.12118164046704369,0.11866423864313579,0.11999129723134058
ZEB-E-cad_2-1,0.40734502752902857,1.0,1.0,0.615241763437375,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.408248794475327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6515207124522375,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5574982760343337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9221415695741917,0.5641091996600154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5329085368201434,1.0,0.48105142426766023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5792756763915589,1.0,0.9334497416971033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SNAIL-NRF2_0-1,0.5286652916809235,0.4183000591342207,0.5705368623177779,0.48346738269200784,1.0,0.0,0.3147097235260595,0.5621962587776168,0.3798172473144591,1.0,0.3563541628313842,0.3282427047861927,0.4628552009781664,0.2812776453302962,0.6677163248165501,0.38139916914599875,0.38541217711847775,0.3850332408567285,0.4768180786091856,0.3841963771576645,0.4705796781877174,0.35125810365382587,0.6870234564886926,0.7459233329662815,0.37833751161996776,0.695932271029374,0.3772795384642016,0.3818208315709747,0.5628139580640078,0.6774555162163585,0.47647830194280383,0.5199074739528894,0.4815309038763844,0.41952580905422765,0.559472072499226,0.6066869707105611,0.4340736566091319,0.47579171402787845,0.43849950755356626,0.5567002803496719,0.3407707679754231,0.41867951863895736,0.5636601460429894,0.4311762569135461,0.3861628812150304,0.43641645943634716,0.6381852060721708,0.4291090373067987,0.3193126952646783,0.20295563016696413,0.3846901918761868,0.5156823433727568,0.8075194708119807,0.37794936968068094,0.3800048560310845,0.4365553729385039,0.4366886649103679,0.43312299616895655,0.3614354916034057,0.7729203864120278,0.6621975667850384,0.3779633963829833,0.4778077495179468,0.4571293994433016,0.36787108079838177,0.42572041406897393,0.1996297094892528,0.36679784447317865,0.7825635190329676,0.5709081321432634,0.3833746659956442,0.43465912645892246,0.4624117326823378,0.8024926627499158,0.6369572659808309,0.4242954240441537,0.4546752873229876,0.4685890130637781,0.43410907712933805,0.37745939674836715,0.8153236953679444,0.138395546744575,0.2586660699304938,0.7887008788875154,0.8226035611444167,0.45405494914700667,0.48219329779841746,0.4519045691344567,0.44687386676513297,0.25945681285915945,0.4628553893882256,0.7794389140678466,0.35390961332063375,0.6578421969778185,0.37077805521034807,0.4440449742987986,0.4570081782064484,0.4896696114198801,0.6795172696411682,0.3237251518308339,0.7872537850131569,0.3611854369715146,0.8044762163597148,0.371520628413994,0.6306730405611817,0.29355088812654795,0.3701787228505168,0.3810938254689934,0.6246760459149042,0.5253153685686847,0.5894091359295149,0.24203336776534778,0.4473186499920363,0.5753520634422264,0.4425600318594356,0.32501427865644805,0.8503235687580148,0.40741504641617954,0.6325587566090847,0.8079091420391113,0.3895046536227107,0.37608668568945114,0.38649454398113725
Keap1-NRF2_2-0,0.38013146461154124,0.2593644857124716,0.3996278590909203,0.30798051525669057,1.0,0.3147097235260595,0.0,0.36440168411966883,0.22147084655589466,1.0,0.2077015570148707,0.43606406349117105,0.41600864191760445,0.2491684473999211,0.39126973386643243,0.22632861135763271,0.23218438340401426,0.2225356034201442,0.34894558398335873,0.22667166739941386,0.298236820505001,0.01785080425901073,0.8356701051069031,0.8824816724877753,0.2264996946769736,0.3993610165274754,0.35745500502034,0.18754123258443722,0.31839972233730096,0.3845991367283355,0.34722330074944724,0.37024371947472057,0.5540098281007824,0.37906677624562923,0.36614862360367506,0.5382015800289854,0.25555246885645677,0.34791721383848917,0.3849266510542829,0.295967446312728,0.44516114130275636,0.4181759931425997,0.3910050207026591,0.29690588155452136,0.2263460364165344,0.3779400570200824,0.4654845154406185,0.24548250369577554,0.33916270349454464,0.32826014922468566,0.3516308594832209,0.25340843461553997,0.44241858486842817,0.22622982973168848,0.22714291029891226,0.24906703061890428,0.2768375200966889,0.2896396047217853,0.32583526188031137,0.4356909622266131,0.586278154598789,0.22454043218548708,0.5872906812922974,0.3294447350674178,0.2433362703907548,0.38829362037854076,0.36510526743762467,0.3657811697826392,0.43556421293678005,0.39523092524360126,0.20508685717119662,0.2717493834634433,0.320310436586129,0.4069793070171096,0.5162763750581836,0.3191246294685175,0.32459104851739345,0.5807122085861538,0.4171668731760329,0.22590465397908244,0.6442761837398883,0.14748965038423043,0.3465034351309285,0.4108154197376169,0.4447953237380783,0.29055241165533563,0.30393291883358464,0.34615716023255716,0.2594678013492438,0.34619283192459965,0.3215834846723809,0.435360908043972,0.3267633190404824,0.586315414307943,0.20876028106077996,0.3998490963335928,0.33203328459512527,0.5957724604096832,0.8260522826722791,0.0005871508053370074,0.43381032570153916,0.37054752751093467,0.3992782200131052,0.15920315915599328,0.5774857648841265,0.48588221683812105,0.3489505222739808,0.2252051138396324,0.24421732919303135,0.381097155805567,0.6505601494716415,0.35227947310887714,0.3034735799755724,0.4145920225785809,0.27898805207132127,0.24145656746099414,0.682784923767326,0.33767780608379044,0.38924950120791824,0.4955238744915431,0.2293409685276839,0.2188649039755313,0.22678332669490509
ZEB-ZEB_1-2,0.31997499758316306,0.06026167322336257,0.002373824789229683,0.22068051995336907,1.0,0.5621962587776168,0.3644016841196689,0.0,0.11654938363872294,1.0,0.12052655048418329,0.4040410954315178,0.3251354081511972,0.1383551148057251,0.26322364563200423,0.09066489563671293,0.0894484373136693,0.088467876884232,0.15043300355844813,0.08964659596119509,0.02474703121414118,0.35571386683228245,0.3641044663851344,0.35082621533826264,0.08895473287035711,0.24885233508714916,0.16712654849520286,0.08424255695688711,0.01757022481927887,0.11896097105792887,0.20160806711421836,0.3215356157751991,0.5792458967742902,0.20208172227121238,0.00043038896456384316,0.3744135022554869,0.08511564884414764,0.15105162406408906,0.1914638589079991,0.016711208169918966,0.4110868697224318,0.14831314434917664,0.0016304209460951751,0.1786740136558173,0.08917586504299352,0.21959699777418332,0.2851101518761703,0.06376768877898746,0.16419029882459343,0.1988521769399737,0.2802796728742196,0.1176743674980111,0.23420452649067486,0.0913914010808099,0.09342973482488726,0.0735378342910692,0.2522098332047471,0.0652714538459917,0.20263979253962094,0.2275349459807231,0.3786446597536132,0.08925747664561579,0.18773790049191016,0.17494334497574252,0.10431110146462688,0.1631599447949098,0.29410022008401016,0.19729842866862018,0.1979333038494037,0.0020935577192639507,0.08010031293941647,0.1055239739710202,0.2516161258357882,0.25419323328222837,0.3460341505103048,0.15384760834856948,0.22419167015064384,0.18941718121035453,0.1926258202343677,0.09087373007448128,0.3107818352658953,0.42069446524389176,0.1681279913987089,0.26818047615204643,0.40656318589359014,0.06081623213048723,0.036946714983272774,0.07645045187784184,0.2737017511358224,0.17025722716747393,0.3070969372865191,0.22324069336393615,0.2113670662640344,0.37512863082138576,0.09709349185478067,0.16409064961193612,0.17999128735717587,0.18602424506968568,0.3702277368321946,0.35805037955088637,0.19531420633627838,0.20878181956889474,0.2562715370605576,0.1234711189001104,0.3288120704975039,0.3275693197362266,0.14369081862917035,0.09147928720467385,0.06224438433978699,0.20397285227088807,1.0,0.16911738829514322,0.24890316753056202,0.004011679804748753,0.08984086415101307,0.10231812017084219,0.30920950502234823,0.17158486070910883,0.2514054377348544,0.23326095740786185,0.08580046222131907,0.11012567673139267,0.0921673133089379
SNAIL-ZEB_1-2,0.23135741834650528,0.014129452308705466,0.12017877796341482,0.11882222073160241,1.0,0.3798172473144591,0.22147084655589466,0.11654938363872294,0.0,1.0,0.0046952162147889925,0.19577044644302824,0.2064523452724228,0.04142689209146362,0.10756812708618108,0.0032456778479439874,0.0035229872066035632,0.0038991692292139175,0.18250119593203076,0.0033865979119411995,0.06589644492428495,0.2485596039573153,0.29964878303829356,0.3439984330228233,0.003762622552387139,0.12931686393247718,0.16211644231531525,0.009778675206004605,0.11473788936945781,0.19850810563801874,0.21882398282774945,0.23280476891746393,0.33178440384595387,0.11846099760859856,0.11554774420264298,0.26060345026658915,0.04695289704428634,0.18259302416449463,0.11587402025157989,0.115112531426343,0.19748200188355583,0.1817633166733313,0.11842541294398092,0.10734736471931389,0.003314069546664712,0.1343332532536814,0.2111857372207638,0.04384695521281651,0.11591076399586088,0.09810556588484787,0.11719586715949387,0.05909627203116429,0.15592866503343872,0.003470278762130838,0.0025027577002992647,0.012692904636471594,0.14215884452277916,0.015994469357117062,0.10819636876785263,0.19133569817276289,0.3197969316385049,0.004095769278621837,0.3220270571848479,0.13851584917252086,0.003782276950863978,0.1562505615149572,0.26670903349882336,0.11854664260638523,0.17698004933390507,0.11832128096516058,0.008383663656441005,0.0503164721461415,0.14401768783101387,0.16246175711536764,0.26037575444670596,0.08390505034587833,0.14530843279854022,0.32267901931806314,0.16342203264887917,0.0035251159050990353,0.2429099482777263,0.2782693180352597,0.12942402447288637,0.16092259034742823,0.30342721585314064,0.038834247253400296,0.08138322421255612,0.02697152781805856,0.16348096157230418,0.12772409727077622,0.1863005604937901,0.19556309964540458,0.10761222977492124,0.3158041754929163,0.005320469757032624,0.15739717735883724,0.13815230855552169,0.32154977383942185,0.2938575121106538,0.2266474017610714,0.1788284907808368,0.11949816846899289,0.1645638609126992,0.05000656066222501,0.24512005025419645,0.1518780074452491,0.1530519636559422,0.0036040408158901542,0.15897774146987154,0.14905301692939488,0.6044826294212162,0.14804841215725512,0.13591286031984973,0.12290222626005451,0.0426556555381636,0.009772095237439979,0.27708785137114433,0.08310032516451045,0.1845734859433483,0.15718583264342928,0.004255810163367159,0.00035262154943172257,0.0025922897741183976
miR200-Keap1_2-1,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4305690987122341,0.9147887766192786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6869288920626249,0.5453068679954558,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.327572555464921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4594564509476005,0.8433630008978577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33297603518406865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9318885290178491,0.4757194796234968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.7846013273778896,0.6271693603028643,1.0,1.0,1.0,1.0
