States,RACIPE frequency,Boolean frequency
"""1001110""",0.014246666666666661,0
"""1001001""",0.11631111111111067,0.1161
"""1001011""",0.04821999999999952,0.0663
"""0010100""",0.037635952380952076,0
"""0110101""",0.09033166666666863,0.1023
"""0001000""",0.0009333333333333335,0
"""1001000""",0.014970000000000039,0
"""0110010""",0.004048333333333338,0
"""0010000""",0.023175000000000185,0
"""1001010""",0.0784683333333351,0.0974
"""0110100""",0.13001777777777268,0.0708
"""0010101""",0.045448333333332924,0.0598
"""1101011""",0.012953333333333287,0
"""0100110""",0.023413333333333498,0.0412
"""1101010""",0.05881333333333357,0.0603
"""0101110""",0.0097633333333333,0
"""1000001""",0.0048783333333333396,0
"""0111010""",0.00207,0
"""0001010""",0.006868333333333339,0
"""0011110""",0.0007749999999999999,0
"""0101010""",0.014806666666666647,0.0593
"""0110001""",0.012943333333333291,0
"""1011000""",0.0008249999999999998,0
"""1000101""",0.0005833333333333332,0
"""0001001""",0.0059533333333333435,0
"""0110000""",0.012408333333333313,0
"""0110110""",0.03527555555555521,0.1153
"""1000010""",0.006115000000000006,0
"""1011011""",0.0037957142857142877,0
"""1100111""",0.0006699999999999999,0
"""0000110""",0.004358333333333338,0
"""0101000""",0.0013566666666666668,0
"""0100011""",0.001425000000000001,0
"""0010110""",0.006160000000000011,0
"""0100010""",0.008006666666666658,0
"""1000011""",0.0024499999999999986,0
"""1100100""",0.0005650000000000001,0
"""1010101""",0.004295000000000005,0.054
"""1101110""",0.01467944444444443,0
"""1001111""",0.0028833333333333306,0
"""1111010""",0.003049999999999997,0
"""0001011""",0.0022449999999999987,0
"""0110111""",0.004671666666666673,0
"""1100010""",0.007734999999999993,0
"""1101000""",0.004436666666666673,0
"""0010001""",0.010325833333333293,0
"""1011110""",0.0012683333333333338,0
"""1111110""",0.002864444444444441,0
"""1000110""",0.005586666666666675,0
"""1000000""",0.0009366666666666667,0
"""0011010""",0.0006333333333333332,0
"""0100100""",0.0012366666666666672,0
"""1100110""",0.01291833333333328,0.0287
"""1011001""",0.011476666666666618,0.0493
"""1101001""",0.012776666666666622,0
"""1100001""",0.0008483333333333331,0
"""0111101""",0.0019450000000000005,0
"""0000010""",0.0018833333333333328,0
"""0111100""",0.0014833333333333341,0
"""1011010""",0.0032566666666666655,0
"""0111110""",0.00305833333333333,0
"""1110010""",0.0007658333333333332,0
"""1111100""",0.00028333333333333335,0
"""1110110""",0.004433333333333339,0
"""0101001""",0.002321666666666666,0.0145
"""1100011""",0.0007583333333333332,0
"""1111011""",0.0009166666666666666,0
"""0100001""",0.0006266666666666664,0
"""1100000""",0.0005,0
"""1001100""",0.0018583333333333325,0
"""0111011""",0.00036833333333333336,0
"""0001110""",0.002383333333333332,0
"""1011100""",0.0006166666666666665,0
"""0010111""",0.0011100000000000003,0
"""1001101""",0.005861666666666676,0
"""1110100""",0.002108333333333332,0
"""1010001""",0.002296666666666666,0
"""1101101""",0.0003466666666666667,0
"""1011101""",0.001836666666666667,0
"""0011001""",0.0023033333333333313,0.0246
"""1111000""",0.0005149999999999998,0
"""0111001""",0.002193333333333333,0
"""1111111""",0.00035000000000000005,0
"""1101100""",0.0014316666666666668,0
"""0011101""",0.0022283333333333317,0
"""0110011""",0.000573333333333333,0
"""0101011""",0.002053333333333333,0.0101
"""0101101""",0.0004066666666666667,0
"""1010110""",0.0017200000000000006,0.0182
"""0011000""",0.00042,0
"""0011100""",0.0010016666666666668,0
"""0000001""",0.0004833333333333333,0
"""0000101""",0.00028333333333333335,0
"""0010010""",0.0006249999999999999,0
"""1111001""",0.0019166666666666685,0
"""1010100""",0.0019499999999999997,0.0118
"""0001111""",0.00023333333333333336,0
"""1110111""",0.0004,0
"""1011111""",0.0005666666666666665,0
"""1010011""",0.00023333333333333336,0
"""0100101""",0.0005166666666666666,0
"""1111101""",0.0009049999999999996,0
"""1110001""",0.0006333333333333332,0
"""1000111""",0.00028333333333333335,0
"""1010010""",0.00019166666666666665,0
"""1110101""",0.0018333333333333335,0
"""0000111""",0.0001333333333333333,0
"""0100111""",0.0006833333333333332,0
"""0011011""",0.000525,0
"""1101111""",0.0006849999999999997,0
"""0001100""",0.00019999999999999998,0
"""0100000""",0.0002,0
"""0101100""",0.0004,0
"""0010011""",0.00024166666666666664,0
"""1000100""",0.00025833333333333334,0
"""0001101""",0.0003166666666666667,0
"""0000100""",0.00045,0
"""0111000""",0.000275,0
"""1010111""",0.00015,0
"""1110011""",5e-05,0
"""1110000""",0.0003816666666666667,0
"""0000011""",0.0003916666666666667,0
"""0000000""",0.00011666666666666665,0
"""0011111""",0.0001333333333333333,0
"""0101111""",0.0002933333333333333,0
"""1010000""",0.00019666666666666669,0
"""0111111""",0.0001,0
"""1100101""",0.00014,0
