Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10
3,1,-0.164960391095053,-0.240842930976421,0.219025970144733,1.06089059569803,-0.927728914333646,-0.73406596127647,0.862399656267251,-0.0111139723543524
5,1,-0.153558125479579,0.788831094777395,-1.65022167994356,-1.09815716590783,1.20382211321272,0.341614216712461,-1.80134589501624,-0.983835359127905
6,1,0.821214298008472,-0.0846517419724332,1.61903212108321,0.634028026333785,-1.19235889761873,0.253517880158887,1.07689213705209,0.270441287751662
8,1,1.31086860287519,-0.25972823662839,0.923251066531395,1.51318934288377,-1.02617449352101,-1.70622464689696,0.35019184145506,-0.967942665233237
13,1,-0.146809036487659,0.756145659371368,-1.12860614073939,-1.1959189060749,1.04041173985622,0.229927879743782,-0.423974607608137,1.24530355727162
16,1,0.889159930188608,-0.721480352205717,1.55778239125575,1.04373651651808,-1.90399405405755,-0.767999678550544,1.60948349009828,0.705371945067005
19,1,0.474124335796264,-1.86226600402776,0.734073467127906,0.761273484218127,-0.811421400794018,-1.66102879474003,0.133879676402918,0.886778480704394
21,1,-0.320213893524985,0.375249164246846,-1.37694266817365,-2.26014863437457,1.37240469775377,0.219746376097733,-1.13601654899908,0.0902474818660292
23,1,0.314007470639611,-0.189798109005321,1.1596065821496,1.35375634975265,-1.8354894863491,-1.58322131379179,1.10149790643361,-0.361517136474907
25,1,-1.81202892866245,-1.28112153883415,1.28285557880832,0.90225641057733,-1.62314241745772,-0.0110599977077236,1.30215156346643,0.0230155672936104
29,1,1.37041802729268,-0.917141300551906,0.935350151428934,1.29228502939398,-1.59274092294806,1.2766568936981,0.43346625562103,-2.63120561793437
31,1,-0.361111614655533,-2.46528243998868,1.29555229514905,0.44710418466151,-1.25969897458598,-1.88311934086086,-0.122245207652158,1.97276403963223
34,1,1.18650386509704,1.1263365210266,-1.56704668713953,-1.21852835508815,1.26663465523845,0.445178040295127,-0.416581219541422,-0.568152647472431
35,1,-0.2257907610092,2.18807869716856,-1.12339548482818,-1.24487518326565,1.17097727550094,0.981986263611577,-0.989356466188547,-1.12692533925908
40,1,0.0102951611902784,-0.693164339096834,0.636338473931926,1.00514906247417,-1.25251910798993,-1.84485700294472,0.883571660299587,0.746889661237223
44,1,1.41669994966974,0.788023329550008,-1.33309963531992,-1.04713791629754,1.35520704812525,1.73970145229905,-1.0376251766371,-0.381397511356494
49,1,-0.912495859519442,-0.676304903469587,0.685134672553791,1.59267073992086,-1.39555462531213,-0.851041329475616,0.784603830408363,-0.717641014690728
52,1,-1.6039433646027,-1.06589827297275,1.18943252372258,0.908222104350322,-1.99519689300429,-1.68018654770064,0.757518973396916,-0.163941526520916
54,1,-0.303338857676126,-2.14206464369071,1.7847211244986,0.964745150376529,-2.00073964122099,-1.15834054604026,1.33688377011165,0.315456544065632
55,1,-0.566719229970729,-2.24136520537896,0.626427601123298,0.922813494898681,-0.837733451773,-1.28945453979146,0.997167420249516,-0.101407751267953
57,1,-0.431958211636917,-1.08625608749846,0.788149349000921,0.868843221584767,-1.77195940043592,-0.675417926537402,0.714558155775954,0.0446286474301393
60,1,1.45011293044729,1.5344025966771,-0.0861838629391772,-0.291838884329092,-0.830161668575514,0.537090281824043,1.24561292925254,-1.81873930425846
61,1,-0.450270180153334,-0.832419254694151,0.835787523169798,1.41676809664413,-1.93054444295684,-1.97632691754515,1.49189640226672,-0.398822264221142
63,1,0.228986530946278,0.170991101496145,-1.06886275095528,1.45635682793436,-0.933815386744342,-0.823207709496611,1.63565754421353,0.814529097594296
64,1,1.3478349185289,0.757497746010975,-0.190110881004367,1.37898844411884,-0.542065014621168,-1.23691608453945,1.06544721331735,-0.553265152123014
