States,RACIPE frequency,Boolean frequency
"""00110""",0.1690333333333318,0
"""10111""",0.042199999999999835,0
"""00101""",0.010249999999999978,0
"""10110""",0.16966833333333178,0
"""00111""",0.04227499999999986,0
"""11000""",0.03380833333333324,0
"""10011""",0.004950000000000003,0.1242
"""11110""",0.015836666666666707,0
"""01001""",0.17123333333333124,0
"""01000""",0.030699999999999915,0
"""00011""",0.005516666666666672,0.0081
"""11001""",0.16968166666666457,0
"""11010""",0.004233333333333337,0
"""00100""",0.012574999999999989,0
"""10101""",0.01127833333333331,0
"""00000""",0.0021666666666666666,0
"""01010""",0.004741666666666671,0
"""10100""",0.011073333333333319,0.0278
"""11111""",0.005583333333333339,0
"""00010""",0.010533333333333329,0
"""01110""",0.014633333333333375,0
"""10010""",0.010199999999999996,0.351
"""10001""",0.0067,0
"""00001""",0.0059000000000000025,0
"""10000""",0.0025333333333333328,0
"""01111""",0.005300000000000006,0
"""11100""",0.002383333333333332,0.0062
"""11011""",0.0073333333333333245,0
"""01101""",0.004816666666666672,0.3263
"""01100""",0.0019833333333333326,0.1281
"""11101""",0.004436666666666672,0
"""01011""",0.006441666666666673,0.0283
