"States","Method","Frequency"
"""10001""","RACIPE",0.061191666666667
"""00100""","RACIPE",0.00974999999999999
"""00110""","RACIPE",0.149016666666665
"""01110""","RACIPE",0.0552350000000004
"""01001""","RACIPE",0.161816666666658
"""00001""","RACIPE",0.0562433333333336
"""10110""","RACIPE",0.144491666666665
"""11001""","RACIPE",0.151708333333331
"""10010""","RACIPE",0.00994999999999999
"""11101""","RACIPE",0.00753333333333333
"""11110""","RACIPE",0.0565916666666672
"""00111""","RACIPE",0.0106783333333333
"""01010""","RACIPE",0.012375
"""01100""","RACIPE",0.00780833333333332
"""01000""","RACIPE",0.00638333333333334
"""10000""","RACIPE",0.00291666666666667
"""10100""","RACIPE",0.00995833333333332
"""01101""","RACIPE",0.00601666666666667
"""11100""","RACIPE",0.00864999999999998
"""01011""","RACIPE",0.00440833333333334
"""10111""","RACIPE",0.00959999999999998
"""11010""","RACIPE",0.0107833333333333
"""11111""","RACIPE",0.00476666666666667
"""00000""","RACIPE",0.00371666666666667
"""00010""","RACIPE",0.0101
"""01111""","RACIPE",0.004875
"""11011""","RACIPE",0.006725
"""00101""","RACIPE",0.00657833333333334
"""10011""","RACIPE",0.0045
"""11000""","RACIPE",0.00561666666666667
"""10101""","RACIPE",0.00771666666666666
"""00011""","RACIPE",0.00449833333333334
"""10001""","Boolean",0.0337957497048406
"""00100""","Boolean",0
"""00110""","Boolean",0
"""01110""","Boolean",0.0349763872491145
"""01001""","Boolean",0
"""00001""","Boolean",0
"""10110""","Boolean",0
"""11001""","Boolean",0
"""10010""","Boolean",0.294126328217237
"""11101""","Boolean",0
"""11110""","Boolean",0
"""00111""","Boolean",0
"""01010""","Boolean",0.0609504132231405
"""01100""","Boolean",0.0841204250295159
"""01000""","Boolean",0
"""10000""","Boolean",0
"""10100""","Boolean",0.0177095631641086
"""01101""","Boolean",0.29943919716647
"""11100""","Boolean",0
"""01011""","Boolean",0.0209563164108619
"""10111""","Boolean",0
"""11010""","Boolean",0
"""11111""","Boolean",0
"""00000""","Boolean",0
"""00010""","Boolean",0
"""01111""","Boolean",0
"""11011""","Boolean",0
"""00101""","Boolean",0
"""10011""","Boolean",0.0914994096812279
"""11000""","Boolean",0
"""10101""","Boolean",0.0624262101534829
"""00011""","Boolean",0
