ParameterIndex,miR200,ZEB,SNAIL,GRHL2,Weight
299,1,-1,-1,1,1
301,1,-1,-1,1,1
303,-1,1,1,-1,1
305,-1,1,1,-1,1
306,-1,1,1,-1,1
307,-1,1,-1,-1,1
308,1,-1,1,1,1
311,-1,1,1,-1,1
312,1,-1,1,1,1
314,1,-1,1,1,1
319,1,-1,1,1,1
320,1,-1,-1,1,1
321,1,-1,1,1,1
322,-1,1,-1,-1,1
326,1,-1,1,1,1
327,1,-1,1,1,1
331,1,-1,-1,1,1
333,-1,1,1,-1,1
335,-1,1,1,-1,1
337,-1,1,-1,-1,1
339,-1,1,1,-1,1
343,-1,1,1,-1,1
345,-1,1,-1,-1,1
348,1,-1,-1,1,1
349,1,-1,1,1,1
350,-1,1,-1,-1,1
353,1,-1,-1,1,1
356,-1,1,-1,-1,1
360,1,-1,-1,1,1
361,1,-1,1,1,1
365,-1,1,1,-1,1
368,1,-1,1,1,1
369,1,-1,-1,1,1
370,1,-1,-1,1,1
372,1,-1,1,1,1
375,1,-1,1,1,1
377,-1,1,1,-1,1
381,1,-1,1,1,1
383,1,-1,1,1,1
385,1,-1,1,1,1
386,-1,1,-1,-1,1
388,1,-1,-1,1,1
389,-1,1,-1,-1,1
392,-1,1,-1,1,1
393,-1,-1,1,1,1
398,1,-1,-1,1,1
399,-1,-1,1,1,1
401,1,1,-1,-1,1
405,1,-1,1,1,1
407,1,-1,1,1,1
409,1,-1,-1,1,1
412,1,-1,-1,1,1
414,-1,1,1,-1,1
421,-1,1,1,-1,1
423,1,-1,1,1,1
425,-1,1,-1,-1,1
427,-1,1,-1,1,1
436,-1,1,1,-1,1
437,-1,1,1,1,1
440,-1,1,1,-1,1
441,-1,1,-1,-1,1
442,1,-1,1,1,1
443,1,-1,1,1,1
447,-1,1,-1,-1,1
450,1,-1,1,1,1
451,1,-1,1,1,1
455,1,-1,-1,1,1
459,1,-1,1,1,1
463,-1,1,1,-1,1
464,1,-1,1,1,1
467,1,-1,1,1,1
470,-1,1,1,-1,1
471,-1,1,-1,-1,1
472,1,-1,1,1,1
477,1,-1,-1,1,1
480,1,-1,1,1,1
484,1,-1,1,1,1
487,1,-1,-1,1,1
490,1,-1,1,1,1
491,1,-1,-1,1,1
496,-1,1,1,-1,1
497,-1,1,-1,-1,1
498,1,-1,-1,1,1
499,-1,1,-1,-1,1
501,-1,1,-1,-1,1
503,1,-1,1,1,1
507,1,-1,-1,1,1
508,1,-1,-1,1,1
509,-1,1,1,-1,1
510,1,-1,-1,1,1
513,1,-1,1,1,1
515,-1,1,-1,-1,1
516,-1,1,-1,-1,1
517,1,1,1,-1,1
520,-1,1,1,-1,1
523,-1,1,1,-1,1
524,-1,1,-1,-1,1
528,-1,1,1,-1,1
529,1,-1,-1,1,1
531,1,-1,1,1,1
532,1,-1,1,1,1
534,1,1,1,-1,1
535,1,-1,-1,1,1
536,-1,1,1,1,1
537,-1,1,-1,-1,1
539,-1,1,1,-1,1
542,-1,1,1,-1,1
546,-1,1,-1,-1,1
547,1,-1,-1,1,1
548,-1,-1,1,1,1
549,-1,1,-1,-1,1
551,1,-1,1,1,1
552,-1,1,-1,-1,1
553,1,-1,-1,1,1
556,-1,1,-1,-1,1
557,-1,1,1,-1,1
560,-1,1,-1,-1,1
562,1,-1,-1,1,1
563,1,-1,1,1,1
565,1,-1,-1,1,1
566,1,-1,-1,1,1
567,-1,1,1,1,1
571,-1,1,1,1,1
573,-1,1,-1,-1,1
575,-1,1,-1,-1,1
576,1,-1,1,1,1
577,-1,1,-1,-1,1
578,1,-1,-1,1,1
579,1,-1,1,1,1
580,1,-1,1,1,1
582,1,1,1,1,1
584,-1,1,-1,1,1
585,1,-1,1,1,1
586,-1,-1,1,1,1
588,1,-1,-1,1,1
589,-1,1,1,-1,1
590,-1,1,-1,-1,1
592,1,-1,1,1,1
593,1,-1,1,1,1
595,-1,1,1,-1,1
596,1,-1,-1,1,1
597,1,-1,1,1,1
599,-1,1,-1,-1,1
608,1,-1,-1,1,1
611,1,-1,1,1,1
613,-1,1,1,-1,1
616,1,-1,-1,1,1
617,-1,1,1,-1,1
622,-1,-1,1,1,1
626,-1,1,1,-1,1
631,1,-1,-1,1,1
632,-1,1,-1,-1,1
633,1,-1,1,1,1
635,1,-1,-1,1,1
636,-1,1,1,-1,1
638,-1,1,-1,-1,1
641,1,-1,1,1,1
642,-1,1,-1,-1,1
643,-1,1,1,-1,1
645,-1,1,1,-1,1
646,-1,1,1,-1,1
647,1,-1,1,1,1
650,-1,1,1,-1,1
651,1,-1,1,1,1
655,-1,1,-1,-1,1
657,-1,1,-1,1,1
658,1,-1,1,1,1
659,1,-1,-1,1,1
660,1,-1,-1,1,1
661,1,-1,1,1,1
663,1,-1,1,1,1
667,1,-1,1,1,1
668,-1,-1,-1,1,1
669,-1,1,1,-1,1
670,-1,1,1,-1,1
671,-1,1,-1,-1,1
674,1,-1,1,1,1
675,-1,1,-1,-1,1
677,1,-1,-1,1,1
679,1,-1,-1,1,1
680,-1,1,1,-1,1
682,-1,1,-1,-1,1
684,1,-1,-1,1,1
685,1,-1,-1,1,1
687,1,-1,-1,1,1
688,1,-1,-1,1,1
689,-1,1,-1,-1,1
690,-1,1,1,-1,1
692,-1,1,-1,-1,1
696,-1,1,-1,-1,1
700,-1,1,-1,-1,1
701,1,-1,-1,1,1
703,1,-1,-1,1,1
709,-1,1,-1,-1,1
712,-1,1,1,-1,1
713,-1,1,-1,1,1
714,-1,1,1,-1,1
716,-1,1,1,-1,1
718,1,-1,1,1,1
720,-1,1,1,-1,1
721,1,-1,-1,1,1
722,-1,1,-1,-1,1
723,-1,1,1,-1,1
726,1,-1,1,1,1
727,1,-1,1,1,1
728,1,-1,1,1,1
729,-1,1,-1,-1,1
734,-1,1,-1,-1,1
736,1,-1,1,1,1
737,1,-1,1,1,1
738,-1,1,-1,-1,1
740,1,1,-1,1,1
741,1,1,1,-1,1
744,-1,1,1,-1,1
745,1,-1,-1,1,1
746,-1,-1,-1,1,1
747,1,-1,-1,1,1
748,-1,1,-1,-1,1
750,1,-1,1,1,1
751,1,-1,-1,1,1
753,-1,1,-1,-1,1
758,1,-1,1,1,1
764,1,-1,-1,1,1
765,-1,1,1,-1,1
767,-1,1,1,-1,1
771,-1,1,1,-1,1
772,-1,1,1,-1,1
777,-1,1,-1,-1,1
781,-1,1,1,-1,1
783,1,-1,-1,1,1
787,-1,1,1,-1,1
789,-1,1,-1,-1,1
792,1,-1,-1,1,1
793,-1,1,-1,-1,1
794,1,-1,-1,1,1
795,1,-1,1,1,1
798,-1,1,1,-1,1
799,1,1,-1,-1,1
804,-1,1,-1,-1,1
806,1,-1,-1,1,1
807,1,-1,-1,1,1
810,1,-1,-1,1,1
811,1,-1,-1,1,1
815,-1,1,-1,-1,1
816,-1,1,1,-1,1
817,1,-1,-1,1,1
819,-1,1,1,-1,1
822,1,-1,1,1,1
824,1,-1,1,1,1
827,1,-1,1,1,1
828,-1,1,-1,-1,1
830,1,-1,1,1,1
833,-1,-1,-1,1,1
835,-1,1,1,1,1
838,1,-1,-1,1,1
840,-1,1,-1,-1,1
844,-1,1,-1,-1,1
849,-1,1,1,-1,1
850,-1,-1,-1,1,1
852,1,-1,1,1,1
855,1,-1,1,1,1
861,-1,1,1,-1,1
862,-1,1,-1,-1,1
863,1,-1,-1,1,1
864,-1,1,1,-1,1
865,-1,1,1,1,1
866,-1,1,-1,-1,1
867,1,-1,-1,1,1
869,1,-1,-1,1,1
871,-1,1,1,-1,1
872,-1,1,-1,-1,1
873,-1,1,1,-1,1
875,-1,-1,1,1,1
879,-1,1,1,-1,1
880,-1,1,1,-1,1
882,1,-1,1,1,1
883,1,1,1,-1,1
887,1,-1,1,1,1
888,1,-1,1,1,1
889,-1,1,1,-1,1
890,-1,1,-1,-1,1
891,-1,1,1,-1,1
894,1,-1,-1,1,1
895,-1,1,1,-1,1
898,-1,1,-1,-1,1
901,-1,1,-1,-1,1
902,-1,-1,-1,1,1
903,-1,1,-1,-1,1
904,1,-1,1,1,1
905,-1,1,-1,-1,1
906,-1,-1,-1,1,1
908,-1,1,1,-1,1
910,-1,1,-1,-1,1
914,-1,-1,1,1,1
916,-1,1,1,1,1
917,1,-1,-1,1,1
920,1,-1,1,1,1
922,-1,1,1,-1,1
923,-1,1,-1,-1,1
925,1,-1,-1,1,1
928,-1,-1,1,1,1
929,1,-1,1,1,1
936,-1,1,1,-1,1
938,1,-1,-1,1,1
942,1,-1,-1,1,1
951,-1,1,-1,-1,1
953,-1,1,1,-1,1
955,1,-1,1,1,1
957,1,-1,-1,1,1
962,1,-1,1,1,1
966,-1,1,-1,-1,1
968,-1,1,-1,-1,1
970,1,-1,1,1,1
975,-1,-1,1,1,1
977,-1,1,-1,-1,1
981,-1,1,1,-1,1
986,-1,1,1,-1,1
987,1,-1,1,1,1
988,1,-1,-1,1,1
989,-1,1,1,-1,1
990,1,-1,1,1,1
991,-1,1,-1,-1,1
994,1,1,-1,1,1
996,1,-1,-1,1,1
998,1,-1,1,1,1
999,-1,1,-1,-1,1
1001,-1,1,1,-1,1
1002,1,-1,-1,1,1
1003,1,-1,-1,1,1
1006,-1,1,1,1,1
1007,1,-1,1,1,1
1008,-1,1,1,-1,1
1010,-1,1,1,-1,1
1011,-1,1,-1,-1,1
1012,1,-1,1,1,1
1018,-1,1,-1,-1,1
1019,1,-1,1,1,1
1020,-1,1,-1,-1,1
1021,1,-1,1,1,1
1022,-1,1,-1,-1,1
1024,-1,1,1,1,1
1027,-1,1,-1,-1,1
1028,1,-1,-1,1,1
1029,-1,1,1,-1,1
1036,1,-1,1,1,1
1037,-1,1,-1,-1,1
1040,-1,1,-1,-1,1
1044,-1,1,-1,-1,1
1045,-1,1,1,-1,1
1047,1,-1,1,1,1
1049,1,-1,-1,1,1
1050,1,-1,-1,1,1
1051,-1,1,-1,-1,1
1055,1,-1,1,1,1
1059,1,-1,1,1,1
1060,1,-1,1,1,1
1062,-1,1,1,-1,1
1064,-1,1,1,-1,1
1067,1,1,-1,-1,1
1068,1,-1,-1,1,1
1069,1,-1,1,1,1
1071,1,-1,1,1,1
1073,1,-1,1,1,1
1075,-1,1,1,-1,1
1077,1,-1,1,1,1
1078,1,-1,-1,1,1
1083,1,-1,-1,1,1
1084,1,-1,-1,1,1
1085,-1,1,-1,-1,1
1088,1,-1,-1,1,1
1092,1,-1,-1,1,1
1094,-1,1,-1,-1,1
1097,1,-1,1,1,1
1098,1,-1,-1,1,1
1099,1,-1,-1,1,1
1104,1,-1,1,1,1
1105,1,-1,-1,1,1
1107,-1,1,1,1,1
1109,1,-1,1,1,1
1111,-1,1,-1,-1,1
1117,-1,1,-1,-1,1
1118,1,-1,1,1,1
1121,-1,1,1,-1,1
1123,-1,1,1,-1,1
1124,1,-1,-1,1,1
1125,-1,1,-1,-1,1
1127,-1,1,-1,-1,1
1128,1,-1,-1,1,1
1130,1,-1,-1,1,1
1134,-1,1,1,-1,1
1137,-1,1,1,-1,1
1138,1,-1,-1,1,1
1141,-1,1,-1,-1,1
1146,-1,1,1,-1,1
1147,-1,1,1,-1,1
1149,-1,1,-1,-1,1
1150,-1,-1,-1,1,1
1151,-1,1,-1,-1,1
1153,-1,1,-1,-1,1
1161,-1,1,1,-1,1
1163,-1,-1,-1,1,1
1168,-1,1,1,-1,1
1169,1,-1,-1,1,1
1172,-1,1,-1,-1,1
1173,-1,1,1,-1,1
1174,1,-1,1,1,1
1175,-1,1,1,-1,1
1176,-1,1,-1,1,1
1177,1,-1,-1,1,1
1179,1,-1,-1,1,1
1185,1,-1,-1,1,1
1186,1,-1,-1,1,1
1191,-1,1,1,-1,1
1194,1,-1,-1,1,1
1195,-1,1,1,1,1
1198,-1,1,-1,-1,1
1201,1,-1,1,1,1
1202,-1,1,-1,-1,1
1203,1,-1,1,1,1
1204,1,-1,1,1,1
1205,-1,1,-1,-1,1
1208,-1,1,1,-1,1
1210,-1,1,1,-1,1
1211,1,-1,1,1,1
1212,-1,1,-1,-1,1
1218,-1,1,-1,-1,1
1222,-1,1,-1,-1,1
1224,1,-1,-1,1,1
1227,1,-1,-1,1,1
1229,-1,1,1,-1,1
1230,1,-1,-1,1,1
1233,-1,1,-1,-1,1
1236,1,-1,1,1,1
1238,1,-1,-1,1,1
1239,1,-1,1,1,1
1240,-1,1,-1,-1,1
1242,1,-1,-1,1,1
1243,1,1,1,1,1
1245,1,1,-1,-1,1
1247,1,-1,1,1,1
1250,1,-1,-1,1,1
1251,-1,1,1,-1,1
1254,1,-1,-1,1,1
1256,1,-1,-1,1,1
1257,1,-1,-1,1,1
1258,1,-1,1,1,1
1262,-1,1,1,-1,1
1264,1,-1,-1,1,1
1267,-1,1,1,-1,1
1269,1,-1,-1,1,1
1275,1,-1,-1,1,1
1276,-1,1,1,-1,1
1279,-1,1,-1,-1,1
1280,-1,1,-1,-1,1
1285,1,-1,-1,1,1
1286,1,-1,-1,1,1
1287,1,-1,-1,1,1
1292,1,-1,1,1,1
1295,-1,1,1,-1,1
1298,-1,1,-1,-1,1
1299,-1,1,1,1,1
1300,1,-1,-1,1,1
1301,1,-1,1,1,1
1302,-1,1,1,-1,1
1306,-1,1,-1,-1,1
1307,-1,1,-1,-1,1
1308,-1,1,1,-1,1
1309,1,-1,1,1,1
1311,-1,1,1,1,1
1314,1,-1,1,1,1
1315,1,-1,1,1,1
1319,-1,1,-1,-1,1
1323,1,-1,-1,1,1
1326,1,-1,-1,1,1
1327,-1,1,-1,-1,1
1333,1,-1,-1,1,1
1334,-1,1,1,-1,1
1336,-1,1,1,1,1
1338,1,-1,-1,1,1
1339,1,-1,-1,1,1
1340,1,-1,-1,1,1
1342,-1,1,-1,-1,1
1343,1,-1,-1,1,1
1344,-1,1,1,-1,1
1346,-1,1,1,-1,1
1353,-1,1,-1,-1,1
1355,-1,1,1,-1,1
1356,1,-1,-1,1,1
1358,-1,1,-1,-1,1
1360,-1,1,-1,-1,1
1361,-1,1,1,-1,1
1362,-1,1,-1,-1,1
1363,1,-1,1,1,1
1365,-1,1,1,-1,1
1366,1,-1,1,1,1
1367,-1,1,1,-1,1
1368,-1,1,1,-1,1
1369,1,-1,-1,1,1
1372,-1,1,-1,-1,1
1374,1,-1,-1,1,1
1385,1,-1,1,1,1
