ParameterIndex,miR200,ZEB,SNAIL,GRHL2,Weight
6626,-1,1,1,-1,1
6630,1,1,1,1,1
6634,-1,1,1,-1,1
6635,-1,1,-1,-1,1
6636,1,-1,-1,1,1
6637,1,1,1,-1,1
6638,1,-1,-1,1,1
6639,1,1,1,-1,1
6640,1,-1,-1,1,1
6641,1,-1,-1,1,1
6642,-1,1,1,-1,1
6643,-1,1,1,-1,1
6644,-1,1,1,-1,1
6645,-1,1,-1,-1,1
6648,-1,1,-1,-1,1
6649,-1,-1,1,1,1
6651,-1,1,1,-1,1
6652,1,1,1,1,1
6654,-1,1,-1,-1,1
6660,1,-1,1,1,1
6661,1,-1,1,1,1
6662,-1,1,1,-1,1
6664,1,-1,-1,1,1
6665,1,-1,1,1,1
6666,1,-1,-1,1,1
6667,1,-1,-1,1,1
6669,1,-1,1,1,1
6671,1,-1,-1,1,1
6683,1,-1,-1,1,1
6684,1,-1,-1,1,1
6686,-1,1,1,-1,1
6687,-1,1,1,-1,1
6689,1,-1,1,1,1
6693,1,-1,1,1,1
6694,-1,1,1,-1,1
6698,1,-1,1,1,1
6710,1,-1,-1,1,1
6711,-1,1,1,-1,1
6714,1,-1,-1,1,1
6719,1,-1,1,1,1
6720,-1,1,-1,-1,1
6721,-1,1,1,-1,1
6722,-1,1,-1,-1,1
6723,1,-1,-1,1,1
6725,1,1,-1,-1,1
6727,1,-1,1,1,1
6728,-1,1,-1,-1,1
6730,1,-1,-1,1,1
6732,1,-1,-1,1,1
6733,1,-1,1,1,1
6737,-1,1,1,-1,1
6738,1,-1,-1,1,1
6742,1,-1,-1,1,1
6747,1,-1,-1,1,1
6748,-1,1,-1,-1,1
6750,-1,1,1,-1,1
6751,1,-1,-1,1,1
6754,1,-1,1,1,1
6758,-1,1,-1,-1,1
6761,1,-1,-1,1,1
6762,1,-1,1,1,1
6764,1,-1,-1,1,1
6765,1,-1,1,1,1
6770,-1,1,-1,1,1
6773,1,-1,-1,1,1
6775,-1,1,1,-1,1
6780,1,-1,-1,1,1
6782,-1,1,1,-1,1
6783,-1,1,-1,-1,1
6784,1,-1,1,1,1
6785,1,-1,1,1,1
6786,-1,1,1,-1,1
6788,-1,1,1,-1,1
6790,-1,1,-1,-1,1
6791,1,-1,1,1,1
6799,1,-1,1,1,1
6807,1,-1,1,1,1
6809,1,-1,1,1,1
6810,1,-1,1,1,1
6811,1,-1,-1,1,1
6815,-1,1,1,-1,1
6816,-1,1,-1,-1,1
6818,1,-1,-1,1,1
6820,1,-1,-1,1,1
6823,1,1,1,1,1
6826,-1,1,1,-1,1
6827,-1,1,1,-1,1
6829,1,-1,1,1,1
6830,1,-1,1,1,1
6837,1,-1,-1,1,1
6842,1,-1,1,1,1
6843,1,-1,-1,1,1
6851,-1,1,-1,-1,1
6855,1,-1,-1,1,1
6857,-1,1,1,-1,1
6858,-1,1,-1,-1,1
6859,1,-1,1,1,1
6863,1,-1,-1,1,1
6864,-1,1,-1,-1,1
6865,1,-1,1,1,1
6867,-1,1,-1,-1,1
6868,1,-1,1,1,1
6871,1,1,1,-1,1
6872,-1,1,-1,-1,1
6873,1,-1,1,1,1
6875,1,-1,1,1,1
6876,-1,1,-1,-1,1
6878,1,-1,-1,1,1
6884,1,-1,-1,1,1
6885,1,-1,1,1,1
6886,1,-1,-1,1,1
6887,1,-1,1,1,1
6888,-1,1,-1,-1,1
6889,-1,1,1,-1,1
6894,-1,1,-1,-1,1
6899,1,-1,1,1,1
6902,-1,1,1,-1,1
6905,-1,1,1,-1,1
6907,-1,1,-1,-1,1
6908,-1,1,1,-1,1
6909,-1,1,-1,-1,1
6910,1,-1,-1,1,1
6911,1,-1,1,1,1
6912,1,-1,-1,1,1
6917,-1,1,1,-1,1
6919,-1,1,1,-1,1
6922,1,-1,-1,1,1
6925,-1,1,-1,-1,1
6926,1,-1,-1,1,1
6928,-1,1,1,-1,1
6934,-1,1,-1,-1,1
6938,1,-1,-1,1,1
6939,1,-1,-1,-1,1
6943,-1,1,1,-1,1
6946,1,-1,-1,1,1
6949,-1,1,-1,-1,1
6950,-1,1,-1,-1,1
6951,1,-1,-1,1,1
6954,-1,1,1,-1,1
6956,-1,1,-1,-1,1
6957,1,-1,1,1,1
6959,1,-1,-1,1,1
6963,1,-1,1,1,1
6966,1,-1,-1,1,1
6969,1,-1,1,1,1
6970,1,-1,-1,1,1
6971,1,-1,1,1,1
6972,-1,1,-1,-1,1
6973,-1,1,1,-1,1
6974,1,-1,-1,1,1
6976,1,-1,-1,1,1
6977,-1,1,1,-1,1
6978,-1,1,-1,-1,1
6981,-1,1,1,-1,1
6983,-1,1,-1,-1,1
6984,-1,1,1,-1,1
6986,-1,1,1,-1,1
6988,-1,1,-1,-1,1
6990,1,-1,-1,1,1
6992,1,-1,-1,1,1
6996,-1,1,-1,-1,1
6997,-1,1,-1,1,1
6998,1,-1,-1,1,1
6999,1,-1,-1,1,1
7004,1,-1,1,1,1
7006,-1,1,-1,-1,1
7007,1,-1,1,1,1
7008,1,-1,-1,1,1
7012,1,-1,1,1,1
7013,-1,1,-1,-1,1
7014,1,-1,-1,1,1
7018,1,-1,-1,1,1
7019,-1,1,1,-1,1
7021,1,-1,1,1,1
7022,1,-1,1,1,1
7023,1,-1,-1,1,1
7027,1,-1,1,1,1
7028,1,-1,1,1,1
7029,-1,1,1,-1,1
7030,1,-1,1,1,1
7031,-1,1,-1,-1,1
7034,-1,1,-1,-1,1
7036,-1,1,1,-1,1
7038,1,-1,-1,1,1
7039,-1,1,1,-1,1
7040,1,-1,-1,1,1
7041,-1,1,-1,1,1
7049,-1,1,-1,-1,1
7053,1,-1,1,1,1
7054,1,-1,1,1,1
7056,1,-1,1,1,1
7058,-1,1,1,-1,1
7062,1,-1,1,1,1
7065,-1,1,1,-1,1
7066,-1,1,-1,-1,1
7067,1,-1,-1,1,1
7068,1,-1,-1,1,1
7070,1,-1,1,1,1
7071,-1,1,-1,-1,1
7074,1,-1,1,1,1
7075,1,-1,1,1,1
7079,-1,1,-1,-1,1
7080,-1,1,1,-1,1
7081,-1,1,1,-1,1
7085,-1,1,-1,1,1
7086,1,-1,-1,1,1
7088,-1,1,1,-1,1
7089,-1,1,-1,-1,1
7100,-1,1,1,-1,1
7101,-1,1,1,-1,1
7102,1,-1,-1,1,1
7103,1,-1,1,1,1
7104,-1,1,-1,-1,1
7105,-1,1,-1,-1,1
7106,1,-1,1,1,1
7107,1,-1,-1,1,1
7108,1,-1,1,1,1
7112,-1,1,-1,-1,1
7113,-1,1,-1,-1,1
7117,1,-1,-1,1,1
7119,1,-1,1,1,1
7122,-1,1,1,-1,1
7123,-1,1,1,-1,1
7124,1,-1,1,1,1
7125,1,-1,1,1,1
7131,1,1,-1,-1,1
7132,-1,1,-1,-1,1
7133,-1,1,-1,-1,1
7134,1,-1,-1,1,1
7135,1,-1,-1,1,1
7136,-1,1,1,-1,1
7138,1,-1,1,1,1
7140,-1,1,-1,-1,1
7141,-1,-1,-1,1,1
7145,-1,1,1,-1,1
7146,-1,1,1,-1,1
7148,1,-1,1,1,1
7151,1,-1,1,1,1
7152,1,-1,-1,1,1
7153,-1,1,-1,-1,1
7157,-1,1,1,-1,1
7158,1,-1,-1,1,1
7159,-1,1,-1,-1,1
7162,1,-1,-1,1,1
7163,-1,1,1,-1,1
7164,1,-1,-1,1,1
7165,1,-1,1,1,1
7166,1,1,-1,-1,1
7173,1,-1,-1,1,1
7175,1,-1,-1,1,1
7180,1,-1,1,1,1
7183,1,-1,-1,1,1
7190,-1,1,1,-1,1
7191,-1,1,-1,-1,1
7192,-1,1,-1,-1,1
7195,1,-1,-1,1,1
7197,-1,1,1,-1,1
7199,-1,1,1,-1,1
7201,1,-1,1,1,1
7202,1,-1,-1,1,1
7206,1,-1,1,1,1
7208,1,-1,-1,1,1
7210,-1,1,1,-1,1
7211,1,-1,1,1,1
7213,1,-1,1,1,1
7219,-1,1,-1,-1,1
7220,1,-1,1,1,1
7222,-1,1,-1,-1,1
7224,1,-1,1,1,1
7225,-1,1,1,-1,1
7226,1,-1,1,1,1
7227,1,-1,-1,1,1
7229,1,-1,1,1,1
7230,-1,1,-1,-1,1
7232,1,-1,1,1,1
7233,1,-1,-1,1,1
7239,1,-1,-1,1,1
7240,1,-1,1,1,1
7241,-1,1,1,-1,1
7244,1,-1,1,1,1
7245,1,-1,1,1,1
7248,1,-1,1,1,1
7252,1,-1,1,1,1
7258,1,-1,-1,1,1
7259,1,-1,-1,1,1
7261,-1,1,1,-1,1
7262,1,-1,-1,1,1
7263,1,-1,-1,1,1
7264,-1,1,-1,1,1
7266,1,-1,1,1,1
7267,1,-1,-1,1,1
7271,-1,1,1,-1,1
7272,1,-1,1,1,1
7273,1,-1,1,1,1
7274,1,-1,1,1,1
7275,-1,1,-1,1,1
7276,1,-1,-1,1,1
7278,1,-1,-1,1,1
7281,-1,1,1,-1,1
7284,1,-1,-1,1,1
7285,1,-1,-1,1,1
7286,1,-1,-1,1,1
7288,-1,1,-1,-1,1
7292,-1,1,-1,-1,1
7294,-1,1,-1,-1,1
7295,-1,1,1,-1,1
7296,-1,1,1,-1,1
7297,1,-1,1,1,1
7300,1,-1,1,1,1
7301,-1,1,1,-1,1
7305,-1,1,-1,-1,1
7311,-1,1,1,-1,1
7312,-1,1,-1,-1,1
7313,-1,1,-1,-1,1
7314,1,-1,-1,1,1
7315,-1,1,-1,-1,1
7316,-1,1,1,-1,1
7317,1,-1,-1,1,1
7318,1,-1,-1,1,1
7319,-1,1,1,-1,1
7323,1,-1,1,1,1
7325,1,-1,1,1,1
7328,-1,1,1,1,1
7332,1,-1,1,1,1
7333,1,-1,1,1,1
7335,1,-1,-1,1,1
7337,1,-1,1,1,1
7338,-1,1,1,-1,1
7339,1,-1,1,1,1
7342,1,1,1,-1,1
7344,-1,1,-1,-1,1
7350,1,-1,-1,1,1
7353,-1,1,1,-1,1
7355,-1,1,-1,-1,1
7357,-1,1,1,1,1
7358,-1,1,1,-1,1
7361,-1,1,1,-1,1
7362,-1,1,-1,-1,1
7363,1,-1,1,1,1
7366,1,-1,1,1,1
7367,-1,1,1,-1,1
7369,1,-1,1,1,1
7370,-1,1,-1,1,1
7371,-1,1,-1,-1,1
7372,-1,1,-1,-1,1
7373,-1,1,1,1,1
7377,1,-1,1,1,1
7379,1,-1,1,1,1
7380,-1,1,1,-1,1
7382,-1,1,-1,-1,1
7386,-1,1,-1,1,1
7387,1,-1,1,1,1
7388,-1,1,-1,-1,1
7389,1,-1,-1,1,1
7394,1,-1,1,1,1
7395,1,-1,-1,1,1
7398,1,-1,1,1,1
7402,-1,1,1,-1,1
7404,1,-1,-1,1,1
7411,-1,1,-1,-1,1
7412,1,-1,-1,1,1
7413,1,-1,1,1,1
7416,1,-1,1,1,1
7418,-1,1,1,-1,1
7425,1,-1,-1,1,1
7428,-1,1,1,-1,1
7434,1,-1,-1,1,1
7437,-1,1,-1,-1,1
7438,1,-1,-1,1,1
7439,-1,1,1,-1,1
7441,1,-1,-1,1,1
7442,1,-1,1,1,1
7445,1,-1,-1,1,1
7446,-1,1,1,1,1
7450,1,-1,1,1,1
7454,-1,1,-1,-1,1
7456,-1,1,1,-1,1
7459,-1,1,-1,-1,1
7461,-1,1,1,-1,1
7464,1,-1,-1,1,1
7465,-1,1,-1,-1,1
7468,-1,1,1,-1,1
7471,1,-1,-1,1,1
7472,-1,1,1,-1,1
7473,-1,1,1,-1,1
7475,1,-1,1,1,1
7476,1,-1,1,1,1
7477,-1,1,-1,-1,1
7478,-1,1,1,-1,1
7480,-1,1,1,-1,1
7481,1,-1,1,1,1
7482,-1,1,-1,-1,1
7483,-1,1,-1,-1,1
7488,1,-1,1,1,1
7491,-1,1,1,-1,1
7493,-1,1,-1,-1,1
7494,1,1,1,1,1
7495,-1,1,1,-1,1
7498,-1,1,1,-1,1
7502,-1,1,1,-1,1
7504,1,-1,-1,1,1
7508,-1,1,-1,-1,1
7509,1,-1,-1,1,1
7510,1,-1,1,1,1
7517,-1,1,-1,-1,1
7520,-1,1,-1,-1,1
7521,-1,1,1,-1,1
7522,-1,1,1,-1,1
7525,-1,1,1,-1,1
7526,-1,1,-1,-1,1
7529,1,-1,1,1,1
7531,1,1,-1,-1,1
7533,-1,1,-1,-1,1
7534,1,-1,-1,1,1
7538,1,-1,1,1,1
7544,1,-1,-1,1,1
7545,-1,1,1,-1,1
7546,1,-1,-1,1,1
7547,1,-1,-1,1,1
7548,1,-1,1,1,1
7549,-1,-1,-1,1,1
7552,1,-1,1,1,1
7555,1,-1,-1,1,1
7556,1,-1,-1,1,1
7557,1,-1,1,1,1
7561,1,-1,1,1,1
7562,1,-1,1,1,1
7563,-1,1,1,-1,1
7564,1,-1,1,1,1
7569,-1,1,1,-1,1
7572,1,1,-1,-1,1
7573,-1,1,-1,-1,1
7575,-1,1,-1,-1,1
7576,1,-1,1,1,1
7584,1,-1,-1,1,1
7586,1,-1,-1,1,1
7588,1,-1,-1,1,1
7589,1,-1,1,1,1
7590,1,1,1,-1,1
7591,-1,1,1,-1,1
7592,-1,1,-1,-1,1
7593,-1,1,1,1,1
7598,1,-1,-1,1,1
7599,1,-1,-1,1,1
7600,-1,-1,1,1,1
7601,-1,1,1,-1,1
7604,1,-1,1,1,1
7609,1,-1,1,1,1
7613,-1,1,1,-1,1
7614,1,-1,1,1,1
7616,-1,1,1,-1,1
7622,1,-1,1,1,1
7625,1,-1,1,1,1
7627,1,-1,-1,1,1
7628,1,-1,-1,1,1
7631,1,-1,1,1,1
7641,-1,1,1,-1,1
7642,1,-1,-1,1,1
7643,1,-1,1,1,1
7646,1,-1,1,1,1
7648,1,-1,-1,1,1
7660,-1,1,-1,-1,1
7661,1,-1,1,1,1
7663,-1,1,1,-1,1
7664,-1,1,1,-1,1
7667,1,-1,1,1,1
7668,-1,1,-1,-1,1
7669,1,-1,1,1,1
7670,1,-1,-1,1,1
7671,1,-1,1,1,1
7672,1,-1,-1,1,1
7673,1,-1,-1,1,1
7674,-1,1,-1,-1,1
7675,-1,1,1,-1,1
7676,1,-1,-1,1,1
7678,1,-1,-1,1,1
7679,-1,1,1,-1,1
7681,-1,1,-1,-1,1
7687,-1,1,-1,-1,1
7688,-1,1,1,-1,1
7692,-1,1,1,-1,1
7697,-1,1,-1,-1,1
7699,1,1,-1,-1,1
7701,-1,1,-1,-1,1
7703,1,-1,-1,1,1
7704,-1,1,1,-1,1
7706,1,-1,1,1,1
7708,-1,1,-1,-1,1
7711,1,-1,1,1,1
7713,-1,1,1,-1,1
7718,-1,1,1,-1,1
7720,1,-1,1,1,1
7722,-1,1,1,-1,1
7726,1,-1,-1,1,1
7728,1,-1,-1,1,1
7729,1,-1,-1,1,1
7730,-1,1,1,-1,1
7731,-1,1,-1,-1,1
7732,-1,1,1,-1,1
7737,-1,1,-1,-1,1
7738,1,-1,1,1,1
7741,1,-1,-1,1,1
7742,1,-1,1,1,1
7744,-1,-1,-1,1,1
7745,1,-1,1,1,1
7747,-1,1,1,-1,1
7748,1,-1,1,1,1
7750,-1,1,1,-1,1
7754,1,-1,1,1,1
7755,1,-1,1,1,1
7757,1,-1,1,1,1
7758,1,-1,1,1,1
7761,1,-1,1,1,1
7762,-1,1,-1,-1,1
7765,1,-1,1,1,1
7766,1,-1,1,1,1
7767,1,-1,-1,1,1
7768,1,-1,-1,1,1
7769,1,-1,-1,1,1
7770,-1,1,1,-1,1
7773,1,-1,-1,1,1
7774,-1,1,1,-1,1
7777,1,-1,-1,1,1
7778,-1,1,-1,-1,1
7780,1,-1,1,1,1
7782,-1,1,1,-1,1
7783,-1,1,1,-1,1
7785,-1,1,-1,-1,1
7788,1,-1,-1,1,1
7789,1,-1,-1,1,1
7790,1,-1,-1,1,1
7791,-1,1,-1,-1,1
7792,1,-1,-1,1,1
7793,1,-1,1,1,1
7803,1,-1,-1,1,1
7804,1,-1,1,1,1
7811,-1,1,1,-1,1
7812,-1,1,-1,-1,1
7814,1,-1,1,1,1
7818,-1,1,-1,-1,1
7819,-1,1,1,-1,1
7821,-1,1,-1,-1,1
7822,-1,1,1,-1,1
7823,1,-1,-1,1,1
7824,-1,1,1,1,1
7825,1,-1,1,1,1
7827,-1,1,1,-1,1
7829,1,-1,-1,1,1
7830,1,-1,-1,1,1
7831,-1,1,1,-1,1
7833,1,-1,1,1,1
7835,-1,1,1,-1,1
7836,1,-1,1,1,1
7842,1,-1,1,1,1
7843,1,-1,-1,1,1
7846,-1,-1,-1,1,1
7849,-1,1,-1,-1,1
7851,-1,1,1,-1,1
7853,1,-1,-1,1,1
7854,1,-1,-1,1,1
7857,1,-1,1,1,1
7859,-1,1,-1,-1,1
7863,-1,1,-1,-1,1
7866,1,-1,-1,1,1
7867,-1,1,1,-1,1
7868,1,1,1,1,1
7870,1,-1,-1,1,1
7874,1,-1,1,1,1
7875,-1,1,-1,-1,1
7876,-1,1,1,-1,1
7878,1,-1,1,1,1
7881,-1,1,-1,-1,1
7882,1,-1,-1,1,1
7886,-1,1,1,-1,1
7887,1,-1,1,1,1
7889,1,-1,-1,1,1
7903,1,-1,-1,1,1
7904,1,-1,1,1,1
7905,1,-1,1,1,1
7907,1,-1,-1,1,1
7909,-1,1,-1,-1,1
7911,-1,1,1,-1,1
7912,-1,1,-1,-1,1
7913,1,-1,-1,1,1
7914,1,-1,1,1,1
7915,1,-1,-1,1,1
7918,-1,1,-1,-1,1
7919,1,-1,-1,1,1
7922,1,-1,-1,1,1
7923,1,-1,1,1,1
7924,1,-1,-1,1,1
7925,1,-1,1,1,1
7926,-1,1,1,-1,1
7928,1,-1,1,1,1
7934,-1,1,1,-1,1
7935,-1,1,-1,1,1
7936,-1,1,-1,-1,1
7937,1,-1,1,1,1
7939,-1,1,1,-1,1
7943,1,-1,-1,1,1
7954,-1,1,1,-1,1
7955,1,-1,1,1,1
7957,1,-1,-1,1,1
7958,-1,1,-1,-1,1
7959,-1,1,-1,-1,1
7960,-1,1,-1,-1,1
7961,-1,1,-1,-1,1
7962,1,-1,1,1,1
7965,-1,1,1,-1,1
7966,1,-1,-1,1,1
7967,-1,1,1,-1,1
7968,1,-1,1,1,1
7973,-1,1,-1,-1,1
7975,-1,1,-1,-1,1
7976,-1,1,-1,-1,1
7979,-1,1,-1,-1,1
7980,-1,1,-1,-1,1
7987,-1,1,-1,-1,1
7989,1,1,1,-1,1
7990,1,-1,1,1,1
7993,1,1,1,-1,1
7994,-1,1,-1,-1,1
7995,1,-1,1,1,1
7996,-1,1,1,-1,1
7997,-1,1,1,-1,1
7998,-1,1,-1,-1,1
7999,1,-1,-1,1,1
8000,-1,1,-1,-1,1
8001,1,-1,1,1,1
8002,1,-1,-1,1,1
8005,-1,1,-1,-1,1
8006,1,1,-1,-1,1
8008,1,-1,-1,1,1
8009,-1,1,-1,-1,1
8015,-1,1,-1,-1,1
8016,1,-1,1,1,1
8019,1,-1,-1,1,1
8020,1,-1,-1,1,1
8023,1,-1,-1,1,1
8027,-1,1,1,1,1
8029,1,-1,1,1,1
8030,-1,1,-1,-1,1
8031,1,-1,1,1,1
8032,-1,1,1,-1,1
8036,-1,1,1,-1,1
8040,1,-1,-1,1,1
8041,-1,1,1,-1,1
8043,-1,1,-1,-1,1
8044,1,-1,-1,1,1
8047,-1,1,-1,-1,1
8051,-1,1,1,-1,1
8055,1,-1,-1,1,1
8057,-1,1,1,-1,1
8058,-1,1,1,-1,1
8059,-1,1,1,-1,1
8060,-1,1,1,-1,1
8061,-1,1,-1,-1,1
8063,-1,1,-1,-1,1
8068,-1,1,1,-1,1
8070,1,-1,-1,1,1
8073,1,-1,1,1,1
8075,1,-1,-1,1,1
8076,1,-1,-1,1,1
8077,-1,1,1,-1,1
8081,-1,1,1,-1,1
8082,1,-1,-1,1,1
8085,1,-1,1,1,1
8086,-1,1,-1,1,1
8088,-1,1,-1,-1,1
8089,-1,1,-1,-1,1
8094,-1,1,-1,-1,1
8095,-1,1,1,-1,1
8096,-1,1,1,-1,1
8098,1,-1,1,1,1
8099,1,-1,-1,1,1
8100,1,-1,-1,1,1
8101,1,-1,-1,1,1
8103,1,-1,1,1,1
8106,-1,1,1,-1,1
8107,-1,1,-1,-1,1
8109,1,-1,1,1,1
8110,1,-1,1,1,1
8112,1,-1,1,1,1
8113,-1,1,1,-1,1
8114,-1,1,1,-1,1
8118,1,-1,-1,1,1
8119,1,-1,-1,1,1
8120,1,-1,1,1,1
8122,1,-1,-1,1,1
8125,-1,1,1,-1,1
8127,-1,1,1,-1,1
8128,-1,1,1,-1,1
8131,1,1,-1,-1,1
8132,1,-1,1,1,1
8134,1,-1,-1,1,1
8135,1,-1,1,1,1
8136,-1,1,-1,-1,1
8137,-1,1,-1,-1,1
8138,-1,1,1,-1,1
8140,1,-1,-1,1,1
8141,-1,1,-1,-1,1
8142,1,-1,-1,1,1
8143,1,-1,-1,1,1
8144,1,-1,1,1,1
8145,-1,1,-1,-1,1
8148,-1,1,1,-1,1
8150,-1,1,1,-1,1
8156,1,-1,-1,1,1
8157,-1,1,-1,-1,1
8159,1,-1,1,1,1
8161,1,-1,-1,1,1
8162,1,-1,1,1,1
8165,1,-1,-1,1,1
8166,-1,1,-1,-1,1
8171,-1,1,-1,-1,1
8174,1,-1,1,1,1
8176,-1,1,1,-1,1
8177,-1,1,1,-1,1
8178,-1,1,1,-1,1
8179,1,-1,1,1,1
8180,1,1,-1,-1,1
8181,-1,1,1,-1,1
8182,1,-1,-1,1,1
8185,1,-1,-1,-1,1
8186,1,-1,-1,1,1
8188,-1,1,1,-1,1
8189,1,-1,-1,1,1
8190,1,-1,-1,1,1
8193,1,-1,1,1,1
8194,1,-1,1,1,1
8195,-1,1,1,-1,1
8196,-1,1,1,-1,1
8197,-1,1,1,-1,1
8199,1,-1,-1,1,1
8203,1,-1,-1,1,1
8205,1,1,1,-1,1
8206,-1,1,-1,-1,1
8211,-1,1,1,-1,1
8212,-1,1,1,-1,1
8213,1,-1,1,1,1
8216,-1,1,-1,-1,1
8218,-1,1,-1,-1,1
8219,1,-1,1,1,1
8221,1,-1,-1,1,1
8222,-1,1,1,-1,1
8224,-1,1,-1,-1,1
8225,-1,1,1,1,1
8227,-1,1,1,-1,1
8230,-1,1,-1,-1,1
8231,1,-1,-1,1,1
8233,-1,1,-1,-1,1
8234,-1,1,1,-1,1
8238,1,-1,-1,1,1
8239,-1,1,-1,-1,1
8243,1,-1,-1,1,1
8249,-1,-1,1,1,1
8250,1,-1,-1,1,1
8251,-1,1,-1,1,1
8253,1,-1,1,1,1
8255,1,-1,-1,1,1
8256,-1,1,1,-1,1
8259,1,-1,-1,1,1
8261,1,-1,-1,1,1
8262,-1,-1,-1,1,1
8263,1,-1,1,1,1
8264,1,-1,-1,1,1
8265,-1,1,1,-1,1
8266,1,-1,1,1,1
8267,1,-1,-1,1,1
8270,-1,1,-1,-1,1
8271,-1,1,1,-1,1
8274,1,-1,-1,1,1
8277,1,-1,-1,1,1
8278,-1,1,1,-1,1
8282,1,-1,1,1,1
8290,-1,1,1,-1,1
8291,-1,1,-1,-1,1
8292,-1,1,-1,-1,1
8297,1,-1,1,1,1
8298,-1,1,-1,-1,1
8300,1,-1,1,1,1
8301,-1,1,-1,-1,1
8302,-1,1,1,-1,1
8303,-1,1,-1,-1,1
8306,-1,1,1,-1,1
8309,-1,1,-1,-1,1
8310,-1,1,-1,-1,1
8311,-1,-1,1,1,1
8315,1,-1,-1,1,1
8317,1,-1,-1,1,1
8318,1,-1,-1,1,1
8319,1,-1,1,1,1
8321,1,-1,1,1,1
8322,1,-1,-1,1,1
8324,1,-1,-1,1,1
8325,1,-1,1,1,1
8328,1,-1,-1,1,1
8329,1,-1,1,1,1
8331,1,-1,-1,1,1
8334,-1,1,-1,-1,1
8336,1,-1,1,1,1
8338,-1,1,1,-1,1
8340,-1,1,1,-1,1
8343,-1,1,1,-1,1
8345,-1,1,1,-1,1
8347,1,1,-1,-1,1
8348,1,-1,-1,1,1
8355,1,-1,-1,1,1
8357,1,-1,1,1,1
8359,-1,1,-1,-1,1
8365,-1,1,1,-1,1
8366,-1,-1,-1,1,1
8367,1,-1,1,1,1
8369,-1,1,1,-1,1
8373,1,-1,1,1,1
8376,1,-1,1,1,1
8377,-1,1,1,-1,1
8378,-1,1,1,-1,1
8380,1,1,-1,-1,1
8382,1,-1,1,1,1
8388,1,-1,-1,1,1
8392,1,-1,-1,1,1
8396,1,-1,-1,1,1
8397,1,-1,-1,1,1
8400,-1,1,-1,-1,1
8401,1,-1,1,1,1
8402,-1,1,1,-1,1
8404,1,-1,1,1,1
8406,1,-1,1,1,1
8408,-1,1,1,-1,1
8410,-1,1,-1,-1,1
8414,-1,1,1,-1,1
8415,1,-1,-1,1,1
8417,-1,1,1,-1,1
8418,-1,1,-1,-1,1
8419,1,-1,-1,1,1
8421,-1,1,1,-1,1
8423,1,-1,1,1,1
8425,1,-1,-1,1,1
8428,-1,1,1,-1,1
8430,-1,1,-1,-1,1
8432,-1,1,-1,-1,1
8436,-1,1,1,-1,1
8438,1,-1,-1,1,1
8440,-1,1,1,-1,1
8442,-1,1,1,-1,1
8443,1,1,1,1,1
8444,-1,1,1,-1,1
8445,-1,1,1,-1,1
8448,-1,1,1,-1,1
8450,-1,1,1,-1,1
8451,-1,1,-1,-1,1
8455,1,-1,1,1,1
8456,-1,1,1,-1,1
8458,1,-1,1,1,1
8460,-1,1,-1,1,1
8461,1,-1,1,1,1
8462,1,-1,-1,1,1
8463,-1,1,-1,-1,1
8464,-1,1,-1,-1,1
8465,-1,1,1,-1,1
8466,1,1,1,-1,1
8467,-1,1,1,-1,1
8471,-1,1,-1,-1,1
8473,1,-1,1,1,1
8475,-1,1,1,-1,1
8478,1,-1,1,1,1
8488,1,-1,1,1,1
8490,-1,1,1,-1,1
8491,1,-1,-1,1,1
8493,1,-1,-1,1,1
8496,1,1,-1,-1,1
8497,1,1,-1,-1,1
8498,1,-1,1,1,1
8500,-1,1,1,-1,1
8502,1,-1,1,1,1
8503,-1,1,1,-1,1
8509,-1,1,-1,-1,1
8512,1,-1,-1,1,1
8513,-1,1,-1,-1,1
8514,-1,1,-1,-1,1
8516,-1,1,-1,-1,1
8520,-1,1,1,-1,1
8522,1,-1,-1,1,1
8524,1,-1,-1,1,1
8527,1,-1,1,1,1
8528,1,-1,1,1,1
8530,-1,1,-1,-1,1
8531,-1,1,-1,-1,1
8535,1,-1,1,1,1
8536,1,-1,1,1,1
8537,-1,1,1,-1,1
8540,-1,-1,1,1,1
8543,-1,1,1,-1,1
8544,1,-1,1,1,1
8545,1,-1,1,1,1
8546,-1,1,1,-1,1
8547,-1,1,1,-1,1
8549,1,-1,1,1,1
8550,-1,1,-1,-1,1
8551,1,-1,-1,1,1
8552,-1,1,-1,-1,1
8553,1,-1,-1,1,1
8554,1,-1,1,1,1
8555,-1,1,1,-1,1
8557,1,-1,1,1,1
8560,1,-1,-1,1,1
8561,1,-1,1,1,1
8564,-1,1,1,-1,1
8566,-1,1,-1,-1,1
8568,1,-1,-1,1,1
8570,-1,1,-1,-1,1
8572,-1,1,1,-1,1
8573,1,-1,-1,1,1
8577,1,-1,1,1,1
8578,1,-1,-1,1,1
8581,-1,1,-1,-1,1
8582,1,-1,-1,1,1
8584,1,-1,-1,1,1
8592,1,-1,1,1,1
8594,1,-1,1,1,1
8595,1,-1,1,1,1
8598,-1,1,-1,-1,1
8599,1,-1,-1,1,1
8601,-1,1,-1,-1,1
8604,1,-1,1,1,1
8606,-1,1,1,1,1
8608,1,-1,-1,1,1
8610,1,-1,1,1,1
8615,1,-1,-1,1,1
8619,1,-1,1,1,1
8620,-1,1,-1,-1,1
8621,-1,1,1,-1,1
8627,-1,1,-1,-1,1
8628,-1,1,1,1,1
