d_m_1,d_m_2,d_m_3,d_m_4,d_m_5,d_m_6,d_m_7,d_m_8,d_m_9,d_m_10
5,2,0.822813648283318,-0.337593122654584,0.265343978683133,0.367635336185065,-0.425196748908294,0.608088740492784,0.265343978683133,-0.419911646606066
6,2,-0.338998256351583,1.50628395726185,0.363264479973966,-0.619480122802229,1.08657566309443,-0.650147504690511,0.363264479973966,1.15108005966337
8,2,0.293185759782383,-1.37497123250203,-0.47334341032397,0.420728912568325,-0.816675269536886,0.544528411612708,-0.47334341032397,-0.993147777166385
9,2,1.51071225229877,-0.708661217679186,-1.43699537314113,0.584199021958169,-0.0792393439655583,0.737976271343057,-1.43699537314113,-0.832882202752212
12,2,0.718344669680324,-1.0839463922029,0.56256800526911,1.2711611063906,-0.610962271718805,0.741885576131325,0.56256800526911,0.119156666390567
13,2,0.0483806499402461,-0.563987160210683,0.475406451149777,1.20925190226891,-1.13666945830409,0.866695498015113,0.475406451149777,-0.712880069908344
14,2,-0.688790182860642,0.973232980848569,0.6144761632606,-0.434416334024019,0.975974272265768,-1.12810532558454,0.6144761632606,0.926035656672833
15,2,0.306643753690028,-0.784231093649842,0.0143842532893268,0.852444988224441,-1.25128201521627,0.882408852330895,0.0143842532893268,-0.890788579054115
16,2,-0.462614391864319,1.08799966412719,0.0139652438620776,-1.31952265688565,-0.0460221110765008,-0.374048929352501,0.0139652438620776,0.526740560858244
19,2,-1.55205395425473,0.995144141666423,1.48494926524124,-0.649727814295894,-0.600562420265579,-0.233963329274137,1.48494926524124,0.799500716908506
22,2,-0.608355946125029,0.893266939305803,0.498790904786488,-0.463289030013939,0.723407387219195,-0.736705369046433,0.498790904786488,1.08959604354525
23,2,-0.602591438314605,1.14353696388767,-0.273266753960427,-0.915899923707343,1.0532599023791,-0.589240991552745,-0.273266753960427,0.773315827785986
24,2,0.466727784390933,-0.854477572093335,-0.951897045455986,0.159163795667703,-0.778927268575113,0.833921803389838,-0.951897045455986,-1.59946839549956
25,2,-0.757185125591244,1.02172083830463,-0.277637015383677,-0.708561270899565,0.892917078640895,-0.590614658541528,-0.277637015383677,1.00933778326361
29,2,0.77377576957061,-0.771141235763786,0.0643616544966071,0.810015202728011,-0.276430062794806,0.688851438817744,0.0643616544966071,-0.965463208604403
30,2,1.51722290050204,-0.874795823604302,-2.75493809953053,0.546688412295156,0.103293911766604,0.483160910171172,-2.75493809953053,-1.13106683374489
31,2,-0.876512654773083,1.06504484519396,0.462613893150146,-0.918968726803627,0.583014306392488,-0.784587109755823,0.462613893150146,0.770092669133841
40,2,-0.0791070495696642,1.1791255034932,0.0121615014676772,-0.985374128343901,1.17869943265125,-0.629176781572747,0.0121615014676772,0.791278521572978
41,2,0.36350363305597,-1.30203347712112,1.07922871852608,0.121140877073887,-1.24284818448069,1.1863870462332,1.07922871852608,-1.83962354453229
