Boolean,JSD,heatmap,data
 ,TGFB-SNAIL_1-2,miR200-TGFB_2-0,OVOL-TGFB_2-0,OVOL-TGFB_2-1,ZEB1-Ecadherin_2-0,SNAIL-miR34_2-0,ZEB1-miR200_2-0,miR200-ZEB1_2-0,TGFB-SNAIL_1-0,miR34-SNAIL_2-0,SNAIL-SNAIL_2-0,WT,ZEB1-VIMENTIN_1-0,ZEB1-OVOL_2-0,miR200-TGFB_2-1,OVOL-VIMENTIN_2-0,OVOL-VIMENTIN_2-1,SNAIL-VIMENTIN_1-0,SNAIL-miR34_2-1,OVOL-SNAIL_2-0,ZEB1-VIMENTIN_1-2,ZEB1-OVOL_2-1,ZEB1-miR34_2-0,OVOL-SNAIL_2-1,OVOL-ZEB1_2-0,exTGFB-SNAIL_1-2,miR200-ZEB1_2-1,SNAIL-miR200_2-0,SNAIL-Ecadherin_2-0,SNAIL-SNAIL_2-1,ZEB1-Ecadherin_2-1,SNAIL-miR200_2-1,ZEB1-miR34_2-1,OVOL-ZEB1_2-1,miR34-SNAIL_2-1,SNAIL-ZEB1_1-2,SNAIL-Ecadherin_2-1,SNAIL-ZEB1_1-0,ZEB1-miR200_2-1,SNAIL-VIMENTIN_1-2
TGFB-SNAIL_1-2,0.0,0.07918190018347167,0.07918619990133957,0.27407906416007954,0.07920068568541125,0.0791865647556852,0.07918189691961225,0.09396892925577013,0.002517984158208559,0.07920524266645959,0.008608735502873766,0.07918456652905839,0.07919094269776321,0.1204987774685199,0.26582521731472125,0.0791960167761216,0.07918231407743227,0.07918202271186986,0.17422024473187614,0.0020272869629205364,0.07918583880370558,1.0,0.07918138838800491,0.0014042925666243478,0.07918138766345796,0.07921023152705386,0.1083674929803957,0.0791832807302564,0.07918159910489422,0.009247990474622447,0.4264204283141635,0.19313427039357461,0.26062729146622404,0.07918247965075034,0.07918788851838167,0.10467536378586174,0.2875644566299814,0.0960210736640012,0.25212015184717673,0.07919792814446458
miR200-TGFB_2-0,0.07918190018347167,0.0,2.3372353823195805e-06,0.21821523377067473,2.8630681203300774e-05,2.604144891285836e-06,2.337174800738271e-06,0.016650640382022838,0.05770701779548559,1.8763750600984995e-05,0.04226793550644345,6.93216250764175e-06,6.066797474334066e-06,0.04648617292519178,0.2090423562891145,1.041685369759706e-05,3.181152060962667e-06,2.604073641381422e-06,0.10674590472606804,0.060767078714040176,8.836525255141812e-06,1.0,3.5346328655167436e-07,0.09535651433514708,8.728361310704827e-07,4.057679563366275e-05,0.03285393716544647,4.616714002519582e-07,1.623039687296277e-06,0.04067379388045819,0.3867614360164576,0.1279186509818293,0.20325302743737583,3.491331658247304e-06,1.1767400455776813e-05,0.02869870806318841,0.23321609583466946,0.018960543859603565,0.1937709000071949,2.5110385706967296e-05
OVOL-TGFB_2-0,0.07918619990133957,2.3372353823195805e-06,0.0,0.21821469248673403,4.73281666952814e-05,7.213859562961065e-09,9.348805220083271e-06,0.016657402728036588,0.05772117839321175,7.856354926501913e-06,0.042275459740848176,1.7319714896744682e-05,8.728908092664814e-07,0.04649761295107138,0.20907762236887856,2.8856362464801943e-06,1.097184308430422e-05,9.875391062072166e-06,0.1067472475500061,0.06078427262216178,2.026281986394589e-05,1.0,4.508526292806825e-06,0.09540927343052782,6.06665332334908e-06,6.239052157890924e-05,0.03287480156220782,7.213753703211659e-07,7.855608240234626e-06,0.04067213569120732,0.38676938184377024,0.1279263528805439,0.20327732410569035,1.1541709293522032e-05,2.459324220118993e-05,0.028711662437122268,0.2332262348675982,0.018968480417551586,0.19377820566127937,4.276912781601017e-05
OVOL-TGFB_2-1,0.2740790641600795,0.21821523377067473,0.21821469248673403,0.0,0.2182454758962381,0.21821476796483918,0.21821937472473096,0.22991096320845955,0.2588697251898735,0.2182230501372166,0.24795680940147022,0.21822460407060212,0.2182161338487575,0.2509371876124505,0.001657200170576081,0.21821831317021081,0.21822041484650773,0.21821971032203685,0.29368136421648794,0.2610370658292557,0.21822659084479146,1.0,0.2182164164091503,0.2856203958039546,0.21821733662146872,0.21825623631930371,0.24132676854501012,0.2182145487874952,0.21821843459240686,0.2468271383449743,0.49825819914134195,0.3088014671847494,0.3630332907049128,0.2182207837736999,0.21822954883361398,0.23839335371218856,0.3847823540405206,0.23153603899232572,0.35615618474183985,0.21824224468652753
ZEB1-Ecadherin_2-0,0.07920068568541125,2.8630681203300774e-05,4.73281666952814e-05,0.2182454758962381,0.0,4.850398189503108e-05,1.4607632398582534e-05,0.016663167669888825,0.057692109753594734,9.374889446006097e-05,0.042276838089937076,7.3868597119863474e-06,6.105571788249777e-05,0.04648121139490746,0.20894764403012756,7.358600072009374e-05,1.2724900857206739e-05,1.3965628574951535e-05,0.10677397565563797,0.06074143794693359,5.655589352218746e-06,1.0,2.2621837992644906e-05,0.0952050688735093,1.9505606524675926e-05,1.0388487607331637e-06,0.03281650310232555,3.636356530059646e-05,1.6620203877706777e-05,0.04071489441106132,0.3867550373080254,0.12792363977239596,0.2031969414070446,1.2126176945041625e-05,3.687983332988651e-06,0.02868911447407673,0.2332083494972454,0.018968875595987804,0.19377466319036565,1.1542414315998738e-07
SNAIL-miR34_2-0,0.0791865647556852,2.604144891285836e-06,7.213859562961065e-09,0.21821476796483918,4.850398189503108e-05,0.0,9.8754052829126e-06,0.016657913186576456,0.05772209412882652,7.387441275729691e-06,0.04227600895946858,1.803386702938837e-05,7.213985427535633e-07,0.0464983791234784,0.20907968854318093,2.604291361423287e-06,1.154172452887776e-05,1.0416418262189711e-05,0.10674744417088083,0.06078535644360016,2.1034680065837698e-05,1.0,4.8764270857482896e-06,0.09541232816918142,6.49226311342458e-06,6.373946056859991e-05,0.03287609322282514,8.728653198589674e-07,8.338926826571965e-06,0.04067217499371198,0.38676990300743574,0.12792689971248944,0.2032787817320618,1.2126017845678818e-05,2.5442855178831915e-05,0.028712515228156932,0.23322690143998337,0.018969055790942754,0.19377872075251812,4.388723518904689e-05
ZEB1-miR200_2-0,0.07918189691961225,2.337174800738271e-06,9.348805220083271e-06,0.21821937472473096,1.4607632398582534e-05,9.8754052829126e-06,0.0,0.016648474311027932,0.05769725777931092,3.4345263210981084e-05,0.0422648858894455,1.2190797131322569e-06,1.5934977402910994e-05,0.046479187369457914,0.20901073732797754,2.2622285930910813e-05,6.492128357665349e-08,7.213475248561371e-09,0.10674872326360123,0.06075427065852155,2.0847013630949504e-06,1.0,8.728317318860697e-07,0.09530797288008763,3.5346048699930925e-07,2.3437469354014272e-05,0.032837592405033575,4.876347696330615e-06,6.492128357665349e-08,0.04067993418432698,0.3867562091917982,0.12791500567828074,0.20323240742166848,1.1541562477536773e-07,3.6160285729867642e-06,0.02869029301218006,0.23320947943656634,0.01895719268685326,0.1937673192081902,1.2126089633957048e-05
miR200-ZEB1_2-0,0.09396892925577013,0.016650640382022838,0.016657402728036588,0.22991096320845958,0.016663167669888825,0.016657913186576456,0.016648474311027932,0.0,0.07298293747397988,0.016681739100530238,0.05791140668479711,0.016649768345131162,0.016663798071387435,0.06202697636927067,0.22090207352963098,0.016670307528831446,0.016648560148859893,0.016648488737978438,0.12090387824592003,0.07596886720756404,0.01665064882574385,1.0,0.016649251869176356,0.10972771501731739,0.01664877052098486,0.016671937843627083,0.004032251109378655,0.01665307841393015,0.01664851614412955,0.05636348356169479,0.3950278756981297,0.14159111553392867,0.2152474390225787,0.016648617132799245,0.016652194068086445,0.002470385277280486,0.24458176304643464,0.0001449311704180224,0.20598651956251327,0.016660698293192246
TGFB-SNAIL_1-0,0.002517984158208559,0.05770701779548559,0.05772117839321175,0.25886972518987356,0.05769210975359474,0.05772209412882652,0.05769725777931092,0.07298293747397988,0.0,0.057758570129650126,0.0019279986150223985,0.057692945562863654,0.0577319985750714,0.10038760826592226,0.250287898761105,0.057742074016890146,0.05769605893014616,0.0576968445814323,0.15588487007124385,0.0001504207762800684,0.057692080498642925,1.0,0.057702699338299815,0.006938726367316845,0.05770053044720807,0.05769538214981621,0.08783333280671812,0.057712768095907016,0.05769857886199618,0.002297148953905499,0.4155687626212502,0.17539112546575591,0.24495537911838042,0.05769568647672772,0.05769125859222264,0.08403478490479126,0.2727393722740714,0.07510146922306576,0.23622396158009612,0.05769145362036401
miR34-SNAIL_2-0,0.07920524266645959,1.8763750600984995e-05,7.856354926501913e-06,0.2182230501372166,9.374889446006097e-05,7.387441275729691e-06,3.4345263210981084e-05,0.016681739100530238,0.05775857012965012,0.0,0.04230087694458382,4.850547206767001e-05,3.4917946731169132e-06,0.04653015686970059,0.2091517512415932,1.2192681636430413e-06,3.739660762301167e-05,3.5347951722625e-05,0.10676051838384591,0.06082718724663867,5.335296302279432e-05,1.0,2.426781982570094e-05,0.09551695493778975,2.7730378094536264e-05,0.0001145243277041498,0.032924792964108614,1.3338960615502183e-05,3.1423755184081976e-05,0.04068073771001228,0.3867910120992235,0.12795101007659293,0.20333141874329552,3.844257505941379e-05,6.024924965742978e-05,0.028747203079842326,0.23325397336370612,0.01899494125397045,0.19380127476516767,8.728549465436292e-05
