"","States","Method","Frequency"
"1","""11111010""","RACIPE",0.00306666666666667
"2","""11011000""","RACIPE",0.00879999999999999
"3","""11111000""","RACIPE",0.195933333333331
"4","""00000111""","RACIPE",0.160766666666665
"5","""01111000""","RACIPE",0.195341666666665
"6","""00010111""","RACIPE",0.0124666666666667
"7","""10000111""","RACIPE",0.155449999999999
"8","""10100101""","RACIPE",0.000533333333333333
"9","""10001010""","RACIPE",0.00015
"10","""10100111""","RACIPE",0.0057
"11","""00001111""","RACIPE",0.00495833333333334
"12","""01000111""","RACIPE",0.0189083333333334
"13","""00000011""","RACIPE",0.0047
"14","""10010111""","RACIPE",0.0116
"15","""00000101""","RACIPE",0.0149416666666667
"16","""00111000""","RACIPE",0.0155666666666667
"17","""10001100""","RACIPE",2e-04
"18","""01111001""","RACIPE",0.00405
"19","""10000011""","RACIPE",0.00473333333333333
"20","""00100101""","RACIPE",0.000733333333333333
"21","""11110111""","RACIPE",0.000783333333333333
"22","""11000111""","RACIPE",0.0229583333333334
"23","""10000101""","RACIPE",0.0144
"24","""10000001""","RACIPE",0.000583333333333333
"25","""00100111""","RACIPE",0.00678333333333333
"26","""10111000""","RACIPE",0.0149833333333333
"27","""10000110""","RACIPE",0.00451666666666667
"28","""01000110""","RACIPE",0.00213333333333333
"29","""10001001""","RACIPE",3e-04
"30","""00000110""","RACIPE",0.0046
"31","""00011110""","RACIPE",3e-04
"32","""01111110""","RACIPE",0.000983333333333334
"33","""11000110""","RACIPE",0.0015
"34","""10010110""","RACIPE",0.000233333333333333
"35","""00010101""","RACIPE",0.000808333333333333
"36","""01101010""","RACIPE",0.000266666666666667
"37","""01011000""","RACIPE",0.00886666666666666
"38","""10001111""","RACIPE",0.00415
"39","""01000011""","RACIPE",0.00085
"40","""10011000""","RACIPE",0.00143333333333333
"41","""00000000""","RACIPE",1e-04
"42","""01100101""","RACIPE",0.000366666666666667
"43","""01101000""","RACIPE",0.000941666666666667
"44","""01000001""","RACIPE",0.000333333333333333
"45","""01111111""","RACIPE",0.00101666666666667
"46","""11111011""","RACIPE",0.000616666666666667
"47","""00000001""","RACIPE",0.000383333333333333
"48","""11000011""","RACIPE",0.001175
"49","""11110000""","RACIPE",0.00180833333333333
"50","""01011010""","RACIPE",0.000616666666666667
"51","""11111001""","RACIPE",0.00313333333333333
"52","""01000101""","RACIPE",0.002325
"53","""00000010""","RACIPE",0.000383333333333333
"54","""01111101""","RACIPE",0.00155833333333333
"55","""00111100""","RACIPE",0.00106666666666667
"56","""00111001""","RACIPE",0.000683333333333333
"57","""11101000""","RACIPE",0.000866666666666667
"58","""11010101""","RACIPE",6e-04
"59","""11111100""","RACIPE",0.00314166666666667
"60","""11010111""","RACIPE",0.0032
"61","""10111101""","RACIPE",0.000366666666666667
"62","""00011100""","RACIPE",0.00015
"63","""01111100""","RACIPE",0.00316666666666667
"64","""10100011""","RACIPE",0.00025
"65","""10000100""","RACIPE",5e-04
"66","""10010101""","RACIPE",0.00123333333333333
"67","""01010111""","RACIPE",0.00239166666666667
"68","""00001101""","RACIPE",0.000833333333333333
"69","""11001110""","RACIPE",0.000625
"70","""00110111""","RACIPE",0.000783333333333333
"71","""00011111""","RACIPE",0.000733333333333333
"72","""10111001""","RACIPE",0.00135
"73","""01100111""","RACIPE",0.00190833333333333
"74","""01101110""","RACIPE",0.00065
"75","""00110110""","RACIPE",0.000241666666666667
"76","""11110011""","RACIPE",0.000333333333333333
"77","""11100111""","RACIPE",0.00193333333333333
"78","""11011010""","RACIPE",0.000733333333333333
"79","""01001010""","RACIPE",0.000283333333333333
"80","""11100110""","RACIPE",0.00035
"81","""01110000""","RACIPE",0.00095
"82","""01011100""","RACIPE",5e-04
"83","""11000101""","RACIPE",0.002
"84","""01001101""","RACIPE",0.000233333333333333
"85","""10111010""","RACIPE",0.000458333333333333
"86","""11111110""","RACIPE",0.000883333333333333
"87","""01011110""","RACIPE",0.000841666666666667
"88","""11101111""","RACIPE",0.000508333333333333
"89","""01011111""","RACIPE",0.000725
"90","""00111010""","RACIPE",0.000433333333333333
"91","""00101110""","RACIPE",0.000216666666666667
"92","""01111010""","RACIPE",0.00225
"93","""01100110""","RACIPE",3e-04
"94","""01011101""","RACIPE",0.000433333333333333
"95","""00001000""","RACIPE",1e-04
"96","""01001011""","RACIPE",0.000233333333333333
"97","""01101111""","RACIPE",0.000683333333333333
"98","""11101101""","RACIPE",4e-04
"99","""00010000""","RACIPE",1e-04
"100","""00100011""","RACIPE",0.000183333333333333
"101","""01110100""","RACIPE",0.000183333333333333
"102","""01010110""","RACIPE",6e-04
"103","""00101100""","RACIPE",1e-04
"104","""11001111""","RACIPE",0.00101666666666667
"105","""00111110""","RACIPE",0.000366666666666667
"106","""00001001""","RACIPE",2e-04
"107","""11111101""","RACIPE",0.001125
"108","""00110100""","RACIPE",3e-04
"109","""10001101""","RACIPE",0.00075
"110","""10111100""","RACIPE",0.000716666666666667
"111","""00011101""","RACIPE",0.000216666666666667
"112","""10011101""","RACIPE",0.000233333333333333
"113","""00011000""","RACIPE",0.00108333333333333
"114","""00010110""","RACIPE",0.00045
"115","""10110101""","RACIPE",0.000158333333333333
"116","""01001111""","RACIPE",0.00200833333333333
"117","""11100010""","RACIPE",0.000341666666666667
"118","""11011111""","RACIPE",0.000616666666666667
"119","""10110111""","RACIPE",0.00065
"120","""01101101""","RACIPE",0.000333333333333333
"121","""10001110""","RACIPE",0.000516666666666667
"122","""00111011""","RACIPE",1e-04
"123","""11111111""","RACIPE",0.000566666666666666
"124","""10100110""","RACIPE",0.000208333333333333
"125","""11001011""","RACIPE",0.000283333333333333
"126","""01000100""","RACIPE",1e-04
"127","""10101010""","RACIPE",2e-04
"128","""10101111""","RACIPE",0.000633333333333333
"129","""11010110""","RACIPE",4e-04
"130","""01010000""","RACIPE",0.000216666666666667
"131","""00000100""","RACIPE",0.000216666666666667
"132","""10011100""","RACIPE",8.33333333333333e-05
"133","""11011011""","RACIPE",0.000183333333333333
"134","""11101001""","RACIPE",0.00015
"135","""00101000""","RACIPE",2e-04
"136","""01011001""","RACIPE",5e-04
"137","""11010100""","RACIPE",5e-05
"138","""00010011""","RACIPE",0.000283333333333333
"139","""01110111""","RACIPE",0.000783333333333333
"140","""11101110""","RACIPE",2e-04
"141","""00101011""","RACIPE",0.00015
"142","""00110001""","RACIPE",8.33333333333333e-05
"143","""01110010""","RACIPE",0.000366666666666667
"144","""00011011""","RACIPE",0.000116666666666667
"145","""01101001""","RACIPE",8.33333333333333e-05
"146","""00110000""","RACIPE",0.00025
"147","""11110101""","RACIPE",0.000183333333333333
"148","""10101110""","RACIPE",0.000133333333333333
"149","""01000010""","RACIPE",0.000233333333333333
"150","""11010000""","RACIPE",5e-05
"151","""10101100""","RACIPE",1e-04
"152","""11110110""","RACIPE",0.000266666666666667
"153","""01010011""","RACIPE",0.000416666666666667
"154","""10010011""","RACIPE",3e-04
"155","""01101100""","RACIPE",0.00035
