States,RACIPE frequency,Boolean frequency
"""01101001""",0.014276666666666677,0
"""10000101""",0.00206,0
"""01100111""",0.002500000000000003,0
"""01111001""",0.04725928571428687,0
"""11011001""",0.024893333333333344,0
"""11000111""",0.005343333333333336,0
"""10011011""",0.00036,0
"""11110110""",0.013494444444444411,0
"""01011000""",0.012564444444444432,0
"""10111001""",0.007529999999999977,0
"""10110110""",0.012469999999999969,0
"""11111000""",0.03234333333333331,0
"""10010110""",0.017789999999999997,0
"""10000110""",0.058961111111111394,0
"""01001000""",0.004254166666666668,0
"""00010111""",0.007408333333333323,0
"""10100110""",0.016218333333333338,0
"""00101110""",0.0012933333333333334,0
"""10111000""",0.006436666666666668,0
"""00010101""",0.00116,0.17503408950043386
"""10000111""",0.022146666666666665,0
"""01000001""",0.0009333333333333332,0
"""00000110""",0.054285833333333686,0
"""00100111""",0.004416666666666668,0
"""11110000""",0.0036333333333333356,0
"""01010110""",0.0066752380952380865,0
"""00010110""",0.01742777777777778,0
"""11001001""",0.015981111111111123,0
"""11111001""",0.03883222222222223,0
"""01101000""",0.010019999999999987,0
"""00001001""",0.009849999999999992,0
"""10000010""",0.003696666666666669,0
"""10011001""",0.009738333333333323,0
"""00000111""",0.02318555555555557,0
"""00101000""",0.0014700000000000002,0
"""00011001""",0.008503333333333312,0.04884095698524854
"""10100100""",0.0016500000000000006,0
"""01111000""",0.028946666666666634,0
"""10001110""",0.003555555555555559,0
"""10011101""",0.001063333333333333,0
"""01110000""",0.002990000000000001,0
"""01110001""",0.002265714285714286,0
"""00010011""",0.0008933333333333333,0
"""11001010""",0.00025,0
"""10010101""",0.0009599999999999999,0
"""11001011""",0.0005433333333333333,0
"""10110111""",0.0040533333333333385,0
"""01110110""",0.011963571428571393,0
"""11110101""",0.0014033333333333335,0
"""00000100""",0.004096666666666668,0
"""00110110""",0.009377857142857118,0
"""11010110""",0.006086666666666671,0
"""00111001""",0.007739999999999989,0
"""11010101""",0.0008266666666666665,0
"""11110111""",0.005694444444444452,0
"""10011110""",0.0022750000000000014,0
"""01010001""",0.0014999999999999996,0
"""01011001""",0.02245611111111111,0
"""00011100""",0.00028333333333333335,0
"""10011000""",0.002686666666666666,0
"""00011111""",0.0009325,0
"""01000110""",0.009354444444444426,0
"""01001001""",0.017182222222222227,0
"""10010111""",0.007913333333333316,0
"""01100110""",0.008249999999999971,0
"""01110010""",0.005063333333333337,0
"""00000101""",0.0028200000000000005,0
"""10010100""",0.0020833333333333333,0
"""00110111""",0.0034166666666666685,0
"""10100111""",0.0051316666666666715,0
"""11101001""",0.015733888888888888,0
"""00100110""",0.015486666666666676,0
"""01010011""",0.0006611111111111109,0
"""01110111""",0.0047600000000000055,0
"""01000111""",0.0057866666666666735,0
"""10011100""",0.0007199999999999997,0
"""01011010""",0.00035,0
"""11001110""",0.00113,0
"""11100110""",0.0056933333333333384,0.05194000247923639
"""11010100""",0.00155,0
"""11010111""",0.004093333333333337,0
"""01010010""",0.0020966666666666664,0
"""00111000""",0.00621666666666667,0
"""00100100""",0.0012466666666666668,0
"""10000100""",0.00636666666666667,0
"""10111111""",0.0011099999999999994,0
"""00110000""",0.0007799999999999999,0
"""00001111""",0.002490000000000002,0
"""00010001""",0.0005199999999999997,0.1083426304698153
"""00101111""",0.0008799999999999999,0
"""10101001""",0.005013333333333337,0
"""10010001""",0.0010000000000000002,0
"""01011111""",0.0011316666666666667,0
"""10001001""",0.009533333333333326,0
"""00000011""",0.002093333333333333,0
"""01011101""",0.0014566666666666662,0
"""11000010""",0.00101,0
"""01010111""",0.004780000000000006,0
