"","Edges","pLoopCount","pLoopLengthAvg","pLoopLengthStd","nLoopCount","nLoopLengthAvg","nLoopLengthStd"
"1","ZEB,ZEB",1,2,1,0,0,0
"2","miR145,ZEB",1,4,2,0,0,0
"3","ZEB,miR145",1,4,2,1,2,1
"4","miR200,ZEB",1,2,1,1,2,1
"5","ZEB,miR200",1,2,1,0,0,0
"6","miR145,OCT4",1,2,1,1,4,2
"7","OCT4,miR145",1,2,1,0,0,0
"8","OCT4,miR200",0,0,0,1,2,1
