,Cycles,Nature,Edge_count
60,"Ctnnb1,Lef1,Twist1,Zeb1,Esrp1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",P,10
61,"Ctnnb1,Lef1,Twist1,Zeb1,Esrp1,Grhl2,Cdh1",P,7
62,"Ctnnb1,Lef1,Twist1,Snai1,Cdh1",P,5
63,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Grhl2,Trp63,Irf6,Cdh1",P,9
64,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Grhl2,Irf6,Cdh1",P,8
65,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",P,10
66,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",P,10
67,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Grhl2,Cdh1",P,7
68,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Cdh1",P,6
69,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Trp63,Irf6,Cdh1",P,10
70,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Irf6,Cdh1",P,9
71,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",P,11
72,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",P,11
73,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Cdh1",P,8
74,"Ctnnb1,Lef1,Twist1,Cdh1",P,4
75,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Cdh1",N,6
76,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Grhl2,Trp63,Irf6,Cdh1",N,10
77,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Grhl2,Irf6,Cdh1",N,9
78,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",N,11
79,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",N,11
80,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Grhl2,Cdh1",N,8
81,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Cdh1",N,7
82,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Trp63,Irf6,Cdh1",N,11
83,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Irf6,Cdh1",N,10
84,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",N,12
85,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",N,12
86,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Cdh1",N,9
87,"Ctnnb1,Lef1,Twist1,Snai2,Cdh1",P,5
88,"Snai1,Twist1",P,2
89,"Snai1,Twist1,Snai2",N,3
90,"Snai2,Twist1",P,2
91,"Zeb1,Grhl2",P,2
92,"Zeb1,Esrp1,Grhl2",P,3
93,"Grhl2,Trp63,Irf6",P,3
94,"Grhl2,Trp63",P,2
95,"Grhl2,Irf6",P,2
96,"Grhl2,Hmgn3,Trp63,Irf6",P,4
97,"Grhl2,Hmgn3,Trp63",P,3
98,"Grhl2,Dlx3,Trp63,Irf6",P,4
99,"Grhl2,Dlx3,Trp63",P,3
100,"Grhl2,Esrp1",P,2
