"","Edges","pLoopCount","pLoopLengthAvg","pLoopLengthStd"
"1","ZEB1,ZEB1",1,1,0.377964473009227
"2","miR200,ZEB1",2,3,1.57359158493889
"3","miR34,SNAIL",3,3,1.70433620649269
"4","SNAIL,miR200",2,3.5,1.73205080756888
"5","ZEB1,miR34",2,3.5,1.73205080756888
"6","SNAIL,ZEB1",2,3.5,1.73205080756888
"7","miR200,TGFB",2,3.5,1.73205080756888
"8","TGFB,SNAIL",2,3.5,1.73205080756888
"9","ZEB1,miR200",2,3,1.57359158493889
"10","SNAIL,miR34",1,2,0.755928946018454
