"","Edges","pLoopCount","pLoopLengthAvg","pLoopLengthStd"
"1","ZEB,ZEB",1,1,0.5
"2","NFATc,NFATc",1,2,1
"3","ECAD,ZEB",1,2,1
"4","ZEB,ECAD",1,2,1
"5","miR200,ZEB",1,1,0.5
"6","ZEB,miR200",1,1,0.5
