,Cycles,Nature,Edge_count
0,SNAIL,N,1
1,ZEB,P,1
2,OVOL,N,1
3,"ZEB,OVOL",P,2
4,"ZEB,miR200",P,2
5,"ZEB,miR34,SNAIL",P,3
6,"ZEB,miR34,SNAIL,miR200",P,4
7,"miR34,SNAIL",P,2
