"","Edges","pLoopCount","pLoopLengthAvg","pLoopLengthStd","nLoopCount","nLoopLengthAvg","nLoopLengthStd"
"1","AXIN2,AXIN2",1,1,0.0103941343740758,0,0,0
"2","Destcompl,Destcompl",1,1,0.0103941343740758,0,0,0
"3","SNAI2,SNAI2",1,21,0.218276821855592,0,0,0
"4","cateninnuc,TCFLEF",8240,20.6788834951456,7.8142080969366,2381,21.4010919781604,8.34061939792633
"5","cfos,EGR1",1131,21.7966401414677,7.29623993442489,564,22.0035460992908,9.15978169972138
"6","Ecadherin,cateninnuc",4050,20.7437037037037,10.742010936759,1061,20.9839773798303,10.6154189036662
"7","EGR1,SNAI1",1131,21.7966401414677,7.29623993442489,564,22.0035460992908,9.15978169972138
"8","ERK,cfos",1131,21.7966401414677,7.29623993442489,564,22.0035460992908,9.15978169972138
"9","KLF4,Ecadherin",1332,20.6809309309309,7.48813376654946,2,25,0.680075025164143
"10","MEK,ERK",5992,20.8452937249666,10.6262049254457,1529,21.2759973839111,11.0940779225187
"11","miR200,ZEB2",889,20.5399325084364,6.23504273258376,1710,21.3380116959064,10.9900314595329
"12","RAF,MEK",2596,21.211093990755,9.83149181552922,610,21.7475409836066,9.31133466426529
"13","RAS,RAF",2596,21.211093990755,9.83149181552922,610,21.7475409836066,9.31133466426529
"14","SNAI1,miR200",1743,20.5043029259897,8.27713261672998,855,21.3894736842105,10.2946093404819
"15","SOSGRB2,RAS",2092,20.8365200764818,8.9736647292324,814,21.4447174447174,10.1310099506179
"16","TCFLEF,TWIST1",1077,20.6239554317549,6.78736996727636,268,20.7126865671642,6.34767470557749
"17","TGF,TGFR",5746,20.7398190045249,10.7289898715063,1429,20.8670398880336,10.9657138579022
"18","TGFR,SOSGRB2",3331,20.4998498949264,10.2000668566447,1092,20.9578754578755,10.6938300686753
"19","TWIST1,TGF",3198,20.6516572858036,10.227961641844,735,20.4598639455782,9.4063132583035
"20","ZEB2,KLF4",1332,20.6809309309309,7.48813376654946,0,0,0
"21","SOSGRB2,MEK",2735,20.4248628884826,9.64406260941439,772,20.949481865285,9.77818162815251
"22","DSH,GSK3",1369,21.2337472607743,7.72702942680177,372,21.0537634408602,7.46298575397455
"23","Frizzled,DSH",1369,21.2337472607743,7.72702942680177,372,21.0537634408602,7.46298575397455
"24","FUS,SUFU",2008,20.9048804780876,8.90500068013764,751,20.8868175765646,9.67052812720411
"25","GLI,Wnt",1369,21.2337472607743,7.72702942680177,372,21.0537634408602,7.46298575397455
"26","GSK3,RAS",3080,20.5636363636364,10.0730394010958,822,20.8929440389294,9.94351205662383
"27","Patched,SMO",2008,20.9048804780876,8.90500068013764,751,20.8868175765646,9.67052812720411
"28","SHH,Patched",2008,20.9048804780876,8.90500068013764,751,20.8868175765646,9.67052812720411
"29","SMAD,SHH",2006,20.9062811565304,8.90245574579994,751,20.8868175765646,9.67052812720411
"30","SMO,FUS",2008,20.9048804780876,8.90500068013764,751,20.8868175765646,9.67052812720411
"31","SUFU,GLI",1594,20.5652446675031,8.0192905324792,526,20.9980988593156,8.57457644496999
"32","TGFR,SMAD",1658,20.3226779252111,8.06293248323415,76,21.4342105263158,3.59118769984275
"33","Wnt,Frizzled",1369,21.2337472607743,7.72702942680177,372,21.0537634408602,7.46298575397455
"34","AKT,IKK",4881,20.7187051833641,10.8918402382708,1711,21.2700175336061,10.9472546971819
"35","Csn,GSK3",916,20.3089519650655,6.24300023228244,246,22.8211382113821,6.69389053972941
"36","IKK,NFB",4881,20.7187051833641,10.8918402382708,1711,21.2700175336061,10.9472546971819
"37","ILK,AKT",2764,21.2007959479016,10.0108714032038,1032,21.6889534883721,10.9292083466974
"38","NFB,Csn",1936,20.8094008264463,8.73271203065462,470,22.1191489361702,8.61021825150813
"39","SMAD,ILK",2764,21.2007959479016,10.0108714032038,1032,21.6889534883721,10.9292083466974
"40","AKT,GSK3",916,20.9508733624454,6.42462165231177,246,22.6260162601626,6.63790634783105
"41","TCFLEF,RAS",1007,20.9801390268123,6.72296765372968,249,21.0160642570281,6.2385596236094
"42","NFB,TWIST1",2945,20.6590831918506,9.97986348096268,1241,20.9484286865431,10.9017208787954
"43","PI3K,AKT",3033,20.3494889548302,9.94079950976383,925,21.1632432432432,10.4027887202631
"44","RAS,PI3K",3033,20.3494889548302,9.94079950976383,925,21.1632432432432,10.4027887202631
"45","TCFLEF,GLI",2126,20.412041392286,8.84730543420789,656,21.4024390243902,9.45108957505853
"46","GLI,TGF",1710,20.4415204678363,8.17396292565763,694,21.2982708933718,9.58760925677061
"47","CD44,cMet",2933,20.5526764405046,9.92286034002553,816,21.9399509803922,10.3859725051157
"48","cMet,SRC",1437,20.2602644398051,7.57082364700585,471,21.8789808917197,8.51508396062532
"49","SRC,RAS",1007,20.4299900695134,6.54839511760641,249,22.433734939759,6.61680982204818
"50","TCFLEF,CD44",2933,20.5526764405046,9.92286034002553,816,21.9399509803922,10.3859725051157
"51","cMet,SOSGRB2",1496,20.8335561497326,7.89498069306053,345,22.0231884057971,7.52005107352906
"52","AXIN2,Destcompl",773,21.4191461836999,6.09886205920016,224,21.6071428571429,6.06302681690573
"53","Destcompl,GSK3",1546,21.1164294954722,8.13312551848448,447,21.3601789709172,8.11691121262077
"54","TCFLEF,AXIN2",773,21.4191461836999,6.09886205920016,224,21.6071428571429,6.06302681690573
"55","cateninnuc,Destcompl",773,20.8137128072445,5.930506216762,224,21.1696428571429,5.9677154597156
"56","cateninmemb,cateninnuc",4050,20.5767901234568,10.6811855336889,1061,21.8454288407163,11.0810467288024
"57","Ecadherin,cateninmemb",4050,20.5755555555556,10.6807557609009,1061,21.8454288407163,11.0810467288024
"58","miR200,ZEB1",2599,20.3801462100808,9.48246714334592,0,0,0
"59","SUFU,cateninnuc",414,22.2125603864734,4.69340504306067,225,20.6266666666667,5.81962695596795
"60","ZEB1,SMAD",2565,20.2569200779727,9.34873696727393,0,0,0
"61","SNAI2,Ecadherin",1328,20.6031626506024,7.43215016960373,570,21.1087719298246,8.83268812064366
"62","TWIST1,SNAI2",680,21.5147058823529,5.74855700408177,258,20.2945736434109,6.09161696775784
"63","FOXC2,Ecadherin",1124,20.4750889679715,6.85076141066139,258,21.9263565891473,6.5729438737845
"64","TWIST1,FOXC2",680,20.8573529411765,5.55450709173238,258,21.9263565891473,6.5729438737845
"65","TWIST1,Ecadherin",680,20.5191176470588,5.47023264888696,258,21.7713178294574,6.56212783066608
"66","Csl,HEY1",1032,21.640503875969,7.01073993064097,584,21.1780821917808,9.00329620618651
"67","DELTA,NOTCH",1557,20.4508670520231,7.87752577659411,599,21.0467445742905,9.01047937734959
"68","HEY1,Ecadherin",1858,21.056512378902,8.69792604267075,1034,21.3597678916828,10.7844792762577
"69","NOTCH,NOTCHic",3053,20.4064854241729,9.99898760556853,1157,21.0172860847018,10.867001133743
"70","NOTCHic,Csl",3053,20.4064854241729,9.99898760556853,1157,21.0172860847018,10.867001133743
"71","RAS,DELTA",1557,20.4508670520231,7.87752577659411,599,21.0467445742905,9.01047937734959
"72","Destcompl,cateninnuc",503,19.9025844930418,4.60473783706091,258,21.7635658914729,6.57831850659693
"73","GSK3,Destcompl",503,19.9025844930418,4.60473783706091,257,21.715953307393,6.55433730147294
"74","Jagged,NOTCH",1496,20.3602941176471,7.78254321503496,558,20.9856630824373,8.76670458098287
"75","SMAD,Jagged",1172,20.1689419795222,6.97552413182901,390,21.3358974358974,7.70611093499525
"76","SMAD,HEY1",826,20.3268765133172,5.93783423237448,450,21.5955555555556,8.23243145117598
"77","ZEB1,Ecadherin",1332,20.5645645645646,7.4740156829162,0,0,0
"78","SNAI1,ZEB2",1743,20.4985656913368,8.273680501175,855,21.4631578947368,10.3115724661584
"79","ZEB2,miR200",1300,20.34,7.28226933810326,0,0,0
"80","SNAI1,ZEB1",1743,20.3270223752151,8.18742822163639,855,21.2865497076023,10.2409851943412
"81","ZEB1,miR200",445,20.3303370786517,4.4571830685566,855,21.2865497076023,10.2409851943412
"82","SNAI1,TWIST1",1216,21.1817434210526,7.35453994627443,0,0,0
"83","SNAI1,TGF",838,21.6849642004773,6.35879760237789,0,0,0
"84","RKIP,MEK",661,21.1482602118003,5.5917379910778,147,21.0340136054422,4.84376323165719
"85","SNAI1,RKIP",660,21.15,5.58845564997262,147,21.0340136054422,4.84376323165719
"86","SNAI1,FOXC2",444,19.8896396396396,4.35942548506099,0,0,0
"87","SNAI1,Ecadherin",444,20.1013513513514,4.42610451922103,0,0,0
"88","ERK,SNAI2",646,19.6470588235294,5.14452909887847,312,21.7820512820513,7.10904628362527
"89","Csn,TrCP",1020,21.2588235294118,6.83396486487945,224,21.3482142857143,6.04921348848071
"90","TrCP,SNAI1",1020,21.2588235294118,6.83396486487945,224,21.3482142857143,6.04921348848071
"91","GSK3,SNAI1",2331,20.7627627627628,9.26593331603972,736,21.71875,9.92349674595777
"92","Csl,SNAI1",2021,19.7763483424047,8.46574832013023,573,20.8534031413613,8.77650640104747
"93","SMAD,SNAI1",502,19.9083665338645,4.62554808159658,18,20,1.64649329880638
"94","GLI,SNAI1",639,18.9577464788732,4.96659318135045,116,21.3103448275862,4.44053846823787
"95","CDC42,PAK1",757,22.7093791281374,6.38024765602868,261,20.3218390804598,6.18632080955711
"96","PAK1,SNAI1",757,22.7093791281374,6.38024765602868,261,20.3218390804598,6.18632080955711
"97","TGFR,CDC42",757,22.7093791281374,6.38024765602868,261,20.3218390804598,6.18632080955711
"98","TCFLEF,Jagged",324,21.0524691358025,3.95908870620492,168,20.172619047619,5.01025080694844
"99","LIV1,SNAI1",430,19.8627906976744,4.30561012866434,220,21.2227272727273,5.95474433526338
"100","SRC,STAT",430,19.8627906976744,4.30561012866434,222,21.2567567567568,5.98818037755635
"101","STAT,LIV1",430,19.8627906976744,4.30561012866434,220,21.2227272727273,5.95474433526338
"102","ERK,SMAD",3047,21.432556613062,10.4601766883846,0,0,0
"103","ERK,RKIP",1,20,0.207882687481516,0,0,0
"104","ERK,GSK3",1167,19.0539845758355,6.43012317290863,504,20.1984126984127,8.08967947745835
"105","GLI,SHH",2,19.5,0.288971737294269,0,0,0
"106","cateninnuc,cateninmemb",2,16.5,0.247926538540762,0,0,0
"107","cateninnuc,SNAI2",2,19.5,0.291206561377363,0,0,0
"108","cateninmemb,Ecadherin",2,14,0.20630664294249,0,0,0
"109","ZEB2,SMAD",0,0,0,2565,21.3797270955166,6.77493528184605
"110","ERK,SOSGRB2",0,0,0,149,21.1073825503356,4.89316534440174
"111","STAT,KLF4",0,0,0,2,25,0.680075025164143
