,Cycles,Nature,Edge_count
55,"TWIST1,ZEB2,miR-200a,TGF-beta,GSC,SNAI1,SNAI2,TWIST2",P,8
56,"TWIST1,ZEB2,miR-200a,TGF-beta,GSC,SNAI1,FOXC2,ZEB1,miR-34a,TWIST2",P,10
57,"TWIST1,ZEB2,miR-200a,TGF-beta,GSC,SNAI1,FOXC2,ZEB1,miR-34a,SNAI2,TWIST2",P,11
58,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,TWIST2",P,6
59,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,TWIST2,SNAI2,miR-200b,TGF-beta,SNAI1",P,10
60,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,TWIST2,SNAI2,miR-200b,TGF-beta,GSC",P,10
61,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,TWIST2,SNAI2,miR-200b,TGF-beta,GSC,SNAI1",P,11
62,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,TWIST2,SNAI2,miR-101,SNAI1",P,9
63,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,TWIST2,SNAI1",P,7
64,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,TWIST2,SNAI1,SNAI2,miR-200b,TGF-beta,GSC",P,11
65,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,SNAI2,miR-200b,TGF-beta,SNAI1",P,9
66,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,SNAI2,miR-200b,TGF-beta,GSC",P,9
67,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,SNAI2,miR-200b,TGF-beta,GSC,SNAI1",P,10
68,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,SNAI2,miR-101,SNAI1",P,8
69,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,SNAI2,TWIST2",P,7
70,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,SNAI2,TWIST2,SNAI1",P,8
71,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,SNAI1",P,6
72,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,SNAI1,SNAI2,miR-200b,TGF-beta,GSC",P,10
73,"TWIST1,ZEB2,miR-200a,ZEB1,miR-34a,SNAI1,SNAI2,TWIST2",P,8
74,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200c,TGF-beta,SNAI2,miR-101,SNAI1,miR-34a,TWIST2",P,11
75,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200c,TGF-beta,SNAI2,miR-101,SNAI1",P,9
76,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200c,TGF-beta,SNAI2,TWIST2",P,8
77,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200c,TGF-beta,SNAI2,TWIST2,SNAI1",P,9
78,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200c,TGF-beta,SNAI1,miR-34a,TWIST2",P,9
79,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200c,TGF-beta,SNAI1,miR-34a,SNAI2,TWIST2",P,10
80,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200c,TGF-beta,SNAI1",P,7
81,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200c,TGF-beta,SNAI1,SNAI2,TWIST2",P,9
82,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200c,TGF-beta,GSC",P,7
83,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200c,TGF-beta,GSC,SNAI1,miR-34a,TWIST2",P,10
84,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200c,TGF-beta,GSC,SNAI1,miR-34a,SNAI2,TWIST2",P,11
85,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200c,TGF-beta,GSC,SNAI1",P,8
86,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200c,TGF-beta,GSC,SNAI1,SNAI2,TWIST2",P,10
87,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200b,TGF-beta,SNAI2,miR-101,SNAI1,miR-34a,TWIST2",P,11
88,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200b,TGF-beta,SNAI2,miR-101,SNAI1",P,9
