"","Edges","pLoopCount","pLoopLengthAvg","pLoopLengthStd","nLoopCount","nLoopLengthAvg","nLoopLengthStd"
"1","CD44s,ZEB1",1,3,0.904534033733291,0,0,0
"2","ESRP1,CD44s",1,3,0.904534033733291,0,0,0
"3","ZEB1,ESRP1",1,3,0.904534033733291,0,0,0
"4","miR340,ZEB1",1,2,0.603022689155527,0,0,0
"5","ZEB1,miR340",1,2,0.603022689155527,0,0,0
"6","GRHL2,ZEB1",1,3,0.904534033733291,0,0,0
"7","ZEB1,GRHL2",2,2.5,1.03572548135463,0,0,0
"8","CD24,ZEB1",1,2,0.603022689155527,0,0,0
"9","GRHL2,CD24",1,2,0.603022689155527,0,0,0
"10","miR190,TGFB",2,3.5,1.43336856898198,0,0,0
"11","miR200,ZEB1",2,2.5,1.03572548135463,0,0,0
"12","SNAIL1,miR200",2,4,1.67874411932904,0,0,0
"13","TGFB,SNAIL1",4,3.75,1.96329963442809,0,0,0
"14","ZEB1,miR190",2,3.5,1.43336856898198,0,0,0
"15","miR200,TGFB",2,4,1.67874411932904,0,0,0
"16","SNAIL1,ZEB1",2,3.5,1.43336856898198,0,0,0
"17","ZEB1,miR200",2,2.5,1.03572548135463,0,0,0
"18","miR34,SNAIL1",1,4,1.20604537831105,0,0,0
"19","SNAIL1,miR34",1,4,1.20604537831105,0,0,0
"20","miR1199,ZEB1",1,2,0.603022689155527,0,0,0
"21","ZEB1,miR1199",1,2,0.603022689155527,0,0,0
"22","SNAIL1,SNAIL1",0,0,0,1,3,2.12132034355964
"23","HA,ZEB1",0,0,0,1,2,1.4142135623731
"24","HAS2,HA",0,0,0,1,2,1.4142135623731
"25","ZEB1,HAS2",0,0,0,1,2,1.4142135623731
