"","Network","Pos_loops","Neg_loops","pos_cycle","plast","plast_2","JSD"
"1","Ecadherin_Ecadherin_0_2",8,4,8,0.4921,0.584,0.0416217334104631
"2","Ecadherin_KEAP1_0_1",8,5,8,0.4507,0.5791,0.104013414615734
"3","Ecadherin_KEAP1_0_2",10,3,10,0.5554,0.6495,0.017090602345328
"4","Ecadherin_miR200_0_1",10,3,10,0.6186,0.6763,0.0152343312933743
"5","Ecadherin_miR200_0_2",8,5,8,0.3466,0.5376,0.0495130009234981
"6","Ecadherin_miR34_0_1",10,3,10,0.5525,0.6425,0.012368913606672
"7","Ecadherin_miR34_0_2",8,5,8,0.4362,0.5643,0.0544422489984391
"8","Ecadherin_NRF2_2_0",8,1,8,0.5844,0.6584,0.0692121270772577
"9","Ecadherin_NRF2_2_1",10,1,10,0.6597,0.7223,0.133370090386098
"10","Ecadherin_SNAIL_0_1",8,5,8,0.3645,0.5337,0.0230528698551586
"11","Ecadherin_SNAIL_0_2",10,3,10,0.6303,0.6965,0.0165763877033798
"12","Ecadherin_X_0_1",8,5,8,0.4026,0.5491,0.0141897682553103
"13","Ecadherin_X_0_2",10,3,10,0.6185,0.6913,0.0116479492889595
"14","Ecadherin_ZEB_2_0",7,3,7,0.4244,0.5043,0.00977848888631752
"15","Ecadherin_ZEB_2_1",7,4,7,0.2878,0.3944,0.0362834910625738
"16","KEAP1_Ecadherin_0_1",10,5,10,0.5046,0.6205,0.120221201941682
"17","KEAP1_Ecadherin_0_2",10,5,10,0.4943,0.5965,0.0128832259832329
"18","KEAP1_KEAP1_0_1",9,3,9,0.5619,0.7141,0.0237019024381163
"19","KEAP1_KEAP1_0_2",8,4,8,0.492,0.6014,0.0274207651346523
"20","KEAP1_miR200_0_1",8,4,8,0.425,0.584,0.031689469127152
"21","KEAP1_miR200_0_2",9,3,9,0.5513,0.6658,0.0137754947729148
"22","KEAP1_miR34_0_1",8,5,8,0.4432,0.5749,0.0516656964193159
"23","KEAP1_miR34_0_2",10,3,10,0.5309,0.6342,0.0107866567859945
"24","KEAP1_NRF2_2_0",6,3,6,0.4504,0.5787,0.0730786822156272
"25","KEAP1_NRF2_2_1",6,5,6,0.4048,0.5549,0.0942886038142857
"26","KEAP1_SNAIL_0_1",10,3,10,0.5944,0.6813,0.0137440525067925
"27","KEAP1_SNAIL_0_2",8,5,8,0.4359,0.5751,0.0157639554782339
"28","KEAP1_X_0_1",10,3,10,0.58,0.6716,0.0108154152729104
"29","KEAP1_X_0_2",8,5,8,0.4519,0.596,0.014824340298889
"30","KEAP1_ZEB_0_1",10,4,10,0.5294,0.6229,0.00466690975704479
"31","KEAP1_ZEB_0_2",9,5,9,0.4178,0.5585,0.0136459049555091
"32","miR200_Ecadherin_0_1",10,5,10,0.5082,0.6058,0.0204571172555683
"33","miR200_Ecadherin_0_2",10,5,10,0.5032,0.623,0.175496111433027
"34","miR200_KEAP1_2_0",6,3,6,0.4488,0.5742,0.58646682858698
"35","miR200_KEAP1_2_1",6,5,6,0.4296,0.5654,0.41381726402991
"36","miR200_miR200_0_1",9,3,9,0.6152,0.708,0.0162613209972574
"37","miR200_miR200_0_2",8,4,8,0.4248,0.5769,0.0375344225694902
