"Network","Pos_loops","Neg_loops"
"miR200_miR200_0_2",3,2
"miR200_OVOL2_0_1",4,2
"miR200_OVOL2_0_2",4,2
"miR200_SNAIL_0_1",4,3
"miR200_SNAIL_0_2",5,2
"miR200_ZEB_2_0",2,0
"miR200_ZEB_2_1",3,1
"OVOL2_miR200_2_0",3,0
"OVOL2_miR200_2_1",4,0
"OVOL2_OVOL2_0_1",4,1
"OVOL2_OVOL2_0_2",3,2
"OVOL2_SNAIL_0_1",3,3
"OVOL2_SNAIL_0_2",5,1
"OVOL2_ZEB_2_0",2,1
"OVOL2_ZEB_2_1",2,2
"SNAIL_miR200_2_0",3,1
"SNAIL_miR200_2_1",3,1
"SNAIL_OVOL2_0_1",3,1
"SNAIL_OVOL2_0_2",3,1
"SNAIL_SNAIL_0_1",4,1
"SNAIL_SNAIL_0_2",3,2
"SNAIL_ZEB_1_0",3,1
"SNAIL_ZEB_1_2",3,1
"ZEB_miR200_2_0",2,1
"ZEB_miR200_2_1",2,2
"ZEB_OVOL2_2_0",2,0
"ZEB_OVOL2_2_1",3,1
"ZEB_SNAIL_0_1",5,1
"ZEB_SNAIL_0_2",3,3
"ZEB_ZEB_1_0",2,1
"ZEB_ZEB_1_2",2,2
