"","Network","Pos_loops","Neg_loops","Total.Positive.cycles","RACIPE.JSD1.from.WT","RACIPE.JSD2.from.WT","Boolean.JSD.from.WT","Plasticity1","Plasticity2","JSD_id"
"93","SNAI2_miR-200b_2_0",2601,1,NA,NA,NA,NA,NA,NA,NA
"94","SNAI2_miR-200b_2_1",2601,511,NA,NA,NA,NA,NA,NA,NA
"95","SNAI2_SNAI2_1_0",3110,1,3110,0.066957556,0.066957556,0.000454783,0.9356,0.9356,"-3"
"96","SNAI2_SNAI2_1_2",3110,2,3110,0.073860585,0.073860585,0.00049732,0.9307,0.9307,"-3"
"97","SNAI2_TWIST2_1_0",2185,1,2185,0.083723455,0.083723455,0.00822539,0.9241,0.9241,"-3"
"98","SNAI2_TWIST2_1_2",2185,927,2185,0.306358649,0.306358649,0.175625461,0.8443,0.8448,"-2"
"99","SNAI2_VIM_1_0",3111,1,3111,0.077848272,0.077848272,0.020994117,0.9464,0.9464,"-3"
"100","SNAI2_VIM_1_2",3111,1,3111,0.071899119,0.071899119,0.045407101,0.9424,0.9424,"-3"
"101","TCF3_CDH1_2_0",3111,1,3111,0.060928078,0.060928078,0.000790921,0.9465,0.9465,"-3"
"102","TCF3_CDH1_2_1",3111,1,3111,0.070288773,0.070288773,0.000615828,0.9442,0.9442,"-3"
"103","TGF-beta_GSC_1_0",1404,1,NA,NA,NA,NA,NA,NA,NA
"104","TGF-beta_GSC_1_2",1404,1708,NA,NA,NA,NA,NA,NA,NA
"105","TGF-beta_SNAI1_1_0",2440,1,NA,NA,NA,NA,NA,NA,NA
"106","TGF-beta_SNAI1_1_2",2440,672,NA,NA,NA,NA,NA,NA,NA
"107","TGF-beta_SNAI2_1_0",2587,1,NA,NA,NA,NA,NA,NA,NA
"108","TGF-beta_SNAI2_1_2",2587,525,NA,NA,NA,NA,NA,NA,NA
"109","TWIST1_CDH1_2_0",3111,1,3111,0.063402943,0.063402943,0.000418848,0.9453,0.9453,"-3"
"110","TWIST1_CDH1_2_1",3111,1,3111,0.06514734,0.06514734,0.000725149,0.9395,0.9395,"-3"
"111","TWIST1_FOXC2_1_0",2832,1,2832,0.076774314,0.076774314,0.017125152,0.9448,0.9448,"-3"
"112","TWIST1_FOXC2_1_2",2832,280,2832,0.13260095,0.13260095,0.0638596,0.9425,0.9425,"-3"
"113","TWIST1_SNAI1_1_0",2632,1,2632,0.069918166,0.069918166,0.011888156,0.944,0.944,"-3"
"114","TWIST1_SNAI1_1_2",2632,480,2632,0.091945503,0.091945503,0.016887297,0.9311,0.9312,"-3"
"115","TWIST1_SNAI2_1_0",2522,1,2522,0.064939018,0.064939018,0.030997468,0.9411,0.9412,"-3"
"116","TWIST1_SNAI2_1_2",2522,590,2522,0.080656185,0.080656185,0.031328245,0.9129,0.9129,"-3"
"117","TWIST1_TCF3_1_0",3111,1,3111,0.069753808,0.069753808,0.317116956,0.939,0.939,"-3"
"118","TWIST1_TCF3_1_2",3111,1,3111,0.060917036,0.060917036,1,0.9414,0.9414,"-3"
"119","TWIST1_VIM_1_0",3111,1,3111,0.064836173,0.064836173,0.01891197,0.9431,0.9431,"-3"
"120","TWIST1_VIM_1_2",3111,1,3111,0.075913352,0.075913352,0.04595111,0.9407,0.9407,"-3"
"121","TWIST1_ZEB1_1_0",2832,1,2832,0.075691727,0.075691727,0.015520943,0.9484,0.9484,"-3"
"122","TWIST1_ZEB1_1_2",2832,280,2832,0.093473605,0.093473605,0.013938886,0.9473,0.9473,"-3"
"123","TWIST1_ZEB2_1_0",2797,1,2797,0.065945657,0.065945657,0.008939358,0.9473,0.9473,"-3"
"124","TWIST1_ZEB2_1_2",2797,315,2797,0.072728097,0.072728097,0.009700207,0.9388,0.9389,"-3"
"125","TWIST2_CDH1_2_0",3111,1,3111,0.069958575,0.069958575,0.000411616,0.9451,0.9451,"-3"
"126","TWIST2_CDH1_2_1",3111,1,3111,0.064722395,0.064722395,0.000434143,0.9396,0.9396,"-3"
"127","TWIST2_SNAI1_1_0",2754,1,2754,0.073231915,0.073231915,0.012423309,0.9298,0.9298,"-3"
"128","TWIST2_SNAI1_1_2",2754,358,2754,0.085878839,0.085878839,0.018449749,0.89,0.89,"-3"
"129","TWIST2_SNAI2_1_0",2844,1,2844,0.059384511,0.059384511,0.003743051,0.9367,0.9367,"-3"
"130","TWIST2_SNAI2_1_2",2844,268,2844,0.069455372,0.069455372,0.006227085,0.9182,0.9184,"-3"
"131","TWIST2_TWIST1_1_0",2406,1,2406,0.063848019,0.063848019,0.01090599,0.9295,0.9295,"-3"
"132","TWIST2_TWIST1_1_2",2406,706,2406,0.083365012,0.083365012,0.050927609,0.8978,0.8979,"-3"
"133","TWIST2_ZEB1_1_0",2897,1,2897,0.064270292,0.064270292,0.014208419,0.9417,0.9417,"-3"
"134","TWIST2_ZEB1_1_2",2897,215,2897,0.082144854,0.082144854,0.015724314,0.939,0.939,"-3"
"135","TWIST2_ZEB2_1_0",2746,1,2746,0.070755337,0.070755337,0.009314077,0.9476,0.9476,"-3"
"136","TWIST2_ZEB2_1_2",2746,366,2746,0.073993015,0.073993015,0.012039737,0.944,0.9441,"-3"
"137","WT",3111,1,3111,0,0,0.000205552,0.9385,0.9385,"#NUM!"
"138","ZEB1_CDH1_2_0",3111,1,3111,0.070406584,0.070406584,0.000618312,0.9452,0.9452,"-3"
"139","ZEB1_CDH1_2_1",3111,1,3111,0.067890327,0.067890327,0.000466912,0.9397,0.9398,"-3"
"140","ZEB1_miR-141_2_0",2506,1,NA,NA,NA,NA,NA,NA,NA
"141","ZEB1_miR-141_2_1",2506,606,NA,NA,NA,NA,NA,NA,NA
"142","ZEB1_miR-200a_2_0",2683,1,NA,NA,NA,NA,NA,NA,NA
"143","ZEB1_miR-200a_2_1",2683,429,NA,NA,NA,NA,NA,NA,NA
"144","ZEB1_miR-200b_2_0",2728,1,NA,NA,NA,NA,NA,NA,NA
"145","ZEB1_miR-200b_2_1",2728,384,NA,NA,NA,NA,NA,NA,NA
"146","ZEB1_miR-200c_2_0",2683,1,NA,NA,NA,NA,NA,NA,NA
"147","ZEB1_miR-200c_2_1",2683,429,NA,NA,NA,NA,NA,NA,NA
"148","ZEB1_miR-34a_2_0",2086,1,NA,NA,NA,NA,NA,NA,NA
"149","ZEB1_miR-34a_2_1",2086,1026,NA,NA,NA,NA,NA,NA,NA
"150","ZEB1_VIM_1_0",3111,1,3111,0.06483481,0.06483481,0.000511875,0.9451,0.9452,"-3"
"151","ZEB1_VIM_1_2",3111,1,3111,0.074153837,0.074153837,0.000676381,0.9418,0.9418,"-3"
"152","ZEB1_ZEB1_1_0",3110,1,3110,0.065570913,0.065570913,0.000274167,0.9402,0.9402,"-3"
"153","ZEB1_ZEB1_1_2",3110,2,3110,0.069242716,0.069242716,0.019201484,0.9372,0.9372,"-3"
"154","ZEB2_CDH1_2_0",3111,1,3111,0.062932166,0.062932166,0.000344816,0.9447,0.9448,"-3"
"155","ZEB2_CDH1_2_1",3111,1,3111,0.075536884,0.075536884,0.000470738,0.9435,0.9436,"-3"
"156","ZEB2_miR-200a_2_0",2193,1,NA,NA,NA,NA,NA,NA,NA
"157","ZEB2_miR-200a_2_1",2193,919,NA,NA,NA,NA,NA,NA,NA
"158","ZEB2_miR-200b_2_0",2386,1,NA,NA,NA,NA,NA,NA,NA
"159","ZEB2_miR-200b_2_1",2386,726,NA,NA,NA,NA,NA,NA,NA
"160","ZEB2_miR-200c_2_0",2193,1,NA,NA,NA,NA,NA,NA,NA
"161","ZEB2_miR-200c_2_1",2193,919,NA,NA,NA,NA,NA,NA,NA
"162","ZEB2_VIM_1_0",3111,1,3111,0.062027004,0.062027004,0.000230775,0.9448,0.9448,"-3"
"163","ZEB2_VIM_1_2",3111,1,3111,0.095882352,0.095882352,0.000457754,0.9463,0.9463,"-3"
"164","ZEB2_ZEB2_1_0",3110,1,3110,0.059685764,0.059685764,0.000458464,0.9427,0.9427,"-3"
"165","ZEB2_ZEB2_1_2",3110,2,3110,0.061913469,0.061913469,0.004674673,0.9404,0.9404,"-3"
"166","miR_101_KLF8_2_1",NA,NA,3111,0.627794274,0.627794274,1,0.9436,0.9436,"-1"
"167","miR_101_SNAI1_2_0",NA,NA,2786,0.988577515,0.988577515,0.011490959,0.9221,0.9221,"-1"
"168","miR_101_SNAI1_2_1",NA,NA,2786,0.085985544,0.085985544,0.012112747,0.8882,0.8882,"-3"
"169","miR_101_ZEB1_2_0",NA,NA,2720,0.072633242,0.072633242,0.015909652,0.9434,0.9434,"-3"
"170","miR_101_ZEB1_2_1",NA,NA,2720,0.092958793,0.092958793,0.0137166,0.9331,0.9331,"-3"
"171","miR_101_ZEB2_2_0",NA,NA,2590,0.943475851,0.943475851,0.008541029,0.944,0.944,"-1"
"172","miR_101_ZEB2_2_1",NA,NA,2590,0.074437706,0.074437706,0.009440629,0.9351,0.9351,"-3"
"173","miR_141_TGF_beta_2_0",NA,NA,2804,0.967471702,0.967471702,0.000370223,0.9438,0.9438,"-1"
"174","miR_141_TGF_beta_2_1",NA,NA,2804,0.090151309,0.090151309,0.001119271,0.8916,0.8915,"-3"
"175","miR_141_ZEB1_2_0",NA,NA,3110,0.05847775,0.05847775,0.000302765,0.94,0.94,"-3"
"176","miR_141_ZEB1_2_1",NA,NA,3110,0.058368394,0.058368394,0.019369552,0.9334,0.9334,"-3"
"177","miR_141_ZEB2_2_0",NA,NA,2814,0.062038909,0.062038909,0.006696498,0.9445,0.9445,"-3"
"178","miR_141_ZEB2_2_1",NA,NA,2814,0.089372575,0.089372575,0.009798714,0.9403,0.9403,"-3"
"179","miR_200a_TGF_beta_2_0",NA,NA,2240,0.07296256,0.07296256,0.003196017,0.9415,0.9415,"-3"
"180","miR_200a_ZEB1_2_0",NA,NA,2830,0.060901572,0.060901572,0.003094803,0.9371,0.9371,"-3"
"181","miR_200a_ZEB1_2_1",NA,NA,2830,0.065078997,0.065078997,0.023264616,0.9326,0.9326,"-3"
"182","miR_200a_ZEB2_2_0",NA,NA,2917,0.069070683,0.069070683,0.000399433,0.9391,0.9391,"-3"
"183","miR_200a_ZEB2_2_1",NA,NA,2917,0.087544538,0.087544538,0.007072495,0.9373,0.9373,"-3"
"184","miR_200b_TGF_beta_2_0",NA,NA,2258,0.068861167,0.068861167,0.000269675,0.9345,0.9345,"-3"
"185","miR_200b_TGF_beta_2_1",NA,NA,2258,0.119794896,0.119794896,0.000753248,0.8534,0.8534,"-3"
"186","miR_200b_ZEB1_2_0",NA,NA,2743,0.061834852,0.061834852,0.010337622,0.9423,0.9423,"-3"
"187","miR_200b_ZEB1_2_1",NA,NA,2743,0.075957848,0.075957848,0.025696871,0.9256,0.9256,"-3"
"188","miR_200b_ZEB2_2_0",NA,NA,2714,0.069295629,0.069295629,0.00663216,0.9427,0.9428,"-3"
"189","miR_200b_ZEB2_2_1",NA,NA,2714,0.082116732,0.082116732,0.007119941,0.9333,0.9333,"-3"
"190","miR_200c_TGF_beta_2_0",NA,NA,2240,0.076197811,0.076197811,0.0030825,0.9388,0.9389,"-3"
"191","miR_200c_TGF_beta_2_1",NA,NA,2240,0.106464098,0.106464098,0.004068491,0.8658,0.866,"-3"
"192","miR_200c_ZEB1_2_0",NA,NA,2830,0.059738358,0.059738358,0.00323896,0.9416,0.9416,"-3"
"193","miR_200c_ZEB2_2_0",NA,NA,2917,0.070187187,0.070187187,0.000360797,0.9399,0.94,"-3"
"194","miR_200c_ZEB2_2_1",NA,NA,2917,0.076263073,0.076263073,0.008138079,0.9382,0.9383,"-3"
"195","miR_205_ZEB1_2_0",NA,NA,3111,0.074413913,0.074413913,0.003082378,0.9438,0.9438,"-3"
"196","miR_205_ZEB1_2_1",NA,NA,3111,0.05977435,0.05977435,0.005336926,0.9438,0.9438,"-3"
"197","miR_205_ZEB2_2_0",NA,NA,3111,0.061014447,0.061014447,0.002107049,0.9423,0.9423,"-3"
"198","miR_205_ZEB2_2_1",NA,NA,3111,0.060851513,0.060851513,0.004398462,0.9442,0.9442,"-3"
"199","miR_30c_SNAI1_2_0",NA,NA,3111,0.061074988,0.061074988,0.008239494,0.9518,0.9518,"-3"
"200","miR_30c_SNAI1_2_1",NA,NA,3111,0.062040168,0.062040168,0.001309279,0.9438,0.9438,"-3"
"201","miR_30c_SNAI2_2_0",NA,NA,3111,0.968787757,0.968787757,0.001517691,0.9438,0.9438,"-1"
"202","miR_30c_SNAI2_2_1",NA,NA,3111,0.075599339,0.075599339,0.001508696,0.9476,0.9476,"-3"
"203","miR_30c_ZEB2_2_0",NA,NA,3111,0.06684174,0.06684174,0.002605906,0.945,0.945,"-3"
"204","miR_30c_ZEB2_2_1",NA,NA,3111,0.061120466,0.061120466,0.002150883,0.942,0.942,"-3"
"205","miR_34a_SNAI1_2_0",NA,NA,2927,0.06433802,0.06433802,0.006683447,0.9294,0.9294,"-3"
"206","miR_34a_SNAI1_2_1",NA,NA,2927,0.083156366,0.083156366,0.016031729,0.8777,0.8777,"-3"
"207","miR_34a_SNAI2_2_1",NA,NA,2543,0.09473108,0.09473108,0.026841767,0.8695,0.8695,"-3"
"208","miR_34a_TWIST2_2_0",NA,NA,2129,0.492450845,0.492450845,0.001622174,0.9062,0.9062,"-1"
"209","miR_34a_TWIST2_2_1",NA,NA,2129,0.234494979,0.234494979,0.195485011,0.7406,0.7407,"-2"
"210","miR_34a_ZEB1_2_0",NA,NA,3006,0.061050405,0.061050405,0.010328934,0.9411,0.9411,"-3"
"211","miR_34a_ZEB1_2_1",NA,NA,3006,0.065308694,0.065308694,0.014455304,0.932,0.932,"-3"
"212","miR_9_CDH1_2_0",NA,NA,3111,0.062767871,0.062767871,0.000337793,0.9448,0.9449,"-3"
"213","miR_9_CDH1_2_1",NA,NA,3111,0.060443878,0.060443878,0.000723446,0.9435,0.9435,"-3"
"214","miR_9_ZEB2_2_0",NA,NA,3111,0.066645404,0.066645404,0.001184847,0.9456,0.9456,"-3"
"215","miR_9_ZEB2_2_1",NA,NA,3111,0.074434822,0.074434822,0.000690505,0.9378,0.9378,"-3"
"216","ZEB1_miR_200b_2_0",NA,NA,2728,0.07111416,0.07111416,0.012125905,0.9422,0.9422,"-3"
"217","ZEB1_miR_200b_2_1",NA,NA,2728,0.156933036,0.156933036,0.051141203,0.934,0.934,"-2"
"218","TGF_beta_GSC_1_0",NA,NA,1404,0.083356921,0.083356921,0.191818904,0.9002,0.9003,"-3"
"219","TGF_beta_SNAI1_1_0",NA,NA,2440,0.0804075,0.0804075,0.001207049,0.9237,0.9237,"-3"
"220","SNAI1_miR_101_2_0",NA,NA,2800,0.100985272,0.100985272,0.00063553,0.9443,0.9443,"-3"
"221","miR_101_KLF8_2_0",NA,NA,3111,0.2202968,0.2202968,0.306965414,0.9481,0.9481,"-2"
"222","miR_200a_TGF_beta_2_1",NA,NA,2240,0.11569717,0.11569717,0.004976816,0.8664,0.8665,"-3"
"223","miR_200c_ZEB1_2_1",NA,NA,2830,0.064697903,0.064697903,0.022568328,0.9272,0.9272,"-3"
"224","miR_34a_SNAI2_2_0",NA,NA,2543,0.066587515,0.066587515,0.026321463,0.9285,0.9287,"-3"
"225","SNAI1_miR_101_2_1",NA,NA,2800,0.42351053,0.42351053,0.262082093,0.9377,0.9377,"-1"
"226","ZEB1_miR_141_2_0",NA,NA,2506,0.30242692,0.30242692,0.252600969,0.9258,0.9259,"-2"
"227","TGF_beta_GSC_1_2",NA,NA,1404,0.171658914,0.171658914,1,0.6918,0.6919,"-2"
"228","ZEB2_miR_200a_2_1",NA,NA,2193,0.345663084,0.345663084,0.213562457,0.9332,0.9333,"-2"
"229","ZEB2_miR_200b_2_0",NA,NA,2386,0.078565084,0.078565084,0.006477383,0.9467,0.9467,"-3"
"230","ZEB1_miR_34a_2_1",NA,NA,2086,0.38513311,0.38513311,0.171055881,0.7979,0.7984,"-1"
"231","SNAI1_miR_34a_2_0",NA,NA,2297,0.083092494,0.083092494,0.018801963,0.9406,0.9406,"-3"
"232","SNAI1_miR_34a_2_1",NA,NA,2297,0.341109528,0.341109528,0.201645953,0.9151,0.9152,"-2"
"233","SNAI2_miR_101_2_0",NA,NA,2185,0.125892761,0.125892761,0.000492126,0.9271,0.9272,"-3"
"234","SNAI2_miR_101_2_1",NA,NA,2185,0.445162562,0.445162562,0.204798468,0.9053,0.9055,"-1"
"235","SNAI2_miR_200b_2_0",NA,NA,2601,0.068333183,0.068333183,0.017555575,0.943,0.943,"-3"
"236","SNAI2_miR_200b_2_1",NA,NA,2601,0.141126802,0.141126802,0.030111191,0.9347,0.9347,"-2"
"237","ZEB1_miR_200a_2_0",NA,NA,2683,0.080253496,0.080253496,0.002248152,0.9374,0.9374,"-3"
"238","ZEB1_miR_200a_2_1",NA,NA,2683,0.349148102,0.349148102,0.267376281,0.9221,0.9222,"-2"
"239","TGF_beta_SNAI1_1_2",NA,NA,2440,0.111473395,0.111473395,0.012154351,0.8422,0.8422,"-3"
"240","ZEB1_miR_141_2_1",NA,NA,2506,0.786435551,0.786435551,1,0.9051,0.9051,"-1"
"241","ZEB1_miR_200c_2_0",NA,NA,2683,0.071381757,0.071381757,0.001725408,0.936,0.936,"-3"
"242","ZEB1_miR_200c_2_1",NA,NA,2683,0.344541887,0.344541887,0.267906147,0.928,0.928,"-2"
"243","ZEB2_miR_200c_2_1",NA,NA,2193,0.335934625,0.335934625,0.219194576,0.9281,0.9281,"-2"
"244","ZEB2_miR_200b_2_1",NA,NA,2386,0.148214778,0.148214778,0.038042819,0.935,0.935,"-2"
"245","TGF_beta_SNAI2_1_2",NA,NA,2587,0.113795072,0.113795072,0.032645311,0.8669,0.8671,"-3"
"246","ZEB2_miR_200a_2_0",NA,NA,2193,0.077013494,0.077013494,0.003484882,0.9416,0.9416,"-3"
"247","TGF_beta_SNAI2_1_0",NA,NA,2587,0.067757058,0.067757058,0.027152821,0.9285,0.9285,"-3"
"248","ZEB1_miR_34a_2_0",NA,NA,2086,0.096665688,0.096665688,0.010275786,0.8851,0.8851,"-3"
"249","ZEB2_miR_200c_2_0",NA,NA,2193,0.069473564,0.069473564,0.003639547,0.9458,0.9458,"-3"
