"States","Method","Frequency"
"""101""","RACIPE",0.0504983333333329
"""100""","RACIPE",0.392301666666691
"""011""","RACIPE",0.365006666666689
"""001""","RACIPE",0.0723583333333344
"""010""","RACIPE",0.0504116666666656
"""111""","RACIPE",0.0235416666666668
"""110""","RACIPE",0.0342316666666663
"""000""","RACIPE",0.0116499999999999
"""101""","Boolean",0.1858
"""100""","Boolean",0.2513
"""011""","Boolean",0.2495
"""001""","Boolean",0.0597
"""010""","Boolean",0.1927
"""111""","Boolean",0
"""110""","Boolean",0.061
"""000""","Boolean",0
