Boolean,JSD,heatmap,data
 ,ZEB-ZEB_1-2,GRHL2-ZEB_2-0,ZEB-miR200_2-0,SNAIL-ZEB_1-2,ZEB-GRHL2_2-0,WT,ZEB-miR200_2-1,miR200-ZEB_2-1,ZEB-ZEB_1-0,GRHL2-GRHL2_1-0,GRHL2-GRHL2_1-2,ZEB-GRHL2_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-0,GRHL2-ZEB_2-1
ZEB-ZEB_1-2,0.0,0.02839073673794291,0.1343027470424177,0.14731725037890994,0.0737400600698199,0.07644261557569555,0.31918723384044234,0.14278024514968982,3.0194120461623765e-05,0.2549925540064988,0.2520116840223682,0.07589865186124016,0.06941948694280864,0.01171092966247558,0.14692248337691874,0.0670818544940262,0.11112115306718269
GRHL2-ZEB_2-0,0.028390736737942932,0.0,0.15360465002671977,0.14654173445866064,0.06847172007652699,0.07136608305513782,0.35270971137911156,0.16235058490849116,0.029782159315202585,0.37754945717966415,0.37522239402856405,0.06865586942193416,0.10543565610795996,0.0037071637834364263,0.14619798224202973,0.08364655480472571,0.07018882561528739
ZEB-miR200_2-0,0.1343027470424177,0.15360465002671977,0.0,0.07820742898301314,0.023651115447234774,0.022013183928313255,0.10024341584815649,0.08324997105881618,0.1344602489865471,0.1563262102590125,0.15813939754398088,0.02398097731677407,0.0173834695452479,0.1410723286518849,0.08346063655355673,0.01703713292484626,0.22100843219019256
SNAIL-ZEB_1-2,0.14731725037890991,0.14654173445866064,0.07820742898301312,0.0,0.06615634916084051,0.06580078284873969,0.07751836267982337,0.00422951972103159,0.14791012323653363,0.2618842331141387,0.2624520490395002,0.06620242909718102,0.07675762002548495,0.14115119534119544,0.00021418706143453304,0.06828541555467059,0.08213293599058491
ZEB-GRHL2_2-0,0.0737400600698199,0.068471720076527,0.02365111544723477,0.06615634916084051,0.0,9.65513472356459e-05,0.17127136377680696,0.07810325050358147,0.0744992049302586,0.2212516084108498,0.22144406633189567,9.61282014341851e-05,0.015404784559271967,0.06419029443170482,0.0694450528835758,0.004332764724534779,0.13757625408213126
WT,0.07644261557569555,0.07136608305513782,0.02201318392831326,0.06580078284873969,9.655134723564633e-05,0.0,0.16775258736253099,0.07786141610181302,0.07715943168766902,0.21974684140457285,0.2200298788570501,0.00011267114177718407,0.015198654337397716,0.06700264666316345,0.06924425308066032,0.0042126814625927005,0.14017987089635361
ZEB-miR200_2-1,0.31918723384044234,0.35270971137911156,0.1002434158481565,0.07751836267982337,0.17127136377680693,0.16775258736253096,0.0,0.07173175005891697,0.3188155919170562,0.20884542907089304,0.21250559443530515,0.17139932007646003,0.1487699454894158,0.33646670208750096,0.08106008323637179,0.15722774282394472,0.27543661880783316
miR200-ZEB_2-1,0.14278024514968984,0.16235058490849116,0.08324997105881618,0.004229519721031586,0.0781032505035815,0.07786141610181302,0.07173175005891697,0.0,0.14295515868335212,0.2251307829091873,0.22530181923961712,0.07880532007109728,0.07375237710525251,0.14977834280258903,0.0038353119952797207,0.07233366259709736,0.09611294678022905
ZEB-ZEB_1-0,3.0194120461623765e-05,0.029782159315202582,0.1344602489865471,0.14791012323653363,0.0744992049302586,0.07715943168766902,0.3188155919170562,0.14295515868335212,0.0,0.25257761134054973,0.24959351466958232,0.07671736975061152,0.06917782266229344,0.012599954967328533,0.14757019151792394,0.0673157894680741,0.11273503329739376
GRHL2-GRHL2_1-0,0.2549925540064988,0.37754945717966415,0.1563262102590125,0.2618842331141387,0.2212516084108498,0.21974684140457285,0.20884542907089307,0.22513078290918725,0.25257761134054973,0.0,6.060435506956112e-05,0.22531815273518352,0.13527586965614433,0.32946251061696286,0.2659491765406053,0.17361570855045477,0.4627650687527014
