Boolean,JSD,heatmap,data
 ,ZEB-ZEB_1-2,GRHL2-ZEB_2-0,ZEB-miR200_2-0,SNAIL-ZEB_1-2,ZEB-GRHL2_2-0,WT,ZEB-miR200_2-1,miR200-ZEB_2-1,ZEB-ZEB_1-0,GRHL2-GRHL2_1-0,GRHL2-GRHL2_1-2,ZEB-GRHL2_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-0,GRHL2-ZEB_2-1
GRHL2-GRHL2_1-2,0.2520116840223682,0.37522239402856405,0.15813939754398085,0.26245204903950015,0.22144406633189567,0.2200298788570501,0.21250559443530512,0.2253018192396171,0.24959351466958232,6.060435506956112e-05,0.0,0.2255519076340003,0.13515742957319735,0.3268986502614014,0.2663667221507799,0.17359866884190955,0.46090045783741507
ZEB-GRHL2_2-1,0.07589865186124017,0.06865586942193416,0.02398097731677407,0.066202429097181,9.61282014341851e-05,0.00011267114177718402,0.17139932007646,0.07880532007109729,0.07671736975061152,0.22531815273518352,0.2255519076340003,0.0,0.01687344222559735,0.06508135228999781,0.06948602421839196,0.005091674423541074,0.13715013742382956
miR200-ZEB_2-0,0.06941948694280864,0.10543565610795996,0.017383469545247898,0.07675762002548495,0.01540478455927196,0.015198654337397716,0.1487699454894158,0.07375237710525251,0.06917782266229344,0.13527586965614435,0.13515742957319735,0.016873442225597352,0.0,0.08651670024423154,0.08013561927325139,0.0035494388720798842,0.1825107984041987
SNAIL-miR200_2-0,0.01171092966247558,0.0037071637834364297,0.1410723286518849,0.14115119534119544,0.06419029443170482,0.06700264666316345,0.3364667020875009,0.14977834280258903,0.012599954967328533,0.32946251061696286,0.3268986502614014,0.06508135228999783,0.08651670024423153,0.0,0.14084641781532864,0.07159902749003083,0.0788417301839241
SNAIL-miR200_2-1,0.1469224833769187,0.14619798224202973,0.08346063655355673,0.00021418706143453347,0.0694450528835758,0.06924425308066033,0.08106008323637179,0.003835311995279725,0.14757019151792394,0.26594917654060524,0.26636672215077983,0.06948602421839196,0.08013561927325136,0.14084641781532864,0.0,0.07155309415484924,0.07856222188399514
SNAIL-ZEB_1-0,0.06708185449402619,0.08364655480472571,0.01703713292484625,0.06828541555467059,0.0043327647245347805,0.004212681462592703,0.1572277428239447,0.07233366259709736,0.0673157894680741,0.1736157085504548,0.17359866884190955,0.005091674423541069,0.0035494388720798825,0.07159902749003082,0.07155309415484924,0.0,0.15734057253174127
GRHL2-ZEB_2-1,0.11112115306718268,0.07018882561528739,0.22100843219019262,0.08213293599058491,0.13757625408213126,0.14017987089635364,0.2754366188078332,0.09611294678022904,0.11273503329739376,0.4627650687527014,0.46090045783741507,0.13715013742382956,0.1825107984041987,0.0788417301839241,0.07856222188399516,0.15734057253174125,0.0

RACIPE,JSD,heatmap,data
 ,ZEB-ZEB_1-2,GRHL2-ZEB_2-0,ZEB-miR200_2-0,SNAIL-ZEB_1-2,ZEB-GRHL2_2-0,WT,ZEB-miR200_2-1,miR200-ZEB_2-1,ZEB-ZEB_1-0,GRHL2-GRHL2_1-0,GRHL2-GRHL2_1-2,ZEB-GRHL2_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-0,GRHL2-ZEB_2-1
ZEB-ZEB_1-2,0.0,0.022175266786777545,0.30899147157911555,0.02658952902890107,0.03982383422154766,0.0319189939309069,0.17006835379659724,0.013407547879071852,0.017912983045282826,0.05489446591427518,0.02633388202645259,0.17025118124767225,0.02410574570210272,0.044982639016452636,0.02357074700535564,0.031100514112020673,0.018563135632153054
GRHL2-ZEB_2-0,0.022175266786777545,0.0,0.3796128964601829,0.013889790038839039,0.03878792680042346,0.007367612603161211,0.2518788921718734,0.03903291489517356,0.004742016539336803,0.025933598296421417,0.00606302671461568,0.19944445096754654,0.01404424948741836,0.009217972659351032,0.014687831278938947,0.010461970290741064,0.032420303052091315
ZEB-miR200_2-0,0.30899147157911555,0.37961289646018287,0.0,0.38730776321113725,0.22247364776511408,0.4087430969473325,0.17320564742954206,0.319871879837299,0.38631818417492503,0.4913158135467214,0.3508192520555843,0.09370411524484742,0.3935485780121196,0.4738025815463862,0.37883784801046083,0.39761064429658655,0.2707862362246531
SNAIL-ZEB_1-2,0.026589529028901063,0.013889790038839035,0.38730776321113725,0.0,0.06584285867589604,0.003933563419411109,0.20318867944712782,0.019955728582390392,0.004934516921430034,0.014674207374780222,0.019809786087348166,0.24395789958335118,0.003558054459685418,0.017632298688374463,0.001690071150886633,0.002252922672496994,0.055566202322397604
ZEB-GRHL2_2-0,0.039823834221547644,0.03878792680042347,0.22247364776511402,0.06584285867589604,0.0,0.06147790873164166,0.22592088858680884,0.07467521318119998,0.05122848249794852,0.11016942761614737,0.03666251297724103,0.081482297129231,0.07001663123113525,0.07543926619443359,0.06575787651994437,0.06351951310718254,0.025420762370661362
WT,0.0319189939309069,0.007367612603161211,0.4087430969473326,0.003933563419411109,0.06147790873164167,0.0,0.24033580653499076,0.03470582391748701,0.0026978234424019677,0.009829666854244596,0.014027580583483579,0.2488980834403935,0.004327020398087446,0.0068642789878416806,0.004047447185054634,0.000735772398554825,0.057943518213288886
ZEB-miR200_2-1,0.17006835379659724,0.2518788921718735,0.1732056474295421,0.20318867944712776,0.2259208885868088,0.2403358065349908,0.0,0.12223336064443893,0.22586395746773613,0.27071107957503604,0.24497443557258897,0.2594739543322405,0.19964232350369063,0.3047712392849411,0.1930129991741076,0.2228698825897265,0.20947283967295782
miR200-ZEB_2-1,0.013407547879071852,0.03903291489517357,0.31987187983729903,0.019955728582390392,0.07467521318119998,0.034705823917487,0.12223336064443893,0.0,0.02587325557735311,0.04938921008619767,0.045163079612528224,0.21531058443701168,0.01871578402042385,0.0591300771270855,0.018015472466036596,0.029346164054862654,0.046757998554546015
ZEB-ZEB_1-0,0.017912983045282826,0.004742016539336803,0.38631818417492503,0.004934516921430036,0.05122848249794852,0.0026978234424019656,0.22586395746773616,0.025873255577353104,0.0,0.015034128471698247,0.00960374057253099,0.22632013339541107,0.004808527095349091,0.009329766474324624,0.004015968633713731,0.0034490653098373804,0.04197976783958392
GRHL2-GRHL2_1-0,0.0548944659142752,0.025933598296421417,0.49131581354672127,0.01467420737478022,0.11016942761614738,0.009829666854244596,0.270711079575036,0.04938921008619766,0.015034128471698244,0.0,0.03326756980292982,0.32484930989790844,0.011080043844438146,0.011687333698589267,0.01283208169897639,0.010761205930566115,0.09348962605616548
GRHL2-GRHL2_1-2,0.026333882026452593,0.006063026714615681,0.3508192520555844,0.019809786087348166,0.036662512977241025,0.01402758058348358,0.24497443557258897,0.04516307961252823,0.00960374057253099,0.03326756980292982,0.0,0.17723140889006228,0.022970582916510704,0.018805300765915446,0.019626393034026114,0.017274567080083257,0.02628175615002857
ZEB-GRHL2_2-1,0.17025118124767225,0.19944445096754654,0.09370411524484742,0.24395789958335118,0.08148229712923098,0.24889808344039355,0.25947395433224046,0.21531058443701173,0.2263201333954111,0.3248493098979084,0.17723140889006228,0.0,0.2545321012775301,0.2777860294485115,0.24519312176765984,0.24979897027423092,0.10359089500671849
miR200-ZEB_2-0,0.024105745702102718,0.014044249487418357,0.3935485780121196,0.003558054459685418,0.07001663123113525,0.004327020398087444,0.19964232350369066,0.01871578402042385,0.004808527095349094,0.011080043844438147,0.02297058291651071,0.2545321012775301,0.0,0.01651032074635666,0.0012384801403350703,0.0028007209371039947,0.05961673850560914
SNAIL-miR200_2-0,0.04498263901645263,0.009217972659351035,0.4738025815463863,0.01763229868837446,0.07543926619443359,0.00686427898784168,0.30477123928494104,0.0591300771270855,0.009329766474324618,0.011687333698589267,0.018805300765915446,0.2777860294485116,0.01651032074635666,0.0,0.018512317449124172,0.011393836174685014,0.06733970458343494
SNAIL-miR200_2-1,0.02357074700535565,0.014687831278938948,0.37883784801046083,0.0016900711508866326,0.06575787651994439,0.004047447185054633,0.19301299917410758,0.018015472466036592,0.0040159686337137325,0.012832081698976393,0.019626393034026118,0.24519312176765987,0.0012384801403350694,0.018512317449124165,0.0,0.002034247627532691,0.0568318359782186
SNAIL-ZEB_1-0,0.031100514112020666,0.010461970290741057,0.39761064429658655,0.002252922672496993,0.06351951310718257,0.0007357723985548253,0.2228698825897265,0.029346164054862643,0.003449065309837379,0.010761205930566113,0.017274567080083257,0.24979897027423087,0.0028007209371039947,0.011393836174685014,0.002034247627532691,0.0,0.061133121022036295
GRHL2-ZEB_2-1,0.018563135632153047,0.032420303052091315,0.2707862362246531,0.05556620232239759,0.025420762370661373,0.05794351821328889,0.2094728396729578,0.046757998554546015,0.041979767839583924,0.09348962605616548,0.02628175615002857,0.1035908950067185,0.059616738505609126,0.06733970458343494,0.0568318359782186,0.06113312102203631,0.0
