Boolean,JSD,heatmap,data
 ,SNAIL-miR145_0-1,Oct4-miR145_2-0,miR200-SNAIL_0-1,miR145-Oct4_2-0,miR145-Oct4_2-1,miR145-ZEB_2-0,miR145-ZEB_2-1,Oct4-miR200_0-1,SNAIL-Oct4_0-1,WT,ZEB-miR200_2-1,ZEB-ZEB_1-0,Oct4-miR200_1-2,Oct4-Oct4_0-1,ZEB-miR145_2-0,ZEB-miR145_2-1,ZEB-ZEB_1-2,miR200-miR145_0-1,Oct4-miR145_2-1,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-2,miR145-SNAIL_0-1,SNAIL-Oct4_0-2,Oct4-miR200_1-0,SNAIL-miR145_0-2,ZEB-miR200_2-0,SNAIL-SNAIL_0-1,miR145-SNAIL_0-2,Oct4-miR200_0-2,Oct4-SNAIL_0-1,SNAIL-ZEB_0-1,Oct4-ZEB_0-1,Oct4-SNAIL_0-2,SNAIL-ZEB_0-2,SNAIL-ZEB_1-0,miR200-ZEB_2-0,miR200-miR200_0-2,miR200-Oct4_0-1,miR200-SNAIL_0-2,miR200-miR145_0-2,miR200-Oct4_0-2,miR200-miR200_0-1,miR145-miR145_0-1,miR145-miR145_0-2,miR200-ZEB_2-1,Oct4-Oct4_0-2,Oct4-ZEB_0-2,miR145-miR200_0-1,miR145-miR200_0-2
SNAIL-miR145_0-1,0.0,0.1625059367897097,0.5326540645257559,0.17917176297154055,1.0,0.27476520173861224,0.289901239960524,0.017675693977521573,0.11949708249908075,0.015435134051112074,0.1911470455680846,0.26660339019135354,0.3188926034232137,0.1890853873467924,0.04186614128547378,0.07330438552771264,0.2666476003575391,0.1663922779034524,0.16640161021532027,0.031869641973532044,0.005753107834799659,0.005622296160891656,0.16646784602044623,0.09753427115851399,0.08730724640254356,0.06564908202935113,0.0003220626232186665,0.01498155468984412,0.28444115664798664,0.3178711044196896,0.28236862499047244,0.01588847265488466,0.038766743450322674,0.16724288009402744,0.005358576478103701,0.007195142110277216,0.03739605551098849,0.01397740989125485,0.1451616265187059,0.03359818442739072,0.025048413836126635,0.017251716807411086,0.02597977822438409,0.016256381664135934,0.1638056773264764,0.034537550356567734,0.01492817420546196,0.27686119427786493,0.11346407004416212,0.0030726938113315953
Oct4-miR145_2-0,0.16250593678970968,0.0,1.0,0.3190418269919464,1.0,0.5280810379239458,0.5843461444661959,0.18207849689647057,0.2375277083461991,0.1761700166446724,0.41575794023775337,0.4596194499068001,0.3281699711689484,0.3303304375464942,0.27495196608830363,0.34186572049939373,0.4607253658488488,0.0004936148610150586,0.00026386303997753173,0.18688956902878268,0.19315684068951933,0.1940131829187105,0.46587059520877916,0.2920873774642092,0.19219748079456916,0.10941585187684727,0.16380342518277155,0.17362692671547864,0.372666101693728,0.3291693080673584,0.3769879315813911,0.18097409332402695,0.08605945671694148,0.4604101510625652,0.19608164838410957,0.1506852201384729,0.10861424212268671,0.17867282477855695,0.3309829513187448,0.16896886270701292,0.23394329182608625,0.14000275661287503,0.15917629551757972,0.1810518703918533,4.479218281888366e-05,0.1034334449502593,0.17616757058794086,0.5375809007346228,0.2076679090699639,0.2004127477393792
miR200-SNAIL_0-1,0.5326540645257559,1.0,0.0,0.591685740074853,1.0,0.23805669603068452,0.1816528002509207,0.4728331741861128,0.54671196702482,0.48214415280720896,0.6220884368694705,0.32839011399662155,0.6338913928925729,0.5915702835133827,0.34999423522095535,0.282873571118461,0.32667682899560524,1.0,1.0,0.47070013137254507,0.46411193094185776,0.4635086222523569,0.4537504241790177,0.5125667192944887,0.5182601317093811,0.6450764950082502,0.5230163950298558,0.4864058956935199,0.5001244642989381,0.6305752316054568,0.48931143862414306,0.47468406971233856,0.6669380787401806,0.46875851762269116,0.4617026401100653,0.5275917131560822,0.6180609070927896,0.4781846195608145,0.49698888252917217,0.5022705472759188,0.399237744881128,0.5453582682540514,0.5142180910311562,0.47450273316403346,1.0,0.6266496772370451,0.4822290688159242,0.2275598908705478,0.5255948586773868,0.4700168670428217
miR145-Oct4_2-0,0.17917176297154055,0.3190418269919464,0.5916857400748531,0.0,0.4984448154143999,0.330362954834305,0.34728790175098756,0.166415342016293,0.04225659738751672,0.16625263593206463,0.42069968284147635,0.31868753596113875,0.35566809347153494,0.00030312746439693696,0.18026883846534192,0.19992218830454386,0.3187907064151513,0.31917007719557816,0.3191263017756071,0.1685993928472846,0.1709244779252924,0.17134063609392158,0.3835774343146141,0.027708452039128854,0.1924470149453023,0.19108234361455134,0.17579485814221762,0.1662566189753045,0.3283572377068632,0.3548393813816796,0.32682660817065595,0.16638188691132186,0.18580901342287037,0.3859499028304235,0.17203705622670662,0.1682971967326306,0.1786264391561176,0.16637690938072885,0.008102110112168635,0.16942769886687464,0.1719837683134356,0.1682728351044119,0.1679346875840065,0.1663730059383417,0.31902038633441954,0.17899803595724093,0.16629130312661605,0.33282389202899965,0.20673519138621074,0.17889878778784707
miR145-Oct4_2-1,1.0,1.0,1.0,0.4984448154143999,0.0,1.0,1.0,1.0,0.7136138814702201,1.0,1.0,1.0,1.0,0.4838763111647465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6455401945236356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5753107910718722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miR145-ZEB_2-0,0.27476520173861224,0.5280810379239459,0.23805669603068452,0.330362954834305,1.0,0.0,0.0054098600500989795,0.1772556958063982,0.2030398795663101,0.18453956940774968,0.6852359219898898,0.010331722563286915,0.13650098978868208,0.33352367589906123,0.12841036142852583,0.10222541026725321,0.010015566886418945,0.5210526442470313,0.5210032828907325,0.1538504286917772,0.21315524124497406,0.21450404763438669,0.557873006180601,0.3162700098112314,0.12930234904675722,0.22033539715885853,0.26001626717760934,0.18697895961954208,0.0686880982157844,0.13464811052004977,0.06392980999918715,0.18137992493925714,0.2657707414199962,0.5690430150885247,0.21668032502059367,0.2240134772074946,0.22838660919647114,0.18652930256384792,0.2671517641417561,0.1643227844668469,0.15379784482848405,0.20988084852646643,0.1797980885556905,0.18048123547886827,0.5255998200006167,0.23835328446813148,0.18579589839583785,0.00016941742024061514,0.12012586867272616,0.24607771968027653
miR145-ZEB_2-1,0.28990123996052397,0.5843461444661959,0.1816528002509207,0.3472879017509875,1.0,0.0054098600500989795,0.0,0.1967238129132246,0.23166749433883937,0.20457297894542914,0.6695723298027529,0.030518345703092777,0.19255006876577094,0.3499964010197305,0.13383526811293772,0.09999249932849069,0.029920250292828014,0.5785284864665949,0.5784264160754107,0.17665147632252165,0.22562503541283768,0.2266715343246667,0.5323885226277889,0.3221113483360799,0.16482765226873375,0.26400764301874324,0.2756944065714369,0.20740465180196288,0.11111001043714151,0.19041450770586427,0.1051187843613396,0.20058770381269259,0.30590286908152625,0.5444880041452438,0.22821106168757693,0.24590692805416592,0.2657837999804075,0.20554936035558685,0.2773150534284342,0.19118258452052528,0.16402288269400864,0.23719308731927008,0.20628235064087536,0.19981528184890116,0.5822628528919829,0.2757131518920548,0.20562827006878398,0.0036742647944576507,0.158557157885771,0.25477695596865496
Oct4-miR200_0-1,0.017675693977521566,0.18207849689647057,0.4728331741861128,0.16641534201629302,1.0,0.1772556958063982,0.19672381291322463,0.0,0.07954022506058102,0.00022419814811986652,0.29675730057867616,0.1649119286334059,0.2168265372714747,0.17518385342156634,0.01354179825384079,0.035484716790640386,0.16492783783038806,0.1823241149629231,0.18204312329965977,0.002317519776975062,0.005650357051829365,0.006092736940109885,0.24684816015066632,0.1074420149177721,0.031082637866194626,0.03314463218394877,0.013304665561704766,0.0004148274311801382,0.18065476222806998,0.2158423862367431,0.17852773226570792,0.0002456244858233094,0.027560150027816747,0.2502137211475128,0.006931051010844845,0.0038711011533626594,0.017854201657226433,0.0002827679350671428,0.12749439014345973,0.004190953489056667,0.004939583662315904,0.00411965314305889,0.002659067955902196,0.00023307376115119517,0.18201480268102918,0.018658102811655926,0.0002936780193584826,0.1800339844101435,0.04786706507048823,0.015672407497267532
SNAIL-Oct4_0-1,0.11949708249908075,0.23752770834619907,0.54671196702482,0.04225659738751672,0.71361388147022,0.2030398795663101,0.23166749433883943,0.079540225060581,0.0,0.08055349772897029,0.45296061291423867,0.1775708974223483,0.19325537255217023,0.04609570307396274,0.09680192030019288,0.11656934171464599,0.17787856437892802,0.234479826682466,0.23431584027568417,0.07158398238022072,0.1008789956589318,0.10186744270756853,0.4030032567381462,0.053278662904787034,0.07009500011405095,0.07956606926474394,0.11240896837326124,0.08071838107819747,0.1718123514297834,0.19255724516499817,0.17095871050525985,0.08100120094657925,0.09032287997570122,0.4066245664057848,0.10380931284063388,0.08935203792646366,0.07904268966024752,0.08238302324538983,0.030752167203132674,0.06977117957078267,0.08998889041231398,0.07906082413130153,0.07254006680631334,0.08060338827687383,0.23639109811547726,0.08184931552994312,0.08117186410222621,0.2074580862655582,0.07680409820626202,0.12032191838955317
WT,0.015435134051112069,0.1761700166446724,0.4821441528072089,0.16625263593206463,1.0,0.18453956940774968,0.20457297894542914,0.0002241981481198663,0.08055349772897029,0.0,0.2904674098061689,0.17134196137031701,0.22038245152533176,0.17517968486632512,0.01573838521047008,0.0387098740995149,0.17150371908766848,0.17644963004978492,0.1763998306412981,0.003070071356733034,0.0050716586339236,0.005511075117326715,0.24330380591228334,0.10648198833034592,0.03275843066478004,0.03239785539500692,0.011347870667208049,5.795568447185587e-05,0.18553056856084207,0.21927872485971014,0.183515912353011,0.0001335813965912308,0.025442783379548372,0.24642464809908304,0.006309570753783121,0.002780532838251911,0.016684428025333334,7.870116619373502e-05,0.12823603427751207,0.004466381426251102,0.006039170476682013,0.003234049487263937,0.0027330876075909636,7.235669160682951e-05,0.17620847323853212,0.017083413677733254,2.3345807145383653e-05,0.187438576635695,0.049968418313931166,0.014295285746507722
