States,RACIPE frequency,Boolean frequency
"""1001""",0.2470594444444555,0.1901
"""1101""",0.11879333333333059,0.1734
"""1010""",0.0387427777777776,0.132
"""0110""",0.19531083333332755,0.1865
"""0101""",0.05865833333333347,0.1366
"""0100""",0.01617583333333337,0
"""1011""",0.016421666666666654,0
"""0000""",0.007179285714285712,0
"""0010""",0.15945777777777306,0.1814
"""1100""",0.025255555555555507,0
"""0111""",0.05091666666666609,0
"""1000""",0.04362682539682523,0
"""0001""",0.007491666666666652,0
"""1110""",0.013389999999999952,0
"""0011""",0.004785000000000007,0
"""1111""",0.008534999999999964,0
