"Label","Network"
1,"E.cad.E.cad_0.1"
2,"miR200.E.cad_0.1"
3,"E.cad.ZEB_2.1"
4,"I.E.cad_0.1"
5,"ZEB.E.cad_2.1"
6,"SNAIL.NRF2_0.1"
7,"Keap1.NRF2_2.0"
8,"ZEB.ZEB_1.2"
9,"SNAIL.ZEB_1.2"
10,"miR200.Keap1_2.1"
11,"miR200.ZEB_2.1"
12,"ZEB.miR200_2.0"
13,"ZEB.miR34_2.1"
14,"SNAIL.SNAIL_2.1"
15,"E.cad.SNAIL_0.1"
16,"miR200.miR200_0.1"
17,"WT"
18,"SNAIL.ZEB_0.1"
19,"SNAIL.miR34_2.0"
20,"I.SNAIL_1.2"
21,"I.ZEB_0.1"
22,"Keap1.NRF2_2.1"
23,"E.cad.NRF2_2.0"
24,"E.cad.NRF2_2.1"
25,"E.cad.E.cad_0.2"
26,"E.cad.I_0.1"
27,"E.cad.I_0.2"
28,"NRF2.ZEB_0.1"
29,"SNAIL.miR200_2.0"
30,"SNAIL.miR200_2.1"
31,"SNAIL.miR34_2.1"
32,"ZEB.E.cad_2.0"
33,"ZEB.miR200_2.1"
34,"ZEB.miR34_2.0"
35,"ZEB.ZEB_1.0"
36,"E.cad.Keap1_0.1"
37,"E.cad.Keap1_0.2"
38,"E.cad.miR34_0.1"
39,"E.cad.miR34_0.2"
40,"E.cad.miR200_0.1"
41,"E.cad.miR200_0.2"
42,"E.cad.SNAIL_0.2"
43,"E.cad.ZEB_2.0"
44,"I.E.cad_0.2"
45,"I.I_0.1"
46,"I.Keap1_0.1"
47,"I.Keap1_0.2"
48,"I.miR200_0.1"
49,"I.miR34_0.2"
50,"I.NRF2_0.1"
51,"I.miR200_0.2"
52,"I.miR34_0.1"
53,"I.NRF2_0.2"
54,"I.SNAIL_0.1"
55,"I.SNAIL_0.2"
56,"I.ZEB_0.2"
57,"Keap1.E.cad_0.1"
58,"Keap1.E.cad_0.2"
59,"Keap1.I_0.1"
60,"Keap1.I_0.2"
61,"Keap1.Keap1_0.1"
62,"Keap1.Keap1_0.2"
63,"Keap1.miR200_0.1"
64,"Keap1.miR34_0.2"
65,"Keap1.miR200_0.2"
66,"Keap1.miR34_0.1"
67,"NRF2.SNAIL_2.1"
68,"Keap1.SNAIL_0.1"
69,"Keap1.SNAIL_0.2"
70,"Keap1.ZEB_0.1"
71,"Keap1.ZEB_0.2"
72,"miR34.E.cad_0.1"
73,"miR34.E.cad_0.2"
74,"miR34.I_0.1"
75,"miR34.Keap1_0.1"
76,"miR34.Keap1_0.2"
77,"miR34.miR200_0.1"
78,"miR34.miR34_0.2"
79,"miR34.miR200_0.2"
80,"miR34.miR34_0.1"
81,"miR34.NRF2_0.1"
82,"miR34.NRF2_0.2"
83,"miR34.I_0.2"
84,"miR34.SNAIL_2.0"
85,"miR34.SNAIL_2.1"
86,"miR34.ZEB_0.1"
87,"miR34.ZEB_0.2"
88,"NRF2.E.cad_0.1"
89,"NRF2.E.cad_0.2"
90,"NRF2.I_0.1"
91,"miR200.E.cad_0.2"
92,"miR200.I_0.1"
93,"miR200.I_0.2"
94,"miR200.Keap1_2.0"
95,"miR200.ZEB_2.0"
96,"miR200.miR34_0.2"
97,"miR200.miR34_0.1"
98,"miR200.miR200_0.2"
99,"miR200.NRF2_0.1"
100,"miR200.NRF2_0.2"
101,"miR200.SNAIL_0.1"
102,"miR200.SNAIL_0.2"
103,"NRF2.I_0.2"
104,"NRF2.Keap1_0.1"
105,"NRF2.Keap1_0.2"
106,"NRF2.miR200_0.1"
107,"NRF2.miR34_0.2"
108,"NRF2.NRF2_0.1"
109,"NRF2.miR200_0.2"
110,"NRF2.miR34_0.1"
111,"NRF2.NRF2_0.2"
112,"NRF2.SNAIL_2.0"
113,"SNAIL.E.cad_0.1"
114,"NRF2.ZEB_0.2"
115,"SNAIL.E.cad_0.2"
116,"SNAIL.I_0.1"
117,"SNAIL.I_0.2"
118,"SNAIL.Keap1_0.1"
119,"SNAIL.Keap1_0.2"
120,"SNAIL.NRF2_0.2"
121,"SNAIL.SNAIL_2.0"
122,"SNAIL.ZEB_0.2"
123,"SNAIL.ZEB_1.0"
