"Label","Network"
1,"X16221"
2,"X24239"
3,"X12253"
4,"X21439"
5,"X32492"
6,"X31582"
7,"X7159"
8,"X16159"
9,"X14326"
10,"X30974"
11,"X14205"
12,"X5631"
13,"X32244"
14,"X16346"
15,"X24301"
16,"X5119"
17,"X23743"
18,"X29599"
19,"X28367"
20,"WT"
21,"X15349"
22,"X8182"
23,"X15263"
24,"X30967"
25,"X31869"
26,"X24054"
27,"X14815"
28,"X31481"
29,"X23287"
30,"X7871"
31,"X27614"
32,"X32665"
33,"X31966"
34,"X27127"
35,"X11262"
36,"X28111"
37,"X15101"
38,"X29559"
39,"X15227"
40,"X11231"
41,"X29692"
42,"X25343"
43,"X15319"
44,"X31421"
45,"X29662"
46,"X26351"
47,"X15311"
48,"X31454"
49,"X31705"
50,"X15347"
51,"X24549"
52,"X31702"
53,"X14075"
54,"X32744"
55,"X24223"
56,"X13055"
57,"X16222"
58,"X30415"
59,"X16094"
60,"X15866"
61,"X32716"
62,"X27517"
63,"X14302"
64,"X31159"
65,"X31598"
66,"X7678"
67,"X14846"
68,"X32682"
69,"X6911"
70,"X30588"
71,"X27503"
72,"X26618"
73,"X32620"
74,"X15353"
75,"X12095"
76,"X31694"
77,"X31645"
78,"X32242"
79,"X3583"
80,"X27967"
81,"X15823"
82,"X32668"
83,"X9215"
84,"X15323"
85,"X30558"
86,"X23805"
87,"X32602"
88,"X32569"
89,"X15229"
90,"X30582"
91,"X25583"
92,"X11767"
93,"X15071"
94,"X31606"
95,"X32218"
96,"X15099"
97,"X7135"
98,"X31519"
