States,Boolean frequency,RACIPE frequency
"""1001100""",0.014068333333333334,0
"""1101110""",0.10398134920634869,0.1392
"""1101111""",0.014074999999999963,0
"""0010101""",0.026757380952381192,0
"""0110001""",0.14045436507935932,0.2074
"""0100110""",0.010412777777777752,0
"""1001110""",0.16275686507936157,0.1932
"""0010001""",0.1037346825396822,0.1337
"""1101100""",0.007041666666666656,0
"""1001111""",0.05413833333333379,0
"""1111110""",0.006054166666666678,0
"""0000110""",0.002650000000000001,0
"""0001110""",0.013770000000000001,0
"""0110101""",0.03716000000000054,0
"""1100110""",0.014639285714285702,0
"""0110000""",0.02216380952380946,0
"""1111010""",0.0014077777777777771,0
"""0101110""",0.0252166666666667,0.093
"""1100100""",0.0013866666666666665,0
"""1010001""",0.011831666666666634,0.0889
"""1100010""",0.005687777777777789,0.0224
"""0011001""",0.006906785714285688,0
"""0011101""",0.004400476190476204,0.0244
"""1101101""",0.0016866666666666677,0
"""0100001""",0.0015999999999999996,0
"""0010100""",0.00904166666666662,0
"""0101111""",0.003883333333333338,0
"""0010000""",0.010483333333333305,0
"""1010101""",0.003491666666666672,0
"""1110001""",0.007495952380952349,0
"""1000110""",0.010964285714285682,0
"""1101000""",0.0005366666666666665,0
"""1001101""",0.0040600000000000054,0
"""1101010""",0.006114444444444455,0
"""0000001""",0.0021900000000000023,0
"""0111101""",0.0034172222222222303,0
"""0110010""",0.002442777777777779,0
"""0110100""",0.019773571428571363,0
"""0100100""",0.0009233333333333329,0
"""0110110""",0.002570000000000002,0
"""1011100""",0.0011766666666666666,0.012
"""0101010""",0.004176666666666672,0
"""1010000""",0.001803333333333335,0
"""1000000""",0.00052,0
"""1100000""",0.0007133333333333332,0
"""1001010""",0.005271666666666673,0
"""1011111""",0.003040000000000007,0
"""0011110""",0.0009783333333333334,0
"""0101100""",0.0022900000000000017,0
"""1011001""",0.0032476190476190487,0
"""1000111""",0.0032300000000000033,0
"""0111111""",0.0006049999999999993,0
"""1001000""",0.0011133333333333331,0
"""0010011""",0.001116666666666666,0
"""0001001""",0.0005366666666666664,0
"""1101011""",0.001993333333333339,0
"""0100101""",0.0012466666666666663,0
"""1001011""",0.0035800000000000033,0
"""1110101""",0.0030592857142857197,0
"""0111001""",0.005473333333333345,0
"""0011100""",0.0013283333333333335,0
"""1011011""",0.001049999999999999,0
"""0001111""",0.003036666666666667,0
"""1010100""",0.001343333333333333,0
"""1000100""",0.0008599999999999998,0
"""0111110""",0.0024300000000000007,0
"""1011110""",0.006298333333333338,0
"""1010110""",0.0008266666666666659,0
"""1100011""",0.0011766666666666661,0
"""0111000""",0.0008799999999999995,0
"""0001100""",0.0009633333333333335,0
"""0100010""",0.005984444444444453,0.0333
"""0000010""",0.002173333333333333,0
"""0011111""",0.0003800000000000001,0
"""1000010""",0.0028033333333333343,0
"""1010111""",0.0007333333333333331,0
"""0100000""",0.00082,0
"""1011101""",0.0025161904761904787,0.0371
"""0111100""",0.0018900000000000045,0
"""0000100""",0.00038333333333333334,0
"""1111011""",0.0007644444444444435,0
"""0000000""",0.0003133333333333334,0
"""1110010""",0.0012166666666666662,0
"""1011000""",0.00045666666666666653,0
"""1111111""",0.0011966666666666662,0
"""1110000""",0.001352857142857142,0
"""1111100""",0.0007409523809523808,0
"""1100111""",0.0016733333333333342,0
"""0011000""",0.0007099999999999997,0
"""0100011""",0.0015633333333333335,0.0154
"""0000111""",0.0006,0
"""1010011""",0.0012133333333333332,0
"""1000011""",0.0016590476190476192,0
"""0101101""",0.0005199999999999995,0
"""1111001""",0.0013666666666666664,0
"""1111101""",0.0010524999999999992,0
"""0011011""",0.0007199999999999996,0
"""0101000""",0.0003933333333333334,0
"""0101011""",0.0011033333333333333,0
"""1110011""",0.0005099999999999996,0
"""0001101""",0.0004599999999999998,0
"""1110111""",0.0002966666666666667,0
"""1100001""",0.0005433333333333333,0
"""1000101""",0.00043833333333333327,0
"""0000101""",0.00040761904761904766,0
"""0101001""",0.00034,0
"""1110110""",0.0012466666666666665,0
"""0001010""",0.0012383333333333328,0
"""0111010""",0.0011166666666666666,0
"""0000011""",0.0008016666666666663,0
"""0001011""",0.0006966666666666662,0
"""1011010""",0.0006566666666666665,0
"""1110100""",0.0013976190476190468,0
"""0110111""",0.0005666666666666662,0
"""1001001""",0.0006616666666666663,0
"""0100111""",0.0007766666666666661,0
"""0110011""",0.0014366666666666664,0
"""0010110""",0.0007333333333333329,0
"""1000001""",0.00037666666666666675,0
"""0010111""",0.00025000000000000006,0
"""0011010""",0.0004183333333333334,0
"""0111011""",0.00039000000000000016,0
"""1010010""",0.0004466666666666666,0
"""0010010""",0.0005533333333333332,0
"""0001000""",0.0001,0
"""1111000""",5e-05,0
"""1101001""",5.333333333333333e-05,0
