Boolean,JSD,heatmap,data
 ,ZEB-ZEB_1-2,GRHL2-ZEB_2-0,ZEB-miR200_2-0,SNAIL-ZEB_1-2,ZEB-GRHL2_2-0,WT,ZEB-miR200_2-1,miR200-ZEB_2-1,ZEB-ZEB_1-0,ZEB-GRHL2_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-0,GRHL2-ZEB_2-1
ZEB-ZEB_1-2,0.0,1.5935723225003447e-05,0.23867423850817934,0.13682645241200214,0.3155719111841091,0.10087629211203376,0.4529542317649927,0.13904190940037325,1.0972340801372518e-05,1.0,0.09903198464964644,2.684167546490243e-05,0.13375655619393897,0.09981928516867594,2.5968970378915587e-07
GRHL2-ZEB_2-0,1.5935723225003447e-05,0.0,0.23872032896690656,0.13684441336702047,0.31558599971612505,0.10087944326727111,0.4529988710132559,0.1390846152934132,4.617311864754561e-07,1.0,0.09906735047353499,8.414001778046538e-05,0.13381438121784955,0.09990995036314665,1.2126846372493682e-05
ZEB-miR200_2-0,0.23867423850817934,0.23872032896690656,0.0,0.01986787540091348,0.24854155374857845,0.04095471396628595,0.04855088124607547,0.01892345468007377,0.23871080089707317,1.0,0.042311567114304255,0.23864994727471078,0.021350056680439912,0.0418552686692999,0.2386787956253893
SNAIL-ZEB_1-2,0.13682645241200214,0.13684441336702047,0.019867875400913487,0.0,0.22389693186969617,0.0039055356690219367,0.12763473670839648,8.910618992814335e-05,0.13683942414342692,1.0,0.004348212305281514,0.13684393252146335,0.00014412730877703147,0.004317865569308248,0.13682722206043493
ZEB-GRHL2_2-0,0.3155719111841091,0.31558599971612505,0.24854155374857848,0.22389693186969614,0.0,0.22244279357181493,0.34415257112218023,0.22414696970315762,0.3155821118457369,0.4144316895279313,0.22253874941677246,0.31558508031440974,0.22357420336699665,0.22256911011669867,0.31557253513749595
WT,0.10087629211203378,0.10087944326727111,0.040954713966285944,0.0039055356690219367,0.2224427935718149,0.0,0.17281317252591333,0.0043702792584643275,0.10087688915891077,1.0,2.8768033764805384e-05,0.10091480384479462,0.003353346358424582,0.0001448841070132743,0.10087510356666739
ZEB-miR200_2-1,0.4529542317649927,0.4529988710132559,0.04855088124607547,0.12763473670839648,0.34415257112218023,0.1728131725259133,0.0,0.12516999693317155,0.45299013136624616,1.0,0.17547115371791305,0.4529203916939486,0.13099434740120244,0.1744483277402304,0.45295903049542374
miR200-ZEB_2-1,0.13904190940037325,0.1390846152934132,0.01892345468007376,8.910618992814335e-05,0.22414696970315762,0.0043702792584643275,0.12516999693317155,0.0,0.13907541937394113,1.0,0.004818548783214232,0.13902716225177786,7.929737060309084e-05,0.004658782862141022,0.1390458421022701
ZEB-ZEB_1-0,1.0972340801372518e-05,4.617311864754561e-07,0.23871080089707317,0.13683942414342692,0.3155821118457369,0.10087688915891077,0.4529901313662461,0.13907541937394113,0.0,1.0,0.09905930849713868,7.213609573697953e-05,0.13380259906225828,0.09989249738495792,7.856004192461144e-06
ZEB-GRHL2_2-1,1.0,1.0,1.0,1.0,0.4144316895279313,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
miR200-ZEB_2-0,0.09903198464964644,0.09906735047353497,0.042311567114304255,0.004348212305281514,0.22253874941677249,2.8768033764805276e-05,0.17547115371791305,0.004818548783214232,0.09905930849713869,1.0,0.0,0.0990287794667878,0.003728261210971459,7.265925203864634e-05,0.09903490507382551
SNAIL-miR200_2-0,2.684167546490243e-05,8.414001778046538e-05,0.23864994727471078,0.13684393252146335,0.31558508031440974,0.10091480384479462,0.4529203916939486,0.13902716225177786,7.213609573697953e-05,1.0,0.09902877946678779,0.0,0.13372245501285507,0.09974427033350453,3.238164936516987e-05
SNAIL-miR200_2-1,0.13375655619393897,0.13381438121784955,0.021350056680439912,0.0001441273087770317,0.22357420336699663,0.003353346358424582,0.13099434740120244,7.929737060309084e-05,0.13380259906225828,1.0,0.003728261210971459,0.13372245501285507,0.0,0.00355026971958039,0.1337624089427103
SNAIL-ZEB_1-0,0.09981928516867596,0.09990995036314665,0.04185526866929991,0.004317865569308249,0.22256911011669867,0.0001448841070132743,0.1744483277402304,0.004658782862141022,0.09989249738495792,1.0,7.265925203864612e-05,0.09974427033350453,0.00355026971958039,0.0,0.09982926643214851
GRHL2-ZEB_2-1,2.5968970378915587e-07,1.2126846372493682e-05,0.2386787956253893,0.1368272220604349,0.31557253513749595,0.10087510356666739,0.45295903049542374,0.1390458421022701,7.856004192461144e-06,1.0,0.09903490507382551,3.238164936516987e-05,0.1337624089427103,0.09982926643214851,0.0

RACIPE,JSD,heatmap,data
