Boolean,JSD,heatmap,data
 ,ZEB-ZEB_1-2,GRHL2-ZEB_2-0,ZEB-miR200_2-0,SNAIL-ZEB_1-2,ZEB-GRHL2_2-0,WT,ZEB-miR200_2-1,miR200-ZEB_2-1,ZEB-ZEB_1-0,ZEB-GRHL2_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-0,GRHL2-ZEB_2-1
 ,ZEB-ZEB_1-2,GRHL2-ZEB_2-0,ZEB-miR200_2-0,SNAIL-ZEB_1-2,ZEB-GRHL2_2-0,WT,ZEB-miR200_2-1,miR200-ZEB_2-1,ZEB-ZEB_1-0,ZEB-GRHL2_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-0,GRHL2-ZEB_2-1
ZEB-ZEB_1-2,0.0,0.04009934270167645,0.40375560303007985,0.04598763709712422,0.08898932253744282,0.05316503487139529,0.168015395984288,0.014495093913213691,0.028938667600600473,0.342126396067994,0.033822085737075396,0.07770369193778764,0.04415062266983728,0.05198362930915769,0.003918652057266586
GRHL2-ZEB_2-0,0.04009934270167645,0.0,0.5516802892081869,0.00750470502870099,0.1645894904661389,0.003280658677870073,0.2509588477561052,0.04215224465908719,0.00402549539480342,0.5010887477940353,0.004040847787690762,0.011901210663963744,0.008775895392441444,0.005866834656684413,0.019999642270519345
ZEB-miR200_2-0,0.40375560303007985,0.5516802892081869,0.0,0.5301901552370399,0.22471833813620992,0.5629782925170591,0.23374315094721745,0.3928108221114133,0.5257109535316511,0.10192054373537196,0.5192655906300871,0.6510541039518504,0.5220966581388189,0.5429704511562831,0.44536059335526074
SNAIL-ZEB_1-2,0.04598763709712422,0.007504705028700989,0.5301901552370398,0.0,0.18132327897838163,0.003516356520067201,0.20915539784420928,0.03109794543358608,0.006936174147385093,0.5141968364194736,0.003557215949986201,0.022459404466143574,0.0005051264592599062,0.0025279548280780933,0.026312561662650488
ZEB-GRHL2_2-0,0.08898932253744282,0.16458949046613897,0.22471833813620992,0.18132327897838163,0.0,0.18484660771502676,0.2538491088220936,0.1294643774586994,0.14757540629258867,0.12762876001392998,0.16681550268740103,0.20736353331417784,0.18147251095393502,0.1853640611607608,0.10313554633481908
WT,0.053165034871395275,0.003280658677870073,0.5629782925170591,0.0035163565200672007,0.18484660771502676,0.0,0.2481815551081778,0.0476032298489622,0.0055603031541393184,0.5295890238052553,0.004091393224317577,0.011210028242051067,0.004200706532192618,0.0013577679612617566,0.030042338049286056
ZEB-miR200_2-1,0.16801539598428797,0.2509588477561052,0.23374315094721737,0.2091553978442093,0.2538491088220936,0.24818155510817783,0.0,0.11158328312255819,0.23180918636398193,0.38347028902007924,0.20642681148256642,0.33468184377616317,0.19905193474097033,0.22622440377085323,0.18903719895623006
miR200-ZEB_2-1,0.014495093913213691,0.04215224465908717,0.39281082211141327,0.031097945433586065,0.12946437745869943,0.0476032298489622,0.11158328312255822,0.0,0.03258797514644387,0.39107485958366217,0.027114783491099363,0.08626851872256995,0.028709919815280066,0.041464880964233244,0.015292304001338845
ZEB-ZEB_1-0,0.02893866760060047,0.004025495394803421,0.5257109535316511,0.00693617414738509,0.14757540629258864,0.0055603031541393184,0.23180918636398193,0.03258797514644386,0.0,0.47456353074923163,0.0045217782225527355,0.016364986419212774,0.007278831597093768,0.006856365932916783,0.012621542153707081
ZEB-GRHL2_2-1,0.342126396067994,0.5010887477940352,0.10192054373537197,0.5141968364194736,0.12762876001392998,0.5295890238052554,0.3834702890200792,0.3910748595836621,0.4745635307492317,0.0,0.49308203107588877,0.5734611719716154,0.5121899633617248,0.5269697957282855,0.38382133077643293
miR200-ZEB_2-0,0.03382208573707539,0.004040847787690767,0.5192655906300871,0.0035572159499862015,0.16681550268740097,0.004091393224317581,0.20642681148256642,0.027114783491099366,0.004521778222552736,0.49308203107588877,0.0,0.022646237882854303,0.0027699048154998275,0.0034684734778222762,0.016969030856411466
SNAIL-miR200_2-0,0.07770369193778764,0.011901210663963742,0.6510541039518504,0.022459404466143577,0.20736353331417787,0.011210028242051064,0.33468184377616317,0.08626851872256994,0.01636498641921277,0.5734611719716155,0.022646237882854303,0.0,0.02567151094479001,0.018301057876777257,0.04911771012759478
SNAIL-miR200_2-1,0.0441506226698373,0.008775895392441444,0.5220966581388189,0.0005051264592599052,0.18147251095393502,0.004200706532192617,0.19905193474097027,0.028709919815280066,0.00727883159709376,0.5121899633617248,0.0027699048154998292,0.025671510944790015,0.0,0.0021016927313335368,0.025643626370041472
SNAIL-ZEB_1-0,0.051983629309157675,0.005866834656684411,0.5429704511562832,0.002527954828078094,0.1853640611607608,0.0013577679612617574,0.22622440377085326,0.041464880964233244,0.006856365932916784,0.5269697957282856,0.0034684734778222754,0.018301057876777257,0.0021016927313335368,0.0,0.030603834921510264
GRHL2-ZEB_2-1,0.003918652057266588,0.019999642270519348,0.44536059335526085,0.02631256166265049,0.10313554633481907,0.03004233804928605,0.18903719895623006,0.015292304001338849,0.012621542153707085,0.383821330776433,0.016969030856411476,0.04911771012759478,0.02564362637004147,0.030603834921510257,0.0
