States,Boolean frequency,RACIPE frequency
"""1101011""",0.03727777777777764,0
"""0010101""",0.08203000000000062,0
"""1001010""",0.1264041666666652,0.32263766145479267
"""0110001""",0.020067500000000037,0
"""0110000""",0.008416666666666659,0
"""1001011""",0.08854500000000066,0
"""0110101""",0.15202611111110848,0.31937457511896666
"""0110100""",0.07970333333333397,0
"""1100100""",0.0010416666666666669,0
"""0011101""",0.004350000000000002,0
"""1101010""",0.0667561111111116,0
"""0010100""",0.03932833333333323,0
"""1001001""",0.008178333333333317,0
"""1101001""",0.0029311111111111105,0
"""1101110""",0.01316666666666665,0
"""0001011""",0.008053333333333317,0
"""1000011""",0.004295000000000004,0
"""1001110""",0.016493333333333377,0
"""1001111""",0.004843333333333338,0
"""0000101""",0.0006166666666666666,0
"""0001010""",0.007928333333333325,0
"""1001000""",0.008949999999999996,0
"""1110110""",0.0017366666666666672,0
"""0101010""",0.008274999999999984,0
"""0010000""",0.005000000000000002,0
"""0010001""",0.019026666666666407,0
"""1000010""",0.00655,0
"""0101011""",0.008909999999999979,0.06893269884432358
"""1111010""",0.0030250000000000003,0
"""0011001""",0.0021283333333333336,0.038341264445955134
"""1110101""",0.005971666666666671,0
"""1010100""",0.005650000000000003,0.07545887151597552
"""0001110""",0.0031599999999999996,0
"""1100010""",0.005596666666666671,0
"""1011101""",0.0011333333333333334,0
"""0110111""",0.002134999999999999,0
"""1100000""",0.00038333333333333334,0
"""0100111""",0.0024699999999999987,0
"""1111011""",0.0027916666666666663,0
"""0101101""",0.00031,0
"""1010101""",0.006071666666666671,0
"""0100010""",0.0028016666666666663,0
"""1010001""",0.002299999999999999,0
"""1101000""",0.0038500000000000023,0
"""1100011""",0.004328333333333338,0
"""1000000""",0.0004833333333333333,0
"""1100111""",0.002354999999999999,0
"""1101100""",0.0011833333333333333,0
"""1101111""",0.004243333333333338,0
"""1110100""",0.004210000000000003,0
"""1011011""",0.005795000000000004,0
"""0001000""",0.0006766666666666666,0
"""1011010""",0.003954166666666668,0
"""1000110""",0.003750000000000002,0
"""0111101""",0.003821666666666668,0
"""0101110""",0.00598500000000001,0
"""0100100""",0.0009833333333333337,0
"""0110010""",0.0006999999999999998,0
"""1011100""",0.0016083333333333336,0
"""0001111""",0.0012666666666666668,0
"""0111000""",0.000575,0
"""1111110""",0.0023533333333333323,0
"""0100101""",0.00065,0
"""0101000""",0.00075,0
"""1100110""",0.00867666666666664,0.03752549286199864
"""0101111""",0.0030499999999999976,0
"""1000111""",0.001984999999999999,0
"""1001100""",0.002033333333333333,0
"""0011000""",0.0007933333333333333,0
"""0111111""",0.0007166666666666668,0
"""0010111""",0.0012050000000000001,0
"""0011100""",0.0022633333333333333,0
"""0101001""",0.0010000000000000005,0
"""0100110""",0.007349999999999993,0.06770904146838885
"""0100011""",0.0021549999999999994,0
"""0000110""",0.002261666666666666,0
"""0000010""",0.0005333333333333333,0
"""0111010""",0.0010972222222222225,0
"""0000111""",0.0009750000000000002,0
"""0110110""",0.004266666666666673,0
"""0001101""",0.00029000000000000006,0
"""0111110""",0.0020016666666666655,0
"""1011000""",0.000325,0
"""0000011""",0.0010666666666666667,0
"""1110011""",0.0006791666666666666,0
"""0001001""",0.0006749999999999999,0
"""1110001""",0.0013766666666666667,0
"""0010110""",0.0010616666666666663,0
"""1111100""",0.0009125000000000002,0
"""1011111""",0.0006433333333333333,0
"""0111001""",0.0017666666666666664,0
"""0010011""",0.0004666666666666665,0
"""1011001""",0.001205,0.07002039428959891
"""1100001""",0.00034333333333333335,0
"""0111100""",0.002993333333333333,0
"""1010010""",0.00035,0
"""0111011""",0.0011166666666666668,0
"""1010110""",0.001035,0
"""0101100""",0.0007916666666666666,0
"""0000000""",0.0001,0
"""1111101""",0.0008683333333333332,0
"""1110111""",0.0008099999999999997,0
"""0011011""",0.0012799999999999997,0
"""1010011""",0.0005633333333333332,0
"""1011110""",0.0008391666666666666,0
"""0011110""",0.00048666666666666655,0
"""1100101""",0.0004833333333333331,0
"""0000100""",0.0007016666666666665,0
"""0100001""",0.0003333333333333333,0
"""1111001""",0.000673333333333333,0
"""1110000""",0.00065,0
"""1101101""",0.0005166666666666666,0
"""1000100""",0.0006666666666666666,0
"""0011111""",0.0002566666666666667,0
"""0001100""",0.00015,0
"""0110011""",0.0008033333333333331,0
"""0011010""",0.0004,0
"""1001101""",0.0004333333333333333,0
"""1010000""",0.00065,0
"""1000001""",0.00035,0
"""0100000""",0.0002,0
"""0000001""",0.00028333333333333335,0
"""1110010""",0.0005499999999999999,0
"""1111000""",0.0004166666666666667,0
"""1010111""",0.0008433333333333332,0
"""1000101""",0.00021666666666666666,0
"""1111111""",0.00047666666666666647,0
"""0010010""",8.333333333333333e-05,0
