name,Total Positive cycles,RACIPE JSD1 from WT,RACIPE JSD2 from WT,Boolean JSD from WT,Plasticity1,Plasticity2
16221,4,0.26879396280359996,0.26879396280359996,0.4612043195128426,0.2098,0.30689999999999995
24239,4,0.38256509579013903,0.38256509579013903,0.7968486882918651,0.452,0.49229999999999996
12253,4,0.04054673068186436,0.04054673068186436,0.12800056094215853,0.4185,0.4685
21439,4,0.316579292473406,0.316579292473406,0.31928319646307757,0.416,0.4728
32492,4,0.370384720918142,0.370384720918142,0.6806129054162402,0.132,0.16069999999999995
31582,5,0.23334443642082248,0.23334443642082248,0.3576883542152566,0.3002,0.3599
7159,5,0.09069297834806958,0.09069297834806958,0.11608522583638961,0.5308,0.5556
16159,3,0.25097963707479554,0.25097963707479554,0.5456338922456387,0.1314,0.21099999999999997
14326,2,0.22318923876356167,0.22318923876356167,0.502827084756564,0.0995,0.13349999999999995
30974,4,0.3169920478913277,0.3169920478913277,1.0,0.1831,0.21399999999999997
14205,2,0.3092872094953999,0.3092872094953999,0.5796082488521177,0.0691,0.10650000000000004
5631,5,0.295303491366093,0.295303491366093,0.4619153875583124,0.2854,0.3517
32244,2,0.18870287057868368,0.18870287057868368,1.0,0.0595,0.08120000000000005
16346,6,0.02252592236345294,0.02252592236345294,0.027403710619165154,0.5513,0.6496
24301,5,0.43291046849294,0.43291046849294,0.685287922518167,0.4622,0.5123
5119,5,0.2591185876900556,0.2591185876900556,0.2743692341267998,0.4607,0.5282
23743,3,0.2713813183752979,0.2713813183752979,0.487149372292341,0.1566,0.2479
29599,4,0.0913120830869956,0.0913120830869956,0.3239863234651459,0.3515,0.4171
28367,4,0.37664289774265125,0.37664289774265125,0.5824955688605677,0.2128,0.29700000000000004
WT,6,0.0,0.0,0.0008956203469293214,0.5186,0.5635
15349,4,0.053247648326630946,0.053247648326630946,0.10929195657296076,0.1937,0.21809999999999996
8182,4,0.19508770003525322,0.19508770003525322,0.5498664360651159,0.3423,0.42079999999999995
15263,5,0.003974598816062379,0.003974598816062379,0.18602645480331173,0.3982,0.4364
30967,3,0.29959400676068276,0.29959400676068276,1.0,0.1117,0.13380000000000003
31869,2,0.27696496090236034,0.27696496090236034,1.0,0.0141,0.03359999999999996
24054,3,0.19574375193632662,0.19574375193632662,0.6702515807584326,0.1405,0.24029999999999996
